传感器名称（字符型）,传感器类型（字符型）,标识符合（字符型）,传感器地址（字符型）,鲁棒性（字符型）,数据类型（字符型）,接口协议（字符型）,平台协议（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
氧气传感器,化学传感器,OS-016,/dev/oxygen,高,数字,I2C,CoAP,工业气体监测,https://www.gasmonitoring.com/,,
温室气体传感器,化学传感器,GH-017,/dev/ghg,中,模拟,UART,HTTP,气候研究,https://www.climatescience.org/,,
RFID传感器,物理传感器,RF-018,/dev/rfid,中,数字,SPI,MQTT,物流管理,https://www.logisticsinnovation.com/,,
超声波传感器,物理传感器,US-019,/dev/ultrasonic,高,数字,I2C,CoAP,自动化系统,https://www.automationtech.com/,,
紫外线传感器,物理传感器,UV-010,/dev/uv,高,数字,I2C,MQTT,环境监测,https://www.sciencedirect.com/science/article/pii/S2213138816300366,,
水质监测传感器,化学传感器,WQ-011,/dev/water_quality,中,数字,UART,CoAP,水质监测站,https://www.waterquality.org/,,
土壤湿度传感器,物理传感器,SM-012,/dev/soil_moisture,中,数字,I2C,HTTP,农业监测,https://www.hortamericas.com/,,
心率监测传感器,生物传感器,HR-013,/dev/heart_rate,高,模拟,SPI,MQTT,可穿戴设备,https://www.wearabletech.com/,,
CO2传感器,化学传感器,CO2-014,/dev/co2,高,数字,UART,HTTP,环境监测,https://www.co2meter.com/,,
动脉血氧传感器,生物传感器,SpO2-015,/dev/spo2,高,数字,I2C,CoAP,医疗监测,https://www.oximeter.com/,,
氡气传感器,化学传感器,Rn-016,/dev/radon,中,数字,SPI,HTTP,建筑安全,https://www.radon.com/,,
运动传感器,物理传感器,MOT-017,/dev/motion,中,数字,I2C,MQTT,安防系统,https://www.securitymagazine.com/,,
气象雷达传感器,物理传感器,WR-018,/dev/weather_radar,高,数字,UART,HTTP,气象监测,https://www.weather.com/,,
烟雾传感器,化学传感器,SMK-019,/dev/smoke,中,模拟,I2C,MQTT,安防系统,https://www.smokealarms.com/,,
紫外线传感器,物理传感器,UV-010,/dev/uv,中,数字,I2C,HTTP,环境监测,https://www.ncdc.noaa.gov/,,
氮氧化物传感器,化学传感器,NOx-011,/dev/nox,高,模拟,UART,MQTT,大气监测,https://www.epa.gov/,,
动静态传感器,组合传感器,VC-012,/dev/vibration,中,数字,SPI,CoAP,智能制造,https://www.i-sight.com/,,
土壤湿度传感器,物理传感器,SM-013,/dev/soil,高,模拟,I2C,MQTT,农业监测,https://www.agriculture.com/,,
心率传感器,生物传感器,HR-014,/dev/heart,高,数字,BLE,HTTP,健康监测,https://www.healthline.com/,,
水质传感器,化学传感器,WQ-015,/dev/water,中,数字,UART,CoAP,水质监测,https://www.worldwaterday.org/,,
振动传感器,物理传感器,VIB-016,/dev/vibe,高,数字,SPI,MQTT,工业监控,https://www.controlglobal.com/,,
风速传感器,物理传感器,WS-017,/dev/wind,中,数字,I2C,HTTP,气象监测,https://www.weather.gov/,,
计步传感器,生物传感器,P-018,/dev/step,高,数字,BLE,MQTT,健康监测,https://www.health.com/,,
光强传感器,物理传感器,LS-010,/dev/light-intensity,高,数字,I2C,MQTT,农业监测,https://www.agriculture.com/technology,,
土壤湿度传感器,物理传感器,SM-011,/dev/soil-moisture,中,数字,SPI,HTTP,智能农业,https://www.smartfarming.com/,,
火焰传感器,化学传感器,FS-012,/dev/flame,高,数字,UART,CoAP,安全监测,https://www.safety.com/,,
紫外线传感器,物理传感器,UVS-013,/dev/uv,中,数字,I2C,MQTT,环境监测,https://www.environmentalmonitoring.com/,,
心率传感器,生物传感器,HR-014,/dev/heart-rate,高,数字,SPI,HTTP,健康监测,https://www.healthtech.com/,,
辐射传感器,物理传感器,RS-015,/dev/radiation,高,模拟,UART,HTTP,环境监测,https://www.radiationmonitoring.com/,,
电流传感器,物理传感器,CS-016,/dev/current,中,模拟,SPI,CoAP,工业监测,https://www.industry.com/,,
风速传感器,物理传感器,WS-017,/dev/wind-speed,高,数字,I2C,MQTT,气象监测,https://www.weathertech.com/,,
血压传感器,生物传感器,BP-018,/dev/blood-pressure,高,模拟,UART,CoAP,医疗监测,https://www.medicalmonitors.com/,,
距离传感器,物理传感器,DS-019,/dev/distance,中,数字,I2C,MQTT,自动驾驶,https://www.autonomousvehicles.com/,,
水质传感器,化学传感器,WS-010,/dev/water_quality,高,数字,I2C,MQTT,水质监测,https://www.environmentalmonitoring.com,,
辐射传感器,物理传感器,RS-011,/dev/radiation,中,模拟,SPI,HTTP,安全监测,https://www.safetyfirst.com,,
光纤传感器,物理传感器,FS-012,/dev/fiber,高,数字,UART,CoAP,智能建筑,https://www.smartbuilding.com,,
振动传感器,物理传感器,VS-013,/dev/vibration,中,数字,I2C,MQTT,工业监控,https://www.industrymonitor.com,,
电流传感器,物理传感器,CS-014,/dev/current,高,模拟,SPI,HTTP,能源管理,https://www.energymanagement.com,,
二氧化碳传感器,化学传感器,CS-015,/dev/co2,中,数字,UART,MQTT,室内空气质量监测,https://www.airqualitymonitor.com,,
心率传感器,生物传感器,HR-016,/dev/heart_rate,高,数字,I2C,CoAP,健康监测,https://www.healthmonitoring.com,,
步态传感器,生物传感器,GS-017,/dev/gait,中,数字,UART,HTTP,运动追踪,https://www.fitnessmonitor.com,,
土壤湿度传感器,物理传感器,SM-018,/dev/soil_moisture,高,数字,I2C,MQTT,农业监测,https://www.agriculturemonitoring.com,,
智能气象仪,物理传感器,WM-019,/dev/weather,中,数字,SPI,CoAP,气象监测,https://www.weatherstation.com,,
温湿度传感器,物理传感器,TH-010,/dev/temp_humi,高,数字,I2C,MQTT,智能农业,https://www.agri-tech.com,,
水质监测传感器,化学传感器,QS-011,/dev/water_quality,中,模拟,UART,HTTP,水务管理,https://www.watermanagement.com,,
气象传感器,物理传感器,MET-012,/dev/weather,高,数字,SPI,CoAP,气象站,https://www.weather.gov,,
电流传感器,物理传感器,CS-013,/dev/current,中,数字,I2C,MQTT,电力监控,https://www.energy-monitor.com,,
土壤湿度传感器,物理传感器,SM-014,/dev/soil_moisture,高,数字,UART,HTTP,农田监控,https://www.agriculture.com,,
光强传感器,物理传感器,LS-015,/dev/light_intensity,高,数字,SPI,CoAP,生态监测,https://www.environmentalmonitoring.com,,
运动传感器,物理传感器,MS-016,/dev/motion,中,数字,I2C,MQTT,智能安防,https://www.smartsecurity.com,,
烟雾传感器,化学传感器,SS-017,/dev/smoke,高,模拟,UART,HTTP,家庭安全,https://www.fireprotection.com,,
频率传感器,物理传感器,FS-018,/dev/frequency,中,数字,SPI,CoAP,工业自动化,https://www.automationworld.com,,
生理传感器,生物传感器,BS-019,/dev/physiological,高,模拟,I2C,MQTT,健康管理,https://www.healthmonitoring.com,,
超声波传感器,物理传感器,US-010,/dev/ultrasonic,高,数字,UART,HTTP,智能交通,https://www.smarttraffic.com/,,
水质传感器,化学传感器,WQ-011,/dev/waterquality,中,数字,I2C,MQTT,水务管理,https://www.waterqualitymonitoring.com/,,
二氧化碳传感器,化学传感器,CO2-012,/dev/co2,高,模拟,RS485,CoAP,室内空气质量监测,https://www.indoorairquality.com/,,
GPS传感器,定位传感器,GPS-013,/dev/gps,高,数字,UART,HTTP,导航系统,https://www.gpsworld.com/,,
红外传感器,物理传感器,IR-014,/dev/infrared,中,数字,I2C,MQTT,智能家居,https://www.smarthome.com/,,
噪声传感器,物理传感器,NS-015,/dev/noise,低,数字,SPI,CoAP,城市环境监测,https://www.noisemonitoring.com/,,
振动传感器,物理传感器,VS-016,/dev/vibration,高,模拟,UART,HTTP,工业设备监测,https://www.vibrationmonitoring.com/,,
肤温传感器,生物传感器,ST-017,/dev/skin_temp,中,数字,I2C,MQTT,健康监测,https://www.healthmonitor.com/,,
风速传感器,物理传感器,WS-018,/dev/windspeed,高,数字,SPI,CoAP,气象监测,https://www.weather.com/,,
土壤湿度传感器,物理传感器,SM-019,/dev/soil_moisture,中,数字,UART,HTTP,农业监测,https://www.agri-monitor.com/,,
土壤湿度传感器,物理传感器,SM-010,/dev/soil_moisture,高,数字,I2C,MQTT,农业监测,https://www.agriculture.com/technology,,
光照传感器,物理传感器,LS-011,/dev/light_sensor,中,数字,SPI,HTTP,智能农业,https://www.smartagriculture.com/,,
心率传感器,生物传感器,HR-012,/dev/hr_sensor,高,数字,UART,CoAP,医疗健康,https://www.healthtechnews.com,,
声压传感器,物理传感器,SP-013,/dev/sound_pressure,中,模拟,I2C,MQTT,环境评估,https://www.environmentalmonitor.com,,
烟雾传感器,化学传感器,SS-014,/dev/smoke_sensor,高,数字,SPI,HTTP,智能家居,https://www.smartliving.com/,,
水质传感器,化学传感器,WS-015,/dev/water_quality,高,模拟,UART,CoAP,生态监测,https://www.ecosystems.com,,
振动传感器,物理传感器,VS-016,/dev/vibration_sensor,中,数字,I2C,MQTT,工业监控,https://www.industryupdate.com/,,
超声波传感器,物理传感器,US-017,/dev/ultrasonic,高,数字,SPI,HTTP,交通监测,https://www.trafficmonitoring.com,,
氮氧化物传感器,化学传感器,NOx-018,/dev/nox_sensor,中,模拟,UART,HTTP,环境监测,https://www.airqualitymonitor.com,,
电流传感器,物理传感器,CS-019,/dev/current_sensor,高,数字,I2C,MQTT,电力监控,https://www.energycontrol.com,,
烟雾传感器,化学传感器,SS-010,/dev/smoke,高,数字,I2C,MQTT,火灾监测,https://www.fire-safety.com/,,
光照传感器,物理传感器,LS-011,/dev/light-intensity,中,模拟,SPI,CoAP,农业监控,https://www.agriculture-tech.com/,,
水质传感器,化学传感器,QS-012,/dev/water-quality,高,数字,UART,HTTP,环境监测,https://www.environmental-monitoring.com/,,
GPS传感器,定位传感器,GPS-013,/dev/gps,高,数字,I2C,MQTT,自动驾驶,https://www.auto-driving.com/,,
电流传感器,物理传感器,CS-014,/dev/current,高,模拟,SPI,HTTP,电力监控,https://www.energy-monitoring.com/,,
噪音传感器,物理传感器,NS-015,/dev/noise,中,数字,UART,CoAP,城市环境监测,https://www.city-noise.com/,,
土壤湿度传感器,物理传感器,SH-016,/dev/soil-moisture,高,数字,I2C,MQTT,农业监测,https://www.agriculture-research.com/,,
智能手表传感器,生物传感器,SW-017,/dev/smartwatch,中,数字,SPI,HTTP,健康监测,https://www.health-monitoring.com/,,
电磁场传感器,物理传感器,EM-018,/dev/emf,中,数字,UART,HTTP,电磁场监测,https://www.emf-monitoring.com/,,
超声波传感器,物理传感器,US-019,/dev/ultrasonic,中,数字,I2C,MQTT,自动化生产,https://www.automation-tech.com/,,
噪声传感器,物理传感器,NS-010,/dev/noise,中,数字,I2C,MQTT,城市环境监控,https://www.analyticsinsight.net,,
水位传感器,物理传感器,WL-011,/dev/waterlevel,高,数字,SPI,CoAP,水资源监测,https://www.watertech.com,,
土壤湿度传感器,物理传感器,SM-012,/dev/soilmoisture,中,数字,I2C,HTTP,农业监测,https://www.agriculture.com,,
辐射传感器,物理传感器,RS-013,/dev/radiation,高,模拟,UART,MQTT,环保监测,https://www.epa.gov,,
风速传感器,物理传感器,WS-014,/dev/wind,中,数字,I2C,CoAP,气象站,https://www.weather.com,,
脉搏传感器,生物传感器,BP-015,/dev/pulse,高,模拟,SPI,HTTP,医疗设备,https://www.healthcaretechnologies.com,,
细颗粒物传感器,化学传感器,PM-016,/dev/pm,高,数字,UART,MQTT,空气质量监测,https://www.airquality.com,,
气压传感器,物理传感器,BP-017,/dev/pressure,中,模拟,I2C,CoAP,气象监测,https://www.meteomatics.com,,
心率传感器,生物传感器,HR-018,/dev/heartrate,高,模拟,SPI,HTTP,健身监测,https://www.fitness.com,,
电流传感器,物理传感器,CS-019,/dev/current,中,数字,I2C,MQTT,能源监测,https://www.energy.gov,,
紫外线传感器,物理传感器,UV-010,/dev/uv,中,数字,I2C,MQTT,环境监测,https://www.environmentalmonitoring.com,,
土壤水分传感器,物理传感器,SW-011,/dev/soilmoisture,高,数字,SPI,CoAP,智能农业,https://www.smartagriculture.com,,
氧气传感器,化学传感器,OS-012,/dev/oxygen,高,模拟,UART,HTTP,医疗设备,https://www.medicaldevices.com,,
烟雾传感器,化学传感器,SS-013,/dev/smoke,中,数字,I2C,MQTT,安全监控,https://www.smokedetectors.com,,
心率传感器,生物传感器,HR-014,/dev/heartrate,高,数值,SPI,CoAP,可穿戴设备,https://www.wearabletech.com,,
智能气象传感器,气象传感器,WM-015,/dev/weather,高,数字,I2C,MQTT,气象服务,https://www.weatherservices.com,,
护肤传感器,生物传感器,SK-016,/dev/skincare,中,模拟,UART,HTTP,美容健康,https://www.skincaretech.com,,
噪声传感器,物理传感器,NS-017,/dev/noise,中,数字,I2C,MQTT,城市监测,https://www.citymonitoring.com,,
水质传感器,物理传感器,WQ-018,/dev/waterquality,高,模拟,SPI,CoAP,水资源监测,https://www.waterqualitymonitoring.com,,
振动传感器,物理传感器,VS-019,/dev/vibration,高,数字,I2C,MQTT,建筑监测,https://www.buildingmonitoring.com,,
土壤湿度传感器,物理传感器,SH-010,/dev/soil_humidity,中,数字,I2C,MQTT,农业监测,https://www.agriculture.com/,,
LED光传感器,物理传感器,LS-011,/dev/led_light,高,数字,I2C,HTTP,智能照明,https://www.smartlighting.com/,,
烟雾传感器,化学传感器,FS-012,/dev/smoke,高,数字,SPI,CoAP,安全监控,https://www.safety.com/,,
心率监测传感器,生物传感器,HR-013,/dev/heart_rate,高,数字,UART,MQTT,可穿戴设备,https://www.wearables.com/,,
水质传感器,化学传感器,QS-014,/dev/water_quality,中,模拟,I2C,HTTP,环境监测,https://www.environment.com/,,
紫外线传感器,物理传感器,UV-015,/dev/uv_sensor,高,数字,SPI,CoAP,健康监测,https://www.healthandwellness.com/,,
电流传感器,物理传感器,CS-016,/dev/current,中,模拟,UART,HTTP,电力监控,https://www.energy.com/,,
光照强度传感器,物理传感器,LI-017,/dev/light_intensity,中,数字,I2C,MQTT,农业监测,https://www.cropmonitoring.com/,,
风速传感器,物理传感器,WS-018,/dev/wind_speed,高,数字,UART,CoAP,气象监测,https://www.weatherstation.com/,,
智能体温传感器,生物传感器,BT-019,/dev/temperature_bio,高,数字,SPI,MQTT,医疗监测,https://www.health.com/,,
光照传感器,物理传感器,LS-010,/dev/illumination,高,数字,I2C,MQTT,智能农业,https://www.smartagriculture.com,,
水质传感器,化学传感器,QS-011,/dev/waterqual,中,模拟,UART,HTTP,水处理设施,http://www.watertreatment.org,,
位置传感器,物理传感器,PS-012,/dev/location,高,数字,SPI,CoAP,智能交通,https://www.smarttransportation.com,,
二氧化碳传感器,化学传感器,CO2-013,/dev/co2,中,数字,I2C,MQTT,空气质量监测,https://www.aqmonitoring.com,,
红外传感器,物理传感器,IR-014,/dev/infrared,高,数字,UART,HTTP,自动化系统,http://www.automationtech.com,,
结构健康传感器,物理传感器,SHM-015,/dev/structhealth,高,数字,SPI,CoAP,桥梁监测,https://www.structuralhealth.com,,
振动传感器,物理传感器,VS-016,/dev/vibration,中,模拟,UART,HTTP,工业设备监测,http://www.industrymonitor.com,,
毫米波传感器,物理传感器,MW-017,/dev/millimeterwave,高,数字,I2C,MQTT,智能交通,https://www.smartcitysolutions.com,,
电流传感器,物理传感器,CS-018,/dev/current,中,模拟,SPI,CoAP,能源监测,http://www.energytech.com,,
土壤湿度传感器,物理传感器,SM-019,/dev/soilmoisture,高,数字,I2C,MQTT,农业监测,https://www.agriculturemonitoring.org,,
二氧化碳传感器,化学传感器,CO2-010,/dev/co2,高,数字,I2C,MQTT,室内空气质量监测,https://www.airquality.gov/,,
土壤湿度传感器,物理传感器,SM-011,/dev/soil_moisture,中,模拟,SPI,CoAP,农业监测,https://www.agriculture.com/,,
运动传感器,物理传感器,MS-012,/dev/motion,高,数字,UART,HTTP,智能家居,https://www.techhive.com/,,
震动传感器,物理传感器,VS-013,/dev/vibration,中,数字,UART,MQTT,智能建筑监控,https://www.buildinggreen.com/,,
UV光传感器,物理传感器,UV-014,/dev/uv,高,数字,I2C,CoAP,环境监测,https://www.epa.gov/,,
水质传感器,化学传感器,WQ-015,/dev/water_quality,中,模拟,SPI,HTTP,水资源管理,http://www.waterqualitydata.us/,,
心率传感器,生物传感器,HR-016,/dev/heart_rate,高,数字,I2C,MQTT,医疗监控,https://www.healthline.com/,,
GPS定位传感器,物理传感器,GPS-017,/dev/gps,高,数字,UART,HTTP,导航系统,https://www.gps.gov/,,
氡气传感器,化学传感器,Rn-018,/dev/radon,中,数字,SPI,MQTT,环境健康监测,https://www.ewg.org/,,
声纹传感器,生物传感器,SV-019,/dev/voiceprint,高,数字,I2C,CoAP,安防监控,https://www.securitymagazine.com/,,
烟雾传感器,化学传感器,SS-010,/dev/smoke,高,数字,I2C,MQTT,火灾预警系统,https://www.firetect.com/,,
距离传感器,物理传感器,DS-011,/dev/distance,中,数字,UART,HTTP,自动化生产线,https://www.automation.com/,,
光照传感器,物理传感器,LS-012,/dev/illumination,高,数字,I2C,CoAP,智慧农业,https://www.smartagriculture.com/,,
心率传感器,生物传感器,HR-013,/dev/heart,高,数字,SPI,MQTT,个人健康设备,https://www.healthtech.com/,,
水位传感器,物理传感器,WS-014,/dev/waterlevel,中,模拟,UART,HTTP,水资源管理,https://www.waterresources.com/,,
红外传感器,物理传感器,IR-015,/dev/infrared,高,数字,I2C,MQTT,智能家居,https://www.smarthome.com/,,
GPS传感器,物理传感器,GPS-016,/dev/gps,高,数字,UART,CoAP,无人驾驶技术,https://www.driverlessfuture.com/,,
震动传感器,物理传感器,VS-017,/dev/vibration,中,模拟,SPI,HTTP,建筑安全监测,https://www.buildingsafety.com/,,
雷达传感器,物理传感器,RS-018,/dev/radar,高,数字,UART,MQTT,安防监控,https://www.securityradar.com/,,
电流传感器,物理传感器,CS-019,/dev/current,高,模拟,SPI,HTTP,电力监测,https://www.powermonitoring.com/,,
土壤 moisture 传感器,物理传感器,SM-010,/dev/soil_moisture,高,数字,I2C,MQTT,农业监控,https://www.agronomy.org,,
UV 传感器,物理传感器,UV-011,/dev/uv,中,数字,SPI,HTTP,环境监测,https://www.environmentalmonitoring.com,,
气体质量传感器,化学传感器,QM-012,/dev/gas_quality,高,模拟,UART,CoAP,城市空气监测,https://www.airqualitynews.com,,
水质传感器,化学传感器,WQ-013,/dev/water_quality,高,数字,I2C,MQTT,自来水公司,https://www.waterquality.org,,
震动传感器,物理传感器,VS-014,/dev/vibration,中,模拟,SPI,HTTP,工业监控,https://www.industrialmonitoring.com,,
智能门锁传感器,物理传感器,SL-015,/dev/smartlock,高,数字,I2C,MQTT,智能家居,https://www.smartlocking.com,,
噪声水平传感器,物理传感器,NS-016,/dev/noise_level,中,数字,UART,HTTP,城市环境监测,https://www.noisemonitoring.com,,
水位传感器,物理传感器,WL-017,/dev/water_level,高,数字,I2C,MQTT,堤坝监测,https://www.waterlevelmonitoring.com,,
铁路轨道传感器,物理传感器,RS-018,/dev/railway,中,模拟,SPI,HTTP,铁路监控,https://www.railwaymonitoring.com,,
LED照明传感器,物理传感器,LED-019,/dev/led_lights,中,数字,I2C,MQTT,智能照明,https://www.ledlighting.com,,
烟雾传感器,化学传感器,FS-010,/dev/smoke,中,数字,I2C,MQTT,消防设备,https://www.fireprotection.com,,
光线传感器,物理传感器,LS-011,/dev/light-intensity,高,数字,UART,CoAP,户外环境监测,https://www.lightmonitor.com,,
土壤湿度传感器,环境传感器,SM-012,/dev/soil-moisture,高,数字,I2C,HTTP,农业监测,https://www.agriculturetech.com,,
气压传感器,物理传感器,BP-013,/dev/barometer,中,模拟,SPI,MQTT,气象监测,https://www.weather.com,,
液体流量传感器,物理传感器,FL-014,/dev/flow,高,数字,UART,CoAP,工业自动化,https://www.industrialautomation.com,,
电流传感器,物理传感器,CS-015,/dev/current,高,数字,I2C,HTTP,电力监控,https://www.electricmonitor.com,,
湿度光传感器,环境传感器,LH-016,/dev/light-humidity,中,数字,UART,MQTT,室内环境监测,https://www.environmentmonitor.com,,
电磁场传感器,物理传感器,EM-017,/dev/emf,中,模拟,SPI,CoAP,智能城市,https://www.smartcities.com,,
速度传感器,物理传感器,VS-018,/dev/speed,高,数字,I2C,MQTT,交通监控,https://www.transportationmonitor.com,,
触摸传感器,物理传感器,TS-019,/dev/touch,高,数字,UART,HTTP,智能控制系统,https://www.smartcontrol.com,,
土壤湿度传感器,物理传感器,SM-010,/dev/soil,高,数字,I2C,MQTT,农业监控,https://www.agriculture.com/soil-moisture-sensors,,
气象传感器,物理传感器,WS-011,/dev/weather,中,数字,SPI,CoAP,气象站,https://www.weather.com/sensors,,
智能门锁传感器,物理传感器,DL-012,/dev/doorlock,高,数字,I2C,HTTP,智能家居,https://www.smartlock.com/tech,,
心率传感器,生物传感器,HR-013,/dev/hr,高,模拟,UART,CoAP,健康监测,https://www.healthtech.com/heart-rate-sensors,,
水质传感器,化学传感器,QS-014,/dev/waterquality,中,数字,I2C,MQTT,水体监测,https://www.waterquality.com/sensors,,
光谱传感器,物理传感器,SS-015,/dev/spectra,高,数字,SPI,HTTP,科学研究,https://www.spectralresearch.com/sensors,,
辐射传感器,物理传感器,RS-016,/dev/radiation,中,数字,UART,CoAP,核能监测,https://www.radiationmonitoring.com/,,
图像传感器,图像传感器,IS-017,/dev/image,高,数字,I2C,MQTT,监控摄像头,https://www.cctv.com/sensors,,
气压传感器,物理传感器,PS-018,/dev/pressure,高,模拟,UART,HTTP,航空气象监测,https://www.aerodynamics.com/pressure-sensors,,
热成像传感器,物理传感器,TI-019,/dev/thermal,高,数字,I2C,MQTT,安防监控,https://www.thermalimaging.com/sensors,,
振动传感器,物理传感器,VS-010,/dev/vibration,高,数字,I2C,MQTT,结构健康监测,https://www.structuralhealth.com/,,
流量传感器,物理传感器,FS-011,/dev/flow,中,数字,SPI,HTTP,水务管理,https://www.watermanagement.com/,,
红外传感器,物理传感器,IR-012,/dev/infrared,高,模拟,UART,CoAP,安防系统,https://www.security.com/,,
液位传感器,物理传感器,LS-013,/dev/level,中,数字,I2C,MQTT,水位监测,https://www.levelmonitoring.com/,,
温湿度传感器,物理传感器,TH-014,/dev/temp_humidity,高,数字,SPI,HTTP,智能农业,https://www.smartagriculture.com/,,
土壤湿度传感器,物理传感器,SM-015,/dev/soil,高,模拟,UART,CoAP,农业监测,https://www.agriculturalsensors.com/,,
气象传感器,物理传感器,MS-016,/dev/weather,中,数字,I2C,MQTT,气象研究,https://www.weatherresearch.com/,,
转速传感器,物理传感器,RS-017,/dev/rpm,高,数字,SPI,HTTP,机械监控,https://www.mechanicalcontrol.com/,,
生物识别传感器,生物传感器,BR-018,/dev/bioid,高,模拟,UART,CoAP,智能识别,https://www.biometrics.com/,,
光强传感器,物理传感器,LI-019,/dev/light_intensity,中,数字,I2C,MQTT,环境监测,https://www.environmentalmonitoring.com/,,
烟雾传感器,化学传感器,SS-010,/dev/smoke,高,数字,I2C,MQTT,消防系统,https://www.tuya.com/,,
气流传感器,物理传感器,AF-011,/dev/airflow,中,数字,UART,CoAP,HVAC系统,https://www.iot101.com/,,
土壤 moisture 传感器,物理传感器,SM-012,/dev/soilmoisture,高,模拟,SPI,HTTP,农业监测,https://www.agriculture.com/,,
振动传感器,物理传感器,VS-013,/dev/vibration,中,数字,I2C,MQTT,工业设备监控,https://www.example.com/industry,,
辐射传感器,物理传感器,RS-014,/dev/radiation,高,数字,SPI,CoAP,环境监测,https://www.environment.gov/,,
运动传感器,物理传感器,MS-015,/dev/motion,高,数字,UART,HTTP,安防系统,https://www.safetech.com/,,
光照强度传感器,物理传感器,LS-016,/dev/lightintensity,中,数字,I2C,MQTT,智慧城市,https://www.smartcity.org/,,
心率监测传感器,生物传感器,HR-017,/dev/heartrate,高,数字,SPI,CoAP,医疗设备,https://www.healthcare.com/,,
水质监测传感器,化学传感器,WS-018,/dev/waterquality,高,模拟,UART,HTTP,水处理,https://www.water.org/,,
面部识别传感器,图像传感器,FR-019,/dev/facerecognition,中,数字,I2C,MQTT,安全监控,https://www.facerecognition.com/,,
风速传感器,物理传感器,WS-010,/dev/wind,高,数字,I2C,MQTT,气象服务,https://www.weather.com/,,
光照强度传感器,物理传感器,LS-011,/dev/lightintensity,中,数字,SPI,CoAP,农业监控,https://www.agriculture.com/,,
水质传感器,化学传感器,QS-012,/dev/waterQuality,高,模拟,UART,HTTP,环境监测,https://www.environmentalprotectionagency.com/,,
振动传感器,物理传感器,VS-013,/dev/vibration,中,数字,I2C,MQTT,智能制造,https://www.smartmanufacturing.com/,,
距离传感器,物理传感器,DS-014,/dev/distance,高,数字,SPI,CoAP,自动驾驶,https://www.automotive.com/,,
土壤湿度传感器,物理传感器,SM-015,/dev/soilMoisture,中,模拟,UART,HTTP,农业监测,https://www.agriculturemonitoring.com/,,
烟雾传感器,化学传感器,SS-016,/dev/smoke,高,数字,I2C,MQTT,安全监控,https://www.safety.com/,,
GPS传感器,物理传感器,GPS-017,/dev/gps,中,数字,UART,HTTP,导航系统,https://www.gnss.com/,,
温湿度复合传感器,物理传感器,TH-018,/dev/tempHumidity,高,数字,I2C,MQTT,智能家居,https://www.smartliving.com/,,
电流传感器,物理传感器,CS-019,/dev/current,中,模拟,SPI,CoAP,电力监控,https://www.electricitycontrol.com/,,
土壤湿度传感器,物理传感器,SM-010,/dev/soil_moisture,高,数字,I2C,MQTT,农业监测,https://www.agriculturaltech.com,,
运动传感器,物理传感器,MS-011,/dev/motion,中,数字,SPI,CoAP,安防系统,https://www.sensorsafety.com,,
心率传感器,生物传感器,HR-012,/dev/heart_rate,高,模拟,UART,HTTP,健康监测,https://www.healthcaretech.com,,
紫外线传感器,物理传感器,UV-013,/dev/uv,中,数字,I2C,MQTT,气象监测,https://www.weathertech.com,,
光照强度传感器,物理传感器,LI-014,/dev/light_intensity,低,数字,SPI,CoAP,农业监测,https://www.agritechtoday.com,,
水流传感器,物理传感器,WF-015,/dev/water_flow,中,模拟,UART,HTTP,智能水务,https://www.watertech.com,,
风速传感器,物理传感器,WS-016,/dev/wind_speed,高,数字,I2C,MQTT,气象站,https://www.weatherinfo.com,,
水质传感器,化学传感器,QS-017,/dev/water_quality,高,数字,SPI,CoAP,环境监测,https://www.environmentaltech.com,,
气体质量传感器,化学传感器,GQ-018,/dev/gas_quality,中,模拟,UART,HTTP,智能城市,https://www.smartcitytech.com,,
热量传感器,物理传感器,TS-019,/dev/thermal,高,数字,I2C,MQTT,工业监控,https://www.industrytech.com,,
土壤湿度传感器,物理传感器,SM-010,/dev/soil_moisture,高,数字,I2C,MQTT,农业监测,https://www.smartagri.com,,
心率传感器,生物传感器,HR-011,/dev/heart_rate,中,数字,SPI,CoAP,健身监控,https://www.healthtech.com,,
光谱传感器,物理传感器,SS-012,/dev/spectral,高,模拟,UART,HTTP,环境监测,https://www.envirotech.com,,
水质传感器,化学传感器,WQ-013,/dev/water_quality,高,数字,I2C,MQTT,水质监测,https://www.waterquality.com,,
氧气传感器,化学传感器,OS-014,/dev/oxygen,中,模拟,UART,HTTP,医疗设备,https://www.medicaltech.com,,
风速传感器,物理传感器,WS-015,/dev/wind_speed,低,数字,SPI,CoAP,气象监测,https://www.weatherstation.com,,
烟雾传感器,化学传感器,SM-016,/dev/smoke,高,数字,I2C,MQTT,安防系统,https://www.securitytech.com,,
红外传感器,物理传感器,IR-017,/dev/infrared,中,数字,SPI,CoAP,智能家居,https://www.smarthome.com,,
光照传感器,物理传感器,LS-018,/dev/light_sensor,高,数字,I2C,MQTT,植物监测,https://www.plantmonitor.com,,
流量传感器,物理传感器,FS-019,/dev/flow,中,数字,UART,HTTP,水务管理,https://www.watermanagement.com,,
土壤湿度传感器,物理传感器,SH-010,/dev/soil_moisture,高,数字,I2C,MQTT,农业监测,https://www.agriculture.com,,
气温变化传感器,物理传感器,TC-011,/dev/temp_change,中,数字,SPI,CoAP,气象局,https://www.weather.gov,,
水质传感器,化学传感器,WS-012,/dev/water_quality,高,模拟,UART,HTTP,水资源监测,https://www.waterquality.gov,,
