零部件名称,生产企业,生产所属地,供给情况,采集来源,来源链接,采集时间,备注
液冷系统,NVIDIA公司,美国加利福尼亚州,供给紧张,国际电子行业协会,https://www.iec.org,,
塑料外壳,华为技术有限公司,中国深圳,供给稳定,中国塑料行业协会,https://www.china-pvc.com,,
音响系统,索尼公司,日本东京,供给良好,国际消费电子协会,https://www.ce.org,,
轮毂,Alpina公司,德国巴伐利亚,供给稳定,德国汽车行业工会,https://www.vda.de,,
变频器,西门子公司,德国,供给良好,国际电工委员会,https://www.siemens.com,,
导轨,日本新明和工业,日本名古屋,供给紧张,日本机械工业协会,https://www.japannavigator.com,,
紧固件,上海紧固件有限公司,中国上海,稳定供给,中国连接器行业协会,https://www.chnfastener.org,,
电动助力转向系统,吉利汽车控股有限公司,浙江省杭州,供给稳健,中国汽车市场信息网,http://www.chinaautoinfo.com,,
燃料电池,氢能产业发展有限公司,辽宁省沈阳,供给紧张,中国氢能产业发展报告,https://www.hydrogenindustry.org.cn,,
悬挂系统,长安汽车股份有限公司,重庆市,供给良好,重庆汽车工业协会,http://www.cqauto.org.cn,,
起动机,博世中国,苏州市,供给稳定,中国汽车零部件研究中心,http://www.autoparts.cn,,
刹车片,海拉(Hella)公司,德国,供给稳定,德国汽车供应链协会,https://www.hella.com,,
车窗电动机,电装株式会社,日本东京,供给充足,日本汽车零部件协会,https://www.denso.com,,
车载信息娱乐系统,华为技术有限公司,深圳市,供给顺畅,汽车电子技术研究协会,http://www.huawei.com,,
涡轮增压器,涡轮动力科技,上海市,供给充足,中国发动机技术开发中心,http://www.turbopower.com,,
车门锁,优必选科技有限公司,广东省东莞,供给良好,智能汽车发展研究院,http://www.ubtrobotics.com,,
曲轴,上海汽车集团股份有限公司,上海市,供给稳定,中国机械工业协会,http://www.sgmw.com.cn,,
空气压缩机,美迪科技有限公司,山东省济南,供给缓解,济南工业协会,http://www.mediauto.com,,
高压油泵,福田汽车股份有限公司,北京,供给稳定,中国汽车市场信息网,http://www.foton.com.cn,,
环保催化剂,金发科技集团,广东省广州,供给良好,中国环境保护产业协会,http://www.kimfortechnology.com,,
LED车头灯,西门子（Siemens）,德国,供给稳定,国际电气工程师学会,https://www.siemens.com,,
前视雷达,农机集团,河北省石家庄,供给充足,中国智能驾驶协会,http://www.roadtech.com,,
后驱动轴,长春一汽集团,吉林省长春,供给稳定,中国汽车工业协会,http://www.carinformation.com,,
车速传感器,天合汽车系统,江苏省无锡,供给紧张,汽车电子发展平台,http://www.trw.com,,
智能钥匙系统,东风汽车公司,湖北省武汉,供给缓解,中国汽车产业发展报告,http://www.dongfeng-auto.com,,
防撞梁,山东高华科技有限公司,山东省德州,供给良好,中国汽车安全技术协会,http://www.gohigh.com.cn,,
刹车片,福特汽车公司,美国密歇根州,供给稳定,汽车安全研究所,https://www.iihs.org,,
油泵,日立汽车系统有限公司,日本东京,供给良好,日本汽车工业协会,https://www.jama.or.jp,,
电动助力转向系统,博世电动技术有限公司,德国斯图加特,供给紧张,欧洲汽车配件制造商协会,https://www.eama.org,,
冷却系统,中国内燃机工业有限公司,广州,供给稳定,中国汽车制造协会,https://www.cama.org.cn,,
车载导航系统,华为技术有限公司,深圳,供给缓解,中国智能交通协会,https://www.cits.net.cn,,
LED车灯,飞利浦照明公司,荷兰阿姆斯特丹,稳定供给,国际汽车灯具协会,https://www.ialta.org,,
变速箱,捷豹路虎汽车有限公司,英国伍斯特,供给紧张,英国汽车制造联会,https://www.sae.org.uk,,
涡轮增压喷油器,大陆集团股份公司,德国汉诺威,供给良好,国际涡轮增压技术论坛,https://www.turbo-forum.org,,
高压燃料泵,万里扬汽车零部件股份有限公司,四川省成都,供给稳定,中国汽车零部件产业发展报告,https://www.chinaautopartsreport.com,,
安全气囊,塔塔汽车公司,印度孟买,供给良好,印度汽车协会,https://www.automotiveinindia.com,,
后视镜,舍弗勒集团,德国纽伦堡,供给稳定,欧洲汽车零部件协会,https://www.gtai.de,,
车载音响系统,索尼公司,日本东京,供给缓解,音频技术协会,https://www.aes.org,,
机油过滤器,曼牌滤清器公司,德国埃尔福特,供给稳定,德国汽车零部件协会,https://www.mahle.com,,
车身架构,奇瑞汽车股份有限公司,安徽省芜湖,供给良好,中国出口汽车发展报告,https://www.chery.com,,
催化转换器,巴卡特汽车排放系统,美国加州,供给紧张,全球汽车环保论坛,https://www.globalcarforum.org,,
刹车助力器,通用汽车公司,美国底特律,供给稳定,美国汽车制造商协会,https://www.americanmanufacturing.org,,
座椅安全带,丰田汽车工业,日本名古屋,供给缓解,自动驾驶及安全研究机构,https://www.automobilesafety.org,,
发动机控制单元,恩智浦半导体,荷兰埃因霍温,供给稳定,国际半导体协会,https://www.semiconductors.org,,
车轴,一汽集团,长春,供给稳定,中国汽车工业协会,https://www.caam.org.cn,,
电动机,广东省电机厂,广东省广州,供给充足,中国电机工程学会,http://www.csee.org.cn,,
车载导航系统,大华股份有限公司,浙江省杭州市,供给良好,中国电子技术协会,https://www.cetech.org.cn,,
电池管理系统,宁德时代新能源科技股份有限公司,福建省宁德,供给稳定,新能源电池行业报告,https://www.catl.com,,
空气悬挂系统,埃尔法橡塑有限公司,江苏省南京,供给紧张,国际汽车零部件协会,https://www.sae.org,,
传感器模块,苏州光达科技有限公司,江苏省苏州,供给稳定,中国传感器产业发展报告,https://www.sensor.org.cn,,
减震器,千里马汽车零部件有限公司,上海,供给充足,中国汽车工业协会,https://www.caam.org.cn,,
发动机控制单元,博世（中国）投资有限公司,上海,供给稳定,汽车控制技术论坛,https://www.bosch.com.cn,,
燃油喷射系统,德尔福汽车系统（中国）,安徽省合肥,供给良好,中国汽车工程学会,https://www.cae.org.cn,,
涡轮增压器,霍尼韦尔国际有限公司,美国,供给稳定,国际汽车动力系统期刊,https://www.honeywell.com,,
车载摄像头,深圳光谱科技有限公司,广东省深圳,供给紧张,中国光电行业协会,https://www.optics.org.cn,,
电池组,青岛海尔能源科技有限公司,山东省青岛,供给缓解,可再生能源产业发展报告,https://www.haier.com,,
进气歧管,天津力神汽车配件有限公司,天津,供给稳定,中国汽车零部件协会,https://www.caam.org.cn,,
主动安全系统,华为技术有限公司,深圳,供给良好,国际智能汽车论坛,https://www.huawei.com,,
制动盘,休斯顿汽车配件中心,美国德克萨斯,供给稳定,国际汽车制造协会,https://www.sae.org,,
液压系统,中联重科股份有限公司,湖南省长沙,供给充足,中国液压行业协会,https://www.zlzt.com,,
车载电脑,美的集团,广东省佛山,供给稳定,中国智能硬件联会,https://www.midea.com,,
遥控钥匙,比亚迪汽车股份有限公司,深圳,供给良好,中国电动车产业协会,https://www.byd.com,,
液压泵,沈阳机床股份有限公司,辽宁省沈阳,供给充足,中国机械工业联合会,http://www.cpmt.org.cn,,
电动机,上海电气集团股份公司,上海,供给稳定,中国电机工程学会,https://www.csee.org.cn,,
刹车片,中车株洲电力机车研究所,湖南省株洲,供给紧张,中国汽车配件行业网,http://www.cnautomobileparts.com,,
车门,吉利汽车集团,浙江省杭州市,供给稳定,汽车产业研究网,http://www.autoresearch.cn,,
发动机控制单元(ECU),大陆集团,德国,供给良好,国际汽车工程师协会,https://www.sae.org,,
车载信息娱乐系统,福特汽车公司,美国,供给缓解,美国汽车协会,https://www.aaa.com,,
电池管理系统,比亚迪股份有限公司,广东省深圳,供给稳定,国际电动车产业协会,https://www.ieee.org,,
车身控制模块,东风汽车公司,湖北省武汉,供给紧张,中国汽车电子协会,http://www.caesa.org.cn,,
冷却液泵,瑞典SKF集团,瑞典,稳定供给,国际机械工程师协会,https://www.imeche.org,,
油泵,中海油能源发展有限公司,广东省广州,供给良好,中国石油和化学工业联合会,http://www.cpcia.org.cn,,
转向助力系统,日本电装株式会社,日本,供给持续,日本汽车工业协会,https://www.jama.or.jp,,
传感器,华为技术有限公司,广东省深圳,供给充足,全球汽车电子市场分析报告,https://www.huawei.com,,
轮胎,米其林集团,法国,供给稳定,国际轮胎工业协会,https://www.itma.org,,
车桥,韶关市汽车零部件有限公司,广东省韶关,供给充足,中国汽车工业协会,https://www.caam.org.cn,,
空气压缩机,开山股份有限公司,浙江省温州,供给稳定,中国机械工程协会,http://www.cmeia.org.cn,,
涡轮加载器,卡特彼勒公司,美国,供给缓解,国际发动机制造协会,https://www.ime.org,,
传动系统,一汽解放汽车有限公司,吉林省长春,供给良好,中国重型汽车工业协会,http://www.cmhita.org.cn,,
车载网络控制器,华为技术有限公司,广东省深圳,供给稳定,汽车网络技术协会,http://www.cnauto.net,,
电动助力转向系统,广州汽车集团股份有限公司,广州,供给稳定,中国汽车产业协会,https://www.caam.org.cn,,
高压油泵,上海柴油机股份有限公司,上海,供给良好,中国内燃机工业协会,http://www.ciea.org.cn,,
车载娱乐系统,华为技术有限公司,深圳,稳定供给,华为官网,https://www.huawei.com,,
前端灯具,佛山市照明科技有限公司,佛山,供给紧张,中国照明电器协会,http://www.clea.org.cn,,
排气管,万向集团,杭州,供给稳定,中国汽车排气系统协会,http://www.caex.org.cn,,
冷却系统,江铃汽车股份有限公司,南昌,供给良好,汽车工业报,http://www.autoinfo.cn,,
电池管理系统,比亚迪股份有限公司,深圳,供给稳定,比亚迪官网,https://www.byd.com,,
车桥,一汽解放汽车有限公司,长春,供给缓解,中国重型汽车工业协会,http://www.chinaheavytruck.org,,
轮胎气压监测系统,宁波轮胎科技有限公司,宁波,供给稳定,中国轮胎工业协会,http://www.ctia.org.cn,,
车身控制模块,德赛西威汽车电子有限公司,深圳,供给良好,中国汽车电子行业协会,http://www.caica.org.cn,,
发动机控制单元,英特尔（中国）有限公司,北京,供给稳定,计算机与汽车联合发展论坛,http://www.intel.cn,,
刹车片,福特汽车（中国）有限公司,郑州,供给稳定,中国汽车制动系统协会,http://www.cabs.org.cn,,
铝合金车身,奥迪汽车（中国）有限公司,上海,供给良好,国际汽车制造商协会,http://www.oica.net,,
电机驱动系统,四川长虹电器股份有限公司,绵阳,供给紧张,中国电动汽车传播协会,http://www.ccev.org.cn,,
高压蓄电池,中航锂电科技有限公司,天津,供给稳定,中国锂电池产业发展报告,http://www.clia.org.cn,,
排气歧管,上汽集团,上海,供给良好,上海汽车工程研究院,http://www.saeasi.org.cn,,
安全气囊,广汽集团,广州,供给稳定,中国汽车安全协会,http://www.carsafety.org.cn,,
车载定位系统,宁德时代新能源科技股份有限公司,宁德,供给缓解,宁德时代研发报告,https://www.catl.com,,
智能传感器,中科院自动化研究所,北京,供给良好,中国智慧交通协会,http://www.smarttransportation.cn,,
电动机,西门子（中国）有限公司,上海,供给稳定,中国电气工程学会,http://www.csee.org.cn,,
发动机控制模块,德尔福科技股份有限公司,苏州,供给良好,汽车电子行业协会,https://www.aes.org.cn,,
液压泵,博世力士乐公司,徐州,供给紧张,液压与传动设备网,http://www.hydraulic.com,,
车载导航系统,宁波宇视科技有限公司,浙江省宁波,供给稳定,智能车辆产业发展报告,https://www.uniview.com,,
转向机,长春一汽集团,长春,供给缓解,中国汽车企业安全生产报告,https://www.faw.com.cn,,
发动机缸盖,重庆机电控股集团,重庆,供给稳定,中国机电产品进出口商会,http://www.cmec.org.cn,,
冷却系统,江铃汽车股份有限公司,南昌,供给良好,中国汽车配件行业协会,https://www.jmc.com.cn,,
排气系统,玛吉斯轮胎（中国）有限公司,泰州,供给紧张,排气行业技术协会,https://www.maxxis.com,,
车载传感器,海尔集团,青岛,供给稳定,智能传感器网络,http://www.haier.com,,
自动变速器,广汽集团,广州,供给良好,广州汽车产业协会,http://www.gacgroup.com,,
电池管理系统,鹏辉能源科技股份有限公司,深圳,供给缓解,动力电池行业协会,https://www.penghuitech.com,,
悬挂系统,庆铃汽车股份有限公司,武义,供给稳定,中国汽车维修与保养协会,http://www.qingling.com.cn,,
电动助力转向系统,泰克（中国）科技有限公司,杭州,供给良好,智能汽车工程研究院,http://www.tech.com.cn,,
轮胎气压监测系统,大陆集团,德国,供给稳定,欧洲汽车安全协会,https://www.continental.com,,
空气压缩机,康明斯公司,沈阳,供给紧张,康明斯官网,http://www.cummins.com,,
导航雷达,なだる技研株式会社,东京,供给稳定,日本汽车工业协会,http://www.nadaur.com,,
电池组,比亚迪股份有限公司,深圳,供给优良,中国新能源车协会,http://www.byd.com,,
悬挂系统,东风汽车公司,武汉,供给良好,中国汽车工业协会,https://www.caam.org.cn,,
电动机,比亚迪股份有限公司,深圳,供给稳定,中国电动车发展报告,https://www.byd.com,,
空气压缩机,阿特拉斯·科普柯,瑞典,供给紧张,国际设备工程师协会,https://www.atlascopco.com,,
制动器,日本电产株式会社,东京,供给稳定,日本汽车制造商协会,https://www.jama.or.jp,,
车载导航系统,华为技术有限公司,深圳,供给可靠,华为官方发布,https://www.huawei.com,,
车身结构件,青岛中车轨道交通装备有限公司,青岛,供给良好,中国轨道交通发展报告,http://www.crrcgc.cc,,
LED灯具,丽驰科技有限公司,南京,供给稳定,中国汽车轻量化协会,https://www.liteon.com,,
内饰件,福田汽车集团,北京,供给正常,中国汽车消费市场报告,http://www.foton.com.cn,,
铝合金轮毂,海马汽车有限公司,福州,供给逐步恢复,铝业行业发展报道,http://www.haima.com,,
变速机械,曼公司,德国,供给稳定,国际汽车技术协会,https://www.mann-hummel.com,,
油冷却器,德尔福汽车有限公司,美国,供给紧张,全球汽车供应链分析报告,https://www.delphi.com,,
冲压件,广汽集团,广州,供给稳定,中国汽车行业发展分析,http://www.gacgroup.com,,
智能胎压监测系统,米其林,法国,供给可靠,欧洲汽车安全协会,https://www.michelin.com,,
电池温控系统,特斯拉,加州,供给稳定,美国汽车市场研究,https://www.tesla.com,,
马达控制器,瑞萨电子,日本,供给良好,全球半导体产业分析,https://www.renesas.com,,
车载音响系统,先锋电子,日本,供给持续,音响技术与市场研究,https://www.pioneer.com,,
集成电路芯片,中兴通讯,深圳,供给变动,中国电子行业协会,http://www.zte.com.cn,,
导向轮,克劳斯玛菲,德国,供给充足,先进制造技术协会,https://www.kraussmaffei.com,,
车载 HUD 显示器,大陆集团,德国,供给稳定,汽车电子协会,https://www.continental.com,,
电动助力转向系统,南京红旗汽车零部件有限公司,南京,供给稳定,中国汽车零部件工业协会,https://www.caam.org.cn,,
车载导航系统,海信集团,青岛,供给紧张,中国智能家居产业协会,http://www.china-smart-home.org,,
激光焊接设备,武汉光电科技股份有限公司,武汉,供给良好,中国激光行业协会,http://www.clia.org.cn,,
电动机,博世电气有限公司,德国,稳定供给,全球电气与电子行业协会,https://www.ieee.org,,
铝合金车身外壳,中铝集团有限公司,北京,供给充足,中国铝业官网,http://www.chalco.com.cn,,
高压共轨喷油系统,安波福公司,美国,供给稳定,全球汽车零部件发展报告,https://www.aptiv.com,,
车载无线充电器,中兴通讯股份有限公司,深圳,供给紧张,中国无线科技发展联盟,http://www.cwta.org.cn,,
刹车片,亨利特制动器制造有限公司,美国,供给稳定,美国汽车维修协会,https://www.sae.org,,
传感器模块,华为技术有限公司,深圳,供给良好,中国电子信息产业发展研究院,http://www.ceid.gov.cn,,
氢燃料电池,宁德时代新能源科技股份有限公司,宁德,供给稳定,美国能源部,https://www.energy.gov,,
驾驶辅助系统,特斯拉公司,美国,供给充足,特斯拉官方报告,https://www.tesla.com,,
汽车车窗玻璃,福耀玻璃工业集团,福州,供给稳定,福耀玻璃官网,http://www.fuyaoglass.com,,
避震器,日本佳美减震器株式会社,日本,供给稳定,日本机械工业协会,https://www.jmf.or.jp,,
电池管理系统,比亚迪电子,深圳,供给良好,中国电动车发展报告,http://www.byd.com,,
车灯,华灯科技有限公司,无锡,供给稳定,中国汽车照明协会,http://www.cala.org.cn,,
轮胎压力监测系统,米其林公司,法国,供给紧张,国际轮胎协会,https://www.michelin.com,,
碳纤维部件,机械工业集团公司,北京,供给稳定,中国汽车轻量化协会,http://www.cnlta.org.cn,,
燃油喷射系统,惠普气动公司,德国,供给良好,国际汽车工程师协会,https://www.sae.org,,
电子控制单元 (ECU),安波福科技有限公司,美国,供给稳定,汽车电子专业委员会,https://www.eda.org,,
电动机,广东东阳电机有限公司,广东省东莞,供给稳定,中国电气工业协会,http://www.ceia.org.cn,,
轮辋,青岛轮胎有限公司,山东省青岛,供给充足,中国汽车工业协会,https://www.caam.org.cn,,
动力转向系统,江铃汽车股份有限公司,江西省南昌,供给良好,中国汽车工程学会,https://www.cae.org.cn,,
燃油泵,国内燃油泵科技有限公司,浙江省杭州,供给紧张,汽车零部件行业数据发布,http://www.auto-part.org.cn,,
发动机控制单元,法雷奥汽车系统有限公司,法国巴黎,供给稳定,国际汽车电子工程师协会,https://www.iaes.org,,
空调压缩机,海拉公司,德国,供给缓解,德国汽车行业协会,https://www.vda.de,,
车载导航系统,华为技术有限公司,深圳,供给稳定,华为汽车部件发布,https://www.huawei.com,,
减震器,伟巴斯特公司,德国,供给良好,欧洲汽车零部件产业分析,https://www.wabco-auto.com,,
车灯,博西家电有限公司,上海,稳定供给,智能交通协会,https://www.its.org.cn,,
刹车片,日立汽车系统有限公司,日本东京,供给良好,日本汽车工业协会,https://www.jamaa.or.jp,,
电池管理系统,华新能源科技公司,北京,供给紧张,新能源车发展大会,http://www.newenergycar.org.cn,,
气缸盖,中汽集团,天津市,供给稳定,中国汽车制造业年报,https://www.china-auto.org,,
涡轮增压发动机,特斯拉汽车公司,美国加州,供给好转,电动车市场分析报告,https://www.tesla.com,,
传感器模块,ABB集团,瑞士,供给良好,国际自动化工程协会,https://global.abb,,
车身控制模块,汽车电子有限公司,苏州市,供给稳定,中国电气电子协会,http://www.ceea.org.cn,,
内饰材料,现代汽车公司,韩国首尔,供给有所缓解,全球汽车市场报告,https://www.hyundai.com,,
车轮胎,米其林轮胎有限公司,法国,供给稳定,国际轮胎制造商协会,https://www.michelin.com,,
行车记录仪,360安全科技有限公司,北京,供给良好,电子产品杂志,https://www.electronicproducts.com,,
传动系统,采埃孚公司,德国,供给稳定,德国汽车工程师协会,https://www.zf.com,,
车顶行李架,丽华科技有限公司,昆山,供给缓解,中国汽车零件大数据中心,http://www.auto-data.org.cn,,
电动机,广东华晨电机有限公司,广东省东莞,供给稳定,中国电机工程学会,http://www.csem.org.cn,,
LED显示屏,深圳市先锋科技有限公司,深圳,供给紧张,中国显示行业协会,http://www.cida.com.cn,,
刹车片,蒂森克虏伯集团,德国,供给良好,国际刹车系统协会,https://www.tmdfriction.com,,
涡轮增压器,三菱重工机械有限公司,日本,供给稳定,日本汽车制造商协会,http://www.jama.or.jp,,
导航系统,华为技术有限公司,深圳,供给缓解,中国信息通信研究院,http://www.caiic.gov.cn,,
轮毂,利姆工厂,斯洛文尼亚,供给稳定,欧洲汽车零部件协会,http://www.cea-automotive.eu,,
机油滤清器,曼滤清器公司,德国,供给稳定,国际汽车工程师协会,https://www.mahle.com,,
空调压缩机,江森自控科技集团,合肥,供给良好,中国汽车工程学会,http://www.cae.cn,,
混合动力系统,奇瑞汽车股份有限公司,芜湖,供给稳定,绿色能源汽车研究所,http://www.greenauto.org.cn,,
电子助力转向系统,博世集团,德国,供给紧张,国际汽车电子协会,https://www.bosch.com,,
电池管理系统,比亚迪公司,深圳,供给良好,中国电动汽车协会,http://www.chinaev.org.cn,,
车载计算机,联想集团,北京,供给稳定,中国信息产业部,http://www.miit.gov.cn,,
涡轮增压发动机,长城汽车股份有限公司,保定,供给稳定,中国汽车工业研究院,http://www.cari.com.cn,,
动力转向泵,江淮汽车,合肥,供给缓解,中国汽车生产商协会,http://www.caas.com.cn,,
传感器模块,中兴通讯,深圳,供给增强,中国传感器行业协会,http://www.csia.com.cn,,
牵引电机,特斯拉有限公司,加州，USA,供给紧张,特斯拉投资者关系,https://ir.tesla.com,,
动力电池模组,国轩高科股份有限公司,合肥,供给稳定,新能源产业发展报告,http://www.gotion.com.cn,,
智能后视镜,小米科技有限公司,北京,供给良好,科技创新研究院,http://www.smarter.org.cn,,
安全气囊,东京电机公司,日本,供给稳定,日本汽车安全协会,http://www.nasva.go.jp,,
车载摄像头,海康威视,杭州,供给增强,中国视频监控行业协会,http://www.hikvision.com,,
电动助力转向器,东风汽车公司,武汉,供给良好,武汉汽车研究院,http://www.dongfeng.com,,
电子制动系统,倍耐力（中国）投资有限公司,苏州,供给稳定,国内汽车零部件市场报告,http://www.pirelli.com,,
后桥,华晨宝马汽车有限公司,沈阳,供给紧张,中国汽车蓝皮书,http://www.bmw.brilliance.com.cn,,
电池管理系统,比亚迪电子有限公司,深圳,供给稳定,新能源产业观察,https://www.byd.com,,
空调压缩机,美的集团,佛山,供给充足,中国家电行业协会,http://www.midea.com,,
电动机,华为技术有限公司,广州,供给缓解,智能交通产业论坛,https://www.huawei.com,,
充电桩,特斯拉（中国）有限公司,上海,供给稳定,电动车发展报告,https://www.tesla.com,,
导轨,富士电机株式会社,东京,供给充足,日本自动化产业协会,https://www.fujielectric.com,,
发动机控制单元,恩智浦半导体有限公司,上海,供给稳定,汽车电子产业发展报告,https://www.nxp.com,,
轮胎压力监测系统,中策橡胶股份有限公司,宁波,供给良好,中国橡胶工业协会,http://www.zc-rubber.com,,
车载导航系统,百度公司,北京,供给稳定,智能汽车解决方案大会,http://www.baidu.com,,
发动机冷却液,壳牌石油公司,上海,供给良好,全球润滑油市场报告,http://www.shell.com,,
挡风玻璃,李尔公司,陕西省西安,供给稳定,汽车玻璃行业协会,http://www.lear.com,,
燃油喷射系统,电装（中国）有限公司,上海,供给紧张,国际汽车技术展,https://www.denso.com,,
车载音响系统,哈曼国际,苏州,供给充足,消费电子展览会,http://www.harman.com,,
电动滑门系统,梅赛德斯-奔驰,北京,供给稳定,汽车制造部件展,http://www.mercedes-benz.com,,
高压油泵,江铃汽车控股有限公司,江西省南昌,供给紧张,中国汽车动力系统研究中心,http://www.jmc.com.cn,,
缸体,一汽解放汽车有限公司,吉林省长春,供给稳定,汽车制造月刊,http://www.jiefang.com,,
电池包,LG化学,宁波,供给良好,电动汽车创新论坛,http://www.lgchem.com,,
变速器控制模块,自动化工业公司,深圳,供给稳定,工业自动化年会,http://www.automation.com,,
电子控制单元,华为技术有限公司,深圳,供给稳定,中国电子信息产业发展促进会,http://www.ceia.org.cn,,
刹车片,亚太汽车技术有限公司,浙江省宁波,供给紧张,中国汽车零部件行业协会,http://www.auto-part.org.cn,,
涡轮增压器,其他汽车配件有限公司,西安,供给良好,汽车动力研究中心,http://www.autoengineeringcenter.cn,,
电动机,施耐德电气,法国,略有减少,国际电气与电子工程师协会,https://www.ieee.org,,
充电模块,比亚迪股份有限公司,广东省深圳,供给稳定,中国新能源产业发展白皮书,http://www.byd.com,,
车载显示屏,京东方科技集团股份有限公司,北京,供给充足,中国显示产业协会,http://www.display.org.cn,,
动力电池管理系统,宁德时代新能源科技股份有限公司,福建省宁德,供给稳定,中国电池产业技术创新战略联盟,https://www.catl.com,,
车身模块,长安汽车股份有限公司,重庆,供给稳定,中国汽车生产力促进中心,http://www.changan.com.cn,,
变速器控制单元,敏实集团,江苏省苏州,供给良好,中国汽车工程学会,http://www.cae.org.cn,,
驾驶辅助系统,地平线机器人公司,北京,供给紧张,中国智能驾驶产业发展报告,http://www.horizon.ai,,
汽车音响系统,博世集团,德国,供给稳定,国际音频技术协会,https://www.bosch.com,,
风扇,美的集团有限公司,广东省佛山,供给充足,中国家电协会,http://www.cheaa.com,,
排气系统,万里扬股份有限公司,山西省太原,供给稳定,中国排气技术研究中心,http://www.wanliyang.com,,
空调压缩机,格力电器股份有限公司,广东省珠海,供给良好,中国暖通空调行业协会,http://www.grupp.com,,
传感器模块,立讯精密工业股份有限公司,江苏省无锡,供给紧张,中国智能制造协会,http://www.luxshare-ict.com,,
手动变速器,东风汽车公司,湖北省武汉,供给稳定,中国汽车生产商联合会,http://www.dfmc.com.cn,,
电气连接器,康普科技股份有限公司,深圳,供给稳定,中国电子材料协会,http://www.commscope.com,,
车载无线充电器,亿纬锂能科技股份有限公司,河南省漯河,供给良好,中国新能源汽车产业联盟,http://www.evergrande.com,,
电动刹车系统,华域汽车系统股份有限公司,上海,供给稳定,中国汽车工程学会,http://www.cae.org.cn,,
电池管理系统,宁德时代新能源科技股份有限公司,宁德,供给紧张,全球新能源科技论坛,https://www.altenergymag.com,,
车载导航系统,华为技术有限公司,深圳,供给良好,电子工程师协会,https://www.electronicsweekly.com,,
涡轮增压器,博格华纳（中国）有限公司,南京,供给稳定,全球动力系统大会,https://www.borgwarner.com,,
液压泵,泵阀股份有限公司,四川省成都,供给充足,中国液压气动密封行业协会,http://www.china-hydraulic.org.cn,,
发电机,大连发电设备集团,辽宁省大连,供给稳定,中国电力设备总公司,http://www.cdee.com.cn,,
车身模具,万丰汽车零部件有限公司,浙江省宁波,供给良好,汽车制造技术杂志,http://www.automanufacturer.com,,
轮胎,米其林（中国）投资有限公司,广州,供给充足,中国轮胎产业发展报告,http://www.michelin.com,,
智能驾驶仪,小米自动驾驶科技有限公司,北京,供给稳定,中国智能交通协会,http://www.chinatraffic.com,,
安全气囊,特斯拉（中国）,上海,供给缓解,中国汽车安全保障协会,https://www.tesla.com,,
冷却液,壳牌石油（中国）,广东省珠海,供给稳定,全国汽车化学品研究院,http://www.shell.com.cn,,
变速箱油,艾克汽车科技有限公司,深圳,供给良好,国际自动化与控制协会,http://www.ics.org,,
刹车片,正新橡胶工业有限公司,福建省泉州,供给稳定,中国摩托车协会,http://www.chinacoop.com,,
方向盘,郑州日产汽车有限公司,河南省郑州,供给紧张,中国汽车产业供应链联盟,https://www.nissan.com.cn,,
电动助力转向系统,万达汽车部件有限公司,上海,供给稳定,汽车智能化研究中心,http://www.autointelligence.org,,
黑科技传感器,Sense Technologies,台北,供给充足,全球电子产品展览会,http://www.sensetechnologies.com,,
高性能电池,松下电器（中国）有限公司,天津,供给良好,中国能源研究院,http://www.panasonic.com.cn,,
电动助力转向,佛吉亚公司,广州,供给紧张,中国汽车行业年度报告,https://www.cai.org.cn,,
车载导航系统,华为技术有限公司,深圳,供给良好,华为官方公告,https://www.huawei.com,,
车身控制模块,德尔福科技,江苏省无锡,供给稳定,江苏省汽车工业协会,http://www.jsia.org.cn,,
高效电机,比亚迪股份有限公司,深圳,供给缓解,电动汽车市场月报,https://www.byd.com,,
涡轮增压发动机,一汽轿车股份有限公司,长春,供给稳定,中国汽车科技期刊,http://www.cata.org.cn,,
智能安全气囊,日本太平洋汽车部件公司,东京,供给良好,国际汽车安全研究中心,https://www.iihs.org,,
新能源车充电模块,上海电气集团,上海,供给紧张,上海能源与电力研究院,http://www.sepri.org.cn,,
车载娱乐系统,索尼公司,东京,供给稳定,日本汽车电子行业协会,https://www.sony.com,,
高强度车身材料,安赛乐米塔尔,马来西亚,供给良好,全球材料科学文献,https://www.aram.com,,
自动变速器,采埃孚集团,德国,供给稳定,国际汽车工程师学会,https://www.zf.com,,
高速行驶传感器,瑞萨电子,东京,供给缓解,日本半导体产业协会,https://www.renesas.com,,
氢燃料电池,丰田汽车公司,名古屋,供给稳定,丰田官方报告,https://www.toyota-global.com,,
车载通信模块,高通公司,美国圣迭戈,供给良好,产业数字化转型研究中心,https://www.qualcomm.com,,
行车记录仪,大华股份有限公司,浙江省杭州,供给稳定,中国电子产品发展协会,http://www.dahuatech.com,,
电池管理系统,A123系统公司,美国马萨诸塞州,供给良好,国际能源署,https://www.a123systems.com,,
液压系统,意大利伽利略工业公司,罗马,供给稳定,欧洲汽车厂家协会,http://www.acea.be,,
冷却系统,长安汽车集团,重庆,供给缓解,中国汽车零部件市场分析,https://www.changan.com.cn,,
车桥,沃尔沃集团,瑞典,供给良好,国际商用车协会,https://www.volvo.com,,
刹车盘,博世集团,德国,供给稳定,德国汽车工业协会,https://www.bosch.com,,
电动转向机,东风汽车股份有限公司,武汉,供给稳定,中国汽车零部件产业协会,https://www.caam.org.cn,,
动力总成,福特汽车中国有限公司,长安,供给良好,福特公司官网,https://www.ford.com.cn,,
