蜂窝通信网络名称（字符型）,通信技术（字符型）,传输速度（字符型）,通信距离（字符型）,成本（字符型）,应用领域（字符型）,采集来源,来源链接,采集时间,备注
Fifth Generation Broadcast,5G,250 Mbps,不限,高,广播、媒体流,NAB,https://www.nab.org/,,
MEBP,5G,50 Gbps,最长300公里,高,城市基础设施、无人驾驶,IEEE,https://www.ieee.org/,,
LWi-Fi,5G,600 Mbps,最长100米,中,公共场所Wi-Fi,Cisco,https://www.cisco.com/,,
4G IoT,4G,30 Mbps,最长5公里,低,智能家居、远程监控,Telit,https://www.telit.com/,,
Private 5G,5G,1 Gbps,最长2公里,高,企业网络、工业自动化,Dell,https://www.dell.com/,,
LTE-U,4G,150 Mbps,最长20公里,中,移动宽带服务,博通,https://www.broadcom.com/,,
5G Fixed Wireless,5G,1 Gbps,最长300米,中,家庭宽带接入,ATEA Group,https://www.atea.com/,,
GSM-R,2G,9.6 kbps,最长50公里,低,铁路通信、运输管理,国际铁路联盟,https://uic.org/,,
D2D Communication,5G,200 Mbps,最长100米,中,近场通信、实时游戏,MIT Technology Review,https://www.technologyreview.com/,,
NBN 5G,5G,1 Gbps,最长150米,中,智能家居、视频监控,NBN Co.,https://www.nbnco.com.au,,
LTE-LA,4G,600 Mbps,最长40公里,高,高速移动互联网,华为,https://www.huawei.com,,
NB-IoT,LPWA,250 kbps,最长20公里,低,智能城市、环境监测,GSMA,https://www.gsma.com,,
WiMAX,4G,75 Mbps,最长30公里,中,城市互联网接入,IEEE,https://www.ieee.org,,
5G NR,5G,2 Gbps,最长250米,高,增强现实、虚拟现实,ITU,https://www.itu.int,,
GSM,2G,10-50 kbps,最长35公里,低,语音通话、基本数据服务,ETSI,https://www.etsi.org,,
TDSCDMA,3G,2 Mbps,最长20公里,中,视频通话、高速数据服务,中国联通,https://www.10010.com,,
EtherCAT 5G,5G,800 Mbps,最长200米,中,工业自动化,Intel,https://www.intel.com,,
DataBox 5G,5G,1.5 Gbps,不限,高,云计算、数据中心,Amazon Web Services,https://aws.amazon.com,,
4G LTE CAT-M1,LPWA,300 kbps,最长10公里,低,物联网设备连接,联发科技,https://www.mediatek.com,,
5G FWA,5G,500 Mbps,最长300米,中,家庭宽带、农村接入,Verizon,https://www.verizon.com,,
CDMA2000,3G,1 Mbps,最长25公里,中,手机服务、数据传输,Sprint,https://www.sprint.com,,
5G SA,5G,3 Gbps,最长100米,高,车联网、无人驾驶,Nokia,https://www.nokia.com,,
LoRaWAN,LPWA,50 kbps,最长15公里,低,智能农业、传感器网络,Semtech,https://www.semtech.com,,
6G Vision,6G,10 Gbps,最长50米,高,未来通信技术、超高频应用,ITU-R,https://www.itu.int/en/ITU-R/Pages/default.aspx,,
Fractal 5G,5G,4 Gbps,不限,高,智慧城市、可持续发展,Ericsson,https://www.ericsson.com,,
Mesh 5G,5G,800 Mbps,最长200米,中,城市覆盖、移动设备连接,T-Mobile,https://www.t-mobile.com,,
NBIoT,LPWA,250 kbps,最长30公里,低,智能城市、环境监测,GSMA,https://www.gsma.com/,,
6G Experimental,6G,1 Tbps,不定,高,全息通信、虚拟现实,华为,https://www.huawei.com/,,
LoRaWAN,LPWAN,50 kbps,最长15公里,低,智能农业、资产追踪,LoRa Alliance,https://lora-alliance.org/,,
LTE-A,4G,300 Mbps,最长10公里,中,高清视频流、移动游戏,爱立信,https://www.ericsson.com/,,
Cat-M1,LPWA,1 Mbps,最长20公里,中,物联网、远程监控,Telit,https://www.telit.com/,,
4G LTE,4G,100 Mbps,最长5公里,低,移动互联网、电话服务,联通,https://www.chinaunicom.com/,,
Wi-Fi 6,Wi-Fi,9.6 Gbps,最大200米,中,家庭网络、企业网络,IEEE,https://www.ieee.org/,,
TDD-LTE,4G,100 Mbps,最长5公里,中,城市网络、流媒体,中国信通院,https://www.caict.ac.cn/,,
V2X,5G,300 Mbps,最大1公里,高,交通管理、自动驾驶,NHTSA,https://www.nhtsa.gov/,,
CBRS,4G/5G,1 Gbps,最长3公里,中,小型企业、住宅WiFi,FCC,https://www.fcc.gov/,,
FDD-LTE,4G,150 Mbps,最长15公里,中,移动通讯、数据传输,中兴通讯,https://www.zte.com.cn/,,
5G NR,5G,10 Gbps,最大500米,高,次世代网络、增强现实,高通,https://www.qualcomm.com/,,
WiMAX,4G,50 Mbps,最长5公里,低,街道网络、公共服务,Clearwire,https://www.clearwire.com/,,
mMTC,5G,150 kbps,最长20公里,低,智能传感器、工业物联网,Vodafone,https://www.vodafone.com/,,
Private LTE,4G,100 Mbps,最长10公里,高,企业通信、保障网络,AT&T,https://www.att.com/,,
Smart City Network,5G,500 Mbps,最大2公里,中,智能城市服务、数据分析,City of New York,https://www.nyc.gov/,,
Connected Cars Network,5G,400 Mbps,最大100米,中,车联网、交通安全,Daimler,https://www.daimler.com/,,
Emergency Services Network,4G,50 Mbps,不定,高,紧急响应、救援行动,Department of Homeland Security,https://www.dhs.gov/,,
6G NR,6G,1 Tbps,最长500米,高,虚拟现实、自动驾驶车辆,IEEE,https://www.ieee.org/,,
NB-IoT,LPWAN,200 kbps,最远10公里,低,智能城市、表计监测,3GPP,https://www.3gpp.org/,,
Cat-M1,LTE,300 kbps,最远15公里,中,可穿戴设备、智能家居,Verizon,https://www.verizon.com/,,
5G DSS,5G,1 Gbps,最长1公里,中,移动宽带、视频直播,Nokia,https://www.nokia.com/,,
TDD-LTE,4G,150 Mbps,最远5公里,中,视频通话、全景直播,中国联通,https://www.chinaunicom.com/,,
5G FWA,5G,500 Mbps,最远1公里,高,家庭宽带、企业网络,AT&T,https://www.att.com/,,
HSPA,3G,21 Mbps,最远30公里,低,移动邮件、网页浏览,中国电信,https://www.chinad Telecom.com/,,
4G LTE,4G,100 Mbps,最远10公里,中,网络游戏、现场活动直播,T-Mobile,https://www.t-mobile.com/,,
GSM,2G,64 kbps,最远35公里,低,语音通话、文本消息,中国移动,https://www.chinamobile.com/,,
UWB,无线技术,1-2 Gbps,最长30米,中,室内定位、智能锁,Sigfox,https://www.sigfox.com/,,
WiMAX,4G,70 Mbps,最远50公里,中,城市宽带、乡村项目,Clearwire,https://www.clearwire.com/,,
Fifth Generation - V2X,5G,10 Gbps,最远500米,高,车联网、智能交通,Ford,https://www.ford.com/,,
IoT LTE,4G,300 kbps,最远12公里,低,智能农业、监控传感器,Arm,https://www.arm.com/,,
Smart 5G,5G,6 Gbps,最远100米,高,智能制造、边缘计算,Huawei,https://www.huawei.com/,,
3GPP Release 16,5G,1.5 Gbps,最远2千米,中,增强现实、虚拟现实,3GPP,https://www.3gpp.org/,,
Private 4G,4G,50 Mbps,最远20公里,中,私密通信、工业应用,Cisco,https://www.cisco.com/,,
LPWAN,LPWA,50-100 kbps,30公里,低,农业监控、环境监测,LoRa Alliance,https://lora-alliance.org/,,
WiFi 6E Cellular,WiFi 6E,1.2 Gbps,最长100米,中,家庭及小型企业网络,Broadcom,https://www.broadcom.com/,,
CBRS,4G/5G,200 Mbps,最长20公里,中,区域性网络、企业专网,FCC,https://www.fcc.gov/,,
NBIoT,LPWA,250 kbps,最长15公里,低,智能城市、环境监控,华为,https://www.huawei.com/,,
4G LTE,4G,100 Mbps,最长50公里,中,移动数据服务、视频流媒体,Verizon,https://www.verizon.com/,,
5G NR,5G,10 Gbps,最长300米,高,增强现实、虚拟现实应用,Ericsson,https://www.ericsson.com/,,
LPWAN,低功耗广域网,50 kbps,最长50公里,低,物联网设备、农业监测,Sigfox,https://www.sigfox.com/,,
HSPA,3G,21 Mbps,最长30公里,中,移动互联网、视频通话,AT&T,https://www.att.com/,,
Edge,2.75G,384 kbps,最长25公里,低,基本数据服务、邮件服务,Orange,https://www.orange.com/,,
FWA,5G,500 Mbps,最长1公里,高,固定无线接入、居民住宅,T-Mobile,https://www.t-mobile.com/,,
5G SA,5G,3 Gbps,最长500米,高,自动驾驶、工业互联网,Nokia,https://www.nokia.com/,,
TETRA,专业无线,下行最大25.6 kbps,不限,中,公共安全、应急通信,Sepura,https://www.sepura.com/,,
4G Pro,4G,600 Mbps,最长40公里,高,企业数据、视频监控,Sprint,https://www.sprint.com/,,
IoT 5G,5G,200 kbps,最长10公里,低,智能家居、遥控器应用,IoT Alliance,https://www.iot-alliance.org/,,
LAA,LTE,300 Mbps,最长15公里,中,城市公共网络、会议中心,GSMA,https://www.gsma.com/,,
Satellite LTE,LTE,50 Mbps,不限,高,海洋通讯、偏远地区,Inmarsat,https://www.inmarsat.com/,,
3GPP Rel-15,5G,超过1 Gbps,最长200米,高,高密度环境、大型场馆,3GPP,https://www.3gpp.org/,,
DSU,5G,50 Gbps,最长150米,极高,数据中心、云计算,Cisco,https://www.cisco.com/,,
NB-IoT,LPWA,250 Kbps,最长10公里,低,智能城市、远程监控,华为,https://www.huawei.com/,,
4G LTE Advanced,4G,1 Gbps,最长50公里,中,高清视频流、在线游戏,Gartner,https://www.gartner.com/,,
基于5G的无人机通信,5G,200 Mbps,不限,高,农业监控、环境监测,德勤,https://www2.deloitte.com/,,
未来6G,6G,10 Gbps,不限,高,全息通信、虚拟现实,ITU,https://www.itu.int/,,
CDMA2000,3G,384 Kbps,最长20公里,中,移动电话、数据服务,IEEE,https://www.ieee.org/,,
WiMAX,4G,70 Mbps,最长50公里,中,宽带互联网接入,清华大学,https://www.tsinghua.edu.cn/,,
LoRaWAN,LPWA,50 Kbps,最长15公里,低,智能农业、环境监测,Semtech,https://www.semtech.com/,,
5G SA,5G,3 Gbps,最远2500米,高,自动驾驶、工业IoT,Nokia,https://www.nokia.com/,,
UMTS,3G,2 Mbps,最长30公里,中,视频通话、移动互联网,ZTE,https://www.zte.com.cn/,,
GSM,2G,9.6 Kbps,最长35公里,低,语音通话、短消息,GSMA,https://www.gsma.com/,,
eMTC,LPWA,1 Mbps,最长20公里,低,智能计量、健康监测,Qualcomm,https://www.qualcomm.com/,,
5G FWA,5G,500 Mbps,最远2000米,中,家庭宽带接入、移动办公,Verizon,https://www.verizon.com/,,
IoT优化LTE,4G,100 Mbps,最远100公里,中,智能城市应用、物联网服务,Cisco,https://www.cisco.com/,,
5G NR,5G,1.5 Gbps,最远1000米,高,虚拟现实、增强现实,Ericsson,https://www.ericsson.com/,,
TDD LTE,4G,150 Mbps,最长30公里,中,高速视频流、实时数据传输,Starry,https://www.starry.com/,,
Narrowband 5G,5G,100 Mbps,最远15公里,中,无线传感器网络、智能家居,Intel,https://www.intel.com/,,
NB-IoT,LPWA,250 kbps,最长35公里,低,智能城市、环境监测,全球通信联盟,https://www.itu.int/,,
4G LTE Advanced,4G,1 Gbps,最长50公里,中,视频流媒体、在线游戏,华为,https://www.huawei.com/,,
5G NR,5G,10 Gbps,最长500米,高,无人驾驶、虚拟现实,新加坡电信,https://www.singtel.com/,,
WCDMA,3G,384 kbps,最长20公里,中,移动互联网、语音通话,中国联通,https://www.chinaunicom.com/,,
C-V2X,4G,200 Mbps,最长1000米,中,车联网、交通管理,意大利电信,https://www.telecomitalia.com/,,
LoRaWAN,LPWAN,50 kbps,最长15公里,低,智能农业、资产追踪,LoRa Alliance,https://lora-alliance.org/,,
5G FWA,5G,1 Gbps,最长300米,中,家庭宽带、企业连接,NTT Docomo,https://www.nttdocomo.co.jp/en/,,
GSM,2G,9.6 kbps,最长35公里,低,语音通话、短信,全球移动通信系统协会,https://www.gsma.com/,,
5G Mixed Reality,5G,3 Gbps,最长200米,高,增强现实、虚拟现实,高通,https://www.qualcomm.com/,,
Fifth Generation IoT,5G,5 Gbps,不限,高,智能家居、医疗监测,AT&T,https://www.att.com/,,
TDD-LTE,4G,150 Mbps,最长25公里,中,宽带互联网、网络视频,阿里巴巴,https://www.alibaba.com/,,
5G Standalone,5G,8 Gbps,最长100米,高,工业自动化、智能交通,Verizon,https://www.verizon.com/,,
CDMA2000,3G,2 Mbps,最长30公里,中,CDMA语音通话、数据传输,Sprint Corporation,https://www.sprint.com/,,
5G Edge Computing,5G,4 Gbps,最长500米,高,边缘计算、实时数据分析,IBM,https://www.ibm.com/,,
UMTS,3G,384 kbps,最长20公里,中,视频通话、数据服务,Vodafone,https://www.vodafone.com/,,
5G for Healthcare,5G,6 Gbps,最长200米,高,远程医疗、健康监护,瑞士电信,https://www.swisscom.ch/,,
6G Terahertz,6G,1 Tbps,最长300米,高,AR/VR、智慧城市,华为,https://www.huawei.com/,,
Narrowband IoT,LPWAN,250 kbps,最远15公里,低,智能家居、环境监测,中国移动,https://www.chinamobileltd.com,,
WiFi 6E,WiFi,9.6 Gbps,最远100米,中,高密度场所、家庭网络,Intel,https://www.intel.com/,,
Fifth Generation Satellite,5G,200 Mbps,不限,高,全球网络连接、航空通信,SpaceX,https://www.spacex.com/,,
TDD LTE,4G,150 Mbps,最长10公里,中,移动视频、社交媒体,高通,https://www.qualcomm.com/,,
CDMA2000,3G,3.1 Mbps,最长40公里,中,语音服务、消息传送,中国电信,https://www.chinatelecom-h.com/,,
Edge Computing 5G,5G,500 Mbps,最长5公里,中,自动驾驶、工业自动化,NVIDIA,https://www.nvidia.com/,,
LoRaWAN,LPWAN,50 kbps,最远50公里,低,智能农业、城市监控,Semtech,https://www.semtech.com/,,
WCDMA,3G,384 kbps,最长30公里,中,移动宽带、MMS,爱立信,https://www.ericsson.com/,,
4G LTE Advanced,4G,300 Mbps,最长50公里,中,在线游戏、高清视频,AT&T,https://www.att.com/,,
C-V2X,V2X,100 Mbps,最长500米,高,车联网、智能交通,Qualcomm,https://www.qualcomm.com/,,
NB-IoT,LPWAN,30 kbps,最远10公里,低,智慧城市、资产追踪,中国信息通信研究院,https://www.caict.ac.cn,,
GSM-R,2G,9.6 kbps,最长50公里,中,铁路通信、应急通信,铁路通信公司,https://www.railway-telecom.com/,,
VHF Data,无线,112 kbps,最远100公里,中,军事通信、海洋监测,中国海洋局,https://www.soa.gov.cn/,,
Ultra-Reliable Low Latency Communication,5G,500 Mbps,最长1公里,高,工业自动化、医疗远程监控,IEEE,https://www.ieee.org/,,
Smart Grid Communication,5G,100 Mbps,最远10公里,中,智能电网、能源管理,国际电力设备协会,https://www.ieee-pes.org/,,
High-Speed Mobile Network,5G,2 Gbps,最长500米,高,视频监控、智能交通,诺基亚,https://www.nokia.com/,,
NBIoT,LPWA,250 kbps,最长10公里,低,智能城市、物联网设备,全球物联网联盟,https://www.gsma.com,,
6G,6G,大于一千兆bps,视场景而定,高,虚拟现实、增强现实,科技前沿研究院,https://www.techfrontier.org,,
4G LTE,4G,150 Mbps,最长50公里,中,移动互联网、视频通话,国际电信联盟,https://www.itu.int,,
DSRC,802.11p,6 Mbps,最长1公里,中,智能交通、车联网,交通运输部,https://www.dot.gov,,
WiMAX,4G,75 Mbps,最长50公里,中,宽带接入、城市网络,IEEE,https://www.ieee.org,,
LoRaWAN,LPWAN,0.3-50 kbps,最长15公里,低,智慧农业、环境监测,LoRa Alliance,https://lora-alliance.org,,
CBRS,LTE,100 Mbps,最长20公里,中,企业无线网络、公共场所WiFi,FCC,https://www.fcc.gov,,
5G NR,5G,10 Gbps,最长1000米,高,无人驾驶、智慧工厂,3GPP,https://www.3gpp.org,,
FDD LTE,LTE,300 Mbps,最长30公里,中,移动视频、快速下载,Telecommunication Industry,https://www.itu.int,,
TDD LTE,LTE,750 Mbps,最长50公里,中,高数据需求环境,光纤通信协会,https://www.ofcconference.org,,
Edge Computing 5G,5G,5 Gbps,最长300米,高,制造业、远程医疗,Gartner,https://www.gartner.com,,
Vehicle-to-Everything (V2X),5G,1 Gbps,最长500米,高,智慧交通、车联网,汽车工程师学会,https://www.sae.org,,
Private 5G Network,5G,高于1 Gbps,视环境而定,高,大型企业、工厂自动化,Mobility Report,https://www.ericsson.com,,
Nano 5G,5G,超高速,最长200米,中,大规模公共集会、活动,ZTE,https://www.zte.com.cn,,
Wi-Fi 6E,Wi-Fi,最大9.6 Gbps,最长100米,中,家庭、办公环境,Wi-Fi Alliance,https://www.wi-fi.org,,
Fifth Generation Massive MIMO,5G,5-10 Gbps,长达1000米,高,密集城市区域,国家通信管理局,https://www.ntia.doc.gov,,
Fiber Coaxial Terrestrial Networks,4G,300 Mbps,视场景而定,中,宽带接入、商业应用,NCTA,https://www.ncta.com,,
5G NR,5G,10 Gbps,最长500米,高,智慧城市、增强现实,Huawei,https://www.huawei.com/,,
NB-IoT,LPWA,250 kbps,最长10公里,低,智能表、环境监测,3GPP,https://www.3gpp.org/,,
4G LTE,4G,150 Mbps,最长60公里,中,高清视频、移动游戏,Verizon,https://www.verizon.com/,,
5G FWA,5G,1 Gbps,最长1公里,中,家庭宽带、企业接入,AT&T,https://www.att.com/,,
WiMAX,4G,70 Mbps,最长50公里,中,农村宽带、公共安全,IEEE,https://www.ieee.org/,,
HSPA,3G,21 Mbps,最长30公里,低,语音通信、基础数据通信,Ericsson,https://www.ericsson.com/,,
Cat-M1,LPWA,1 Mbps,最长15公里,低,智能城市、农业监控,Qualcomm,https://www.qualcomm.com/,,
GSM,2G,9.6 kbps,最长35公里,低,语音服务、短信,GSMA,https://www.gsma.com/,,
5G Private Network,5G,3 Gbps,最长1公里,高,制造业、矿业,Nokia,https://www.nokia.com/,,
TDD LTE,4G,75 Mbps,最长25公里,中,移动宽带、企业服务,ZTE Corporation,https://www.zte.com.cn/,,
LoRaWAN,LPWA,50 kbps,最长15公里,低,物联网、智能家居,Semtech,https://www.semtech.com/,,
2G EDGE,2.5G,235 kbps,最长40公里,低,边缘地区通信、简单数据服务,Telstra,https://www.telstra.com.au/,,
LTE Advanced,4G,1 Gbps,最长100公里,高,超高清视频、云计算,Cisco Systems,https://www.cisco.com/,,
Open RAN,5G,5 Gbps,无限制,中,灵活网络架构、资源共享,O-RAN Alliance,https://www.o-ran.org/,,
V2X Communication,5G,300 Mbps,最长1000米,高,智能交通、车辆互联,Vehicle-to-Everything Consortium,https://v2x.org/,,
Fixed Wireless Access (FWA),5G,1.5 Gbps,最长2公里,中,高密度人口区域，商业区域,NTT Docomo,https://www.nttdocomo.co.jp/,,
Smart Grid Communication,5G,500 Mbps,不限制,中,智能电网、能源监控,IEEE Standards Association,https://standards.ieee.org/,,
Emergency Communication Network,4G,100 Mbps,最长20公里,高,应急响应、社会安全,International Telecommunication Union,https://www.itu.int/,,
4G LTE Advanced,4G,300 Mbps,最长50公里,中,高清视频传输、智能家居,华为技术有限公司,https://www.huawei.com/,,
NB-IoT,LPWA,250 kbps,最长10公里,低,智能水表、环境监测,物联网协会,https://www.iot.org/,,
6G,未来通信技术,1 Tbps,不确定,高,全息通信、实时AR/VR,科学美国人,https://www.scientificamerican.com/,,
VoLTE,4G,128 kbps,最长20公里,中,语音通话、视频通话,AT&T,https://www.att.com/,,
TDD-LTE,4G,100 Mbps,最长5公里,中,数据密集型应用、移动互联网,中国联通,https://www.chinaunicom.com/,,
CDMA2000,2.5G,307 kbps,最长20公里,低,基本语音和数据服务,Verizon,https://www.verizon.com/,,
Edge,2.75G,384 kbps,最长15公里,低,邮件、基础网络服务,橙子通信,https://www.orangecbm.com/,,
Fronthaul Fiber,光纤,10 Gbps,最长80公里,高,基站间连接、数据中心,Cisco,https://www.cisco.com/,,
Private LTE,4G,50 Mbps,最长15公里,高,企业私有网络、工业应用,诺基亚,https://www.nokia.com/,,
LoRaWAN,LPWA,50 kbps,最长5公里,低,智能城市、农业,LoRa Alliance,https://lora-alliance.org/,,
Sub-6 GHz 5G,5G,1 Gbps,最长3公里,中,普通用户服务、移动宽带,ZTE,https://www.zte.com.cn/,,
WiMAX,4G,70 Mbps,最长50公里,中,固定和移动宽带,Clearwire,https://www.clearwire.com/,,
HSPA+ 42,3.5G,42 Mbps,最长30公里,中,快速数据传输、在线视频,中兴通讯,https://www.zte.com.cn/,,
Sigfox,LPWA,600 bps,最长50公里,低,智能设备、供应链管理,Sigfox,https://www.sigfox.com/,,
GSM-R,2G,9.6 kbps,最长70公里,低,铁路通信、公共交通,国际铁路联盟,https://www.iru.org/,,
5G NR,5G,10 Gbps,最长1公里,高,自动驾驶、智能制造,Intel,https://www.intel.com/,,
4G LTE,4G,150 Mbps,最长25公里,中,城市移动互联网、社交网络,沃达丰,https://www.vodafone.com/,,
4G LTE,4G,100 Mbps,最长50公里,中,视频流媒体、在线游戏,AT&T,https://www.att.com/,,
NB-IoT,LPWA,250 kbps,最长35公里,低,智能城市、环境监测,华为,https://www.huawei.com/,,
Edge 5G,5G,2 Gbps,最长500米,高,边缘计算、无人驾驶,Verizon,https://www.verizon.com/,,
LoRaWAN,LPWA,50 kbps,最长15公里,低,物联网、农业监控,Semtech,https://www.semtech.com/,,
WiMAX,4G,1 Gbps,最长10公里,中,农村宽带、短距离数据传输,Sprint,https://www.sprint.com/,,
6G Vision,6G (研发),10 Gbps,不限,高,虚拟现实、青少年教育,IEEE,https://www.ieee.org/,,
CAT-M1,LPWA,375 kbps,最长10公里,低,健康监测、可穿戴设备,美国无线通信协会,https://www.ctia.org/,,
Fifth Generation Wi-Fi,5G (Wi-Fi),9.6 Gbps,最长200米,中,高密度场所覆盖、家庭网络,Wi-Fi联盟,https://www.wi-fi.org/,,
Terrestrial 5G,5G,4 Gbps,最长10公里,中,视频监控、在线教育,Frost & Sullivan,https://www.frost.com/,,
Zigbee,短距离无线,250 kbps,最长100米,低,智能家居、自动化控制,Zigbee联盟,https://zigbeealliance.org/,,
DSRC,5G,27 Mbps,最长1公里,中,车联网、交通管理,美国交通部,https://www.transportation.gov/,,
Space 6G,6G (研发),1 Tbps,不限,高,全球通信、深空探索,国际电信联盟,https://www.itu.int/,,
High-Band 5G,5G,2.5 Gbps,最长300米,高,实时高清直播、VR通话,T-Mobile,https://www.t-mobile.com/,,
Edge Computing LTE,4G,150 Mbps,最长20公里,中,智能制造、远程医疗,日本电信电话公司,https://www.ntt.com/,,
BEG (BRoadband for Everyone),4G/5G,500 Mbps,最长50公里,低,公共互联网接入、社区服务,世界银行,https://www.worldbank.org/,,
Smart Grid Communication,NB-IoT,200 kbps,最长30公里,中,电力管理、智能计量,Energy Department,https://www.energy.gov/,,
Integrated IoT Network,5G,3 Gbps,长达5公里,高,工业自动化、实时监测,Cisco,https://www.cisco.com/,,
4G LTE,4G,150 Mbps,最长10公里,中,手机网络、高清视频服务,华为技术有限公司,https://www.huawei.com/,,
NB-IoT,LPWA,250 kbps,最长30公里,低,智能城市、农业监测,全球物联网产业联盟,https://www.gsma.com/iot/,,
5GNR,5G,10 Gbps,最长500米,高,远程医疗、增强现实,爱立信,https://www.ericsson.com/,,
Cat-M1,LPWA,375 kbps,最长15公里,中,穿戴设备、智慧家居,领先物联网技术,https://www.iotworld.com/,,
WiMAX,4G,70 Mbps,最长50公里,中,远程办公、无线接入,IEEE,https://www.ieee.org/,,
GSM,2G,50 kbps,最长35公里,低,语音通话、文本信息服务,西门子,https://new.siemens.com/,,
5G Private Network,5G,5 Gbps,最长200米,高,工业自动化、制造业,诺基亚,https://www.nokia.com/,,
LTE-Advanced,4G,1 Gbps,最长10公里,高,多媒体流、高清直播,高通,https://www.qualcomm.com/,,
5G FWA,5G,1 Gbps,最长300米,中,家庭宽带、偏远地区接入,AT&T,https://www.att.com/,,
UHF LTE,4G,90 Mbps,最长5公里,低,紧急通信、远程监控,南非国家电信公司,https://www.telkom.co.za/,,
TETRA,专用网络,不适用,最长25公里,中,紧急服务、公共安全,欧洲电信标准协会,https://www.etsi.org/,,
Li-Fi,赛事局域网,5 Gbps,最长70米,高,现代办公、教育培训,国际电工委员会,https://www.iec.ch/,,
V2X (Vehicle-to-Everything),5G,几乎无限,不设上限,高,智能交通、自动驾驶,汽车工业协会,https://www.sae.org/,,
M2M,2G/3G,数百 kbps,最长12公里,中,保险传输、监控系统,电信管理局,https://www.fcc.gov/,,
IoT Cellular,4G/5G,200 Mbps,最长20公里,中,智慧城市、环境监测,全球移动通信系统协会,https://www.gsma.com/,,
C-V2X,5G,1 Gbps,最长300米,高,交通安全、数据同步,国际汽车工程师协会,https://www.sae.org/,,
NBIoT,LPWA,250 kbps,最长15公里,低,智能城市、远程监控,国际电信联盟,https://www.itu.int/,,
4G LTE,4G,150 Mbps,最长40公里,中,视频流媒体、在线游戏,华为,https://www.huawei.com/,,
Extended 5G,5G,10 Gbps,最大1公里,高,无人驾驶、虚拟现实,高通技术公司,https://www.qualcomm.com/,,
LTE-A,4.5G,300 Mbps,最长30公里,中,高清视频、移动办公,中国联通,https://www.chinaunicom.com/,,
CDMA2000,3G,2 Mbps,最长20公里,低,语音服务、移动互联网,爱立信,https://www.ericsson.com/,,
5G NR,5G,1 Gbps,最长1.5公里,高,工业自动化、增强现实,Nokia,https://www.nokia.com/,,
Edge 5G,5G,3 Gbps,最大500米,高,边缘计算、实时数据处理,AT&T,https://www.att.com/,,
TDD-LTE,4G,100 Mbps,最长10公里,中,IoT设备、在线支付,中国电信,https://www.chinatelecom-h.com/,,
WiMAX,4G,1 Gbps,最长50公里,中,宽带接入、应急通信,开源技术联盟,https://www.wimaxforum.org/,,
1XRTT,2G,160 kbps,最长10公里,低,移动电话、基本数据服务,Telefónica,https://www.telefonica.com/,,
GSM-R,2G,114 kbps,最长20公里,中,铁路通信、交通管理,欧盟电信委员会,https://www.ertico.com/,,
Fixed 5G,5G,2 Gbps,最长3公里,高,家庭宽带、企业接入,CTIA,https://www.ctia.org/,,
5G Beamforming,5G,5 Gbps,最长2公里,高,大规模活动、体育场馆,IEEE,https://www.ieee.org/,,
3GPP Release 16,5G,5 Gbps,无限制,高,"Critical Communications, Smart Grids",3GPP,https://www.3gpp.org/,,
IoT LTE,4G,100 Mbps,最长30公里,低,智能表计、健康监测,GSMA,https://www.gsma.com/,,
Ambient IoT,5G,1 Gbps,最长50米,中,家庭自动化、环境监测,MIT Technology Review,https://www.technologyreview.com/,,
Machine-to-Machine (M2M),4G,600 kbps,最长15公里,低,智能制造、远程数据收集,Informa Telecoms & Media,https://telecoms.com/,,
4G LTE Advanced,4G,300 Mbps,最长100公里,中,高清视频流、智能家居,华为技术有限公司,https://www.huawei.com/,,
NB-IoT,LPWA,250 kbps,最长10公里,低,智能城市、环境监测,中兴通讯,https://www.zte.com.cn/,,
5G NR,5G,10 Gbps,最长500米,高,自动驾驶、虚拟现实,英特尔,https://www.intel.com/,,
TDD LTE,4G,120 Mbps,最长50公里,中,户外活动、商业区覆盖,爱立信,https://www.ericsson.com/,,
UMTS,3G,2 Mbps,最长20公里,中,基本上网、视频通话,诺基亚,https://www.nokia.com/,,
LoraWAN,LPWA,50 kbps,不限,低,农业监测、智慧灯光,Semtech,https://www.semtech.com/,,
Edge 5G,5G,1 Gbps,最多300米,高,边缘计算、实时数据处理,Cisco,https://www.cisco.com/,,
CDMA2000,3G,153 kbps,最长10公里,低,语音通话、移动数据,Sprint,https://www.sprint.com/,,
5G SA,5G,20 Gbps,最长1公里,高,大规模M2M通信、高清直播,日本软银,https://www.softbank.jp/,,
GSM,2G,40-200 kbps,最长35公里,低,短信服务、基本语音通话,AT&T,https://www.att.com/,,
3GPP,3G,384 kbps,最长15公里,中,移动互联网、应用分发,3GPP,https://www.3gpp.org/,,
WiMAX,4G,70 Mbps,最长50公里,中,宽带接入、城市网络,Clearwire,https://www.clearwire.com/,,
eMTC,LPWA,1 Mbps,最长15公里,低,智慧停车、医疗远程监护,KT Corporation,https://www.kt.com/,,
FDD LTE,4G,150 Mbps,最长60公里,中,在线视频、云计算,Verizon,https://www.verizon.com/,,
Hybrid 5G,5G,5 Gbps,最长400米,高,智慧制造、物联网,Qualcomm,https://www.qualcomm.com/,,
DSS 5G,5G,1.5 Gbps,最长300米,高,个人通信、视频监控,SK Telecom,https://www.sktelecom.com/,,
IMT-2020,5G,20 Gbps,最长1公里,高,下一代网络、超高速下载,ITU,https://www.itu.int/,,
eGPRS,2.75G,100 kbps,最长30公里,低,移动邮件、简单数据服务,RIM,https://www.rim.com/,,
