网络与通信系统名称（字符型）,网络与通信系统类型（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,面向群体（字符型）,采集来源,来源链接,采集时间,备注
智能家居通信网络,物联网通信,Zigbee,乐居科技,2023-10-01,乐居,乐居科技股份有限公司,家庭用户,家居科技展,https://www.leju.com,,
数字农业通信系统,农业物联网,NB-IoT,中兴小农,2023-06-12,中兴,中兴通讯股份有限公司,农业合作社,农业部,http://www.moagri.gov.cn,,
智能交通信号控制系统,智慧城市通信,智能信号控制,海尔集团,2023-08-15,海尔,海尔股份有限公司,城市管理部门,城市规划局,https://www.haier.com,,
新一代无线电频谱管理系统,频谱管理,动态频谱接入,法国电信,2023-07-20,Orange,法国电信公司,运营商,欧洲电信监管局,https://www.orange.com,,
全球宽带卫星通信系统,卫星通信,L-band,卫星空间通信,2023-04-10,Maxar,Maxar Technologies,偏远地区用户,国际卫星组织,https://www.maxar.com,,
全光网络保障系统,光纤通信,光波长分复用,诺基亚,2023-03-22,诺基亚,诺基亚公司,网络运营商,通信技术期刊,https://www.nokia.com,,
5G智能制造通信系统,移动通信系统,5G NR,中兴通讯,2023-01-25,中兴,中兴通讯股份有限公司,制造业用户,国家工业和信息化部,http://www.miit.gov.cn,,
无人机高清图像传输系统,无人机通信,高清图像传输,大疆创新,2023-02-12,大疆,深圳市大疆科技有限公司,航拍及监控,无人机行业协会,https://www.dji.com,,
量子密钥分发网络,量子通信,量子信道,中国科学技术大学,2023-09-10,中国科学技术大学,中国科学技术大学,科研机构与政府,量子信息研究中心,http://www.ustc.edu.cn,,
远程手术通信系统,医疗通信,实时视频流,西门子医疗,2023-07-01,西门子,西门子医疗集团,医疗机构,国际医疗技术博览会,https://www.siemens-healthineers.com,,
基于区块链的通信安全系统,安全通信,区块链加密,IBM,2023-05-05,IBM,国际商业机器公司,金融机构,区块链技术会议,https://www.ibm.com,,
移动支付通信系统,移动通信,NFC,支付宝,2023-03-30,蚂蚁集团,蚂蚁科技集团,消费者,支付行业协会,https://www.alipay.com,,
公路监控通信系统,安全通信,实时传输,华为技术有限公司,2023-03-20,华为,华为技术有限公司,交通管理,交通安全研究中心,https://www.huawei.com,,
智能电网通信系统,电力通信,智能测量,ABB集团,2023-02-28,ABB,ABB有限公司,电力公司,可再生能源论坛,https://global.abb,,
疫苗供应链监控通信系统,医疗通信,温度监控,丁香园,2023-09-25,丁香园,上海丁香园科技有限公司,医药企业,医疗技术协会,https://www.dxy.cn,,
云端视频会议系统,云计算系统,高清视频会议,Zoom,2023-09-05,Zoom Video Communications,Zoom视频通信公司,企业与个人用户,信息技术评论,https://zoom.us,,
智慧养老通信系统,物联网通信,健康监测,阿里健康,2023-08-30,阿里健康,阿里健康信息技术有限公司,老年用户,健康行业协会,https://www.aliyun.com,,
高速卫星互联网系统,卫星通信,High Throughput Satellite,Starlink,2023-02-14,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,国际卫星通信协会,https://www.satellitetoday.com,,
智能家居控制网络,物联网通信,Zigbee,安防科技,2023-08-01,安防科技股份有限公司,安防科技有限公司,普通家庭,现代家庭技术展,https://www.smarthometech.com,,
全国高速光纤网络,固定通信系统,FTTP,中国联通,2023-09-13,中国联通,中国联合网络通信有限公司,城市和乡镇用户,中国信息通信研究院,https://www.chinaunicom.com,,
车联网智能交通系统,智慧城市通信,5G V2X,华为技术有限公司,2023-03-21,华为,华为技术有限公司,政府与交通行业,国际自动驾驶大会,https://www.huawei.com,,
城市智慧水务监控网络,智慧园区通信,物联网传感器,中兴通讯,2022-10-10,中兴通讯,中兴通讯股份有限公司,城市管理机构,国家智能水务协会,http://www.zte.com.cn,,
5G工业互联网平台,云计算系统,5G工业应用,阿里巴巴,2023-06-25,阿里云,阿里巴巴集团,制造业用户,中国工业互联网研究院,https://cloud.alibaba.com,,
低空空域管理通信系统,空中通信系统,UAS通信,DJI大疆,2023-04-15,大疆创新,深圳大疆创新科技有限公司,无人机操作员,中国无人机协会,https://www.dji.com,,
智能农业传感器网络,物联网通信,LoRa,思科系统,2023-01-30,思科,思科系统公司,农业用户,农业技术展,https://www.cisco.com,,
国防战术通信网络,军用通信系统,超宽带通信,洛克希德·马丁,2022-12-05,洛克希德·马丁公司,洛克希德·马丁公司,国防部门,国防技术报告,https://www.lockheedmartin.com,,
全球海洋监测系统,卫星通信,AIS系统,Thales Group,2023-05-11,Thales,Thales Group,海洋运输公司,国际海事组织,https://www.thalesgroup.com,,
可穿戴健康监测网络,物联网通信,BLE技术,苹果公司,2023-05-20,Apple Inc,苹果公司,个人用户,科技创新大会,https://www.apple.com,,
全国数字广播系统,广播通信,DAB,中国广播电视台,2023-03-03,中国广播,中国广播电视总台,普通公众,国家广播电视总局,https://www.cctv.com,,
仓储物流追踪系统,物联网通信,GPS和RFID技术,京东物流,2023-08-25,京东,京东物流科技有限公司,物流行业,物流与运输博览会,https://www.jd.com,,
智能城市公共安全网络,安全通信系统,AI监控,海康威视,2023-09-28,海康威视科技,海康威视数字技术股份有限公司,政府安全部门,公共安全技术会议,https://www.hikvision.com,,
智能气象监测网络,环境通信,气象传感器,IBM,2022-11-17,IBM,国际商业机器公司,气象局,国际气象组织,https://www.ibm.com,,
智能电网通讯系统,能源通信,智能仪表,施耐德电气,2023-09-01,施耐德,施耐德电气公司,公用事业公司,可再生能源与智能电网会议,https://www.se.com,,
校园无线网络,无线通信系统,Wi-Fi 6,思科系统,2023-02-12,思科,思科系统公司,教育机构,教育技术大会,https://www.cisco.com,,
远程医疗通信平台,医疗通信系统,EHR系统集成,推特医疗,2023-05-15,推特医疗科技,推特医疗科技股份有限公司,医疗机构,全国医疗协会,https://www.twitterhealth.com,,
智能交通灯控制系统,智慧城市通信,V2X通信,西门子,2023-03-30,西门子,西门子股份公司,城市政府,城市规划展览会,https://www.siemens.com,,
智能家居自动化系统,物联网通信,Zigbee及Wi-Fi连接,小米科技,2023-06-01,小米,小米集团,家庭用户,行业分析报告,https://www.mi.com,,
未来网络操作系统,网络操作系统,量子网络框架,IBM,2023-08-15,IBM,国际商业机器公司,企业用户,技术创新报告,https://www.ibm.com,,
数字医疗通信平台,医疗通信系统,端到端加密,阿里健康,2023-09-10,阿里健康,阿里巴巴集团,医疗机构及患者,医疗技术杂志,https://www.alibabagroup.com,,
自动驾驶车辆通信系统,智慧交通系统,V2X通信技术,特斯拉,2023-09-20,特斯拉,特斯拉公司,车主及开发者,汽车技术期刊,https://www.tesla.com,,
智慧水务管理系统,城市基础设施通信,实时监测与分析,西门子有限公司,2023-03-14,西门子,西门子AG,市政及政府,城市规划期刊,https://www.siemens.com,,
高频交易通信网络,金融通信系统,低延迟传输,华尔街数据,2023-01-05,华尔街数据,华尔街数据公司,金融机构,金融科技报告,https://www.wallstreetdata.com,,
卫星基础设施通信系统,卫星通信,L波段,SES S.A.,2023-02-12,SES,SES S.A.,企业及用户,国际通信报告,https://www.ses.com,,
区域5G覆盖网络,移动通信系统,Sub-6 GHz,Vodafone Group,2023-10-17,Vodafone,沃达丰集团,普通用户,国家通信局,https://www.vodafone.com,,
在线教育平台通信系统,教育通信系统,虚拟课堂技术,Coursera,2023-05-25,Coursera,Coursera Inc.,学生及教育机构,在线教育期刊,https://www.coursera.org,,
无人机通信网络,无人机通信系统,LTE-M连接,DJI大疆,2023-04-30,大疆,大疆创新科技,无人机操作员,无人机行业报告,https://www.dji.com,,
智联网商店系统,零售通信系统,RFID与NFC,沃尔玛,2023-11-10,沃尔玛,沃尔玛公司,零售商及消费者,零售科技报告,https://www.walmart.com,,
智慧电网通信系统,能源通信,智能计量,西屋电气,2023-12-01,西屋,西屋电气公司,公共事业单位,能源管理杂志,https://www.westinghouse.com,,
智能农业监测系统,农业通信系统,IoT传感器,AgriTech Solutions,2022-12-14,AgriTech Solutions,AgriTech Solutions Inc.,农业生产者,农业科技期刊,https://www.agritechsolutions.com,,
环境监测通信系统,环境通信系统,无线传感器网络,环境监测协会,2023-03-29,环境监测协会,环境监测组织,政府及环境组织,环境科学期刊,https://www.environmentalmonitoring.org,,
跨境电商网络通信系统,电商通信系统,全球流量优化,阿里巴巴国际,2023-05-20,阿里巴巴,阿里巴巴国际有限公司,跨国电商用户,电商行业报告,https://www.alibaba.com,,
云安全通信网络,云安全系统,TLS加密,Cloudflare,2023-08-25,Cloudflare,Cloudflare Inc.,企业级用户,网络安全期刊,https://www.cloudflare.com,,
智能医疗网络,医疗通信系统,远程监测,华大基因,2023-08-15,华大基因,华大基因科技有限公司,医疗机构,医疗行业报告,https://www.bgi.com,,
无人驾驶车联网,智能交通系统,V2X,百度,2023-10-01,百度智能云,北京百度网讯科技有限公司,汽车制造商,国家工信部,https://www.baidu.com,,
城市无线传感网,物联网系统,LPWAN,思博伦科技,2023-09-25,思博伦,思博伦科技有限公司,城市管理,国际物联网协会,https://www.spirent.com,,
卫星互联网接入网络,卫星通信系统,Ku-band,Starlink,2023-10-10,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,美国联邦通信委员会,https://www.starlink.com,,
智能家居控制网,家庭网络系统,Z-Wave,西门子,2023-06-18,西门子智能家居,西门子股份公司,家庭用户,行业交流会,https://www.siemens.com,,
智能农业通信网络,农业物联网,NB-IoT,中兴通讯,2023-08-20,中兴,中兴通讯股份有限公司,农业企业,农业部,http://www.zte.com.cn/,,
多媒体通信平台,在线通讯系统,虚拟会议,腾讯,2023-07-05,腾讯云,腾讯控股有限公司,企业及个人用户,科技前沿报告,https://cloud.tencent.com,,
全球广播通信系统,广播通信,SDR,Thales Group,2022-11-11,Thales,Thales S.A.,新闻机构,国际广播与互联网协会,https://www.thalesgroup.com,,
城市5G无线网络,移动通信系统,5G NR,中国移动,2023-09-15,中国移动,中国移动通信集团有限公司,普通用户,中国信息通信研究院,https://www.chinamobileltd.com,,
智能电 grid 网络,智能电网系统,IoT 监控,南方电网,2023-06-28,南方电网,南方电网公司,电力公司,国际电力委员会,http://www.csg.cn,,
基于区块链的通信系统,分散式通信,区块链协议,Ripple,2023-08-05,Ripple Labs,Ripple Labs Inc.,金融机构,金融监测报告,https://ripple.com,,
高效数据传输网络,光纤通信,光传输,AT&T,2022-12-25,AT&T Inc.,AT&T Inc.,普通用户,美国通信联盟,https://www.att.com,,
智能音响控制网络,家庭自动化,语音控制协定,亚马逊,2023-08-30,Alexa,亚马逊公司,家庭用户,消费电子展,https://www.amazon.com,,
个人卫星通信设备,个人通信,便携式卫星电话,Iridium,2021-10-23,Iridium Communications Inc.,Iridium Communications Inc.,探险者与旅行者,国际无线电通信协会,https://www.iridium.com,,
高效流媒体通信系统,多媒体传输,Live Streaming,Netflix,2023-08-01,Netflix Inc.,Netflix Inc.,户外用户,流媒体大会,https://www.netflix.com,,
增强现实通信平台,增强现实系统,AR/VR支持,Meta,2023-09-30,"Meta Platforms, Inc.","Meta Platforms, Inc.",开发者,科技创新论坛,https://www.meta.com,,
智能车载信息网络,车载通信系统,4G/5G一体,特斯拉,2023-09-12,Tesla Inc.,"特斯拉, Inc.",消费者,汽车技术展,https://www.tesla.com,,
智能电网通信系统,能源通信系统,智能电表通信,西门子,2023-08-05,西门子,西门子有限公司,电力公司,国际电力协会,https://www.siemens.com,,
量子密钥分发网,量子通信,量子加密,中国科学院量子通信研究所,2023-06-20,中国科学院,中国科学院,国防及金融领域,量子通信技术论坛,http://www.cas.cn,,
5G超低延迟通信系统,移动通信系统,Ultra Reliable Low Latency,诺基亚,2023-08-10,诺基亚,诺基亚公司,自动驾驶及工业自动化,诺基亚发布会,https://www.nokia.com,,
先进的云端视频会议系统,远程通信,云视频会议,Zoom视频通讯,2023-09-01,Zoom,"Zoom Video Communications, Inc.",企业用户及教育机构,Zoom官方公告,https://zoom.us,,
低功耗广域网络(LPWAN),物联网通信,LoRaWAN,物联科技,2023-07-15,物联科技,物联科技有限公司,农业与城市管理,物联行业协会,https://www.iot-tech.com,,
AIVoIP通话系统,语音通信,AI语音助手,亚马逊,2023-08-22,亚马逊网络服务,亚马逊公司,家庭与企业用户,《财富》杂志,https://www.amazon.com,,
无线家庭自动化网络,家庭通信,Zigbee,飞利浦,2023-07-25,飞利浦公司,飞利浦电子,家庭用户,智能家居展会,https://www.philips.com,,
全球海洋宽带网,卫星通信,多频段卫星,SES S.A.,2023-09-18,SES,SES S.A.,航运与航空业,国际卫星通信组织,https://www.ses.com,,
高性能计算数据中心网络,数据中心通信,InfiniBand,英伟达,2023-08-15,英伟达,英伟达公司,科研机构与企业,研究机构网络,https://www.nvidia.com,,
城市智能水务网络,环境监控通信,IoT水质监测,IBM,2023-09-05,IBM云,国际商业机器公司,市政服务,水务技术年会,https://www.ibm.com,,
智能农业传感器网络,农业通信,无线传感器网络,施耐德电气,2023-07-12,施耐德,施耐德电气公司,农民及农业企业,农业技术期刊,https://www.se.com,,
智慧医疗通信网络,健康通信,远程健康监测,IBM Watson Health,2023-09-20,IBM,国际商业机器公司,医院及患者,健康科技会议,https://www.ibm.com/watson-health,,
电动汽车无线充电网络,智能交通通信,无线共振,特斯拉,2023-08-30,特斯拉,特斯拉公司,电动汽车用户,汽车技术新闻,https://www.tesla.com,,
AI驱动的社交媒体监控系统,数据监控通信,社交媒体分析,Facebook,2023-09-10,Meta Platforms,"Meta Platforms, Inc.",营销与广告行业,商业数据分析会议,https://www.facebook.com,,
智能城市管理平台,城市运营通信,数据集成平台,SAP,2023-07-28,SAP,SAP SE,市政及企业客户,IT服务展,https://www.sap.com,,
气象数据传输网络,气象通信,气象站数据,华为技术有限公司,2023-09-05,华为,华为技术有限公司,气象监测机构,气象科技论坛,https://www.huawei.com/,,
智能家居网络,物联网系统,Zigbee,小米科技,2023-04-01,小米,小米科技有限责任公司,家庭用户,行业研究报告,https://www.mi.com,,
5G无线接入网络,移动通信系统,5G NR,中国联通,2023-03-15,中国联通,中国联合网络通信有限公司,广大用户,中国信息通信研究院,https://www.chinaunicom.com,,
智慧校园网络,教育通信系统,光纤接入,华三通信,2023-06-20,H3C,华三通信技术有限公司,学校与教育机构,教育技术论坛,https://www.h3c.com,,
智能电网通信系统,能源通信,PLC通信,国家电网,2022-12-10,国家电网公司,国家电网公司,电力公司,电力行业协会,http://www.sgcc.com.cn,,
车联网通信平台,车辆通信系统,DSRC,华为技术有限公司,2023-01-15,华为,华为技术有限公司,汽车制造商,交通运输部,https://www.huawei.com,,
全球卫星通信系统,全球通信,L-band,Intelsat,2022-05-04,Intelsat S.A.,Intelsat S.A.,企业用户,国际卫星组织,https://www.intelsat.com,,
低地球轨道卫星网络,卫星通信,LEO Satellite,SpaceX,2023-08-10,SpaceX,SpaceX Corporation,偏远地区用户,通信工程协会,https://www.spacex.com,,
城市IoT网络管理平台,智能城市系统,IoT Hub,IBM,2023-04-22,IBM,国际商用机器公司,政府机构,城市科技论坛,https://www.ibm.com,,
光纤通信网络升级,固定通信系统,XPON,中国电信,2023-03-10,中国电信,中国电信股份有限公司,约600万用户,中国信息通信研究院,https://www.ct.com.cn,,
量子互联网,量子通信,量子纠缠,清华大学,2023-09-01,清华大学,清华大学,国际科研机构,量子研究协会,https://www.tsinghua.edu.cn,,
虚拟现实通信系统,娱乐与社交,低延迟传输,Meta Platforms,2023-07-20,Meta,"Meta Platforms, Inc.",游戏和娱乐行业,虚拟现实开发大会,https://www.meta.com,,
无人机通信链路,无人驾驶系统,LTE-M,DJI,2023-02-18,大疆,大疆创新科技有限公司,无人机用户,无人机协会,https://www.dji.com,,
智能医疗通信平台,医疗通信,5G远程监控,西门子医疗,2023-08-30,西门子,西门子医疗系统有限公司,医院与医疗机构,医疗科技论坛,https://www.siemens-healthineers.com,,
全景视频监控系统,安全监控,360度视图,海康威视,2023-09-05,海康威视,浙江海康威视数字技术股份有限公司,商业用户,安防展览会,https://www.hikvision.com,,
农业智能传感器网络,农业物联网,无线传感器,中科院,2022-11-25,中国科学院,中国科学院,农业公司,农业技术推广协会,https://www.iap.cn,,
智能楼宇管理系统,建筑自动化,BMS,施耐德电气,2023-01-22,施耐德,施耐德电气公司,建筑管理公司,建筑自治协会,https://www.se.com,,
新一代无线通信网络,无线通信,Wi-Fi 6E,博通半导体,2023-05-16,Broadcom,博通有限公司,网络服务提供商,技术博览会,https://www.broadcom.com,,
超高速卫星通信网络,卫星通信,1 Gbps,SpaceX,2023-08-15,Starlink,Space Exploration Technologies Corp.,家庭用户,国际通信联盟,https://www.itu.int,,
腾讯云边缘计算平台,云计算系统,边缘计算集成,腾讯,2023-06-20,腾讯云,腾讯科技（深圳）有限公司,开发者,行业白皮书,https://cloud.tencent.com,,
日本智能公共交通系统,智慧城市通信,V2X通信技术,NTT集团,2023-10-05,NTT Communications,NTT Corporation,城市规划者,日本交通部,https://www.ntt.com,,
量子加密通信网络,量子通信,量子密钥分发,Google,2023-09-28,Google Quantum AI,Alphabet Inc.,企业及科研机构,科技前沿杂志,https://www.google.com,,
基于AI的网络安全监控,网络安全系统,主动检测与响应,Palo Alto Networks,2023-08-30,Palo Alto,"Palo Alto Networks, Inc.",企业用户,网络安全评估报告,https://www.paloaltonetworks.com,,
欧洲6G研发平台,移动通信系统,6G技术标准,爱立信,2023-10-10,Ericsson,Ericsson AB,电信运营商,欧洲电信标准协会,https://www.ericsson.com,,
印度智能电网通信系统,固定通信系统,光纤与无线监控,Reliance Jio,2023-07-01,Jio Platforms,Reliance Industries Limited,公共事业,印度能源局,https://www.jio.com,,
美国智能Wi-Fi网络,无线通信系统,802.11ax,Cisco,2023-09-05,Cisco Systems,"Cisco Systems, Inc.",企业及家庭用户,网络解决方案论坛,https://www.cisco.com,,
越南5G基础设施网络,移动通信系统,5G NR,Viettel,2023-06-27,Viettel Group,Viettel Telecommunications Corporation,普通用户,越南信息与通信部,https://www.viettel.vn,,
瑞士高频通信系统,无线通信系统,毫米波技术,Swisscom,2023-05-14,Swisscom AG,Swisscom AG,企业及个人用户,瑞士联邦通信办公室,https://www.swisscom.ch,,
克罗地亚农村光纤网络,固定通信系统,光纤传输,Hrvatski Telekom,2023-09-20,Hrvatski Telekom,Hrvatski Telekom d.d.,农村用户,克罗地亚通信监管局,https://www.t.ht.hr,,
加纳移动支付服务系统,移动通信系统,NFC与二维码,MTN Ghana,2023-06-15,MTN Group,MTN Group Limited,普通用户与商家,加纳通信局,https://www.mtn.com.gh,,
俄罗斯量子互联网测试网络,量子通信,量子密钥分发,俄罗斯量子通信中心,2023-10-01,Quantum Communications Consortium,Quantum Communications Center,科研机构与企业,俄罗斯科技部,https://www.miotest.ru,,
澳大利亚低延迟游戏云网络,云计算系统,实时游戏处理,Telstra,2023-07-10,Telstra Corporation,Telstra Corporation Limited,游戏玩家,澳大利亚通信和媒体管理局,https://www.telstra.com.au,,
美国智能医疗数据通信系统,医疗通信系统,数据加密与传输,IBM Watson Health,2023-09-18,IBM Corporation,International Business Machines Corporation,医院与健康机构,美国卫生与公众服务部,https://www.ibm.com/watson-health,,
新西兰智能农业物联网系统,物联网通信,农业数据采集,Fisher & Paykel,2023-06-03,Fisher & Paykel Healthcare,Fisher & Paykel Healthcare Limited,农民与农业企业,新西兰农业部,https://www.fphcare.com,,
巴西5G农村推广计划,移动通信系统,5G增强版,Oi Brasil,2023-05-25,Oi S.A.,Oi S.A.,农村用户,巴西科技与信息部,https://www.oi.com.br,,
智能医疗通信网络,医疗通信系统,Health IoT Network,华大基因,2023-03-15,华大基因,华大基因科技有限公司,医疗机构,医疗科技评估报告,http://www.genomics.cn,,
智能车联网系统,车载通信系统,V2V and V2I Integration,特斯拉,2023-05-01,特斯拉汽车,特斯拉公司,消费者及车企,机动车辆管理局,https://www.tesla.com,,
智能农业传感器网络,农业物联网,Smart Farming IoT,土壤科技公司,2023-08-20,土壤科技,土壤科技农业有限公司,农场主,农业技术创新中心,http://www.agriculturetech.com,,
家庭智能安防系统,家庭安全通信,Home Security IoT,小米科技,2023-06-28,小米,小米科技有限责任公司,家庭用户,智能家居市场研究,https://www.mi.com,,
智慧照明系统,智能建筑系统,Smart Lighting Control,飞利浦照明,2022-11-11,飞利浦,飞利浦电子有限公司,建筑开发商,建筑智能化信息中心,https://www.philips.com,,
大数据实时通信网络,数据通信系统,Real-Time Data Streaming,阿里云,2023-09-10,阿里巴巴,阿里云计算有限公司,企业数据分析,数据分析与云计算报告,https://.aliyun.com,,
折叠式移动通信平台,可移动通信系统,Foldable Mobile Network,三星电子,2023-02-01,三星,三星电子有限公司,移动用户,通信技术行业协会,https://www.samsung.com,,
无线电力传输系统,新兴通信系统,Wireless Power Transfer,美光科技,2023-01-25,美光,美光科技有限责任公司,电子产品制造商,电力技术展会,https://www.micron.com,,
虚拟现实通信网络,虚拟现实系统,VR Communications,Oculus,2023-04-14,Meta,"Meta Platforms, Inc.",游戏开发者,虚拟现实技术协会,https://www.oculus.com,,
空间通信解决方案,卫星通信系统,Satellite-based Communication,SpaceX,2022-12-05,SpaceX,Space Exploration Technologies Corp.,政府与商业航天公司,航天与通信技术论坛,https://www.spacex.com,,
次世代网络架构,下一代通信系统,Next-Gen Network Framework,思科系统 ,2023-10-01,思科,思科系统有限公司,电信运营商,网络技术协会,https://www.cisco.com,,
区块链通信协议,数据安全系统,Blockchain Communication Protocol,IBM,2023-07-19,IBM,IBM公司,金融服务业,金融科技创新周,https://www.ibm.com,,
基于云的视频监控系统,安全监控系统,Cloud-Based Video Surveillance,Zoom Video Communications,2023-08-05,Zoom,"Zoom Video Communications, Inc.",大企业,网络安全报告,https://zoom.us,,
智能网联汽车通信系统,车联网系统,Connected Vehicle Network,百度,2023-09-25,百度,百度在线网络技术（北京）有限公司,汽车制造商与用户,智能交通管理局,https://www.baidu.com,,
混合现实通信协议,混合现实系统,Mixed Reality Communication,微软,2023-01-30,微软公司,微软技术有限公司,企业与开发者,IT技术交流会,https://www.microsoft.com,,
智能货运调度系统,物流通信系统,Smart Freight Logistics,德邦物流,2023-09-12,德邦,德邦物流股份有限公司,物流公司,物流与运输行业研究,http://www.deppon.com,,
量子计算通信网络,量子通信,Quantum Key Distribution,中国科学院,2023-10-03,中国科学院,中国科学院量子通信技术研究中心,科研机构与企业,中国量子科技大会,http://www.cas.cn,,
智能家居控制系统,物联网系统,Zigbee协议,小米科技,2023-08-15,小米,小米集团,家庭用户,消费电子展览,https://www.mi.com,,
智慧农业传感网,农业物联网,LoRaWAN,华为技术有限公司,2023-01-10,华为,华为技术有限公司,农业用户,农业科技研究,https://www.huawei.com,,
虚拟现实通信平台,沉浸式通信,5G支持,Meta Platforms,2023-06-25,Meta,"Meta Platforms, Inc.",普通用户,科技新闻稿,https://www.meta.com,,
城市Wi-Fi网络,无线网络系统,Wi-Fi 6,华为技术有限公司,2023-02-12,华为,华为技术有限公司,城市公共设施,城市管理报告,https://www.huawei.com,,
智能铁路信号系统,铁路通信系统,CBTC,西门子,2023-03-01,西门子,西门子运输系统,交通管理部门,交通技术期刊,https://www.siemens.com,,
3D音频通信系统,音频通信,Spatial Audio,苹果公司,2023-05-05,苹果,苹果公司,内容创作者,科技产品评测,https://www.apple.com,,
新一代卫星导航系统,卫星通信,GNSS,美国国家航空航天局,2023-07-20,NASA,美国国家航空航天局,科研机构,NASA官网,https://www.nasa.gov,,
Blockchain通信网络,区块链通信,P2P网络,Ethereum Foundation,2023-04-11,Ethereum,以太坊基金会,开发者与投资者,区块链技术论坛,https://ethereum.org,,
智能水务管理系统,环境通信系统,实时监测,京东科技,2023-09-01,京东,京东集团,市政单位,环保技术研究,https://www.jd.com,,
虚拟现实教育平台,教育科技,增强现实,Coursera,2023-05-18,Coursera,"Coursera, Inc.",学生与教师,教育技术报告,https://www.coursera.org,,
多模态通信网络,混合通信系统,多协议支持,Cisco Systems,2023-08-22,Cisco,思科系统公司,企业用户,企业资源规划报告,https://www.cisco.com,,
快速反应应急通信系统,应急通信系统,卫星和地面结合,Viasat,2023-03-18,Viasat,"Viasat, Inc.",应急响应团队,国际救援组织报告,https://www.viasat.com,,
全球数据中心网络,云基础设施,多地区分布,亚马逊云计算,2023-07-15,AWS,亚马逊网络服务,企业客户,IT基础设施杂志,https://aws.amazon.com,,
智联网监控平台,安全监控,全息技术,萤石网络,2023-02-01,萤石,萤石科技有限公司,公共安全部门,安全技术评论,https://www.yingzi.com,,
可穿戴健康监测网络,健康科技,IoT健康设备,Fitbit,2023-08-30,Fitbit,"Fitbit, Inc.",健康用户,健康科技研究,https://www.fitbit.com,,
新一代移动通信系统,移动通信,6G,诺基亚,2023-09-05,诺基亚,诺基亚公司,移动运营商,通信行业会议,https://www.nokia.com,,
超高频无线电通信网络,无线电通信,UHF频段,波音公司,2023-06-13,波音,波音公司,军方及政府,国防科技新闻,https://www.boeing.com,,
智能远程医疗系统,健康医疗通信,数据远程监控,平安科技,2023-02-10,平安健康,平安医疗科技有限公司,医院及患者,健康技术评估,https://www.pingan.com,,
智能农业监控系统,物联网通信,传感器网络,京东科技,2023-04-15,京东农场,京东物流科技有限公司,农业用户,农业科技报告,https://www.jd.com,,
跨境电商物流平台,电商通信,智能化物流,顺丰速运,2022-11-05,顺丰科技,顺丰控股有限公司,国际商家与消费者,电商研究中心,https://www.sf-express.com,,
智慧家居控制系统,物联网通信,家居自动化,小米科技,2023-06-25,小米,小米科技有限责任公司,家庭用户,家居科技展,https://www.mi.com,,
5G智慧城市平台,移动通信系统,5G NR,中国移动,2023-08-01,中国移动通信集团,中国移动有限公司,政府与企业,国家通信管理局,https://www.chinamobileltd.com,,
智能车载系统,车载通信,V2X技术,特斯拉,2023-09-05,特斯拉公司,特斯拉汽车有限公司,汽车制造商与用户,汽车技术论坛,https://www.tesla.com,,
物联网智慧水务系统,通信与监控,实时数据分析,南方电网,2022-12-30,南方电力,南方电网公司,城市水务管理,水利部,https://www.sgcc.com.cn,,
虚拟现实社交平台,新兴通信,VR社交网络,Meta,2023-10-10,"Meta Platforms, Inc.",脸书公司,个人用户与企业,科技新闻募集报告,https://www.meta.com,,
无线电信号增强系统,信号通信,增强覆盖,迈瑞医疗,2023-03-22,迈瑞科技,迈瑞医疗电子股份有限公司,医院与诊所,医疗技术期刊,https://www.mindray.com,,
全球卫星通信系统,卫星通信,全球覆盖,SES S.A.,2023-01-12,SES,SES Global,国际用户,国际卫星组织,https://www.ses.com,,
数字货币交易平台,金融通信,加密交易,Binance,2023-08-20,Binance Holdings,Binance Limited,投资者,金融时报,https://www.binance.com,,
AI驱动市场分析系统,商业通信,数据分析平台,阿里巴巴,2023-09-28,阿里云,阿里巴巴集团,企业用户,商业分析杂志,https://www.alibaba.com,,
户外野外通信网络,移动通信,临时网络搭建,华为,2023-09-01,华为技术有限公司,华为企业网络部,应急救援团队,应急管理部,https://www.huawei.com,,
军事卫星通信系统,国防通信,安全通讯,洛克希德·马丁,2023-07-15,洛克希德·马丁公司,洛克希德·马丁公司,军方及政界,国防研究机构,https://www.lockheedmartin.com,,
智能物流配送系统,物流通信,自动化立体仓库,阿里巴巴,2023-10-05,菜鸟网络,阿里巴巴集团,电商企业,物流与供应链研究,https://www.cainiao.com,,
智能健康监测系统,保健通信,Wearable Sensors,Fitbit,2023-08-18,"Fitbit, Inc.",Fitbit公司,个人用户,健康科技杂志,https://www.fitbit.com,,
量子互联网系统,量子通信,量子网络协议,中国科学院,2023-03-29,中国科学院,中国科学院大学,科研机构,国际量子通信研究,http://www.cas.cn,,
智慧家庭联网系统,物联网通信,家庭自动化,小米科技,2023-08-24,小米,小米科技有限公司,家庭用户,智能家居研究所,http://www.mi.com,,
5G公共安全网络,移动通信系统,5G NR,中国移动,2023-05-15,中国移动,中国移动通信集团有限公司,公共服务部门,中国通信标准化协会,http://www.chinamobileltd.com,,
