基础结构（字符型）,上行带宽（字符型）,下行带宽（字符型）,抗氢老化稳定性（字符型）,采集来源,来源链接,采集时间,备注
混合光电接入,150 Mbps,800 Mbps,中,网易技术,https://tech.163.com,,
LoRaWAN,低于1 Mbps,低于1 Mbps,高,中国物联网,https://www.iotchina.com,,
下一代以太网,10 Gbps,10 Gbps,高,TIANJIN BIAOPAI Technology,http://www.biaopai.com,,
机载互联网,20 Mbps,50 Mbps,中,航空公司,http://www.airline.com,,
智能家居网络,500 Mbps,1 Gbps,高,小米科技,https://www.mi.com,,
次世代Wi-Fi（Wi-Fi 7）,2 Gbps,30 Gbps,中,IT之家,https://www.ithome.com,,
企业级光纤接入,10 Gbps,10 Gbps,高,Oracle,https://www.oracle.com,,
微波交换网络,2 Mbps,10 Mbps,中,国内外通信,https://www.e3cu.org,,
光纤到户（FTTH）,500 Mbps,2 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
DSL技术,10 Mbps,50 Mbps,中,网易科技,https://tech.163.com/,,
固定无线接入,30 Mbps,150 Mbps,中,中国广电,https://www.cbtv.com.cn/,,
星链网络,40 Mbps,600 Mbps,高,SpaceX 官方网站,https://www.spacex.com/,,
宽带光纤,200 Mbps,1.5 Gbps,中,阿里巴巴集团,https://www.alibaba.com/,,
Wi-Fi 5,600 Mbps,3.5 Gbps,高,小米官网,https://www.mi.com/,,
长距离光纤通信,1 Gbps,5 Gbps,高,INTERNET IRIS,https://www.internetiris.com/,,
超宽带接入技术,150 Mbps,1.2 Gbps,高,华为云,https://www.huaweicloud.com/,,
4G LTE网络,50 Mbps,300 Mbps,中,中国移动,https://www.chinamobileltd.com/,,
光纤泡沫网络,100 Mbps,600 Mbps,中,中兴通讯,https://www.zte.com.cn/,,
混合光纤同轴电缆 (HFC),25 Mbps,400 Mbps,中,Alibaba 宁波子公司,https://www.aliyun.com/,,
大规模MIMO技术,80 Mbps,600 Mbps,高,工信部,http://www.miit.gov.cn/,,
光纤通信,120 Mbps,500 Mbps,高,光纤协会,https://www.foa.org/,,
下一代互联网协议（IPv6）,200 Mbps,1 Gbps,高,信息产业部,http://www.miit.gov.cn/,,
智能宽带覆盖,150 Mbps,800 Mbps,高,远程医疗技术协会,https://www.telemedtech.org/,,
移动互联网接入,40 Mbps,200 Mbps,中,联通研究院,https://research.chinaunicom.com/,,
现网升级技术,50 Mbps,350 Mbps,中,国家信息中心,http://www.sic.gov.cn/,,
光纤到户（FTTH）,200 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
4G LTE网络,50 Mbps,300 Mbps,中,运营商杂志,https://www.operator.com,,
低轨道卫星网络,30 Mbps,200 Mbps,高,OneWeb,https://www.oneweb.world,,
无线城域网 (WMN),10 Mbps,150 Mbps,中,中国科技网,https://www.cstw.net,,
先进移动宽带,100 Mbps,500 Mbps,高,未来网络发展研究中心,https://www.futurenetworks.org,,
纳米光波通信,75 Mbps,200 Mbps,高,中国科学院,https://www.cas.cn,,
高频无线接入,350 Mbps,1.5 Gbps,中,腾讯云,https://cloud.tencent.com,,
MPLS网络,60 Mbps,300 Mbps,高,阿里巴巴集团,https://www.alibaba.com,,
WiMAX,25 Mbps,100 Mbps,中,国际电信联盟,https://www.itu.int,,
FFTX（光纤接入）,1 Gbps,2 Gbps,高,日本电信,https://www.ntt.com,,
超级宽带光纤网络,300 Mbps,3.5 Gbps,高,新加坡电信,https://www.singtel.com,,
光纤分布式接入,150 Mbps,1 Gbps,高,英国电信,https://www.bt.com,,
5G NR (New Radio),200 Mbps,1.2 Gbps,高,诺基亚,https://www.nokia.com,,
TD-LTE,40 Mbps,150 Mbps,中,中兴通讯,https://www.zte.com.cn,,
混合接入网络,60 Mbps,600 Mbps,中,爱立信,https://www.ericsson.com,,
智能边缘计算,500 Mbps,1 Gbps,高,IBM云,https://www.ibm.com/cloud,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
4G LTE,50 Mbps,300 Mbps,中,中国联通,https://www.chinaunicom.com/,,
Wi-Fi 6E,1 Gbps,9.8 Gbps,中,小米科技,https://www.mi.com,,
接入网 (PON),100 Mbps,2 Gbps,高,普天科技,https://www.potevio.com,,
以太光网络,500 Mbps,1.5 Gbps,高,腾讯云,https://cloud.tencent.com,,
低轨卫星网络,30 Mbps,200 Mbps,中,OneWeb,https://www.oneweb.world,,
毫米波5G,200 Mbps,3 Gbps,高,华为技术,https://www.huawei.com,,
L波段卫星通信,5 Mbps,50 Mbps,低,波导通信,https://www.broadband.gov,,
Wi-Fi 7,2 Gbps,30 Gbps,高,技术前沿研究,https://www.techbreakthroughs.com,,
数字用户线（ADSL）,1 Mbps,24 Mbps,中,中国电信,https://www.chinatelecom.com.cn,,
光纤路径 (GPON),400 Mbps,1.5 Gbps,高,爱立信,https://www.ericsson.com,,
超级宽带 (XG-PON),1 Gbps,10 Gbps,高,日本电信,https://www.ntt.com,,
网络无处不在 (Mesh),1 Gbps,1 Gbps,高,Zyxel 网络,https://www.zyxel.com,,
城市光纤网络,100 Mbps,500 Mbps,中,城市互联网局,https://www.cityinternet.gov,,
集成光纤网络,200 Mbps,1.2 Gbps,高,高通,https://www.qualcomm.com,,
网络服务商专线,2 Gbps,10 Gbps,高,AT&T,https://www.att.com,,
反向集成电路网络,50 Mbps,300 Mbps,中,德州仪器,https://www.ti.com,,
下一代宽带架构,150 Mbps,800 Mbps,高,思科系统,https://www.cisco.com,,
FTTH光纤接入,500 Mbps,2 Gbps,高,中国电信,https://www.cta.com.cn,,
4G LTE网络,50 Mbps,150 Mbps,中,移动通信研究院,http://www.miit.gov.cn,,
橙电缆网络,30 Mbps,200 Mbps,低,北京邮电大学,https://www.bupt.edu.cn,,
6G网络,1 Gbps,10 Gbps,高,华为技术,https://www.huawei.com,,
智能光纤网络,300 Mbps,1.5 Gbps,高,中兴通讯,https://www.zte.com.cn,,
白盒交换机网络,100 Mbps,500 Mbps,中,腾讯云,https://cloud.tencent.com,,
微波通信,40 Mbps,250 Mbps,中,中国广电,https://www.cgtn.com,,
开放网络架构,150 Mbps,600 Mbps,中,阿里巴巴集团,https://www.alibaba.com,,
低地轨道卫星互联网,25 Mbps,700 Mbps,高,OneWeb,https://www.oneweb.world,,
DSL技术（ADSL）,1 Mbps,20 Mbps,低,百度资讯,https://www.baidu.com,,
区块链通信网络,70 Mbps,200 Mbps,中,阿波罗网络,https://www.apollonetwork.com,,
Wi-Fi 7,2 Gbps,30 Gbps,高,IT之家,https://www.ithome.com,,
光纤到户技术（FTTP）,400 Mbps,1.8 Gbps,高,信通院,https://www.itu.int,,
IPV6网络,20 Mbps,100 Mbps,中,国际电信联盟,https://www.itu.int,,
全双工无线通信,600 Mbps,5 Gbps,高,全球网络研究中心,https://www.globalnetwork.com,,
云计算网络,1 Gbps,10 Gbps,中,微软云,https://azure.microsoft.com,,
边缘计算网络,300 Mbps,1.2 Gbps,高,NVIDIA技术,https://www.nvidia.com,,
光纤环网,150 Mbps,750 Mbps,高,重庆邮电大学,https://www.cqupt.edu.cn,,
动态频谱共享,50 Mbps,300 Mbps,中,清华大学,https://www.tsinghua.edu.cn,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
4G LTE,40 Mbps,150 Mbps,中,中国联通,https://www.chinaunicom.com,,
无线宽带接入,30 Mbps,100 Mbps,低,微盟科技,https://www.weimob.com,,
光纤通信,1 Gbps,2 Gbps,高,光通信网,https://www.lightreading.com,,
智能家庭网关,50 Mbps,200 Mbps,中,美的集团,https://www.midea.com,,
卫星互联网,25 Mbps,300 Mbps,中,SES Networks,https://www.ses.com,,
电力线通信,10 Mbps,60 Mbps,低,中兴通讯,https://www.zte.com.cn,,
Wi-Fi 6E,1.2 Gbps,10 Gbps,中,TP-LINK,https://www.tp-link.com,,
超宽带接入,200 Mbps,800 Mbps,高,高通公司,https://www.qualcomm.com,,
长距离无线电波通信,15 Mbps,90 Mbps,中,大唐电信,https://www.datanggroup.com,,
次世代移动网络,80 Mbps,500 Mbps,高,Nokia,https://www.nokia.com,,
公用网络,30 Mbps,120 Mbps,低,安信证券,https://www.essence-securities.com,,
高频信号传输,50 Mbps,500 Mbps,高,中国科学技术大学,https://www.ustc.edu.cn,,
混合光纤电缆,100 Mbps,600 Mbps,中,华为技术,https://www.huawei.com,,
固定无线接入,25 Mbps,150 Mbps,中,Advantech,https://www.advantech.com,,
次世代光网络,500 Mbps,2 Gbps,高,Cisco,https://www.cisco.com,,
路由器技术,100 Mbps,500 Mbps,高,Linksys,https://www.linksys.com,,
光纤到户（FTTH）,300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
窄带物联网（NB-IoT）,50 Kbps,60 Kbps,中,工信部,https://www.miit.gov.cn/,,
多模光纤,1 Gbps,1 Gbps,高,昌荣光电,https://www.changrong.com/,,
移动边缘计算（MEC）,500 Mbps,2 Gbps,高,阿里云,https://www.aliyun.com/,,
长距离光纤传输,10 Gbps,10 Gbps,高,光纤通信研究院,http://www.fiberresearch.com/,,
以太网 over Coax,200 Mbps,800 Mbps,中,电子科技大学,http://www.uestc.edu.cn/,,
卫星光纤接入,100 Mbps,500 Mbps,中,Birds Eye View,https://www.birdseyeview.com/,,
光圈卫星互联网,150 Mbps,1 Gbps,高,SpaceX,https://www.spacex.com/,,
无线接入网（WA-N）,100 Mbps,400 Mbps,中,华为技术,https://www.huawei.com,,
4G LTE网络,50 Mbps,300 Mbps,中,中国移动,https://www.chinamobileltd.com/,,
Wi-Fi 6E,1.2 Gbps,9.6 Gbps,高,联想科技,https://www.lenovo.com/,,
智能光纤接入,2 Gbps,10 Gbps,高,金默科技,https://www.jinmotech.com/,,
光纤连接器技术,40 Gbps,40 Gbps,高,中国电子,https://www.chinaelectronics.com/,,
毫米波通信,2 Gbps,10 Gbps,高,华为技术,https://www.huawei.com/,,
开放光纤网络,1 Gbps,5 Gbps,中,OFC大学,https://www.ofcconference.com/,,
超宽带接入,500 Mbps,1.5 Gbps,中,新希望网络,http://www.newhope.com/,,
运动传感网络,5 Mbps,20 Mbps,高,现代传感,http://www.modernsensors.com/,,
光纤到户（FTTH）,500 Mbps,2 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
无线电频谱,50 Mbps,200 Mbps,中,中科院,https://www.cas.cn/,,
光纤动态路由,300 Mbps,1.5 Gbps,高,光纤通信网,http://www.fiberoptic.com,,
LTE网络,75 Mbps,400 Mbps,中,中国移动,https://www.chinamobile.com,,
毫米波通信,600 Mbps,3 Gbps,高,阿里巴巴科技,https://www.alibaba.com/,,
光纤回程结构,1 Gbps,5 Gbps,高,国际电信联盟（ITU）,https://www.itu.int,,
34GHz微波传输,20 Mbps,80 Mbps,中,国家广播电视总局,https://www.nrta.gov.cn/,,
电力线载波通信,10 Mbps,50 Mbps,低,中国电力公司,http://www.cec.org.cn,,
IPv6网络,100 Mbps,800 Mbps,高,华为技术,https://www.huawei.com,,
边缘计算网络,1.5 Gbps,7 Gbps,高,腾讯云,https://cloud.tencent.com/,,
远程光纤传输,2 Gbps,10 Gbps,高,全球光纤网络,https://www.globalfiber.com,,
量子通信,特定,特定,非常高,清华大学,https://www.tsinghua.edu.cn/,,
SDN智能网络,300 Mbps,1 Gbps,中,网络技术协会,https://www.nexthop.com,,
下一代Wi-Fi,450 Mbps,4 Gbps,高,IT之家,https://www.ithome.com/,,
个人区域网络（PAN）,25 Mbps,50 Mbps,中,深圳市网络研究院,http://www.szresearch.com,,
智能家居网络,100 Mbps,600 Mbps,低,智能家居日报,https://www.smart-home.com/,,
低功耗广域网络（LPWAN）,5 Mbps,30 Mbps,中,物联网协会,https://www.iot.org/,,
光纤到户（FTTH）,1 Gbps,10 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
4G LTE,50 Mbps,150 Mbps,中,中国移动,https://www.chinamobile.com,,
采用Coaxial线缆的光纤网络,500 Mbps,1.5 Gbps,高,美国有线电视协会,https://www.ncta.com,,
超宽带无线,20 Mbps,500 Mbps,中,Qualcomm,https://www.qualcomm.com,,
微波通信,100 Mbps,500 Mbps,中,全球移动通信协会,https://www.gsma.com,,
LoRaWAN,10 Kbps,50 Kbps,低,LoRa Alliance,https://lora-alliance.org,,
Wi-Fi 7,2.5 Gbps,30 Gbps,高,IEEE 802.11标准委员会,https://www.ieee802.org/11,,
高速宽带电力线通信（PLC）,200 Mbps,800 Mbps,中,国际电信联盟,https://www.itu.int,,
卫星光纤,50 Mbps,200 Mbps,中,NASA,https://www.nasa.gov,,
移动边缘计算网络,80 Mbps,600 Mbps,高,华为技术,https://www.huawei.com,,
低轨卫星互联网,40 Mbps,300 Mbps,中,OneWeb,https://www.oneweb.world,,
基于SDN的宽带网络,300 Mbps,1 Gbps,高,ZTE,https://www.zte.com.cn,,
即时无线网络,10 Mbps,150 Mbps,中,爱立信,https://www.ericsson.com,,
全光网,5 Gbps,20 Gbps,高,中国信息通信研究院,https://www.caict.ac.cn,,
VXLAN网络,150 Mbps,900 Mbps,中,VMware,https://www.vmware.com,,
HFC架构,120 Mbps,800 Mbps,高,Comcast,https://www.comcast.com,,
车联网,5 Mbps,25 Mbps,中,Waymo,https://waymo.com,,
手机热点,10 Mbps,50 Mbps,低,移动互联网协会,https://www.mobileinternetforum.org,,
光纤到户 (FTTH),300 Mbps,1 Gbps,高,中国电信,https://www.china telecom.com,,
光纤通道,16 Gbps,16 Gbps,高,爱立信,https://www.ericsson.com,,
固网宽带,50 Mbps,200 Mbps,中,小米科技,https://www.mi.com,,
4G LTE,50 Mbps,150 Mbps,中,中国联通,https://www.chinaunicom.com,,
灵活光纤网络,100 Mbps,2 Gbps,高,阿里巴巴,https://www.alibaba.com,,
以太光纤网络,10 Gbps,10 Gbps,高,中兴通讯,https://www.zte.com.cn,,
卫星宽带,25 Mbps,200 Mbps,低,Qualcomm,https://www.qualcomm.com,,
Wi-Fi 6E,1.2 Gbps,9.6 Gbps,中,TP-Link,https://www.tp-link.com,,
DSL (数字用户线),30 Mbps,120 Mbps,中,美国电话电报公司,https://www.att.com,,
新一代Wi-Fi,1 Gbps,10 Gbps,高,博通公司,https://www.broadcom.com,,
CBN（中国宽带网络）,30 Mbps,150 Mbps,高,京东集团,https://www.jd.com,,
纳米波通信,特定,特定,高,未来科技协会,https://www.futuretech.org,,
互联网协议（IP） 基础设施,400 Mbps,2 Gbps,高,思科系统公司,https://www.cisco.com,,
云计算网络,500 Mbps,2.5 Gbps,中,总多科技,https://www.zongdu.com,,
虚拟专用网络 (VPN),5 Gbps,5 Gbps,中,NordVPN,https://nordvpn.com,,
长途光缆网络,2 Gbps,10 Gbps,高,AT&T,https://www.att.com,,
全光网络,1 Gbps,10 Gbps,高,Nokia,https://www.nokia.com,,
光纤到户（FTTH）,1 Gbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
移动Wi-Fi,25 Mbps,50 Mbps,中,中兴通讯,https://www.zte.com.cn,,
5G固定无线接入,100 Mbps,500 Mbps,高,中国联通,https://www.chinaunicom.com/,,
光子晶体光纤,200 Mbps,1.5 Gbps,高,复旦大学,https://www.fudan.edu.cn,,
超宽带技术,1 Gbps,10 Gbps,高,工信部,https://www.miit.gov.cn,,
光网络接入（PON）,100 Mbps,800 Mbps,中,Aliyun,https://www.aliyun.com,,
长距离光纤通信,500 Mbps,5 Gbps,高,光纤协会,https://www.foa.org,,
光波导连接技术,150 Mbps,1.2 Gbps,高,清华大学,https://www.tsinghua.edu.cn,,
混合光纤同轴网络（HFC）,30 Mbps,300 Mbps,中,中国网通,https://www.ctb.cn,,
6G网络（实验阶段）,1.5 Gbps,12 Gbps,高,华为技术,https://www.huawei.com,,
地面微波通信,10 Mbps,150 Mbps,中,波音公司,https://www.boeing.com,,
前向纠错信号技术,5 Mbps,60 Mbps,低,MIT技术评论,https://www.technologyreview.com,,
长途卫星互联网,15 Mbps,300 Mbps,中,全球卫星互联网联盟,https://www.gsi.org,,
VPN连接技术,50 Mbps,500 Mbps,高,Cybersecurity Agency,https://www.cisa.gov,,
软件定义网络（SDN）,200 Mbps,1.5 Gbps,高,Cisco,https://www.cisco.com,,
边缘计算网络,300 Mbps,2 Gbps,高,DigiTimes,https://www.digitimes.com,,
远程医疗网络,100 Mbps,100 Mbps,高,世界卫生组织,https://www.who.int,,
光纤到户（FTTH）,100 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
固定无线接入（FWA）,30 Mbps,300 Mbps,中,China Mobile Research Institute,https://www.chinamobile.com/,,
千兆以太网（GE）,1 Gbps,10 Gbps,高,Cisco Systems,https://www.cisco.com/,,
有线电视网络（HFC）,40 Mbps,500 Mbps,中,万维网 (World Wide Web),https://www.w3.org/,,
4G LTE网络,50 Mbps,150 Mbps,低,高通公司,https://www.qualcomm.com/,,
微波传输,20 Mbps,200 Mbps,中,中兴通讯,https://www.zte.com.cn/,,
宽频移动互联网,100 Mbps,500 Mbps,中,百度科技,https://www.baidu.com/,,
量子通信,特定,特定,高,中国科学院,https://www.cas.cn/,,
下一代光网络 (NGON),1 Gbps,100 Gbps,高,IEEE通信协会,https://www.ieee.org/,,
城市光纤网络,250 Mbps,1.5 Gbps,高,Facebook Connectivity,https://www.fb.com/connectivity/,,
卫星宽带,25 Mbps,300 Mbps,中,马斯克星际互联网,https://www.spacex.com/,,
Docker网络服务,500 Mbps,2 Gbps,高,Docker Hub,https://hub.docker.com/,,
工业以太网,100 Mbps,1 Gbps,中,西门子,https://www.siemens.com/,,
移动宽带接入,50 Mbps,400 Mbps,低,AT&T,https://www.att.com/,,
光纤环网,20 Mbps,2 Gbps,高,诺基亚,https://www.nokia.com/,,
增强型移动网络,150 Mbps,1 Gbps,高,Verizon,https://www.verizon.com/,,
Optical Transport Network (OTN),300 Mbps,3 Gbps,高,Juniper Networks,https://www.juniper.net/,,
光纤到户 (FTTH),300 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
超级光纤 (Super Fiber),500 Mbps,2 Gbps,高,中兴通讯,https://www.zte.com.cn,,
千兆无线路由 (Gigabit Router),1 Gbps,1.2 Gbps,中,TP-Link,https://www.tp-link.com,,
双频Wi-Fi (Dual-band Wi-Fi),600 Mbps,1.5 Gbps,中,小米科技,https://www.mi.com,,
4G LTE网络,50 Mbps,200 Mbps,中,中国联通,https://www.chinaunicom.com,,
电力线通信 (PLC),30 Mbps,90 Mbps,低,国家电网,http://www.sgcc.com.cn/,,
Wi-Fi 7,2 Gbps,30 Gbps,高,Broadcom,https://www.broadcom.com,,
毫米波网络 (mmWave),800 Mbps,3 Gbps,高,高通公司,https://www.qualcomm.com,,
卫星宽带,25 Mbps,400 Mbps,中,Hughes Network Systems,https://www.hughes.com,,
纤维复用技术 (WDM),1.5 Gbps,3.5 Gbps,高,阿朗通讯,https://www.alcatel-lucent.com,,
MPLS (多协议标签交换),100 Mbps,500 Mbps,高,Cisco Systems,https://www.cisco.com,,
光子晶体光纤,200 Mbps,2 Gbps,中,北京大学,http://www.pku.edu.cn,,
点对点网络 (P2P),300 Mbps,800 Mbps,高,微软,https://www.microsoft.com,,
专用移动宽带,150 Mbps,600 Mbps,高,中兴通讯,https://www.zte.com.cn,,
Edge计算网络,250 Mbps,1.5 Gbps,中,IBM,https://www.ibm.com,,
数据中心网络,10 Gbps,10 Gbps,高,Dell Technologies,https://www.dell.com,,
无线自组织网络 (WSN),net,high,低,华为技术,https://www.huawei.com,,
智能家居网络,50 Mbps,200 Mbps,高,Google Nest,https://store.google.com,,
光纤到户 (FTTH),500 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
Cable Modem,40 Mbps,250 Mbps,中,广电网络,http://www.gbtv.com/,,
卫星宽带,50 Mbps,300 Mbps,低,OneWeb,https://www.oneweb.world/,,
5G NR,100 Mbps,1.5 Gbps,高,腾讯云,https://cloud.tencent.com/,,
Wi-Fi 6E,1 Gbps,9.6 Gbps,中,中兴通讯,https://www.zte.com.cn/,,
光纤网络,200 Mbps,1 Gbps,高,华三通信,https://www.h3c.com/,,
LoRaWAN,1 Mbps,1 Mbps,中,摩根士丹利,https://www.morganstanley.com/,,
下一代以太网,10 Gbps,10 Gbps,高,阿里巴巴,https://www.alibaba.com/,,
中继网络,15 Mbps,150 Mbps,中,中国网通,http://www.chinacache.com/,,
毫米波通信,300 Mbps,2 Gbps,高,高通公司,https://www.qualcomm.com/,,
虚拟专用网络（VPN）,10 Mbps,100 Mbps,中,VPN Gate,http://www.vpngate.net/,,
边缘计算网络,1 Gbps,1 Gbps,高,华为技术,https://www.huawei.com,,
IPTV网络,20 Mbps,150 Mbps,中,中国广播电视网络,http://www.cabctv.com/,,
数字电视接入,10 Mbps,50 Mbps,低,果壳网,https://www.guokr.com/,,
光纤到节点 (FTTN),30 Mbps,100 Mbps,中,中国移动,https://www.chinamobileltd.com/,,
延迟优化网络,200 Mbps,500 Mbps,高,云从科技,http://www.cloudwalk.cn/,,
亚毫米波通信,1 Gbps,5 Gbps,中,科研前沿,https://www.science.com/,,
移动宽带网络,100 Mbps,400 Mbps,高,小米科技,https://www.mi.com/,,
数据中心互联,10 Gbps,10 Gbps,高,美团点评,https://www.meituan.com/,,
光纤到户（FTTH）,1 Gbps,5 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
高速数字用户线（ADSL2+）,1 Mbps,24 Mbps,中,腾讯科技,https://tech.qq.com/,,
混合光纤同轴电缆（HFC）,30 Mbps,500 Mbps,中,中国广电,https://www.chinabroadcast.cn/,,
宽带无线接入（WIMAX）,10 Mbps,70 Mbps,中,上海交通大学,https://www.sjtu.edu.cn/,,
多频段无线电接入,100 Mbps,300 Mbps,高,工信部,http://www.miit.gov.cn/,,
下一代光纤通信,10 Gbps,40 Gbps,高,清华大学,https://www.tsinghua.edu.cn/,,
渐进式光纤联网,5 Gbps,5 Gbps,高,中国移动研究院,https://www.chinamobileltd.com/,,
智能光纤接入,2 Gbps,10 Gbps,高,阿里巴巴集团,https://www.alibaba.com/,,
光电结合网络,40 Mbps,1 Gbps,中,证券时报,http://www.stcn.com/,,
宽带移动互联网,20 Mbps,200 Mbps,中,新浪科技,https://tech.sina.com.cn/,,
LTE网络,50 Mbps,300 Mbps,高,中国移动,https://www.chinamobileltd.com/,,
超宽带技术（UWB）,200 Mbps,1 Gbps,高,中科院,http://www.cas.cn/,,
5G毫米波网络,1 Gbps,10 Gbps,高,华为技术,https://www.huawei.com,,
网络切片技术,500 Mbps,2 Gbps,高,信息产业部,http://www.miit.gov.cn/,,
光纤发行渠道,8 Gbps,8 Gbps,高,人民网,http://www.people.com.cn/,,
全光网络（All-Optical）,2 Gbps,12 Gbps,高,全球信息网,http://www.goinfo.com/,,
Elastic Optical Network,3 Gbps,15 Gbps,中,光通信网,http://www.lightcom.com/,,
以太网光纤接入,600 Mbps,3 Gbps,高,央视财经,http://www.cctv.com/,,
低地轨道卫星互联网,50 Mbps,200 Mbps,中,SpaceX,https://www.spacex.com/,,
光纤到户（FTTH）,1 Gbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn/,,
复用光纤传输,200 Mbps,800 Mbps,高,中国广电,https://www.chinagrandnet.com/,,
以太网光纤接入,500 Mbps,500 Mbps,中,IBM,https://www.ibm.com/,,
传统电话线（ADSL）,1 Mbps,25 Mbps,中,搜狐科技,https://www.sohu.com/,,
Wi-Fi 6E,1.2 Gbps,10 Gbps,高,小米科技,https://www.mi.com/,,
纯光纤通讯,2 Gbps,2 Gbps,高,华为技术,https://www.huawei.com/,,
Lora无线网络,不适用,不适用,中,联通物联网,https://www.chinaunicom.com/,,
5G毫米波,300 Mbps,2 Gbps,高,华为技术,https://www.huawei.com/,,
超高速卫星网络,150 Mbps,1.5 Gbps,中,NASA,https://www.nasa.gov/,,
无线接入网（WLAN）,300 Mbps,1 Gbps,高,TP-Link,https://www.tp-link.com/,,
开发中的量子通信,特定,特定,高,清华大学,https://www.tsinghua.edu.cn/,,
微波传输网络,100 Mbps,200 Mbps,中,中国移动,https://www.chinamobileltd.com/,,
光纤雷达网络,适用于特定场合,适用于特定场合,高,成都电子科技大学,https://www.seu.edu.cn/,,
城市无线网,100 Mbps,600 Mbps,中,长江电力,https://www.cjl.edu.cn/,,
反向疏散网络,25 Mbps,250 Mbps,中,雅虎科技,https://www.yahoo.com/,,
IPv6高速公路,1.5 Gbps,1.5 Gbps,高,Cisco,https://www.cisco.com/,,
边缘计算网络,10 Gbps,10 Gbps,高,AWS,https://aws.amazon.com/,,
工业互联网,1 Gbps,5 Gbps,高,阿里云,https://www.aliyun.com/,,
光纤到户（FTTH）,100 Mbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
移动宽带,25 Mbps,150 Mbps,中,移动互联网协会,https://www.miia.org.cn,,
LTE Advanced,75 Mbps,300 Mbps,高,国际电信联盟,https://www.itu.int,,
毫米波5G,200 Mbps,1.5 Gbps,中,赛迪智库,https://www.ccid.com,,
光纤-同轴结合（HFC）,50 Mbps,700 Mbps,高,Global Internet Connectivity,https://www.gic.org,,
Wi-Fi 5,500 Mbps,3.5 Gbps,中,Wi-Fi Alliance,https://www.wi-fi.org,,
北斗卫星宽带,10 Mbps,250 Mbps,低,中国卫星网络集团,https://www.chinasatnet.com,,
光纤数据中心,2 Gbps,10 Gbps,高,亚马逊AWS,https://aws.amazon.com,,
宽带接入点 (Access Point),30 Mbps,200 Mbps,中,思科系统,https://www.cisco.com,,
低地轨道卫星,15 Mbps,400 Mbps,中,OneWeb,https://www.oneweb.world,,
光纤分配网络,80 Mbps,500 Mbps,高,电信设备制造商协会,https://www.etsi.org,,
光纤无线接入,100 Mbps,750 Mbps,高,高通,https://www.qualcomm.com,,
智能城市网络基础设施,50 Mbps,300 Mbps,中,华为云,https://www.huaweicloud.com,,
城市Wi-Fi网络,20 Mbps,100 Mbps,低,各地市政府,https://www.gov.cn,,
未来网络技术研究,1 Gbps,10 Gbps,高,MIT媒体实验室,https://www.media.mit.edu,,
高速公路无线网络,5 Mbps,50 Mbps,中,交通运输部,https://www.mot.gov.cn,,
智慧家庭网络,300 Mbps,2 Gbps,高,小米科技,https://www.mi.com,,
超宽带网络,1.5 Gbps,15 Gbps,高,世界经济论坛,https://www.weforum.org,,
FTTH（光纤到户）,1 Gbps,1 Gbps,高,中国电信,https://www.chinatelecom.com.cn,,
DSL,15 Mbps,50 Mbps,中,百度百科,https://baike.baidu.com,,
光纤微波通信,100 Mbps,600 Mbps,高,工程师网,https://www.engineer.com,,
Wi-Fi 7,2 Gbps,30 Gbps,高,CNET,https://www.cnet.com,,
5G毫米波网络,300 Mbps,1.5 Gbps,中,GSMA,https://www.gsma.com,,
脉冲宽度调制（PWM）网络,50 Mbps,200 Mbps,高,IEEE Spectrum,https://spectrum.ieee.org,,
低轨卫星互联网,40 Mbps,150 Mbps,低,CNN,https://www.cnn.com,,
MU-MIMO技术,1 Gbps,5 Gbps,中,TechCrunch,https://techcrunch.com,,
数字额外服务接口（DASI）,75 Mbps,400 Mbps,高,知网,https://www.cnki.net,,
移动边缘计算（MEC）,150 Mbps,600 Mbps,高,阿里巴巴集团,https://www.alibaba.com,,
文档信息传输网络,30 Mbps,120 Mbps,中,IT之家,https://www.ithome.com,,
新型量子通信网络,特定,特定,高,清华大学,https://www.tsinghua.edu.cn,,
NB-IoT网络,50 Kbps,250 Kbps,中,联通云,https://www.unicom.com.cn,,
区块链网络,75 Mbps,300 Mbps,中,CoinDesk,https://www.coindesk.com,,
微波接入网络,10 Mbps,80 Mbps,低,北美通信协会,https://www.ata.org,,
超宽带无线通信,400 Mbps,1.2 Gbps,高,未来智能科技,https://www.smarttechnology.com,,
