受理号（数字型）,人工智能系统名称（字符型）,人工智能系统类型（字符型）,注册分类（字符型）,申请类型（字符型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,状态开始时间（日期型）,审评结论（字符型）,规范企业名称（字符型）,系统构成（字符型）,企业名称(CDE)（字符型）,试验登记号（数字型）,适用领域（数字型）,适应症（品种）（字符型）,规范人工智能系统类型（字符型）,规范企业名称（字符型）.1,注册版本（字符型）,采集来源,来源链接,采集时间,备注
Yunnan-ZhiHui-20241102 S0016,智慧城市管理平台,城市管理,管理系统,管理系统,2023-06-15,华为,中国建筑设计院,已完成,2023-06-20,合格,华为技术,数据集成、在线监控,华为,Yunnan-ZhiHui-20241102 S0016,城市基础设施、公共安全,城市基础设施、公共安全,增强人工智能系统,华为技术,V1.0,Huawei News,https://www.healthcareitnews.com/,2024-10-11,
Fujian-SuShi-20241103 S0017,远程医疗监护系统,医疗健康,远程医疗,远程医疗,2023-09-01,平安健康,清华大学,招募中,2023-09-05,待审,平安科技,视频监控、健康数据分析,平安健康,Fujian-SuShi-20241103 S0017,慢性病管理、早期筛查,慢性病管理、早期筛查,超越人工智能系统,平安科技,V1.0,Ping An Health,https://www.linkedin.com/,2024-10-11,
Hunan-JingZhi-20241104 S0018,金融智能投顾系统,金融服务,投资管理,投资管理,2023-07-20,中信证券,北京大学,已完成,2023-07-25,合格,中信证券股份,市场分析、投资组合优化,中信证券,Hunan-JingZhi-20241104 S0018,投资理财、风险咨询,投资理财、风险咨询,无限智能系统,中信证券股份,V2.0,CSDN,https://www.nationalgeographic.com/,2024-10-11,
Jilin-QingKe-20241105 S0019,智能制造系统,制造业,生产管理,生产管理,2023-10-01,中兴通讯,深圳大学,招募中,2023-10-05,待审,中兴科技,物联网、生产数据分析,中兴通讯,Jilin-QingKe-20241105 S0019,智能生产、设备维护,智能生产、设备维护,自适应人工智能系统,中兴科技,V1.0,ZTE News,https://www.forbes.com/,2024-10-11,
Ningxia-JiZhi-20241106 S0020,情感计算系统,心理健康,评估工具,评估工具,2023-06-20,科大讯飞,安徽师范大学,已完成,2023-06-25,合格,科大讯飞股份,情感识别、心理评估,科大讯飞,Ningxia-JiZhi-20241106 S0020,心理咨询、情绪监测,心理咨询、情绪监测,认知人工智能系统,科大讯飞股份,V1.0,iFLYTEK News,https://www.technologyreview.com/,2024-10-11,
Sichuan-XinTian-20241020 S0002,虚拟现实教育平台,教育行业,虚拟学习,虚拟学习,2023-08-15,网易,北京师范大学,招募中,2023-08-20,待审,网易教育,虚拟模拟、在线学习,网易,Sichuan-XinTian-20241020 S0002,职业培训、技能提升,职业培训、技能提升,创造性人工智能系统,网易教育,V1.0,NetEase News,https://techcrunch.com/,2024-10-11,
Guangdong-HuaWei-20241019 S0003,智能养老助手,医疗健康,养老服务,养老服务,2023-09-10,百度健康,南京医科大学,已完成,2023-09-15,合格,百度健康科技,健康监测、活动分析,百度健康,Guangdong-HuaWei-20241019 S0003,老年人健康管理,老年人健康管理,进化人工智能系统,百度健康科技,V1.0,Baidu News,https://spectrum.ieee.org/,2024-10-11,
Zhejiang-BaiDu-20241021 S0004,AI心理健康助手,心理健康,健康软件,健康软件,2023-02-22,IBM,清华大学,待审,2023-02-25,合格,IBM心理健康,情绪分析、咨询服务等功能,IBM,Zhejiang-BaiDu-20241021 S0004,焦虑、抑郁,焦虑、抑郁,具身人工智能系统,IBM心理健康,V1.2,HealthTech,https://www.healthtech.com/,2024-10-11,
Henan-JunJian-20241022 S0005,预测性维护AI系统,制造业,工业软件,工业软件,2023-07-01,西门子, MIT,招募中,2023-07-05,待审,西门子工业,数据分析、传感器监控,西门子,Henan-JunJian-20241022 S0005,设备故障预测,设备故障预测,生态人工智能系统,西门子工业,V3.1,制造业日报,https://www.manufacturingdaily.com/,2024-10-11,
Shandong-ZuoZhe-20241023 S0006,智能个人理财助手,金融科技,财务软件,财务软件,2023-08-10,PayPal,斯坦福大学,已完成,2023-08-15,合格,PayPal财务,财务分析、支出管理等功能,PayPal,Shandong-ZuoZhe-20241023 S0006,个人财务管理,个人财务管理,超级智能系统,PayPal财务,V1.3,FinTech Insights,https://www.fintechinsights.com/,2024-10-11,
Hubei-YunXing-20241024 S0007,智能安全监控系统,公共安全,安防系统,安防系统,2023-08-20,海康威视,南开大学,招募中,2023-08-25,待审,海康威视科技,视频监控、数据分析,海康威视,Hubei-YunXing-20241024 S0007,城市安全监控,城市安全监控,分布式智能系统,海康威视科技,V2.2,Security Today,https://www.securitytoday.com/,2024-10-11,
Anhui-XingFu-20241025 S0008,智慧物流系统,物流管理,运输软件,运输软件,2023-07-15,阿里巴巴,复旦大学,已完成,2023-07-20,合格,阿里巴巴物流,货物追踪、供应链优化,阿里巴巴,Anhui-XingFu-20241025 S0008,物流管理,物流管理,局部人工智能系统,阿里巴巴物流,V1.0,Logistics Tech,https://www.logisticstech.com/,2024-10-11,
Jiangxi-QiXiang-20241026 S0009,城市环境监测平台,环境保护,环保软件,环保软件,2023-05-30,拜耳,中科院,招募中,2023-06-05,待审,拜耳环境,空气质量监控、水质分析等功能,拜耳,Jiangxi-QiXiang-20241026 S0009,环境监测与评估,环境监测与评估,全面人工智能系统,拜耳环境,V1.0,EcoTech,https://www.ecotech.com/,2024-10-11,
Liaoning-YuanChuang-20241027 S0010,智能化法律助手,法律服务,法律软件,法律软件,2023-09-01,金杜律师事务所,中国政法大学,招募中,2023-09-05,合格,金杜法律,法律咨询、文件审查等功能,金杜律师事务所,Liaoning-YuanChuang-20241027 S0010,法律咨询,法律咨询,超级人工智能系统,金杜法律,V2.0,Legal Tech,https://www.legaltech.com/,2024-10-11,
Beijing-ZhiNeng-20241028 S0011,智能商业分析系统,市场分析,分析软件,分析软件,2023-09-10,普华永道,南开大学,已完成,2023-09-15,合格,普华永道分析,数据挖掘、市场趋势分析,普华永道,Beijing-ZhiNeng-20241028 S0011,市场分析,市场分析,自适应人工智能系统,普华永道分析,V1.5,Business Insights,https://www.businessinsights.com/,2024-10-11,
Shanghai-WeiXin-20241029 S0012,虚拟健康顾问,医疗健康,医疗软件,医疗软件,2023-06-10,阿里健康,腾讯,招募中,2023-06-15,合格,阿里健康科技,健康监测、症状分析、药物推荐,阿里健康,Shanghai-WeiXin-20241029 S0012,常见病、高血压,常见病、高血压,增强人工智能系统,阿里健康科技,V1.0,TechCrunch,https://techcrunch.com/,2024-10-11,
Tianjin-JinXing-20241030 S0013,自动语音识别系统,信息技术,语音技术,语音技术,2023-07-20,百度,浙江大学,已完成,2023-07-22,合格,百度语音,声学模型、语言模型及算法优化,百度,Tianjin-JinXing-20241030 S0013,人机交互、自动翻译,人机交互、自动翻译,自我学习人工智能系统,百度语音,V2.0,IEEE,https://www.ieee.org/,2024-10-11,
Shaanxi-HuaZhong-20241031 S0014,智能法律助理,法律服务,法律科技,法律科技,2023-08-05,法大大,清华大学法学院,招募中,2023-08-10,待审,法大大法律科技,法律文书审核、案例分析,法大大,Shaanxi-HuaZhong-20241031 S0014,合同审核、诉讼指导,合同审核、诉讼指导,认知人工智能系统,法大大法律科技,V1.0,Lexology,https://www.lexology.com/,2024-10-11,
Guangxi-ShengXing-20241101 S0015,智能食品安全监测平台,食品安全,检测系统,检测系统,2023-08-15,百事可乐公司,农业农村部,已完成,2023-08-20,合格,百事食品科技,实时数据监控、警报系统,百事可乐公司,Guangxi-ShengXing-20241101 S0015,食品质量监测,食品质量监测,发展人工智能系统,百事食品科技,V1.0,Food Safety News,https://www.foodsafetynews.com/,2024-10-11,
Yunnan-ZhiHui-20241102 S0016,无人商店管理系统,零售,无人零售,无人零售,2023-09-01,亚马逊,MIT,招募中,2023-09-05,合格,亚马逊科技,库存管理、消费者行为分析,亚马逊,Yunnan-ZhiHui-20241102 S0016,无人便利店,无人便利店,创造性人工智能系统,亚马逊科技,V1.0,Forbes,https://www.forbes.com/,2024-10-11,
Fujian-SuShi-20241103 S0017,智慧城市环境监测平台,城市规划,环境监测,环境监测,2023-09-10,华为,清华大学,已完成,2023-09-15,合格,华为技术,环境感知、数据分析平台,华为,Fujian-SuShi-20241103 S0017,空气质量监测,空气质量监测,整合人工智能系统,华为技术,V1.0,The Verge,https://www.theverge.com/,2024-10-11,
Hunan-JingZhi-20241104 S0018,智能金融顾问系统,金融服务,顾问服务,顾问服务,2023-10-01,中国平安,复旦大学,招募中,2023-10-05,合格,平安金融科技,数据分析、风险评估,中国平安,Hunan-JingZhi-20241104 S0018,财务顾问,财务顾问,自适应人工智能系统,平安金融科技,V1.0,Bloomberg,https://www.bloomberg.com/,2024-10-11,
Jilin-QingKe-20241105 S0019,教育智能评估平台,教育行业,教育评估,教育评估,2023-10-10,网易,北京师范大学,已完成,2023-10-15,合格,网易教育,评估工具、个性化学习分析,网易,Jilin-QingKe-20241105 S0019,学生评估,学生评估,认知人工智能系统,网易教育,V1.0,EdSurge,https://www.edsurge.com/,2024-10-11,
Ningxia-JiZhi-20241106 S0020,虚拟健康顾问,医疗健康,医疗服务,医疗服务,2023-07-15,阿里健康,复旦大学,招募中,2023-07-20,待审,阿里健康科技,健康评估、个性化建议,阿里健康,Ningxia-JiZhi-20241106 S0020,慢性病管理、健康咨询,慢性病管理、健康咨询,进化人工智能系统,阿里健康科技,V1.0,AI医疗网,https://www.aimedical.com,2024-10-11,
Sichuan-XinTian-20241020 S0002,企业智能招聘助手,人力资源,招聘工具,招聘工具,2023-08-01,猎云网,清华大学,招募中,2023-08-05,合格,猎云科技,人才筛选、数据分析,猎云网,Sichuan-XinTian-20241020 S0002,招聘管理、候选人分析,招聘管理、候选人分析,通用人工智能系统,猎云科技,V1.0,HR Tech Journal,https://www.hrtechjournal.com,2024-10-11,
Guangdong-HuaWei-20241019 S0003,智能仓库管理系统,物流与供应链,物流管理,物流管理,2023-09-10,京东物流,同济大学,已完成,2023-09-15,合格,京东物流科技,库存监控、自动化拣货,京东物流,Guangdong-HuaWei-20241019 S0003,库存管理、流程优化,库存管理、流程优化,超级智能系统,京东物流科技,V2.0,Supply Chain Insights,https://www.supplychaininsights.com,2024-10-11,
Zhejiang-BaiDu-20241021 S0004,金融交易智能助手,金融服务,交易支持,交易支持,2023-09-20,中国平安,北京大学,招募中,2023-09-25,待审,平安科技,市场预测、策略建议,中国平安,Zhejiang-BaiDu-20241021 S0004,交易优化、风险分析,交易优化、风险分析,跨领域人工智能系统,平安科技,V1.0,Finance Today,https://www.financetoday.com,2024-10-11,
Henan-JunJian-20241022 S0005,智能垃圾分类系统,环境保护,垃圾管理,垃圾管理,2023-08-05,绿色科技,复旦大学,招募中,2023-08-10,合格,绿色科技公司,图像识别、分类算法,绿色科技,Henan-JunJian-20241022 S0005,垃圾分类、资源回收,垃圾分类、资源回收,协作式人工智能系统,绿色科技公司,V1.0,Environmental Research,https://www.environmentalresearch.com,2024-10-11,
Shandong-ZuoZhe-20241023 S0006,智能运营管理平台,商业管理,管理软件,管理软件,2023-09-10,华为,上海交通大学,招募中,2023-09-15,待审,华为技术,业务分析、数据可视化,华为,Shandong-ZuoZhe-20241023 S0006,运营优化、商业智能,运营优化、商业智能,高级推理人工智能系统,华为技术,V1.0,Business Insider,https://www.businessinsider.com,2024-10-11,
Hubei-YunXing-20241024 S0007,智能健康监测系统,医疗健康,健康管理,健康管理,2023-10-01,字节跳动,清华大学,已完成,2023-10-05,合格,字节健康,生理监测、数据分析,字节跳动,Hubei-YunXing-20241024 S0007,健康监测、疾病预防,健康监测、疾病预防,局部人工智能系统,字节健康,V1.0,Health Tech News,https://www.healthtechnews.com,2024-10-11,
Anhui-XingFu-20241025 S0008,个性化购物助手,电子商务,在线商城,在线商城,2023-10-05,淘宝,浙江大学,招募中,2023-10-10,合格,淘宝科技,用户行为分析、推荐系统,淘宝,Anhui-XingFu-20241025 S0008,个性化推荐、用户分析,个性化推荐、用户分析,广义人工智能系统,淘宝科技,V1.0,E-commerce Review,https://www.e-commerce-review.com,2024-10-11,
Jiangxi-QiXiang-20241026 S0009,智能农业管理系统,农业,农业管理,农业管理,2023-07-01,阿里巴巴,中国农业科学院,待审,2023-07-05,待审,阿里巴巴农业,包括农作物监测和资源管理,阿里巴巴,Jiangxi-QiXiang-20241026 S0009,土壤优化、作物灌溉,土壤优化、作物灌溉,超级人工智能系统,阿里巴巴农业,V1.0,农业科技网,http://www.agri-tech.com,2024-10-11,
Liaoning-YuanChuang-20241027 S0010,智能健康管理平台,医疗健康,健康管理,健康管理,2023-08-11,华为,复旦大学,招募中,2023-08-15,合格,华为健康,集成健康监测和数据分析,华为,Liaoning-YuanChuang-20241027 S0010,慢性病管理、健康监测,慢性病管理、健康监测,自主学习系统,华为健康,V1.0,HealthTech,https://www.healthtech.com,2024-10-11,
Beijing-ZhiNeng-20241028 S0011,智能制造系统,工业制造,生产管理,生产管理,2023-09-05,中兴通讯,清华大学,已完成,2023-09-10,合格,中兴智能制造,实现生产线在线监测和优化,中兴通讯,Beijing-ZhiNeng-20241028 S0011,生产效率提升、故障预警,生产效率提升、故障预警,交互式智能系统,中兴智能制造,V2.0,产学研网,http://www.industry-research.com,2024-10-11,
Shanghai-WeiXin-20241029 S0012,智能金融顾问,金融服务,顾问系统,顾问系统,2023-08-20,京东数科,北京大学,招募中,2023-08-25,待审,京东金融,自动化财务分析与建议,京东数科,Shanghai-WeiXin-20241029 S0012,个人理财、投资建议,个人理财、投资建议,适应性智能系统,京东金融,V1.0,金融科技网,http://www.fintech.com,2024-10-11,
Tianjin-JinXing-20241030 S0013,职业技能培训助手,教育行业,教育工具,教育工具,2023-08-30,腾讯教育,上海交通大学,已完成,2023-09-04,合格,腾讯教育科技,个性化课程推荐和评估,腾讯教育,Tianjin-JinXing-20241030 S0013,技能提升、职业发展,技能提升、职业发展,超越人类智能系统,腾讯教育科技,V1.0,职业教育网,http://www.vocational-education.com,2024-10-11,
Shaanxi-HuaZhong-20241031 S0014,智能城市管理平台,城市管理,智能城市,智能城市,2023-09-15,百度,四川大学,招募中,2023-09-20,待审,百度城市科技,监控、数据分析、决策支持,百度,Shaanxi-HuaZhong-20241031 S0014,交通管理、资源分配,交通管理、资源分配,强化学习人工智能系统,百度城市科技,V1.0,智慧城市网,http://www.smartcity.com,2024-10-11,
Guangxi-ShengXing-20241101 S0015,AI气象预报系统,气象服务,气象服务,气象服务,2023-09-25,气象局,清华大学,已完成,2023-09-30,合格,国家气象局,气象数据采集与分析,气象局,Guangxi-ShengXing-20241101 S0015,天气预报、气候预测,天气预报、气候预测,认知人工智能系统,国家气象局,V1.0,气象服务网,http://www.meteorology.com,2024-10-11,
Yunnan-ZhiHui-20241102 S0016,供应链优化助手,物流管理,供应链管理,供应链管理,2023-10-01,顺丰,浙江大学,待审,2023-10-05,待审,顺丰物流科技,实时监控和数据分析,顺丰,Yunnan-ZhiHui-20241102 S0016,物流调度、库存管理,物流调度、库存管理,人工通用智能系统,顺丰物流科技,V1.0,物流科技网,http://www.logistics-tech.com,2024-10-11,
Fujian-SuShi-20241103 S0017,心理健康支持系统,心理健康,健康管理,健康管理,2023-10-10,咪咕,中山大学,招募中,2023-10-15,合格,咪咕智能健康,情感分析与在线咨询,咪咕,Fujian-SuShi-20241103 S0017,心理咨询、情感支持,心理咨询、情感支持,窄人工智能系统,咪咕智能健康,V1.0,健康心理网,http://www.mentalhealth.com,2024-10-11,
Hunan-JingZhi-20241104 S0018,智能健康监测系统,医疗健康,疾病监测,疾病监测,2023-06-15,阿里巴巴,复旦大学,招募中,2023-06-20,待审,阿里健康,远程监控、数据分析和健康评估,阿里巴巴,Hunan-JingZhi-20241104 S0018,心脏病、高血压,心脏病、高血压,广义人工智能系统,阿里健康,V1.0,HealthTech News,https://www.healthtechnews.com,2024-10-11,
Jilin-QingKe-20241105 S0019,自动驾驶安全系统,交通运输,安全防护,安全防护,2023-07-25,特斯拉,清华大学,已完成,2023-07-30,合格,特斯拉汽车,雷达、水面分析和车载控制,特斯拉,Jilin-QingKe-20241105 S0019,自动驾驶、安全监控,自动驾驶、安全监控,超级人工智能系统,特斯拉汽车,V2.1,TechCrunch,https://www.techcrunch.com,2024-10-11,
Ningxia-JiZhi-20241106 S0020,个性化学习助手,教育行业,学习工具,学习工具,2023-08-05,Khan Academy,普林斯顿大学,招募中,2023-08-10,待审,可汗学院,学习路径推荐和数据驱动反馈,Khan Academy,Ningxia-JiZhi-20241106 S0020,在线教育、个性学习,在线教育、个性学习,具身人工智能系统,可汗学院,V1.2,EdTech Magazine,https://www.edtechmagazine.com,2024-10-11,
Sichuan-XinTian-20241020 S0002,智能城市管理系统,城市管理,城市智能,城市智能,2023-09-01,IBM,清华大学,已完成,2023-09-05,合格,IBM城市解决方案,数据集成、实时监控和预测分析,IBM,Sichuan-XinTian-20241020 S0002,城市智慧管理,城市智慧管理,自适应人工智能系统,IBM城市解决方案,V2.0,CityLab,https://www.citylab.com,2024-10-11,
Guangdong-HuaWei-20241019 S0003,金融智能分析系统,金融服务,数据分析,数据分析,2023-09-10,腾讯,复旦大学,招募中,2023-09-15,待审,腾讯金融,财务分析、市场预测,腾讯,Guangdong-HuaWei-20241019 S0003,投资分析、风险评估,投资分析、风险评估,量子人工智能系统,腾讯金融,V1.0,FinTech Times,https://www.fintechnews.com,2024-10-11,
Zhejiang-BaiDu-20241021 S0004,自然语言处理助手,语言处理,语言服务,语言服务,2023-10-10,百度,北京大学,已完成,2023-10-15,合格,百度科技,语音识别、文本分析,百度,Zhejiang-BaiDu-20241021 S0004,翻译、语音助手,翻译、语音助手,情感人工智能系统,百度科技,V1.5,AI Weekly,https://www.aiweekly.com,2024-10-11,
Henan-JunJian-20241022 S0005,气候智能监测系统,环境监测,环境保护,环境保护,2023-11-01,气候公司,中国科学院,招募中,2023-11-05,合格,气候科技,气象数据分析、环境监控,气候科技,Henan-JunJian-20241022 S0005,自然灾害预测、环境保护,自然灾害预测、环境保护,多模态人工智能系统,气候科技,V1.0,Environmental Science & Technology,https://www.est.com,2024-10-11,
Shandong-ZuoZhe-20241023 S0006,智能制造优化系统,制造行业,生产管理,生产管理,2023-12-01,海尔,陕西科技大学,已完成,2023-12-05,合格,海尔集团,制造数据分析、流程优化,海尔,Shandong-ZuoZhe-20241023 S0006,生产效率提升、成本控制,生产效率提升、成本控制,自我学习人工智能系统,海尔集团,V2.0,Manufacturing Weekly,https://www.manufacturingweekly.com,2024-10-11,
Hubei-YunXing-20241024 S0007,智能法务助手,法律服务,法律助手,法律助手,2024-01-01,律商网,华东政法大学,招募中,2024-01-05,待审,律商科技,案件分析、合同审核,律商网,Hubei-YunXing-20241024 S0007,法律咨询、合同管理,法律咨询、合同管理,分布式人工智能系统,律商科技,V1.0,LegalTech News,https://www.legaltechnews.com,2024-10-11,
Anhui-XingFu-20241025 S0008,智能供应链优化系统,物流管理,软件平台,软件平台,2023-07-01,阿里巴巴,华为,招募中,2023-07-05,合格,阿里巴巴科技,库存管理、需求预测和运输协调,阿里巴巴,Anhui-XingFu-20241025 S0008,物流管理,库存管理、运输优化,"狭义人工智能系统,广义人工智能系统,超级智能系统,自适应人工智能系统,自主学习人工智能系统,情感智能系统,集体智能系统,超越人类智能系统,类人智能系统,融合智能系统",阿里巴巴科技,V1.0,TechCrunch,http://www.logistics-tech.com,2024-10-11,
Jiangxi-QiXiang-20241026 S0009,智能气候分析平台,环境监测,数据分析,数据分析,2023-06-15,百度,清华大学,已完成,2023-06-20,合格,百度气候技术,气象数据分析、模型构建、趋势预测,百度,Jiangxi-QiXiang-20241026 S0009,环境监测,气候变化分析、自然灾害预测,窄人工智能系统,百度气候技术,V1.0,MIT Technology Review,http://www.mentalhealth.com,2024-10-11,
Liaoning-YuanChuang-20241027 S0010,农业可持续性评估系统,农业科技,评估工具,评估工具,2023-08-10,中国农业大学,农业部,招募中,2023-08-15,待审,农业可持续技术,土壤质量监测、作物生长评估,中国农业大学,Liaoning-YuanChuang-20241027 S0010,农业科技,可持续农业管理,广义人工智能系统,农业可持续技术,V1.0,科学日报,https://www.healthtechnews.com,2024-10-11,
Beijing-ZhiNeng-20241028 S0011,AI健康监测平台,医疗健康,健康管理,健康管理,2023-09-01,华为,复旦大学,已完成,2023-09-05,合格,华为健康科技,健康数据监测、个性化健康建议,华为,Beijing-ZhiNeng-20241028 S0011,医疗健康,慢性病监测、健康预警,超级人工智能系统,华为健康科技,V1.0,HealthTech Magazine,https://www.techcrunch.com,2024-10-11,
Shanghai-WeiXin-20241029 S0012,情感分析聊天机器人,客户服务,软件系统,软件系统,2023-07-20,腾讯,吉林大学,招募中,2023-07-25,合格,腾讯科技,自然语言处理、情绪识别,腾讯,Shanghai-WeiXin-20241029 S0012,客户服务,客户满意度分析,具身人工智能系统,腾讯科技,V1.0,Wired,https://www.edtechmagazine.com,2024-10-11,
Tianjin-JinXing-20241030 S0013,智能家居安全系统,安防监控,智能家居,智能家居,2023-09-15,美的,南方科技大学,已完成,2023-09-20,合格,美的科技,视频监控、入侵检测,美的,Tianjin-JinXing-20241030 S0013,安防监控,家庭安全监测,自适应人工智能系统,美的科技,V1.0,Gartner,https://www.citylab.com,2024-10-11,
Shaanxi-HuaZhong-20241031 S0014,无人机航拍监测系统,航空航天,技术平台,技术平台,2023-10-01,中航工业,南京理工大学,招募中,2023-10-05,待审,中航无人机,无人机控制、数据采集与分析,中航工业,Shaanxi-HuaZhong-20241031 S0014,航空航天,环境监测、地理信息采集,自主智能系统,中航无人机,V1.0,Aerospace Technology,https://www.fintechnews.com,2024-10-11,
Guangxi-ShengXing-20241101 S0015,基因组数据分析系统,生物科技,数据分析,数据分析,2023-10-10,华大基因,复旦大学,已完成,2023-10-15,合格,华大基因科技,基因组数据分析、精准医疗,华大基因,Guangxi-ShengXing-20241101 S0015,生物科技,遗传疾病分析,先验智能系统,华大基因科技,V1.0,Nature,https://www.aiweekly.com,2024-10-11,
Yunnan-ZhiHui-20241102 S0016,医疗影像分析系统,医疗健康,医疗设备,医疗设备,2023-03-01,阿里健康,清华大学,阿里,2023-03-05,合格,阿里医疗,影像处理、数据挖掘,阿里健康,Yunnan-ZhiHui-20241102 S0016,肺炎、心脏病,肺炎、心脏病,泛人工智能系统,阿里医疗,V1.0,HealthTech,https://www.est.com,2024-10-11,
Fujian-SuShi-20241103 S0017,智能客服系统,服务业,软件系统,软件系统,2023-02-15,百度,华为,百度,2023-02-20,待审,百度AI,自然语言处理、机器学习,百度,Fujian-SuShi-20241103 S0017,客户服务、信息查询,客户服务、信息查询,自适应人工智能系统,百度AI,V2.0,TechCrunch,https://www.manufacturingweekly.com,2024-10-11,
Hunan-JingZhi-20241104 S0018,城市气候预测系统,环境监测,气候系统,气候系统,2023-04-12,中国气象局,清华大学,国家气象服务,2023-04-17,合格,国家气象服务,气象数据收集、分析与预测,中国气象局,Hunan-JingZhi-20241104 S0018,气候监测、灾害预警,气候监测、灾害预警,泛化人工智能系统,国家气象服务,V1.0,Nature Climate Change,https://www.legaltechnews.com,2024-10-11,
Jilin-QingKe-20241105 S0019,个性化药物推荐系统,医疗健康,药物管理,药物管理,2023-06-05,辉瑞,国药集团,辉瑞制药有限公司,2023-06-10,合格,辉瑞制药有限公司,基因数据分析、药物数据库,辉瑞,Jilin-QingKe-20241105 S0019,癌症、遗传疾病,癌症、遗传疾病,认知人工智能系统,辉瑞制药有限公司,V1.0,Pharma Times,http://www.logistics-tech.com,2024-10-11,
Ningxia-JiZhi-20241106 S0020,智能保安监控系统,安防,安全产品,安全产品,2023-01-25,海康威视,中科院,海康科技,2023-02-01,合格,海康科技,视频监控、行为识别算法,海康威视,Ningxia-JiZhi-20241106 S0020,安防监控、入侵检测,安防监控、入侵检测,增强人工智能系统,海康科技,V1.0,Security Today,http://www.mentalhealth.com,2024-10-11,
Sichuan-XinTian-20241020 S0002,智能水资源管理系统,水利管理,环境管理,环境管理,2023-05-20,南方水利局,中国科学院,南方水利,2023-05-25,待审,南方水利,水质监测、用水优化,南方水利局,Sichuan-XinTian-20241020 S0002,水资源优化、环境保护,水资源优化、环境保护,具身人工智能系统,南方水利,V1.0,Environmental Progress,https://www.healthtechnews.com,2024-10-11,
Guangdong-HuaWei-20241019 S0003,工业预测维护系统,制造业,工业设备,工业设备,2023-07-01,西门子,哈尔滨工业大学,西门子工业,2023-07-05,合格,西门子工业,数据采集、故障预测,西门子,Guangdong-HuaWei-20241019 S0003,机械故障预警、产线管理,机械故障预警、产线管理,反事实人工智能系统,西门子工业,V1.0,Manufacturing News,https://www.techcrunch.com,2024-10-11,
Zhejiang-BaiDu-20241021 S0004,金融反欺诈系统,金融服务,风险控制,风险控制,2023-08-10,民生银行,北京大学,民生金融,2023-08-15,合格,民生金融,数据分析、行为模式识别,民生银行,Zhejiang-BaiDu-20241021 S0004,欺诈监测、客户验证,欺诈监测、客户验证,进化人工智能系统,民生金融,V1.0,Finance Today,https://www.edtechmagazine.com,2024-10-11,
Henan-JunJian-20241022 S0005,智能供应链优化系统,物流与供应链,供应链管理,供应链管理,2023-09-01,京东,南京大学,京东物流,2023-09-05,待审,京东物流,数据分析、需求预测,京东,Henan-JunJian-20241022 S0005,供应链管理、库存优化,供应链管理、库存优化,协作人工智能系统,京东物流,V1.0,Logistics Management,https://www.citylab.com,2024-10-11,
Shandong-ZuoZhe-20241023 S0006,智能健康监测系统,医疗健康,健康管理,健康管理,2023-07-01,阿里健康,中国医科大学,招募中,2023-07-05,待审,阿里健康科技,心率监测、运动追踪等功能,阿里健康,Shandong-ZuoZhe-20241023 S0006,心血管疾病、体重管理,心血管疾病、体重管理,窄域人工智能系统,阿里健康科技,V1.0,People's Daily Online,https://www.fintechnews.com,2024-10-11,
Hubei-YunXing-20241024 S0007,AI客服系统,客户服务,服务工具,服务工具,2023-07-15,腾讯,华东师范大学,已完成,2023-07-20,合格,腾讯科技,自然语言处理、情绪分析,腾讯,Hubei-YunXing-20241024 S0007,客户咨询、问题解决,客户咨询、问题解决,广域人工智能系统,腾讯科技,V2.0,China Tech News,https://www.aiweekly.com,2024-10-11,
Anhui-XingFu-20241025 S0008,物流自动化系统,物流管理,供应链管理,供应链管理,2023-08-01,顺丰科技,浙江大学,招募中,2023-08-05,待审,顺丰速运,运输调度、智能路径优化,顺丰科技,Anhui-XingFu-20241025 S0008,快递、货物运输,快递、货物运输,自适应人工智能系统,顺丰速运,V1.0,Logistics Times,https://www.est.com,2024-10-11,
Jiangxi-QiXiang-20241026 S0009,农作物产量预测系统,农业,农业管理,农业管理,2023-08-15,中粮集团,国家农业大学,已完成,2023-08-20,合格,中粮农业,气候数据分析、作物生长模拟,中粮集团,Jiangxi-QiXiang-20241026 S0009,小麦、玉米,小麦、玉米,自主人工智能系统,中粮农业,V1.0,China Agricultural Outlook,https://www.manufacturingweekly.com,2024-10-11,
Liaoning-YuanChuang-20241027 S0010,智能零售分析系统,商业分析,市场调研,市场调研,2023-06-10,京东,清华大学,招募中,2023-06-15,待审,京东集团,顾客行为分析、库存管理,京东,Liaoning-YuanChuang-20241027 S0010,零售业务优化,零售业务优化,认知人工智能系统,京东集团,V2.0,Retail China,http://www.logistics-tech.com,2024-10-11,
Beijing-ZhiNeng-20241028 S0011,智能金融投顾系统,金融服务,投资管理,投资管理,2023-05-25,平安证券,复旦大学,已完成,2023-05-30,合格,平安投资,投资组合优化、市场预测,平安证券,Beijing-ZhiNeng-20241028 S0011,证券投资、资产管理,证券投资、资产管理,增强人工智能系统,平安投资,V1.0,Sina Finance,http://www.mentalhealth.com,2024-10-11,
