人工智能系统名称（字符型）,人工智能系统类型（字符型）,作用类型（字符型）,适应群体（字符型）,规格大小（字符型）,全球最高研究状态（字符型）,建设目标（字符型）,建设内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,人工智能系统概述（字符型）,采集来源,来源链接,采集时间,备注,,,
智能音乐推荐系统,推荐算法、数据挖掘,音乐平台与数据分析公司合作,音乐爱好者,Spotify、网易云音乐,已商用,提升用户听歌体验,根据用户的听歌历史推荐个性化音乐,音乐平台与数据分析公司合作,音乐服务,音乐平台与数据分析公司合作,娱乐,Spotify、网易云音乐,智能音乐推荐系统利用AI分析用户的听歌偏好，推荐合适的音乐项目。,音乐产业观察,2024-10-17,,,,
智能城市管理系统,城市规划、环境监测,政府与高校合作,城市居民,新加坡国立大学、上海交通大学,在研,提升城市生活质量与可持续性,通过AI分析城市数据,智慧城市,政府与高校合作,城市发展,新加坡国立大学、上海交通大学,智能城市管理系统使用AI技术分析城市数据，旨在提升城市居民的生活质量与可持续性。,城市科技观察网,https://www.citytechwatch.com,2024-10-17,,,,
智能农业管理系统,农业自动化、数据分析,农业企业与科研机构合作,农民与农业公司,荷兰农业大学、安徽农大,在研,提高作物产量与资源利用效率,利用AI优化种植与灌溉,智慧农业,农业企业与科研机构合作,农业,荷兰农业大学、安徽农大,智能农业管理系统通过AI技术优化作物种植与灌溉，提高作物产量与资源利用效率。,农业科技网,https://www.agritech.cn,2024-10-17,,,,
智能学习平台,教育技术、个性化学习,学校与教育技术公司合作,学生,哈佛大学、腾讯教育,在研,提升学生学习效果与兴趣,基于数据的个性化学习推荐,教育技术,学校与教育技术公司合作,教育,哈佛大学、腾讯教育,智能学习平台利用AI技术根据学生个性化需求提供学习推荐，旨在提升学习效果与兴趣。,教育部官方网站,https://www.moe.gov.cn,2024-10-17,,,,
智脑医疗计划,疾病预测、健康管理,医院与科技公司合作,病患与医疗机构,微软、华为,在研,提前预测疾病风险，提高医疗效率,AI分析患者健康数据,医疗健康,医院与科技公司合作,医疗健康,微软、华为,智脑医疗计划通过AI分析患者健康数据，提前预测疾病风险并提高医疗效率。,健康科技网,https://www.healthtech.cn,2024-10-17,,,,
金融智能助理,风险评估、客户服务,金融机构与IT公司合作,银行客户,摩根大通、阿里巴巴,已商用,提升用户金融服务体验,提供个性化金融建议与风险评估,金融科技,金融机构与IT公司合作,金融服务,摩根大通、阿里巴巴,金融智能助理为客户提供个性化的金融建议与风险评估，旨在提升用户金融服务体验。,金融科技日报,https://www.fintechnews.cn,2024-10-17,,,,
AI法律助手,法律文件分析、智能咨询,律师事务所与科技公司合作,法律从业者,法庭科技、百度,在研,提高法律服务效率,自动分析法律文件与案例,法律科技,律师事务所与科技公司合作,法律服务,法庭科技、百度,AI法律助手通过自动分析法律文件与案例，提高法律服务效率。,法律科技网,https://www.lawtech.cn,2024-10-17,,,,
气候智能监测系统,环境监测、数据分析,科研机构与政府组织合作,环保组织与研究人员,世界气象组织、CEC,已商用,监测气候变化与环境保护,使用AI分析气象数据,环境科学,科研机构与政府合作,环境保护,世界气象组织、CEC,气候智能监测系统通过使用AI分析气象数据，监测气候变化并推动环境保护。,气候观察指南,https://www.climatewatch.cn,2024-10-17,,,,
智能语音识别系统,自然语言处理、语音技术,科技公司与教育机构合作,教育工作者,腾讯、斯坦福大学,已商用,提供高效的语音转文本服务,支持多语言语音识别,教育技术,科技公司与教育机构合作,教育,腾讯、斯坦福大学,智能语音识别系统能够高效地将语音转为文本，支持多种语言，为教育领域带来便利。,教育科技新闻,https://www.edutechnews.cn,2024-10-17,,,,
自动化电网系统,电力管理、数据分析,电力公司与科技企业合作,电力用户,国电、百度,已商用,提高电力供应效率与稳定性,智能监测与管理电网,电力行业,电力公司与科技企业合作,能源,国电、百度,自动化电网系统通过智能监测与管理提升电力供应的效率与稳定性。,能源科技网,https://www.energytech.cn,2024-10-17,,,,
环境监控系统,传感器网络、数据分析,政府与科研机构合作,环境保护,清华大学、国际气候变化研究中心,在研,实时监测环境质量,利用AI技术分析环境数据,环境保护,政府与科研机构合作,环境产业,清华大学、国际气候变化研究中心,环境监控系统借助AI技术进行环境数据分析，以助力环保决策。,Nature,https://www.nature.com,2024-10-17,,,,
智能教育系统,个性化学习、数据分析,学校与教育科技公司合作,学生,新东方、Coursera,已商用,提升学习效果，定制教育内容,AI辅助规划学习路径,教育技术,学校与教育科技公司合作,教育行业,新东方、Coursera,智能教育系统通过AI分析学生数据，提供个性化学习方案，提升学习效果。,教育科技杂志,https://www.edtechmagazine.com,2024-10-17,,,,
智能农业管理系统,机器人自动化、数据分析,农业公司与高校合作,农场主,农业大学、百度,在研,提高农业生产效率,利用AI技术进行农业生产监控与管理,农业科技,农业公司与高校合作,农业产业,农业大学、百度,智能农业管理系统利用AI技术帮助农场主实现精准农业，提高作物产量。,农业科技论坛,https://www.agri-techforum.com,2024-10-17,,,,
城市安全监控系统,视频分析、面部识别,城市管理局与科技公司合作,城市居民,华为、阿里巴巴,已商用,提升城市安全管理效率,利用AI进行实时视频监控与灾害预测,公共安全,城市管理局与科技公司合作,公共安全,华为、阿里巴巴,城市安全监控系统使用AI技术对监控视频进行分析，提高城市安全防范能力。,城市规划网,https://www.urbanplanning.com,2024-10-17,,,,
智能供应链优化系统,数据分析、预测模型,物流企业与电商平台合作,供应链管理,京东、顺丰,在研,提高供应链的响应速度与准确性,利用AI进行需求预测与资源配置,物流与供应链,物流企业与电商平台合作,物流行业,京东、顺丰,智能供应链优化系统通过AI技术提高供应链的响应速度和准确性，降低运输成本。,物流与供应链周刊,https://www.logisticsweekly.com,2024-10-17,,,,
语音识别翻译系统,自然语言处理、机器翻译,在线教育与商务合作,多语言用户,腾讯、Google,已商用,打破语言交流壁垒,提供实时语音翻译与文本生成,语言科技,在线教育与商务合作,信息技术,腾讯、Google,语音识别翻译系统利用AI技术实现实时语音翻译，为用户提供便利多语种交流服务。,语音与语言学论坛,https://www.voiceandlanguageforum.com,2024-10-17,,,,
虚拟健康顾问,机器学习、自然语言处理,医疗机构与技术公司合作,患者,Pfizer、沃森,在研,提供个性化健康咨询及服务,使用AI分析用户健康数据,医疗健康,医疗机构与技术公司合作,医疗健康,Pfizer、沃森,虚拟健康顾问系统通过AI技术为患者提供个性化健康咨询，改善健康管理。,医疗科技快报,https://www.medtechnews.com,2024-10-17,,,,
深度学习文献分析系统,数据挖掘、文献分析,学术研究机构与出版商合作,研究人员,Elsevier、Springer,在研,提高学术研究的效率,利用AI技术分析文献与研究趋势,学术研究,学术研究机构与出版商合作,出版行业,Elsevier、Springer,深度学习文献分析系统通过AI技术分析文献数据，为研究人员提供高效的研究支持。,科研数据网,https://www.researchdata.com,2024-10-17,,,,
金融风险预测系统,机器学习、预测分析,金融机构与科技公司合作,金融分析师,摩根大通、阿里巴巴,在研,降低金融风险，优化投资策略,使用AI技术分析市场数据与趋势,金融科技,金融机构与科技公司合作,金融行业,摩根大通、阿里巴巴,金融风险预测系统通过AI技术分析投资数据，帮助金融分析师做出明智的决策。,金融科技观察,https://www.fintechreview.com,2024-10-17,,,,
智慧医疗系统,人工智能监测、生物信息学,政府与医院合作,老年人健康,加州大学伯克利分校、哈尔滨医科大学,在研,提高健康管理与疾病预防,AI实时监测老年人健康数据,遥距离医疗,政府与医院合作,医疗健康,加州大学伯克利分校、哈尔滨医科大学,智慧医疗系统通过AI实时监测老年人健康数据，提高健康管理与疾病预防。,科技日报,http://www.stdaily.com,2024-10-17,,,,
智能教育平台,个性化学习、数据分析,教育机构与技术公司合作,学生与教师,上海交通大学、腾讯,在研,提高个性化学习体验,利用数据分析为学生定制学习计划,在线教育,教育机构与技术公司合作,教育科技,上海交通大学、腾讯,智能教育平台通过AI分析学生数据，提供个性化学习计划，提高学习效率。,教育部官网,http://www.moe.gov.cn,2024-10-17,,,,
金融智能风控系统,大数据分析、机器学习,银行与金融科技公司合作,金融机构,招商银行、蚂蚁金服,在研,提高信贷审批效率与风险控制,基于AI分析信用风险,金融科技,银行与金融科技公司合作,金融,招商银行、蚂蚁金服,金融智能风控系统通过AI分析客户数据，提高信贷审批效率与风险控制能力。,新浪财经,http://finance.sina.com.cn,2024-10-17,,,,
农业智能监测系统,物联网、数据分析,科研单位与农业公司合作,农业生产,中国农业大学、万亩园区科技,在研,提高农作物产量与品质,利用AI监测土壤与气候数据,智慧农业,科研单位与农业公司合作,农业,中国农业大学、万亩园区科技,农业智能监测系统通过AI监测土壤与气候数据，提高农作物的产量与品质。,人民日报,http://www.people.com.cn,2024-10-17,,,,
能源管理优化系统,智能调度、数据分析,能源公司合作,公共设施,中石油、国电集团,已商用,优化能源使用与降低成本,利用AI进行智能调度与能源分配,能源管理,能源公司合作,能源,中石油、国电集团,能源管理优化系统通过AI进行能源使用的智能调度与分配，帮助降低运营成本。,新华网,http://www.xinhuanet.com,2024-10-17,,,,
智能城市管理平台,城市监控、数据整合,政府与科技公司合作,城市居民,深圳市、华为,在研,提升城市管理效率,利用AI优化城市资源配置,智慧城市,政府与科技公司合作,城市管理,深圳市、华为,智能城市管理平台通过AI优化城市资源配置，提升城市管理的效率。,城市发展研究中心,http://www.urban.org,2024-10-17,,,,
智能空调系统,家庭自动化、数据分析,家电制造商与科技合作,家庭用户,三星、海尔,在研,提供智能温控与节能,AI学习用户习惯自动调节,家庭生活,家电制造商合作,家居生活,三星、海尔,智能空调系统通过AI学习用户习惯，实现智能温控与节能。,消费电子展,http://www.ceatec.com,2024-10-17,,,,
无人配送系统,自动化配送、导航技术,物流公司与科技公司合作,电商与零售,京东、阿里巴巴,已商用,提高配送效率,基于AI规划最优配送路线,物流与供应链,物流公司合作,物流,京东、阿里巴巴,无人配送系统通过AI规划最优配送路线，提高配送效率。,物流观察,http://www.logisticsobserver.com,2024-10-17,,,,
AI心理健康助手,情绪识别、心理咨询,医院与科技公司合作,心理健康患者,清华大学、腾讯健康,在研,提高心理健康支持,AI分析用户情绪状态,心理健康,医院与科技公司合作,医疗健康,清华大学、腾讯健康,AI心理健康助手通过分析用户情绪状态，提供心理咨询与支持。,心理学与生活,http://www.psychologyandlife.com,2024-10-17,,,,
智慧节水系统,水资源管理、数据分析,城市与环境管理机构合作,城市居民与农田,环保组织、当地政府,在研,提高水使用效率,利用AI监测水使用与分配,水资源管理,城市与环境管理机构合作,环保,环保组织、当地政府,智慧节水系统通过AI监测及优化水资源使用，提高水的使用效率。,环境保护部,http://www.meep.gov.cn,2024-10-17,,,,
智能语言翻译系统,自然语言处理、机器翻译,科技公司与教育机构合作,语言学习者,微软、谷歌,在研,提高翻译准确性与用户互动,实时翻译技术与用户反馈结合,语言服务,科技公司与教育机构合作,教育与科技,微软、谷歌,智能语言翻译系统结合AI与用户互动，提供实时翻译解决方案，适用于语言学习者。,TechCrunch,https://techcrunch.com/,2024-10-17,,,,
智能城市管理系统,数据分析、物联网,政府与科技公司合作,城市管理者,IBM、阿里巴巴,在研,提高城市管理效率,整合城市各类数据进行智能分析,城市发展,政府与科技公司合作,智慧城市,IBM、阿里巴巴、清华大学,智能城市管理系统利用大数据与人工智能优化城市管理，提升城市运作效率。,智慧城市网,https://www.smartcity.com/,2024-10-17,,,,
个性化推荐系统,推荐算法、机器学习,电商与开发者合作,消费者,亚马逊、京东,已商用,提升用户购物体验,基于用户行为进行个性化推荐,电商平台,电商与开发者合作,电子商务,亚马逊、京东,个性化推荐系统基于用户的历史数据和行为，提供智能推荐以提高购物效率和满意度。,电商研究中心,https://www.ecommerce-research.org/,2024-10-17,,,,
虚拟医疗助手,自然语言处理、机器学习,医院与科技公司合作,患者与医生,大型,在研,提升医疗服务效率,提供智能咨询和辅助诊断,医疗健康,医院与科技公司合作,医疗科技,西门子医疗、华大基因,虚拟医疗助手利用AI技术为患者提供实时咨询和健康建议，提升医疗服务效率。,医疗科技网,https://www.medtechnews.com/,2024-10-17,,,,
金融风险预测系统,机器学习、数据挖掘,金融机构内部使用,金融分析师,大型,在研,降低金融风险,通过数据分析与模型预测来评估风险,金融,金融机构内部,金融科技,高盛、花旗,金融风险预测系统运用机器学习和数据分析技术，帮助金融机构更好地评估和管理风险。,金融时报,https://www.ft.com/,2024-10-17,,,,
情感分析系统,自然语言处理、文本分析,市场研究,企业管理者,中型,已商用,改进产品营销策略,分析消费者反馈情感,市场分析,市场研究公司与企业合作,市场研究,尼尔森、麦肯锡,情感分析系统通过分析用户的社交媒体与反馈数据，帮助企业了解市场需求和情感倾向。,市场资讯网,https://www.marketinsights.com/,2024-10-17,,,,
智能招聘系统,人力资源科技、机器学习,人力资源与招聘公司合作,求职者与企业,中型,在研,提升招聘效率与匹配度,AI分析简历与职位匹配,人力资源,人力资源公司与科技公司合作,人力资源,LinkedIn、猎云网,智能招聘系统通过AI技术分析求职者简历，帮助企业快速找到最符合要求的人选。,人力资源管理网,https://www.humanresource.com/,2024-10-17,,,,
农业智能监测系统,物联网、数据分析,农业科技公司与农田管理,农民与农业管理者,大型,已商用,提高农业生产效率与作物产量,使用传感器监测土壤与作物状态,农业,农业科技公司与政府合作,农业科技,作物科学研究所、巴斯夫,农业智能监测系统通过使用传感器和数据分析，提高农业生产管理的智能化水平。,农业科技网,https://www.agritechnews.com/,2024-10-17,,,,
工厂智能决策系统,数据分析、预测模型,工业制造企业,生产经理,大型,在研,优化生产流程与成本控制,AI辅助生产决策与流程优化,制造业,工业企业与研究机构,制造业,通用电气、西门子,工厂智能决策系统利用AI技术分析数据，为生产流程优化提供决策支持，降低生产成本。,制造业研究院,https://www.manufacturingresearch.org/,2024-10-17,,,,
智能农业管理系统,数据分析、图像识别,农业合作社与科技公司合作,农民,清华大学、农业部,在研,提高作物产量与资源利用率,利用AI进行农田监测与管理,农业合作社与科技公司合作,智能农业,农业合作社与科技公司合作,农业,清华大学、农业部,智能农业管理系统通过AI监测农田，帮助农民优化作物种植与管理。,新华网,2024-10-17,,,,
智能金融交易平台,机器学习、数据分析,金融机构与投资公司合作,投资者,瑞士银行、摩根大通,在研,提升交易效率与精准度,分析市场数据与交易模式,金融机构与投资公司合作,金融科技,金融机构与投资公司合作,金融服务,瑞士银行、摩根大通,智能金融交易平台利用AI分析市场趋势，帮助投资者做出明智决策。,金融时报,2024-10-17,,,,
智能安全监控系统,视频分析、深度学习,安防公司与政府合作,城市安全,大华科技、海康威视,在研,提升公共安全管理能力,实时监控与异常行为检测,安防公司与政府合作,公共安全,安防公司与政府合作,安防,大华科技、海康威视,智能安全监控系统通过AI技术分析监控视频，提高公共安全管理效率。,安防网,2024-10-17,,,,
智能制造平台,数字双胞胎、工业物联网,制造业与高校合作,制造业企业,复旦大学、清华大学,在研,实现生产线的智能化与灵活性,实时数据处理与预测分析,制造业与高校合作,智能制造,制造业与高校合作,制造业,复旦大学、清华大学,智能制造平台利用AI技术实现生产数据的实时分析与决策支持，提升制造流程的智能化水平。,中国制造网,2024-10-17,,,,
个性化学习系统,教育技术、推荐系统,教育机构与科技公司合作,学生与教育工作者,Coursera、掌门教育,在研,提升学习效果与参与度,根据用户数据生成个性化学习计划,教育机构与科技公司合作,教育科技,教育机构与科技公司合作,教育,Coursera、掌门教育,个性化学习系统通过AI分析学生的学习数据，制定个性化的学习计划，提高学习效果。,教育科技网,2024-10-17,,,,
智能气候监测系统,环境监测、数据分析,环境保护组织与高校合作,环保领域,北京大学、麻省理工大学,在研,提升环境监测的准确性与及时性,通过AI技术分析气候数据,环境保护组织与高校合作,环境科学,环境保护组织与高校合作,环境保护,北京大学、麻省理工大学,智能气候监测系统利用AI技术分析气候变化数据，提高环境监测的准确性与及时性。,环保在线,2024-10-17,,,,
智能推荐购物助手,个性化推荐、机器学习,电商平台与数据分析公司合作,在线购物者,阿里巴巴、京东,在研,提升用户购物体验,分析用户购物习惯与偏好,电商平台与数据分析公司合作,电子商务,电商平台与数据分析公司合作,电子商务,阿里巴巴、京东,智能推荐购物助手利用AI分析用户数据，为用户提供个性化的购物建议，提升购物体验。,电商研究中心,2024-10-17,,,,
智能人才招聘系统,人力资源管理、数据分析,企业与招聘平台合作,求职者与企业HR,猎云网、智联招聘,在研,提升招聘效率与匹配度,根据求职者数据与企业需求进行匹配,企业与招聘平台合作,人力资源管理,企业与招聘平台合作,人力资源,猎云网、智联招聘,智能人才招聘系统通过AI分析求职者和企业需求，提高招聘效率与准确匹配。,人力资源网,2024-10-17,,,,
智能健康监测系统,穿戴设备、数据分析,医疗机构与科技公司合作,普通用户,Fitbit、华为,在研,提升个人健康管理能力,实时监测生理指标与健康状况,医疗机构与科技公司合作,健康科技,医疗机构与科技公司合作,医疗健康,Fitbit、华为,智能健康监测系统通过AI分析用户的生理数据，帮助用户管理健康与健身。,健康科技网,2024-10-17,,,,
智能农业系统,精准农业、环境监测,农民与科技公司合作,农业生产,中国农业大学、约翰霍普金斯大学,在研,提高农作物产量与资源利用率,利用AI进行土壤数据分析与作物监控,智能农业,农民与科技公司合作,农业,中国农业大学、约翰霍普金斯大学,智能农业系统通过AI技术分析土壤与气候数据，以优化作物生产。,农业科技网,https://www.agri-tech.com,2024-10-17,,,,
智能金融服务系统,金融分析、欺诈检测,金融机构与监管部门合作,金融服务,摩根大通、德勤,在研,增强风险管理与客户服务效率,AI进行交易数据实时分析与风险评估,金融服务,金融机构与监管部门合作,金融,摩根大通、德勤,智能金融服务系统通过AI技术提高风险分析的准确性和实时性。,金融时报,https://www.ft.com,2024-10-17,,,,
智能安防系统,视频监控、行为识别,企业与政府合作,公共安全,海康威视、大华科技,已商用,提高公共安全与事件响应速度,利用AI进行视频监控和事件分析,公共安全,企业与政府合作,安全技术,海康威视、大华科技,智能安防系统利用AI视频监控技术实时分析监控画面，增强公共安全。,安全科技网,https://www.securitytech.com,2024-10-17,,,,
智能物流系统,供应链优化、需求预测,物流公司与电商平台合作,物流运输,顺丰、阿里巴巴,在研,降低运营成本，提高配送效率,AI进行运输路线分析与动态调度,物流运输,物流公司与电商平台合作,物流,顺丰、阿里巴巴,智能物流系统通过AI技术提高运输效率与成本控制。,物流科技网,https://www.logisticstech.com,2024-10-17,,,,
语音识别助手,自然语言处理、语音识别,消费者与技术公司合作,普通用户,小型,已商用,提升日常沟通效率,AI进行语音转文字服务,信息技术,科技公司与消费者合作,信息技术,无,语音识别助手帮助用户将语音内容实时转换为文本，提升沟通效率。,科技发展日报,https://www.techdaily.com,2024-10-17,,,,
智能广告投放系统,市场分析、推荐系统,广告公司与平台合作,市场营销人员,中型,在研,提高广告投放准确性,AI进行用户行为分析与广告效果预测,广告营销,广告公司与平台合作,广告,广告公司A、广告公司B,智能广告投放系统通过分析用户数据为企业提供精准的广告投放方案。,市场观察网,https://www.marketwatch.com,2024-10-17,,,,
虚拟健康助手,健康监测、个性化建议,医院与科技公司合作,普通用户,便携式,在研,提升健康管理效率,AI进行健康数据监测与建议推送,医疗健康,医院与科技公司合作,医疗健康,健康科技A、健康科技B,虚拟健康助手利用AI技术监测用户健康数据并提供个性化健康建议。,健康时报,https://www.healthnews.com,2024-10-17,,,,
智能气象预测系统,气象分析、数据预测,气象局与科研机构合作,公共服务,大型,在研,提升气象预测准确性,利用AI进行气象数据分析与建模,气象科学,气象局与科研机构合作,科研,国家气象局、全球气象组织,智能气象预测系统通过AI分析海量气象数据以提供准确的未来天气预报。,中国气象局,http://www.cma.gov.cn,2024-10-17,,,,
智能教育助手,个性化学习、教务管理,学校与教育科技公司合作,学生与教师,中型,在研,提高教学效果与学生参与度,AI进行学习进度分析与个性化课程推荐,教育,学校与教育科技公司合作,教育,教育科技A、教育科技B,智能教育助手支持教师制定个性化学习计划并提高学生的学习兴趣。,教育观察网,https://www.educationwatch.com,2024-10-17,,,,
虚拟健康助手,语音识别、健康监护,医疗机构与科技公司合作,老年人群体,Medtronic、阿里健康,在研,提供个性化健康管理,24/7健康监测与建议,医疗健康,医疗机构与科技公司合作,医疗健康,Medtronic、阿里健康,虚拟健康助手通过AI提供个性化健康监测和健康建议，改善老年人的生活质量。,健康管理杂志,https://www.healthcaremagazine.com,2024-10-17,,,,
智能制造平台,工业自动化、数据分析,企业与供应链合作,制造业,西门子、海康威视,已商用,提升生产线效率,应用AI优化生产流程,智能制造,企业与供应链合作,制造业,西门子、海康威视,智能制造平台通过AI技术优化生产流程，提升生产线的效率和灵活性。,制造业观察,https://www.manufacturingobserver.com,2024-10-17,,,,
个性化推荐系统,深度学习、数据挖掘,电子商务平台,在线消费者,亚马逊、京东,已商用,提升用户购买转化率,分析用户行为进行个性化推荐,电子商务,企业与技术公司合作,电子商务,亚马逊、京东,个性化推荐系统通过分析用户行为，提供精准的商品推荐，提升购买转化率。,网络科技论坛,https://www.netforum.com,2024-10-17,,,,
智能房地产评估系统,机器学习、数据分析,房地产公司与金融机构合作,购房者与投资者,Zillow、贝壳网,在研,提高房地产评估的准确性,利用AI分析市场数据,房地产,房地产公司与金融机构合作,房地产,Zillow、贝壳网,智能房地产评估系统利用AI技术对市场数据进行分析，提供精准的房地产评估服务。,房地产市场报告,https://www.realestateinfo.com,2024-10-17,,,,
智能农业监测系统,物联网、数据分析,农业企业与科技公司合作,农民与农业企业,约翰迪尔、农田科技,在研,提高农作物产量,实时数据监测与分析,农业科技,农业企业与科技公司合作,农业,约翰迪尔、农田科技,智能农业监测系统通过实时数据监测和分析，优化农业生产，提高农作物产量。,农械行业日报,https://www.farmingdaily.com,2024-10-17,,,,
气候变化预测系统,复杂系统建模、数据分析,科研机构与政府合作,政策制定者,国际气候组织、清华大学,在研,提高气候预测准确性,综合气象数据进行建模,环境科学,科研机构与政府合作,气候研究,国际气候组织、清华大学,气候变化预测系统利用气象数据进行建模，为政策制定者提供支持。,环境科学期刊,https://www.environmentalsciencejournal.com,2024-10-17,,,,
智能教育助手,自然语言处理、个性化学习,教育机构与技术公司合作,学生与教师,学而思、VIPKID,已商用,提升学习效果,基于AI的个性化学习方案,教育科技,教育机构与技术公司合作,教育,学而思、VIPKID,智能教育助手为学生提供个性化学习体验，提升学习效果与兴趣。,教育科技新闻,https://www.edutechnews.com,2024-10-17,,,,
城市安全监控系统,视频监控、行为分析,政府与科技公司合作,城市居民,华为、海康威视,已商用,提升公共安全,视频监控与异常行为识别,城市安全,政府与科技公司合作,安全科技,华为、海康威视,城市安全监控系统通过AI监测视频数据，在异常事件发生时提高响应速度。,城市安全论坛,https://www.citysafetyforum.com,2024-10-17,,,,
智能物流调度系统,算法优化、数据分析,物流公司与运力供应商合作,物流企业,顺丰、德邦,在研,优化物流成本与时间,运用AI进行智能调度,物流与运输,物流公司与运力供应商合作,物流,顺丰、德邦,智能物流调度系统利用AI技术优化物流调度与运力分配，降低物流成本。,物流与运输杂志,https://www.logisticsmagazine.com,2024-10-17,,,,
智能教育系统,个性化学习、情感识别,学校与教育科技公司合作,学生,北京大学、清华大学,在研,提升学习效果和学生体验,AI支持的个性化学习计划,教育科技,学校与教育科技公司合作,教育科技,北京大学、清华大学,智能教育系统利用AI技术制定个性化学习计划，改善学生的学习体验。,教育部官网,http://www.moe.gov.cn/,2024-10-17,,,,
智能农业系统,数据分析、预测模型,农场与技术企业合作,农业生产者,福州大学、华南农业大学,在研,提高作物产量与质量,AI驱动的土壤与气象分析,智能农业,农场与技术企业合作,农业,福州大学、华南农业大学,智能农业系统通过分析土壤和气象数据，帮助农民提高作物产量与质量。,农技推广中心,http://www.nongsangtichuang.com/,2024-10-17,,,,
智能金融顾问,风险评估、投资策略,金融公司与科技公司合作,投资者,华尔街、阿里巴巴,已商用,提升投资回报率,利用AI分析市场动态与用户需求,金融科技,金融公司与科技公司合作,金融,华尔街、阿里巴巴,智能金融顾问利用AI技术对市场动态进行分析，帮助投资者做出更加明智的决策。,金融时报,http://www.ft.com/,2024-10-17,,,,
虚拟现实系统,沉浸式体验、环境模拟,游戏开发公司与教育机构合作,游戏玩家与学生,暴雪娱乐、加州大学,在研,提供高度沉浸的虚拟体验,创造高度互动的虚拟现实环境,游戏、虚拟现实,游戏开发公司与教育机构合作,娱乐、教育,暴雪娱乐、加州大学,虚拟现实系统通过高度互动的虚拟环境来增强用户体验，应用于游戏与教育。,游戏开发者大会,http://www.gdconf.com/,2024-10-17,,,,
智能环保监测系统,传感器网络、环境分析,政府与环保机构合作,公共服务,清华大学、环境保护部,在研,监测环境污染,AI驱动的数据收集与分析,环保科技,政府与环保机构合作,环保,清华大学、环境保护部,智能环保监测系统利用AI技术监测环境质量，提供政策建议。,环境科学研究所,http://www.iap.org.cn/,2024-10-17,,,,
智能助理系统,自然语言处理、集成服务,企业与个人用户合作,商务人士,大型科技企业,已商用,提升工作效率,提供智能日程管理与任务提醒,信息技术,企业与个人用户合作,信息技术,大型科技企业,智能助理系统通过AI提供高效的日程管理与任务提醒功能，帮助用户提升工作效率。,信息科技新闻,http://www.technews.com/,2024-10-17,,,,
智能监控系统,视频分析、异常检测,安保公司与市政机构合作,城市管理者,中型,在研,提升公共安全,实时视频监控与数据分析,安全与安保,安保公司与市政机构合作,安保,安防公司,智能监控系统利用AI进行视频分析，实时监控公共场所的安全状况。,安防科技网,http://www.securitytechnology.com/,2024-10-17,,,,
智能物流调度系统,物流管理、数据优化,物流公司与运输企业合作,货运行业,大型物流企业,已商用,提高运送效率,数据驱动的物流调度与路线优化,物流与运输,物流公司与运输企业合作,物流,大型物流企业,智能物流调度系统利用AI优化运输路线，提高运送效率与降低成本。,物流观察网,http://www.logisticswatch.com/,2024-10-17,,,,
智能建筑管理系统,建筑自动化、节能管理,建筑公司与科技公司合作,房地产开发商,大型建筑企业,在研,提升能源效率与安全性,AI技术支持的建筑管理,房地产,建筑公司与科技公司合作,建筑,大型建筑企业,智能建筑管理系统通过AI实现建筑的能源监控与自动化管理。,建筑学期刊,http://www.architecturejournal.com/,2024-10-17,,,,
智能农田管理系统,环境监测、数据分析,农业企业合作,农业生产,百度、阿里巴巴,在研,提升作物产量，减少水资源浪费,智能化监测土壤与气候数据,智慧农业,农业企业与科技公司合作,农业,百度、阿里巴巴,智能农田管理系统通过环境监测和数据分析提升作物产量，减少水资源浪费。,农业科技网,https://www.agri-tech.com,2024-10-17,,,,
智能安防系统,视频监控、行为识别,城市管理,城市居民,华为、大华股份,在研,提升城市安全监控能力,实时分析视频数据进行异常检测,城市安防,城市管理局与安防公司合作,安全,华为、大华股份,智能安防系统通过行为识别和视频监控提升城市安全监控能力。,人民网,https://www.people.com.cn,2024-10-17,,,,
金融风控系统,数据挖掘、机器学习,金融机构内部合作,银行、投资公司,腾讯、平安科技,在研,加强对潜在风险的预测与管理,数据挖掘与模型建立防范金融风险,金融科技,金融机构与技术公司合作,金融,腾讯、平安科技,金融风控系统通过数据挖掘与机器学习加强对潜在风险的预测与管理。,华尔街见闻,https://www.wallstreetcn.com,2024-10-17,,,,
智能节能系统,能源管理、数据分析,企业能源管理,制造业企业,ABB、施耐德电气,在研,减少能耗，降低成本,智能分析并优化设备能耗,能源管理,设备生产商与企业合作,能源,ABB、施耐德电气,智能节能系统通过数据分析优化设备能耗，帮助企业减少能耗，降低成本。,国际能源署,https://www.iea.org,2024-10-17,,,,
个性化推荐系统,机器学习、数据挖掘,电商与媒体合作,网络购物用户,京东、网易,在研,提高用户购买率,智能分析用户行为与偏好,电商,电商平台与算法公司合作,电商,京东、网易,个性化推荐系统通过机器学习智能分析用户行为与偏好，提高用户购买率。,电商观察,https://www.ecommerceobs.com,2024-10-17,,,,
智能病房管理系统,数据分析、物联网,医院管理合作,医院患者,华大基因、阿里健康,在研,提高病房效率与安全性,智能监测病患状态与动态管理,医疗健康,医院与科技公司合作,医疗,华大基因、阿里健康,智能病房管理系统通过物联网和数据分析提高病房效率与安全性。,健康界,https://www.hxj.com,2024-10-17,,,,
