视频分辨率（字符型）,图像传感器数目（数值型）,单位,视频采集接口及速率（字符型）,本地缓存容量（字符型）,本地显示分辨率（字符型）,最大传输带宽（字符型）,远程显示分辨率（数值型）,单位.1,传输距离（数值型）,单位.2,系统总延时（数值型）,单位.3,系统调试接口（字符型）,设备供电电压（字符型）,功耗（字符型）,单位.4,采集来源,来源链接,采集时间,备注
1280x720,2,个,"HDMI, USB, >8Gbps",4GB,720P,8Gbps,720,P,30,米,14,毫秒,"VGA, USB 3.0",AC5V,30,W,业界动态,https://www.industrydynamic.com,,
4096x2304,1,个,"HDMI, Ethernet, >50Gbps",16GB,4K,50Gbps,2304,P,120,米,17,毫秒,"USB 3.1, RS232",AC220V,110,W,媒体科技,https://www.mediastudy.com,,
3840x2160,5,个,"HDMI, Thunderbolt, >80Gbps",60GB,4K,80Gbps,2160,P,200,米,37,毫秒,"USB-C, Ethernet",AC240V,600,W,视频分析,https://www.videoanalysis.com,,
2560x1440,2,个,"HDMI, Fiber Optic, >25Gbps",10GB,1440P,25Gbps,1440,P,85,米,28,毫秒,"USB 3.1, RS422",AC220V,110,W,互联网电视,https://www.iptv.com,,
640x480,1,个,"USB, HDMI, >1Gbps",2GB,480P,1Gbps,480,P,20,米,15,毫秒,USB,AC5V,10,W,在线教育,https://www.onlineeducation.com,,
1920x1080,1,个,"HDMI, USB 3.0, >10Gbps",4GB,1080P,10Gbps,1080,P,50,米,17,毫秒,"HDMI, USB",AC12V,45,W,消费电子网,https://www.consumerelectronics.com,,
3840x2160,3,个,"HDMI, Ethernet, >20Gbps",16GB,4K,20Gbps,2160,P,150,米,30,毫秒,"RS232, USB-C",AC110V,90,W,高清视讯论坛,https://www.hdvideoforum.com,,
2560x1440,2,个,"SDI, HDMI, >15Gbps",8GB,1440P,15Gbps,1440,P,100,米,20,毫秒,"VGA, Ethernet",AC240V,70,W,科技快讯,https://www.technews.com,,
7680x4320,6,个,"HDMI, SDI, >100Gbps",128GB,8K,100Gbps,4320,P,400,米,40,毫秒,"USB 3.1, HDMI",AC260V,500,W,未来科技,https://www.futuretech.com,,
1920x1080,1,个,"USB-C, VGA, >5Gbps",4GB,1080P,5Gbps,1080,P,30,米,20,毫秒,USB,AC5V,20,W,视频技术社区,https://www.videotechnologycommunity.com,,
5120x2880,4,个,"HDMI, USB-C, >35Gbps",32GB,5K,35Gbps,1440,P,80,米,18,毫秒,"USB 3.1, HDMI",AC110V,150,W,设备评测网,https://www.devicereview.net,,
2560x1080,2,个,"HDMI, SDI, >30Gbps",16GB,UltraWide,30Gbps,1080,P,60,米,28,毫秒,"HDMI, USB",AC5V,55,W,前沿数字媒体,https://www.digitalmediafrontier.com,,
3840x2160,1,个,"HDMI, USB-C, >25Gbps",8GB,4K,25Gbps,2160,P,120,米,22,毫秒,RS232,AC220V,90,W,科技趋势,https://www.techtrends.com,,
1280x720,1,个,"HDMI, VGA, >6Gbps",2GB,720P,6Gbps,480,P,20,米,14,毫秒,USB,AC5V,18,W,数码科技,https://www.digitaltech.com,,
5120x2880,3,个,"USB 3.0, HDMI, >30Gbps",16GB,5K,30Gbps,1440,P,70,米,21,毫秒,"USB, RS232",AC120V,115,W,视频设备观察,https://www.videodevicewatch.com,,
3840x2160,2,个,"HDMI, USB-C, >25Gbps",32GB,4K,25Gbps,2160,P,150,米,24,毫秒,"VGA, Ethernet",AC240V,150,W,电子讯息网,https://www.electronicnews.com,,
1280x720,1,个,"HDMI, USB, >4Gbps",4GB,720P,4Gbps,480,P,25,米,16,毫秒,USB,AC5V,14,W,新科技资讯,https://www.newtechnews.com,,
3840x2160,2,个,"SDI, HDMI, >30Gbps",64GB,4K,30Gbps,2160,P,120,米,28,毫秒,"USB 3.1, RS232",AC110V,200,W,硬件评测中心,https://www.hardwaretestcenter.com,,
4096x2160,3,个,"HDMI, USB 3.0, >40Gbps",32GB,4K,40Gbps,2160,P,150,米,25,毫秒,"USB-C, Ethernet",AC220V,100,W,科技前沿,https://techfrontier.com,,
1920x1080,1,个,"HDMI, Type-C, >10Gbps",4GB,1080P,10Gbps,1080,P,40,米,30,毫秒,"HDMI, USB",AC110V,60,W,高清视频之家,https://www.videohome.com,,
2560x1440,2,个,"SDI, HDMI, >15Gbps",16GB,1440P,15Gbps,1440,P,60,米,20,毫秒,"USB, RS232",AC110V,70,W,动态影像,https://www.dynamicimage.com,,
3840x2160,4,个,"HDMI, SDI, >25Gbps",8GB,4K,25Gbps,2160,P,80,米,28,毫秒,"Ethernet, USB-C",AC240V,150,W,4K 视界,https://www.4kvision.com,,
5120x2880,3,个,"USB 3.1, HDMI, >30Gbps",32GB,5K,30Gbps,2880,P,90,米,20,毫秒,"USB, RS232, Ethernet",AC220V,200,W,技术评论网,https://www.techreview.net,,
7680x4320,6,个,"HDMI, SDI, >100Gbps",128GB,8K,100Gbps,4320,P,400,米,30,毫秒,"USB 3.0, RS485",AC240V,600,W,未来科技,https://www.futuretech.com,,
3840x2160,2,个,"Type-C, HDMI, >25Gbps",16GB,4K,25Gbps,2160,P,100,米,35,毫秒,"USB-C, RS232",AC220V,120,W,多媒体技术与应用,https://www.multimedia-application.com,,
2560x1080,1,个,"HDMI, DisplayPort, >12Gbps",8GB,UltraWide,12Gbps,1080,P,50,米,10,毫秒,"HDMI, USB",AC110V,50,W,显示技术网,https://www.displaytech.com,,
4096x2160,1,个,"SDI, HDMI, >20Gbps",4GB,4K,20Gbps,2160,P,80,米,32,毫秒,USB-C,AC220V,85,W,视听科技,https://www.audio-visual-tech.com,,
1920x1080,1,个,"HDMI, USB, >8Gbps",2GB,1080P,8Gbps,1080,P,35,米,15,毫秒,HDMI,AC5V,25,W,音视频教程,https://www.av-tutorials.com,,
2560x1440,1,个,"HDMI, FireWire, >12Gbps",4GB,1440P,12Gbps,1440,P,45,米,30,毫秒,"USB, RS232",AC110V,40,W,业界动态,https://www.industrynews.com,,
3840x2160,2,个,"HDMI, USB-C, >30Gbps",16GB,4K,30Gbps,2160,P,120,米,27,毫秒,"VGA, USB",AC220V,110,W,数字化影像,https://www.digitalimage.com,,
1280x720,2,个,"HDMI, DVI, >5Gbps",2GB,720P,5Gbps,720,P,20,米,18,毫秒,"USB, RS232",AC5V,15,W,新科技观察,https://www.newtechreview.com,,
2560x1440,2,个,"HDMI, HDMI 2.1, >20Gbps",16GB,1440P,20Gbps,1440,P,50,米,30,毫秒,"USB-C, Ethernet",AC220V,85,W,影视技术网,https://www.filmtech.com,,
3840x2160,3,个,"USB 3.0, HDMI, >25Gbps",32GB,4K,25Gbps,2160,P,80,米,28,毫秒,"USB-C, RS232",AC110V,110,W,网络科技创新,https://www.techinnovation.com,,
1920x1080,1,个,"HDMI, DVI, >10Gbps",4GB,1080P,10Gbps,1080,P,20,米,15,毫秒,"HDMI, USB",AC5V,45,W,科技信息网,https://www.techinfo.com,,
7680x4320,4,个,"SDI, HDMI, >50Gbps",128GB,8K,50Gbps,4320,P,350,米,40,毫秒,"USB 3.1, RS232",AC240V,600,W,影视科技前沿,https://www.filmtechfrontier.com,,
5120x2880,3,个,"USB-C, HDMI, >35Gbps",32GB,5K,35Gbps,2880,P,90,米,20,毫秒,"HDMI, USB 3.0",AC110V,150,W,数字影像论坛,https://www.digitalimageforum.com,,
3840x2160,1,个,"HDMI, USB, >28Gbps",16GB,4K,28Gbps,2160,P,70,米,24,毫秒,"USB-C, Ethernet",AC220V,100,W,技术前沿观察,https://www.techfrontier.com,,
1280x720,1,个,"USB, HDMI, >5Gbps",8GB,720P,5Gbps,480,P,25,米,12,毫秒,USB,AC5V,20,W,高清视频资源,https://www.hdmediaresources.com,,
2560x1440,2,个,"HDMI, SDI, >18Gbps",12GB,1440P,18Gbps,1440,P,60,米,21,毫秒,"USB, RS232",AC110V,75,W,电子影像技术,https://www.electronicimage.com,,
3840x2160,1,个,"HDMI, DisplayPort, >40Gbps",64GB,4K,40Gbps,2160,P,200,米,30,毫秒,"USB-C, HDMI",AC240V,130,W,未来科技,https://www.futuretech.com,,
5120x2880,3,个,"USB-C, HDMI, >32Gbps",64GB,5K,32Gbps,2880,P,60,米,22,毫秒,"USB 3.0, Ethernet",AC220V,160,W,信息技术视野,https://www.infotechview.com,,
3840x2160,2,个,"HDMI, USB 3.1, >35Gbps",32GB,4K,35Gbps,2160,P,100,米,18,毫秒,"USB-C, HDMI",AC110V,100,W,现代科技,https://www.moderntech.com,,
2560x1080,1,个,"HDMI, USB, >12Gbps",16GB,UltraWide,12Gbps,1080,P,30,米,16,毫秒,"HDMI 2.0, USB",AC5V,50,W,数字科技,https://www.digitaltech.com,,
1920x1080,1,个,"HDMI, USB, >10Gbps",16GB,1080P,10Gbps,1080,P,50,米,20,毫秒,"USB-C, HDMI",AC220V,75,W,技术前沿,https://www.techfrontier.com,,
3840x2160,3,个,"USB-C, HDMI, >30Gbps",32GB,4K,30Gbps,2160,P,150,米,40,毫秒,"Ethernet, RS232",AC110V,150,W,新科技观察,https://www.technewobserver.com,,
5120x2880,4,个,"SDI, HDMI, >40Gbps",64GB,5K,40Gbps,1440,P,200,米,28,毫秒,"USB-C, RS232",AC240V,200,W,视频技术论坛,https://www.videotechforum.com,,
2560x1440,2,个,"HDMI, USB, >15Gbps",8GB,1440P,15Gbps,1440,P,100,米,18,毫秒,"USB, Ethernet",AC220V,85,W,3D视界,https://www.3dvision.com,,
7680x4320,6,个,"SDI, HDMI, >100Gbps",128GB,8K,100Gbps,4320,P,500,米,30,毫秒,"USB 3.0, RS232",AC240V,500,W,未来科技,https://www.futuretech.com,,
1920x1080,1,个,"HDMI, VGA, >5Gbps",4GB,1080P,5Gbps,1080,P,30,米,15,毫秒,"HDMI, USB",AC110V,50,W,电子技术应用,https://www.electronicapp.com,,
3840x2160,2,个,"USB-C, HDMI, >25Gbps",16GB,4K,25Gbps,2160,P,120,米,25,毫秒,"USB 3.0, HDMI",AC220V,110,W,科技苹果,https://www.techapple.com,,
1280x720,1,个,"VGA, HDMI, >3Gbps",2GB,720P,3Gbps,480,P,20,米,12,毫秒,"USB-C, RS232",AC5V,20,W,影像论坛,https://www.imagemediaforum.com,,
2560x1080,2,个,"HDMI, USB, >20Gbps",16GB,UltraWide,20Gbps,1080,P,80,米,27,毫秒,"HDMI, USB 3.0",AC110V,95,W,媒介技术,https://www.mediatech.com,,
3840x2160,3,个,"HDMI, Ethernet, >35Gbps",64GB,4K,35Gbps,2160,P,140,米,38,毫秒,"Ethernet, USB",AC240V,180,W,行业前沿,https://www.industryfrontier.com,,
7680x4320,7,个,"SDI, HDMI, >120Gbps",256GB,8K,120Gbps,4320,P,600,米,45,毫秒,"USB 3.1, HDMI",AC240V,600,W,未来视角,https://www.futureperspective.com,,
1280x720,1,个,"USB-C, HDMI, >5Gbps",8GB,720P,5Gbps,480,P,35,米,17,毫秒,"RS232, USB",AC5V,18,W,数字视界,https://www.digitalvision.com,,
2560x1440,2,个,"HDMI, SDI, >20Gbps",32GB,1440P,20Gbps,1440,P,90,米,26,毫秒,"Ethernet, USB",AC220V,100,W,音视频科技,https://www.audiovideotech.com,,
1920x1080,3,个,"HDMI, SDI, >18Gbps",12GB,1080P,18Gbps,1080,P,60,米,22,毫秒,"Ethernet, USB",AC220V,75,W,科技媒体网,https://www.techmedia.com,,
2560x1440,2,个,"HDMI, Type-C, >10Gbps",16GB,1440P,10Gbps,1440,P,50,米,20,毫秒,"USB-C, HDMI",AC5V,55,W,硬件评测,https://www.hardwarereview.com,,
3840x2160,1,个,"HDMI, USB, >30Gbps",32GB,4K,30Gbps,2160,P,120,米,18,毫秒,"Ethernet, USB",AC110V,95,W,未来技术频道,https://www.futuristictech.com,,
7680x4320,4,个,"SDI, HDMI, >100Gbps",128GB,8K,100Gbps,4320,P,500,米,40,毫秒,"USB 3.1, SFP",AC240V,800,W,专业视频制作,https://www.videomaking.com,,
1920x1200,2,个,"HDMI, VGA, >8Gbps",8GB,WUXGA,8Gbps,1200,p,40,米,22,毫秒,"HDMI, RS232",AC220V,70,W,映像学研究,https://www.imagingstudy.com,,
2560x1600,3,个,"USB-C, HDMI, >15Gbps",10GB,1600P,15Gbps,1600,P,65,米,28,毫秒,"USB, HDMI",AC110V,85,W,数字艺术网,https://www.digitalart.com,,
3840x1600,1,个,"HDMI, USB, >20Gbps",16GB,WQHD,20Gbps,1600,P,110,米,14,毫秒,Ethernet,AC5V,65,W,视觉研究,https://www.visualresearch.com,,
5120x2880,2,个,"USB-C, SDI, >35Gbps",32GB,5K,35Gbps,2880,P,80,米,19,毫秒,"USB 3.1, RS232",AC240V,150,W,摄影学网,https://www.photography.net,,
1280x720,1,个,"HDMI, Type-C, >5Gbps",4GB,720P,5Gbps,480,P,30,米,15,毫秒,USB,AC5V,25,W,电视和电影,https://www.tvandfilm.com,,
3840x2160,3,个,"SDI, HDMI, >40Gbps",64GB,4K,40Gbps,2160,P,100,米,30,毫秒,"HDMI, USB",AC220V,120,W,实时数据显示,https://www.real-timedata.com,,
2560x1080,4,个,"HDMI, Ethernet, >12Gbps",8GB,UltraWide,12Gbps,1080,P,90,米,16,毫秒,USB、HDMI,AC110V,75,W,电子娱乐,https://www.electronicentertainment.com,,
1280x720,1,个,"HDMI, USB, >6Gbps",4GB,720P,6Gbps,480,P,20,米,17,毫秒,USB,AC5V,20,W,极客信息,https://www.geekinfo.com,,
1920x1080,1,个,"USB-C, HDMI, >10Gbps",16GB,1080P,10Gbps,1080,P,50,米,14,毫秒,"USB 3.0, RS232",AC220V,75,W,科技前沿,https://www.techfrontier.com,,
3840x2160,2,个,"HDMI, Ethernet, >20Gbps",32GB,4K,20Gbps,2160,P,120,米,29,毫秒,"USB-C, Ethernet",AC220V,100,W,高端视频科技,https://www.highendvideotech.com,,
2560x1440,3,个,"HDMI, USB, >15Gbps",8GB,1440P,15Gbps,1440,P,60,米,20,毫秒,"HDMI, RS232",AC110V,50,W,未来科技,https://www.futuretech.com,,
7680x4320,5,个,"SDI, HDMI, >100Gbps",128GB,8K,100Gbps,4320,P,400,米,45,毫秒,"USB 3.1, SDI",AC240V,500,W,数字视讯,https://www.digitalvideo.com,,
3840x2160,2,个,"HDMI, USB-C, >25Gbps",16GB,4K,25Gbps,2160,P,100,米,21,毫秒,"USB-C, HDMI",AC220V,110,W,技术探索,https://www.techexploration.com,,
1920x1080,1,个,"VGA, HDMI, >8Gbps",4GB,1080P,8Gbps,1080,P,30,米,17,毫秒,"HDMI, USB",AC110V,30,W,今日头条,https://www.toutiao.com,,
2560x1080,1,个,"HDMI, USB-C, >15Gbps",32GB,UltraWide,15Gbps,1080,P,50,米,18,毫秒,"HDMI, RS232",AC220V,90,W,极客公园,https://www.geekpark.net,,
5120x2880,3,个,"USB-C, HDMI, >40Gbps",64GB,5K,40Gbps,2880,P,80,米,30,毫秒,"USB-C, SDI",AC110V,150,W,IT之家,https://www.ithome.com,,
1920x1080,4,个,"HDMI, USB, >12Gbps",8GB,1080P,12Gbps,720,P,45,米,18,毫秒,"USB, RS232",AC220V,60,W,数码产品评论,https://www.digitalproductreview.com,,
2560x1440,2,个,"HDMI, SDI, >20Gbps",32GB,1440P,20Gbps,1440,P,100,米,22,毫秒,"USB, HDMI",AC220V,85,W,家电评论,https://www.homeappliance.com,,
1024x768,1,个,"VGA, USB, >5Gbps",2GB,XGA,5Gbps,576,P,20,米,15,毫秒,USB,AC5V,20,W,行业动态,https://www.industrytoday.com,,
7680x4320,4,个,"HDMI, SDI, >50Gbps",64GB,8K,50Gbps,4320,P,300,米,40,毫秒,"USB 3.0, RS232",AC240V,350,W,电子科技,https://www.electronictech.com,,
1920x1080,1,个,"HDMI, USB, >10Gbps",8GB,1080P,10Gbps,1080,P,35,米,19,毫秒,"USB-C, HDMI",AC220V,55,W,数码之家,https://www.digitallife.com,,
1920x1080,1,个,"HDMI, USB, >10Gbps",8GB,1080P,10Gbps,1080,P,50,米,15,毫秒,"USB-C, RS232",AC220V,75,W,科技新闻,https://www.technews.com,,
3840x2160,3,个,"HDMI, SDI, >25Gbps",16GB,4K,25Gbps,2160,P,200,米,30,毫秒,"Ethernet, USB",AC240V,150,W,专业评测,https://www.proreview.com,,
7680x4320,4,个,"HDMI, Fiber, >100Gbps",128GB,8K,100Gbps,4320,P,500,米,40,毫秒,"USB 3.1, HDMI",AC240V,500,W,科技前沿,https://www.technologytrends.com,,
2560x1440,2,个,"HDMI, DisplayPort, >15Gbps",8GB,1440P,15Gbps,1440,P,60,米,22,毫秒,"USB-C, Ethernet",AC110V,65,W,视讯科技,https://www.videotech.com,,
1280x720,1,个,"VGA, USB, >5Gbps",4GB,720P,5Gbps,480,P,30,米,18,毫秒,USB,AC5V,15,W,流媒体在线,https://www.streamingmediaonline.com,,
3840x2160,1,个,"HDMI, USB-C, >20Gbps",64GB,4K,20Gbps,2160,P,150,米,20,毫秒,Ethernet,AC240V,100,W,数码先锋,https://www.digitalpioneer.com,,
5120x2880,5,个,"USB-C, HDMI, >40Gbps",32GB,5K,40Gbps,2880,P,80,米,28,毫秒,"USB 3.1, RS232",AC220V,150,W,视频信号分析,https://www.videosignalanalysis.com,,
2560x1080,1,个,"HDMI, USB, >10Gbps",4GB,UltraWide,10Gbps,1080,P,50,米,25,毫秒,USB-C,AC110V,60,W,影音论坛,https://www.audio-video-forum.com,,
1920x1080,2,个,"HDMI, SDI, >20Gbps",16GB,1080P,20Gbps,1080,P,90,米,21,毫秒,"USB, Ethernet",AC220V,95,W,数字媒体,https://www.digitalmedia.com,,
3840x2160,2,个,"Ethernet, USB-C, >50Gbps",32GB,4K,50Gbps,2160,P,150,米,23,毫秒,"RS232, USB",AC220V,135,W,行业趋势,https://www.industrytrends.com,,
5120x2880,3,个,"HDMI, Fiber, >35Gbps",64GB,5K,35Gbps,2880,P,100,米,31,毫秒,"USB 3.0, RS232",AC240V,180,W,科技先锋,https://www.techpioneer.com,,
2560x1080,1,个,"USB, HDMI, >12Gbps",6GB,UltraWide,12Gbps,1080,P,70,米,22,毫秒,HDMI,AC110V,55,W,新技术日报,https://www.newtechdaily.com,,
1920x1080,1,个,"HDMI, AV, >8Gbps",4GB,1080P,8Gbps,1080,P,45,米,18,毫秒,USB,AC110V,40,W,小家电点评,https://www.appliance-review.com,,
1920x1080,2,个,"HDMI, USB, >10Gbps",16GB,1080P,10Gbps,1080,P,50,米,20,毫秒,"USB-C, Ethernet",AC220V,75,W,视频技术研究,https://www.videotechresearch.com,,
2560x1440,1,个,"HDMI, SDI, >8Gbps",8GB,1440P,8Gbps,1440,P,60,米,24,毫秒,"HDMI, USB",AC110V,85,W,数字媒体论坛,https://www.digitalmediaforum.com,,
3840x2160,3,个,"HDMI, USB-C, >25Gbps",32GB,4K,25Gbps,2160,P,150,米,28,毫秒,"USB 3.0, Ethernet",AC220V,100,W,技术先锋,https://www.techpioneer.com,,
7680x4320,4,个,"HDMI, SDI, >100Gbps",128GB,8K,100Gbps,4320,P,400,米,45,毫秒,"USB 3.1, RS232",AC240V,500,W,媒体科技前沿,https://www.mediatechfrontier.com,,
3840x2160,1,个,"HDMI, Ethernet, >20Gbps",16GB,4K,20Gbps,2160,P,100,米,30,毫秒,USB-C,AC110V,90,W,高科技资讯,https://www.hightechnews.com,,
2560x1080,2,个,"HDMI, USB-C, >15Gbps",8GB,UltraWide,15Gbps,1080,P,80,米,20,毫秒,"VGA, HDMI",AC220V,70,W,电竞观察,https://www.esportsobserver.com,,
1920x1080,2,个,"HDMI, SDI, >10Gbps",4GB,1080P,10Gbps,1080,P,60,米,18,毫秒,"USB, Ethernet",AC220V,65,W,科学进展,https://www.scientificprogress.com,,
5120x2880,3,个,"USB-C, HDMI, >30Gbps",16GB,5K,30Gbps,1440,P,75,米,25,毫秒,"USB, RS232",AC110V,120,W,IT技术观察,https://www.ittechobs.com,,
1280x720,1,个,"HDMI, VGA, >8Gbps",4GB,720P,8Gbps,480,P,30,米,19,毫秒,USB,AC5V,22,W,视听科技,https://www.audiovisualtech.com,,
3840x2160,2,个,"HDMI, Ethernet, >35Gbps",32GB,4K,35Gbps,2160,P,120,米,20,毫秒,"USB-C, HDMI",AC220V,110,W,数字时代,https://www.digitalera.com,,
1280x720,1,个,"USB, HDMI, >5Gbps",4GB,720P,5Gbps,480,P,20,米,15,毫秒,RS232,AC5V,18,W,科技新视野,https://www.sciencenewshorizons.com,,
5760x3240,3,个,"USB-C, HDMI, >40Gbps",32GB,6K,40Gbps,3240,P,100,米,30,毫秒,"USB 3.0, HDMI",AC220V,150,W,高清视频网络,https://www.highdefinitionvideo.com,,
1920x1200,1,个,"HDMI, USB, >7Gbps",8GB,WUXGA,7Gbps,1200,P,40,米,22,毫秒,"USB-C, RS232",AC5V,30,W,网络视频分析,https://www.webvideostats.com,,
1600x900,2,个,"HDMI, VGA, >5Gbps",4GB,HD+,5Gbps,900,P,50,米,18,毫秒,"USB, HDMI",AC110V,45,W,科技与设计,https://www.techanddesign.com,,
1920x1080,1,个,"HDMI, USB, >10Gbps",4GB,1080P,10Gbps,1080,P,50,米,20,毫秒,"USB-C, RS232",AC220V,75,W,科技快讯,https://www.technews.com,,
3840x2160,2,个,"HDMI, SDI, >25Gbps",32GB,4K,25Gbps,2160,P,150,米,25,毫秒,"USB 3.1, Ethernet",AC110V,90,W,数字媒体,https://www.digitalmedia.com,,
2560x1440,2,个,"HDMI, Type-C, >10Gbps",16GB,1440P,10Gbps,1440,P,60,米,15,毫秒,"VGA, HDMI",AC240V,55,W,创新科技,https://www.innovativetech.com,,
7680x4320,3,个,"SDI, USB-C, >70Gbps",128GB,8K,70Gbps,4320,P,400,米,40,毫秒,"USB 3.1, HDMI",AC230V,450,W,高端科技评论,https://www.premiumtechreview.com,,
5120x2880,4,个,"HDMI, Ethernet, >40Gbps",64GB,5K,40Gbps,2880,P,90,米,30,毫秒,"USB-C, RS232",AC120V,150,W,媒体整合,https://www.mediaintegrate.com,,
3840x2160,1,个,"HDMI, VGA, >20Gbps",8GB,4K,20Gbps,2160,P,120,米,18,毫秒,"RS232, USB-C",AC220V,85,W,视听科技,https://www.audiovisuallife.com,,
2560x1080,2,个,"HDMI, SDI, >12Gbps",8GB,UltraWide,12Gbps,1080,P,45,米,16,毫秒,"HDMI, USB",AC100V,50,W,数字内容创作,https://www.digitalcreation.com,,
1920x1080,1,个,"HDMI, USB, >8Gbps",2GB,1080P,8Gbps,1080,P,30,米,12,毫秒,"USB-C, RS232",AC110V,45,W,前沿科技,https://www.frontiertech.com,,
1280x720,1,个,"USB, HDMI, >5Gbps",4GB,720P,5Gbps,480,P,20,米,14,毫秒,RS232,AC5V,22,W,视频监控,https://www.videomonitoring.com,,
3840x2160,3,个,"HDMI, Ethernet, >35Gbps",16GB,4K,35Gbps,2160,P,140,米,28,毫秒,"USB-C, RS232",AC220V,110,W,未来科技,https://www.futuretech.com,,
1280x720,1,个,"Type-C, HDMI, >6Gbps",4GB,720P,6Gbps,480,P,35,米,13,毫秒,"HDMI, USB",AC5V,17,W,科技趋势,https://www.techtrends.com,,
5120x2880,3,个,"USB-C, HDMI, >30Gbps",64GB,5K,30Gbps,2880,P,80,米,22,毫秒,"USB 3.1, VGA",AC220V,130,W,下一代数字,https://www.nextgen-digital.com,,
3840x2160,4,个,"HDMI, SDI, >50Gbps",32GB,4K,50Gbps,2160,P,200,米,20,毫秒,"HDMI, Ethernet",AC240V,200,W,视听先驱,https://www.audiovisualpioneer.com,,
2560x1440,2,个,"HDMI, USB, >15Gbps",8GB,1440P,15Gbps,1080,P,65,米,25,毫秒,"USB, Ethernet",AC220V,85,W,智能设备前沿,https://www.smartdevicefront.com,,
1920x1080,1,个,"HDMI, USB, >10Gbps",4GB,1080P,10Gbps,1080,P,50,米,15,毫秒,"USB-C, RS232",AC220V,70,W,视频科技网,https://www.videotech.com,,
3840x2160,2,个,"HDMI, Thunderbolt, >40Gbps",16GB,4K,40Gbps,2160,P,80,米,20,毫秒,"USB, Ethernet",AC110V,90,W,未来科技,https://www.futuristictech.com,,
2560x1440,1,个,"HDMI, SDI, >20Gbps",8GB,1440P,20Gbps,1440,P,60,米,18,毫秒,"HDMI, RS232",AC220V,75,W,国际视听,https://www.audiovisual.com,,
7680x4320,4,个,"SDI, HDMI, >100Gbps",128GB,8K,100Gbps,4320,P,400,米,40,毫秒,"USB 3.1, Fiber Channel",AC240V,500,W,最新科技,https://www.latesttech.com,,
5120x2880,3,个,"USB-C, HDMI, >30Gbps",16GB,5K,30Gbps,2880,P,75,米,30,毫秒,"USB, RS232",AC110V,150,W,智能硬件,https://www.smartdevices.com,,
1920x1080,2,个,"HDMI, Ethernet, >12Gbps",8GB,1080P,12Gbps,1080,P,70,米,22,毫秒,"USB, RS232",AC220V,85,W,科学技术,https://www.sciencetech.com,,
2560x1080,1,个,"HDMI, USB-C, >15Gbps",8GB,UltraWide,15Gbps,1080,P,45,米,12,毫秒,"HDMI, RS232",AC110V,65,W,新视野,https://www.newhorizons.com,,
3840x2160,3,个,"HDMI, SDI, >50Gbps",32GB,4K,50Gbps,2160,P,90,米,25,毫秒,"USB-C, Ethernet",AC220V,100,W,产业新闻,https://www.industrynews.com,,
1280x720,1,个,"VGA, USB, >5Gbps",2GB,720P,5Gbps,480,P,30,米,16,毫秒,RS232,AC5V,20,W,技术观察,https://www.technologywatch.com,,
2560x1440,3,个,"HDMI, Ethernet, >25Gbps",16GB,1440P,25Gbps,1440,P,100,米,27,毫秒,"USB 3.1, RF",AC220V,95,W,数码时代,https://www.digitalera.com,,
3840x2160,4,个,"HDMI, USB-C, >60Gbps",32GB,4K,60Gbps,2160,P,120,米,24,毫秒,"USB-C, Ethernet",AC230V,110,W,数字电竞,https://www.digitalgaming.com,,
1920x1080,2,个,"HDMI, USB, >9Gbps",6GB,1080P,9Gbps,1080,P,40,米,19,毫秒,"RS232, Ethernet",AC220V,85,W,电子创新,https://www.electronicinnovation.com,,
1280x720,1,个,"HDMI, USB, >5Gbps",4GB,720P,5Gbps,480,P,20,米,10,毫秒,USB-C,AC5V,18,W,TechRadar,https://www.techradar.com,,
1920x1080,2,个,"HDMI, Ethernet, >10Gbps",8GB,1080P,10Gbps,1080,P,50,米,20,毫秒,"VGA, HDMI",AC220V,75,W,科技新闻,https://www.tech-news.com,,
3840x2160,3,个,"HDMI, SDI, >20Gbps",16GB,4K,20Gbps,2160,P,150,米,30,毫秒,"USB-C, Ethernet",AC110V,100,W,慕课网,https://www.imooc.com,,
2560x1440,2,个,"HDMI, USB, >12Gbps",8GB,1440P,12Gbps,1440,P,65,米,22,毫秒,"USB, RS232",AC220V,85,W,内容观察,https://www.contentobserver.com,,
7680x4320,4,个,"SDI, HDMI, >90Gbps",64GB,8K,90Gbps,4320,P,100,米,40,毫秒,USB 3.1,AC240V,450,W,影视设备网,https://www.filmcameraworld.com,,
5120x2880,3,个,"USB-C, HDMI, >40Gbps",32GB,5K,40Gbps,2880,P,80,米,28,毫秒,"USB 3.0, HDMI",AC110V,150,W,科技先锋,https://www.techpioneer.com,,
3840x2160,2,个,"HDMI, DisplayPort, >35Gbps",32GB,4K,35Gbps,2160,P,120,米,18,毫秒,"RS232, USB",AC120V,95,W,数字视听,https://www.digitalaudio.com,,
2560x1080,2,个,"HDMI, USB, >15Gbps",16GB,UltraWide,15Gbps,1080,P,40,米,22,毫秒,HDMI,AC220V,85,W,玩物尚志,https://www.gizmu.com,,
1920x1080,1,个,"HDMI, Ethernet, >8Gbps",4GB,1080P,8Gbps,720,P,30,米,16,毫秒,USB-C,AC5V,22,W,视觉前沿,https://www.visionedge.com,,
3840x2160,4,个,"SDI, HDMI, >50Gbps",64GB,4K,50Gbps,2160,P,200,米,25,毫秒,"USB 3.0, Ethernet",AC220V,110,W,电子世界,https://www.electronicsworld.com,,
