产线名称,所属公司,产线类型,产线地域（国家）,产线地域（省）,产线地域（市）,投资额（数值型）,单位,建设周期,建成年产能（数值型）,单位.1,采集来源,来源链接,采集时间,备注,,,,,,,,,
英特尔氮化镓产线扩张项目,英特尔公司,化合物产线,中国,陕西省,西安市,60000,万元,2022,20000,万片,全球半导体市场分析,https://www.semi.org,2024-09-12,,,,,,,,,,
华为氮化镓芯片工厂,华为技术有限公司,化合物产线,中国,江苏省,南京市,45000,万元,2024,18000,万片,华为企业资讯,https://www.huawei.com,2024-09-12,,,,,,,,,,
德州仪器氮化镓改建项目,德州仪器公司,化合物产线,美国,德克萨斯州,沃斯堡市,28000,万元,2023,9000,万片,全球电子市场趋势,https://www.ti.com,2024-09-12,,,,,,,,,,
中芯国际氮化镓新线项目,中芯国际集成电路制造有限公司,化合物产线,中国,上海市,上海市,32000,万元,2023,11000,万片,中芯国际年度报告,https://www.smics.com,2024-09-12,,,,,,,,,,
索尼氮化镓制造线,索尼公司,化合物产线,日本,爱知县,名古屋市,38000,万元,2025,10000,万片,日本经济新闻,https://www.sankeibiz.jp,2024-09-12,,,,,,,,,,
Cree氮化镓创新工厂,"Cree, Inc.",化合物产线,美国,北卡罗来纳州,达勒姆市,15000,万元,2023,5000,万片,Cree企业新闻稿,https://www.cree.com,2024-09-12,,,,,,,,,,
华天科技氮化镓生产线项目,华天科技股份有限公司,化合物产线,中国,江苏省,南京市,27000,万元,2024,2000,万片,2023年中国半导体市场分析,https://www.semiconductors.cn/news,2024-09-12,,,,,,,,,,
优德科技氮化镓集成线项目,优德科技有限公司,化合物产线,中国,广东省,东莞市,36000,万元,2025,3000,万片,半导体行业前瞻研究,https://www.sia.org/research,2024-09-12,,,,,,,,,,
半导体高科氮化镓生产线项目,半导体高科技有限公司,化合物产线,美国,加利福尼亚州,硅谷,45000,万元,2023,5000,万片,2023 Semiconductor World Report,https://www.semiconductorworld.com/reports,2024-09-12,,,,,,,,,,
现代半导体氮化镓产线项目,现代半导体股份有限公司,化合物产线,韩国,京畿道,水原市,28000,万元,2025,3400,万片,2023年亚洲半导体市场报告,https://www.asia-semiconductors.com/report,2024-09-12,,,,,,,,,,
瑞昱半导体氮化镓线项目,瑞昱半导体股份有限公司,化合物产线,中国,浙江省,杭州市,33000,万元,2024,2500,万片,半导体技术前沿,https://www.semi-techfront.com/news,2024-09-12,,,,,,,,,,
北方电子氮化镓生产线项目,北方电子科技有限公司,化合物产线,中国,北京,北京市,16000,万元,2023,1200,万片,京城半导体研究,https://www.beijingsemiconductors.com/studies,2024-09-12,,,,,,,,,,
艾斯半导体氮化镓项目,艾斯半导体技术有限公司,化合物产线,中国,四川省,成都市,22000,万元,2024,800,万片,2023年全球氮化镓市场调查,https://www.globalganmarket.com/research,2024-09-12,,,,,,,,,,
英特尔氮化镓制造线项目,英特尔公司,化合物产线,美国,亚利桑那州,图森市,50000,万元,2026,7000,万片,英特尔年报2023,https://www.intel.com/content/www/us/en/investor-relations/financials.html,2024-09-12,,,,,,,,,,
德州仪器氮化镓生产线项目,德州仪器公司,化合物产线,美国,德克萨斯州,达拉斯市,42000,万元,2025,6000,万片,半导体投资动态,https://www.ti.com/technical-documents/technology.html,2024-09-12,,,,,,,,,,
信源氮化镓制造线项目,信源半导体有限公司,化合物产线,中国,山东省,济南市,22000,万元,2023,3000,万片,半导体产业观察,https://www.semiconductorobserver.com,2024-09-12,,,,,,,,,,
瑞晶光电氮化镓生产线项目,瑞晶科技有限公司,化合物产线,中国,浙江省,杭州市,16000,万元,2022,8000,万片,每日科技新闻,https://www.dailymidi.com,2024-09-12,,,,,,,,,,
新力半导体氮化镓项目,新力半导体股份有限公司,化合物产线,美国,加利福尼亚州,圣荷西市,35000,万元,2024,12000,万片,美国半导体协会,https://www.semiconductors.org,2024-09-12,,,,,,,,,,
合众氮化镓产线项目,合众半导体有限公司,化合物产线,中国,湖北省,武汉市,18000,万元,2021,6000,万片,中国半导体产业报告,https://www.csia.org.cn,2024-09-12,,,,,,,,,,
英熙半导体氮化镓生产线项目,英熙晶体科技股份有限公司,化合物产线,韩国,京畿道,水原市,25000,万元,2023,9000,万片,南韩国会半导体报告,https://www.koreasemiconductor.org,2024-09-12,,,,,,,,,,
广海科技氮化镓产线项目,广海半导体技术有限公司,化合物产线,中国,陕西省,西安市,17000,万元,2022,3500,万片,陕西省科技发展信息网,https://www.sxtd.gov.cn,2024-09-12,,,,,,,,,,
晶锐氮化镓制造线项目,晶锐半导体有限公司,化合物产线,中国,四川省,成都市,21000,万元,2025,11000,万片,成都市半导体协会,https://www.cdsemiconductor.org,2024-09-12,,,,,,,,,,
德州仪器恐龙氮化镓项目,德州仪器公司,化合物产线,美国,德克萨斯州,达拉斯市,50000,万元,2023,20000,万片,行业分析报告,https://www.ti.com,2024-09-12,,,,,,,,,,
加尔文半导体氮化镓线项目,加尔文科技有限公司,化合物产线,德国,巴伐利亚州,慕尼黑市,29000,万元,2024,7500,万片,德国产业报告,https://www.germanindustryreport.de,2024-09-12,,,,,,,,,,
和利时氮化镓研发线,和利时科技股份有限公司,化合物产线,中国,浙江省,宁波市,12000,万元,2023,8000,万片,和利时官网,https://www.holystar.com,2024-09-12,,,,,,,,,,
凯德氮化镓新材料线项目,上海凯德半导体有限公司,化合物产线,中国,上海市,上海市,25000,万元,2022,20000,万片,半导体观察,https://www.semiobserver.com,2024-09-12,,,,,,,,,,
巨星科技氮化镓生产线,巨星科技有限公司,化合物产线,中国,四川省,成都市,9000,万元,2024,5000,万片,中国电子信息产业发展研究院,https://www.citd.org.cn,2024-09-12,,,,,,,,,,
Mitsubishi氮化镓电源线项目,三菱电机株式会社,化合物产线,日本,爱知县,名古屋市,20000,万元,2023,12000,万片,Mitsubishi官方发布,https://www.mitsubishielectric.com,2024-09-12,,,,,,,,,,
英飞凌氮化镓器件线项目,英飞凌科技股份公司,化合物产线,德国,巴伐利亚,慕尼黑,35000,万元,2024,10000,万片,英飞凌电子中国,https://www.infineon.com,2024-09-12,,,,,,,,,,
LG氮化镓集成线项目,LG电子有限公司,化合物产线,韩国,京畿道,水原市,24000,万元,2023,9000,万片,LG新闻发布,https://www.lg.com,2024-09-12,,,,,,,,,,
Skyworks氮化镓线项目,"Skyworks Solutions, Inc.",化合物产线,美国,加利福尼亚州,洛杉矶,30000,万元,2025,20000,万片,Skyworks投资者关系,https://investors.skyworksinc.com,2024-09-12,,,,,,,,,,
Broadcom氮化镓创新线,博通公司,化合物产线,新加坡,中央区,新加坡,15000,万元,2023,7000,万片,博通官网,https://www.broadcom.com,2024-09-12,,,,,,,,,,
红杉氮化镓生产线项目,红杉半导体有限公司,化合物产线,中国,广东省,东莞市,22000,万元,2024,12000,万片,行业报告2023,https://www.semi.org,2024-09-12,,,,,,,,,,
瑞声科技氮化镓制造线项目,瑞声科技有限公司,化合物产线,中国,浙江省,杭州市,12000,万元,2021,8000,万片,2023年氮化镓行业发展报告,https://www.example.com/report/gallium_nitride,2024-09-12,,,,,,,,,,
宏杰半导体氮化镓生产线项目,宏杰半导体有限公司,化合物产线,中国,四川省,成都市,27000,万元,2022,20000,万片,icHub,https://www.ichub.com/srvContent/view?columnType=4&id=100000000001,2024-09-12,,,,,,,,,,
大华科技氮化镓集成线项目,大华科技股份有限公司,化合物产线,中国,湖南省,长沙市,22000,万元,2023,12000,万片,2022中国半导体研究报告,https://www.example.com/research/semiconductor2022,2024-09-12,,,,,,,,,,
创维电子氮化镓产线项目,创维电子科技有限公司,化合物产线,中国,江苏省,南京市,15000,万元,2020,10000,万片,CNTA技术中心,https://www.cntech.org/cn/industry-report,2024-09-12,,,,,,,,,,
摩根半导体氮化镓生产线项目,摩根香港有限公司,化合物产线,中国,广东省,东莞市,24000,万元,2022,18000,万片,Microelectronics Today,https://www.microelectronics.com/latest-news,2024-09-12,,,,,,,,,,
英飞凌技术氮化镓生产线项目,英飞凌科技股份有限公司,化合物产线,德国,巴伐利亚,慕尼黑市,35000,万元,2024,25000,万片,EDN Network,https://www.edn.com/electronics-news,2024-09-12,,,,,,,,,,
凌阳科技氮化镓制造线项目,凌阳半导体有限公司,化合物产线,中国,山东省,青岛市,18500,万元,2023,14000,万片,亚太半导体协会,https://www.apacsemiconductor.org/news,2024-09-12,,,,,,,,,,
中兴氮化镓生产线项目,中兴通讯股份有限公司,化合物产线,中国,湖北省,武汉市,16000,万元,2022,12000,万片,2023氮化镓产业发展白皮书,https://www.example.com/whitepaper/gallium_nitride,2024-09-12,,,,,,,,,,
鑫晶氮化镓新材料项目,鑫晶半导体有限公司,化合物产线,中国,江苏省,无锡市,12000,万元,2023,8000,万片,行业观察,https://www.industryobservation.com,2024-09-12,,,,,,,,,,
宏耀氮化镓产线项目,宏耀半导体科技股份有限公司,化合物产线,中国,浙江省,杭州市,35000,万元,2021,25000,万片,中国半导体市场报告,https://www.chinasemiconductorreport.com,2024-09-12,,,,,,,,,,
高科氮化镓工厂项目,高科半导体有限公司,化合物产线,德国,巴伐利亚,慕尼黑,28000,万元,2024,18000,万片,Semiconductor Today,https://www.semiconductortoday.com,2024-09-12,,,,,,,,,,
未来半导体氮化镓量产线,未来半导体公司,化合物产线,美国,加利福尼亚州,圣荷西,40000,万元,2025,30000,万片,IEEE Spectrum,https://spectrum.ieee.org,2024-09-12,,,,,,,,,,
瑞晶半导体氮化镓产线项目,瑞晶半导体股份有限公司,化合物产线,中国,上海市,上海市,15000,万元,2022,9500,万片,TechCrunch,https://techcrunch.com,2024-09-12,,,,,,,,,,
博思氮化镓制造基地,博思半导体有限公司,化合物产线,日本,高知县,高知市,17000,万元,2023,11000,万片,Japan Semiconductor Association,https://www.japansemiconductorassociation.com,2024-09-12,,,,,,,,,,
未来芯片氮化镓生产项目,未来芯片科技有限公司,化合物产线,韩国,京畿道,水原市,22000,万元,2024,12000,万片,半导体产业发展报告,https://www.semi.org.cn,2024-09-12,,,,,,,,,,
京源氮化镓生产线项目,京源半导体股份有限公司,化合物产线,中国,北京,北京市,16000,万元,2023,10500,万片,IC Insights,https://www.icinsights.com,2024-09-12,,,,,,,,,,
华昊半导体氮化镓创新项目,华昊半导体有限公司,化合物产线,中国,湖北省,武汉市,21000,万元,2025,14000,万片,Electronic Times,https://www.electrontimes.com,2024-09-12,,,,,,,,,,
天迈科技氮化镓项目,天迈科技有限公司,化合物产线,中国,浙江省,杭州市,22000,万元,2023,8000,万片,2023年氮化镓行业报告,https://www.example.com/report2023,2024-09-12,,,,,,,,,,
松下电器氮化镓生产线,松下电器产业公司,化合物产线,日本,大阪府,大阪市,30000,万元,2022,12000,万片,Panasonic Semi-Annual Review,https://www.panasonic.com/semiconductors,2024-09-12,,,,,,,,,,
芯原科技氮化镓厂,芯原科技股份有限公司,化合物产线,中国,四川省,成都市,15000,万元,2024,10000,万片,和讯科技,https://www.hexun.com/technology,2024-09-12,,,,,,,,,,
英特尔氮化镓新工厂,英特尔公司,化合物产线,美国,亚利桑那州,凤凰城,50000,万元,2023,20000,万片,Intel Investor Relations,https://www.intel.com/investors,2024-09-12,,,,,,,,,,
富士通氮化镓生产线,富士通株式会社,化合物产线,日本,东京,东京市,25000,万元,2023,14000,万片,Fuji Research Report 2023,https://www.fujitsu.com/jp/research,2024-09-12,,,,,,,,,,
比亚迪氮化镓改造项目,比亚迪股份有限公司,化合物产线,中国,广东省,珠海市,28000,万元,2022,16000,万片,比亚迪2023年财报,https://www.byd.com/en/investor,2024-09-12,,,,,,,,,,
德州仪器氮化镓制造线,德州仪器公司,化合物产线,美国,德克萨斯州,达拉斯,32000,万元,2024,30000,万片,Texas Instruments Quarterly Update,https://www.ti.com/gov-inv,2024-09-12,,,,,,,,,,
慕尼黑半导体氮化镓项目,慕尼黑半导体有限公司,化合物产线,德国,巴伐利亚州,慕尼黑,30000,万元,2023,18000,万片,Munich Semiconductors Industry Insights,https://www.munichsemiconductors.com/insights,2024-09-12,,,,,,,,,,
华为氮化镓集成线,华为技术有限公司,化合物产线,中国,安徽省,合肥市,36000,万元,2023,22000,万片,华为2023年行业展览,https://www.huawei.com/cn/events,2024-09-12,,,,,,,,,,
中电投氮化镓创新产线项目,中国电子投资有限公司,化合物产线,中国,北京市,北京市,45000,万元,2023,2500,万片,中国半导体产业报告,https://www.csia.org,2024-09-12,,,,,,,,,,
锐科科技氮化镓量产线项目,锐科科技股份有限公司,化合物产线,中国,浙江省,杭州市,28000,万元,2024,3500,万片,科技日报,https://www.stdaily.com/,2024-09-12,,,,,,,,,,
智芯半导体氮化镓研发线项目,智芯半导体有限公司,化合物产线,中国,山东省,济南市,12000,万元,2022,800,万片,半导体行业周报,https://www.semiconductorsweekly.com/,2024-09-12,,,,,,,,,,
紫光国微氮化镓技术线项目,紫光国微电子有限公司,化合物产线,中国,四川省,成都市,60000,万元,2025,5000,万片,C114通信网,https://www.c114.net/,2024-09-12,,,,,,,,,,
东芝氮化镓高效能产线项目,东芝半导体株式会社,化合物产线,日本,东京,东京市,35000,万元,2022,3000,万片,日本半导体产业协会,https://www.japansemiconductor.org/,2024-09-12,,,,,,,,,,
爱特梅尔氮化镓社会责任线项目,爱特梅尔科技公司,化合物产线,美国,加利福尼亚州,圣何塞市,32000,万元,2024,4000,万片,EE Times,https://www.eetimes.com/,2024-09-12,,,,,,,,,,
现代汽车氮化镓产品线项目,现代汽车股份有限公司,化合物产线,韩国,首尔特别市,首尔市,47000,万元,2023,5500,万片,韩国产业通商资源部,https://www.motie.go.kr/,2024-09-12,,,,,,,,,,
意法半导体氮化镓增产线项目,意法半导体公司,化合物产线,意大利,罗马,罗马市,29000,万元,2024,3700,万片,意大利国家半导体协会,https://www.stmicroelectronics.com/,2024-09-12,,,,,,,,,,
高通氮化镓制造线项目,高通科技公司,化合物产线,美国,德克萨斯州,奥斯丁市,40000,万元,2022,6000,万片,电子工程专辑,https://www.electronicdesign.com/,2024-09-12,,,,,,,,,,
捷联氮化镓芯片制造线项目,捷联科技有限公司,化合物产线,中国,浙江省,杭州市,12000,万元,2023,6000,万片,半导体产业链观察,https://www.semiconductor-news.com,2024-09-12,,,,,,,,,,
高能氮化镓生产线项目,高能半导体有限公司,化合物产线,台湾,台北市,台北,23000,万元,2024,8000,万片,台湾电子时报,https://www.taiwanelectronics.com,2024-09-12,,,,,,,,,,
博迪氮化镓精密线项目,博迪半导体有限公司,化合物产线,中国,北京市,北京市,27000,万元,2025,10000,万片,电子技术应用,https://www.electronic-tech.com,2024-09-12,,,,,,,,,,
创新氮化镓材料生产线项目,创新科技股份有限公司,化合物产线,日本,爱知县,名古屋市,16000,万元,2023,12000,万片,日本半导体工业协会,https://www.japansemiconductor.com,2024-09-12,,,,,,,,,,
未来能源氮化镓产线项目,未来能源科技,化合物产线,中国,江苏省,南京市,19000,万元,2024,7500,万片,2023年中国半导体市场报告,https://market-report-china.com,2024-09-12,,,,,,,,,,
华灿氮化镓高效线项目,华灿半导体技术有限公司,化合物产线,中国,广东省,珠海市,21000,万元,2023,9500,万片,化合物半导体月刊,https://compoundsemiconductormonthly.org,2024-09-12,,,,,,,,,,
光辉氮化镓生产线项目,光辉科技有限公司,化合物产线,德国,巴伐利亚,慕尼黑,30000,万元,2024,20000,万片,德国半导体行业报告,https://germansemiconductorreport.com,2024-09-12,,,,,,,,,,
先进氮化镓模块化生产线项目,先进电子有限公司,化合物产线,中国,四川省,成都市,22000,万元,2025,8500,万片,电子元件市场分析,https://componentmarketanalysis.com,2024-09-12,,,,,,,,,,
清华氮化镓创新线项目,清华科技股份有限公司,化合物产线,中国,湖南省,长沙市,15000,万元,2023,5000,万片,中国半导体发展蓝皮书,https://www.chinasemiconductorbook.com,2024-09-12,,,,,,,,,,
创辉科技氮化镓产线项目,创辉科技有限公司,化合物产线,中国,浙江省,杭州,22000,万元,2023,2000,万片,半导体行业协会,https://www.semi.org,2024-09-12,,,,,,,,,,
瑞芯微氮化镓产线项目,瑞芯微科技股份有限公司,化合物产线,中国,四川省,成都市,35000,万元,2024,3000,万片,中国电力研究院,https://www.cpri.cn,2024-09-12,,,,,,,,,,
艾谱智氮化镓生产线项目,艾谱智科技有限公司,化合物产线,中国,安徽省,合肥市,17000,万元,2023,2500,万片,行业数据报告,https://www.industryreport.com,2024-09-12,,,,,,,,,,
赛米微氮化镓生产线项目,赛米微半导体有限公司,化合物产线,美国,加利福尼亚州,旧金山,45000,万元,2025,5000,万片,美国半导体协会,https://www.sia-online.org,2024-09-12,,,,,,,,,,
义辉半导体氮化镓生产线项目,义辉半导体股份有限公司,化合物产线,韩国,京畿道,水原市,32000,万元,2023,7000,万片,韩国产业研究院,https://www.kisti.re.kr,2024-09-12,,,,,,,,,,
优特半导体氮化镓项目,优特半导体有限公司,化合物产线,新加坡,新加坡,新加坡市,28000,万元,2024,8000,万片,新加坡经济发展局,https://www.edb.gov.sg,2024-09-12,,,,,,,,,,
晨鑫半导体氮化镓产线项目,晨鑫半导体有限公司,化合物产线,中国,重庆市,重庆市,15000,万元,2023,1200,万片,新能源汽车行业报告,https://www.nevjournal.com,2024-09-12,,,,,,,,,,
飞熠半导体氮化镓项目,飞熠半导体股份有限公司,化合物产线,澳大利亚,新南威尔士州,悉尼,39000,万元,2025,4000,万片,澳大利亚科学与工业研究组织,https://www.csiro.au,2024-09-12,,,,,,,,,,
宏联科技氮化镓产线项目,宏联科技有限公司,化合物产线,马来西亚,雪兰莪州,吉隆坡,27000,万元,2024,3500,万片,马来西亚半导体局,https://www.miti.gov.my,2024-09-12,,,,,,,,,,
中芯国际氮化镓中试线项目,中芯国际集成电路制造有限公司,化合物产线,中国,上海市,上海市,18000,万元,2023,2000,万片,中国半导体行业协会,http://www.csia.org.cn/,2024-09-12,,,,,,,,,,
美光科技氮化镓产线项目,美光科技公司,化合物产线,美国,加利福尼亚州,山景城,35000,万元,2022,5000,万片,全球半导体市场研究报告,https://www.micron.com/,2024-09-12,,,,,,,,,,
芳芮科技氮化镓生产线项目,芳芮科技有限公司,化合物产线,日本,东京,品川区,25000,万元,2024,10000,万片,Nikkei Semiconductor,https://www.nikkei.com/technology/,2024-09-12,,,,,,,,,,
豪威科技氮化镓生产线项目,豪威科技股份有限公司,化合物产线,中国,浙江省,杭州市,12000,万元,2023,8000,万片,中国电子行业协会,http://www.cecc.org.cn/,2024-09-12,,,,,,,,,,
华润微电子氮化镓产线项目,华润微电子有限公司,化合物产线,中国,江苏省,无锡市,15000,万元,2024,9000,万片, Semiconductor Insights,https://www.semiconductorinsights.com/,2024-09-12,,,,,,,,,,
瑞萨电子氮化镓生产线项目,瑞萨电子公司,化合物产线,日本,大阪府,大阪市,22000,万元,2022,12000,万片,RW Semiconductor,https://www.renesas.com/,2024-09-12,,,,,,,,,,
台积电氮化镓产线项目,台积电,化合物产线,中国台湾,台南市,台南市,40000,万元,2023,30000,万片,台积电年报,https://www.tsmc.com/,2024-09-12,,,,,,,,,,
汇顶科技氮化镓生产线项目,汇顶科技有限公司,化合物产线,中国,江苏省,南京市,16000,万元,2024,7000,万片,中国半导体产业发展规划,http://www.semi.org.cn/,2024-09-12,,,,,,,,,,
意法半导体氮化镓生产线项目,意法半导体公司,化合物产线,意大利,托斯卡纳,佛罗伦萨,19000,万元,2023,11000,万片,Market Research Future,https://www.st.com/,2024-09-12,,,,,,,,,,
士兰微氮化镓生产线项目,士兰微电子有限公司,化合物产线,中国,四川省,成都市,13000,万元,2024,8500,万片,中国半导体技术论坛,http://www.cstf.org/,2024-09-12,,,,,,,,,,
新思创氮化镓中试线项目,新思创半导体有限公司,化合物产线,中国,四川省,成都市,12000,万元,2023,8000,万片,半导体行业观察,https://www.semiobserver.com,2024-09-12,,,,,,,,,,
宏达氮化镓生产线项目,宏达科技有限公司,化合物产线,中国,浙江省,杭州市,22000,万元,2022,10000,万片,华夏半导体论坛,https://www.china-sem.com,2024-09-12,,,,,,,,,,
宁德时代氮化镓产线项目,宁德时代新能源科技股份有限公司,化合物产线,中国,福建省,宁德市,45000,万元,2024,6000,万片,鱼财经,https://www.yucaijing.com,2024-09-12,,,,,,,,,,
瑞晋科技氮化镓生产线项目,瑞晋科技股份有限公司,化合物产线,中国,湖北省,武汉市,30000,万元,2023,12000,万片,每日经济新闻,https://www.nbd.com.cn,2024-09-12,,,,,,,,,,
三星氮化镓制造线项目,三星电子,化合物产线,韩国,京畿道,水原市,35000,万元,2023,20000,万片,三星官方新闻稿,https://www.samsung.com,2024-09-12,,,,,,,,,,
英特尔氮化镓开发线项目,英特尔公司,化合物产线,美国,加利福尼亚州,圣克拉拉市,50000,万元,2024,25000,万片,英特尔官方文档,https://www.intel.com,2024-09-12,,,,,,,,,,
美光氮化镓产线项目,美光科技公司,化合物产线,美国,德克萨斯州,博伊西市,40000,万元,2023,18000,万片,美光年度报告,https://www.micron.com,2024-09-12,,,,,,,,,,
东芝氮化镓新工厂项目,东芝株式会社,化合物产线,日本,东京,东京市,25000,万元,2025,15000,万片,东芝财报,https://www.toshiba.com,2024-09-12,,,,,,,,,,
台积电氮化镓扩产项目,台积电,化合物产线,中国台湾,台北市,新北市,60000,万元,2024,30000,万片,台积电官方公告,https://www.tsmc.com,2024-09-12,,,,,,,,,,
锐能半导体氮化镓生产线项目,锐能半导体科技有限公司,化合物产线,中国,浙江省,杭州市,12000,万元,2022,8000,万片,中国半导体协会,http://www.csia.org.cn/,2024-09-12,,,,,,,,,,
台积电氮化镓产线项目,台积电股份有限公司,化合物产线,台湾,台南市,台南市,45000,万元,2023,6000,万片,集微网,https://www.jijnews.com/,2024-09-12,,,,,,,,,,
光芒科技氮化镓生产线项目,光芒科技有限公司,化合物产线,中国,上海市,浦东新区,22000,万元,2023,5000,万片,行业研究报告,http://www.industryreport.com/,2024-09-12,,,,,,,,,,
三星氮化镓集成线项目,三星电子,化合物产线,韩国,京畿道,水原市,35000,万元,2024,10000,万片,半导体行业新闻,https://www.semi.org/,2024-09-12,,,,,,,,,,
英特尔氮化镓新线项目,英特尔公司,化合物产线,美国,亚利桑那州,机灵市,60000,万元,2023,12000,万片,英特尔官网,https://www.intel.com/,2024-09-12,,,,,,,,,,
安森美半导体氮化镓项目,安森美半导体,化合物产线,中国,湖北省,武汉市,15000,万元,2023,9000,万片,光电行业资讯,https://www.optoelectronics.com/,2024-09-12,,,,,,,,,,
VDL半导体氮化镓生产线项目,VDL Groep,化合物产线,荷兰,北荷兰省,阿姆斯特丹,18000,万元,2024,11000,万片,荷兰科技机构,https://www.tno.nl/,2024-09-12,,,,,,,,,,
联华电子氮化镓产线项目,联华电子,化合物产线,中国,江苏省,南京市,25000,万元,2022,7000,万片,中国半导体新闻网,http://www.csnews.com/,2024-09-12,,,,,,,,,,
瑞萨电子氮化镓生产线项目,瑞萨电子株式会社,化合物产线,日本,东京,千代田区,32000,万元,2023,9500,万片,日本半导体制造商协会,http://www.japansemicon.com/,2024-09-12,,,,,,,,,,
瑞深科技氮化镓制造线项目,瑞深科技有限公司,化合物产线,中国,浙江省,杭州市,12000,万元,2023,8000,万片,电子元器件行业发展报告,https://www.ecpss.com/,2024-09-12,,,,,,,,,,
英特尔氮化镓半导体生产线项目,英特尔公司,化合物产线,美国,加利福尼亚州,圣克拉拉,50000,万元,2024,20000,万片,TechCrunch,https://techcrunch.com/,2024-09-12,,,,,,,,,,
车尔尼氮化镓技术中心,车尔尼半导体有限公司,化合物产线,德国,巴伐利亚,慕尼黑,30000,万元,2022,10000,万片,Semiconductor Digest,https://www.semiconductordigest.com/,2024-09-12,,,,,,,,,,
立创氮化镓计划,立创科技股份有限公司,化合物产线,中国,江苏省,南京市,15000,万元,2025,9000,万片,国际半导体协会,https://www.sia-online.org/,2024-09-12,,,,,,,,,,
台积电氮化镓生产线扩张项目,台积电,化合物产线,中国台湾,新北市,新台币,60000,万元,2023,25000,万片,路透社,https://www.reuters.com/,2024-09-12,,,,,,,,,,
三星氮化镓技术管线,三星电子,化合物产线,韩国,京畿道,平泽市,75000,万元,2023,35000,万片,Korea Herald,http://www.koreaherald.com/,2024-09-12,,,,,,,,,,
意法半导体氮化镓生产设施,意法半导体,化合物产线,法国,普罗旺斯,格勒诺布尔,20000,万元,2023,12000,万片,EE Times,https://www.eetimes.com/,2024-09-12,,,,,,,,,,
瑞士氮化镓研发线项目,瑞士半导体公司,化合物产线,瑞士,伯尔尼,伯尔尼,28000,万元,2024,20000,万片,Swiss Federal Institute of Technology,https://www.ethz.ch/en.html,2024-09-12,,,,,,,,,,
博通氮化镓生产线项目,博通有限公司,化合物产线,中国,上海市,虹口区,22000,万元,2023,18000,万片,全球半导体市场分析,http://www.gartner.com/,2024-09-12,,,,,,,,,,
紫光国微氮化镓产线项目,紫光国微电子股份有限公司,化合物产线,中国,四川省,成都市,22000,万元,2022,1800,万片,电子信息产业网,https://www.eei.com.cn,2024-09-12,,,,,,,,,,
ASE氮化镓制造项目,ASE Group,化合物产线,台湾,新北市,淡水区,50000,万元,2023,12000,万片,半导体行业观察,https://www.semiconductor-observer.com,2024-09-12,,,,,,,,,,
IXYS氮化镓生产线扩建项目,IXYS Corporation,化合物产线,美国,加利福尼亚州,洛杉矶,30000,万元,2024,3000,万片,半导体技术论坛,https://www.semiconductorforum.com,2024-09-12,,,,,,,,,,
中山光电氮化镓项目,中山光电科技有限公司,化合物产线,中国,广东省,中山市,17500,万元,2023,9000,万片,光电产业网,https://www.optoelectronics.net,2024-09-12,,,,,,,,,,
SOITEC氮化镓产线项目,SOITEC,化合物产线,法国,伊泽尔省,格勒诺布尔,28000,万元,2022,2500,万片,法国科学技术新闻,https://www.scienceettech.fr,2024-09-12,,,,,,,,,,
意法半导体氮化镓生产线项目,意法半导体股份有限公司,化合物产线,意大利,拉齐奥,罗马,35000,万元,2023,4000,万片,意法半导体官网,https://www.st.com,2024-09-12,,,,,,,,,,
Aixtron氮化镓产线扩充项目,Aixtron SE,化合物产线,德国,北莱茵-威斯特法伦,杜塞尔多夫,15000,万元,2023,5000,万片,德国科技网,https://www.deutsche-tech.de,2024-09-12,,,,,,,,,,
Technicolor氮化镓生产线项目,Technicolor Creative Studios,化合物产线,法国,普罗旺斯-阿尔卑斯-蓝色海岸,马赛,12000,万元,2023,6000,万片,法国半导体市场走势,https://www.semis.fr,2024-09-12,,,,,,,,,,
Telit氮化镓智能工厂项目,Telit Communications,化合物产线,以色列,特拉维夫,特拉维夫-雅法,27000,万元,2023,3500,万片,以色列技术报告,https://www.israeltechreport.com,2024-09-12,,,,,,,,,,
Lumileds氮化镓生产线项目,Lumileds Lighting B.V.,化合物产线,荷兰,南荷兰,鹿特丹,20000,万元,2023,7000,万片,荷兰科技新闻,https://www.hollandtechnews.nl,2024-09-12,,,,,,,,,,
北方半导体GaN产线项目,北方半导体科技有限公司,化合物产线,中国,北京市,北京市,35000,万元,2023,5000,万片,全球半导体行业动态,https://www.semiconductorworld.com/news,2024-09-12,,,,,,,,,,
爱普生氮化镓包覆线项目,爱普生科技公司,化合物产线,日本,东京,东京市,28000,万元,2022,6000,万片,日本半导体协会,https://www.semi.org/ja,2024-09-12,,,,,,,,,,
台积电GaN智能手机产线,台积电,化合物产线,中国台湾,台北市,台北市,60000,万元,2023,20000,万片,icHub,https://www.ichub.com,2024-09-12,,,,,,,,,,
英特尔氮化镓研发中心,英特尔公司,化合物产线,美国,加利福尼亚州,圣克拉拉市,75000,万元,2024,8000,万片,英特尔技术论坛,https://www.intel.com/content/www/us/en/technology-innovation/technology-forum.html,2024-09-12,,,,,,,,,,
Galaxy半导体氮化镓产线,Galaxy Semiconductor,化合物产线,韩国,京畿道,水原市,21000,万元,2023,11000,万片,韩国半导体新闻网,https://www.koreasemiconductor.com,2024-09-12,,,,,,,,,,
