系统名称（字符型）,系统类型（字符型）,系统架构（字符型）,系统性能（字符型）,系统搭建环境（字符型）,系统关键功能（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,
深空探测任务管控系统,任务管理系统,分布式管理架构,任务协调高效,专属控制中心,任务分配、数据反馈,中国国家航天局,http://www.cnsa.gov.cn,2024-10-08,,,,,,,,,,,
海洋安全监控系统,安全监控系统,混合架构,实时性和稳定性兼具,综合网络环境,海域监控、应急响应,海洋局,http://www.soa.gov.cn,2024-10-08,,,,,,,,,,,
空天数据融合与展示平台,数据融合系统,统一数据架构,实时同步多源数据,云计算环境,数据可视化、实时监控,国家航天局,https://www.cnsa.gov.cn,2024-10-08,,,,,,,,,,,
未来空天信息服务系统,信息服务系统,微服务架构,高可用性和扩展性,混合云环境,用户身份管理、数据服务接入,科技部,https://www.most.gov.cn,2024-10-08,,,,,,,,,,,
空天智能分析决策系统,决策支持系统,基于云的分层架构,深度学习与大数据分析,云端计算平台,决策模拟、风险评估,军事科学院,http://www.amsc.cn,2024-10-08,,,,,,,,,,,
空天安全监测系统,监测系统,集成监控架构,自动异常检测,本地与云结合环境,故障预警、信息报告,网络安全局,https://www.mps.gov.cn,2024-10-08,,,,,,,,,,,
高轨道卫星通信系统,通信系统,星间中继架构,全球覆盖，低延时,高级卫星网络环境,高速数据传输、信号处理,中国卫星通信集团公司,http://www.chinasatcom.com,2024-10-08,,,,,,,,,,,
空天环境监测与分析平台,环境监测系统,分布式感知架构,实时数据更新,物联网环境,环境数据采集、分析报告,国家气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
卫星导航与支持系统,支持系统,集成化架构,支持多种导航信号,开放平台环境,信号增强、位置回传,导航定位协会,http://www.navigation.org.cn,2024-10-08,,,,,,,,,,,
空间检索与综合分析平台,分析系统,动态数据处理架构,多层次数据处理和检索,混合云环境,空间数据检索、智能分析,航天科技集团,http://www.casic.com,2024-10-08,,,,,,,,,,,
空天紧急响应系统,应急管理系统,快速部署架构,即时响应、快速处理,临时移动环境,事件监测、资源协调,应急管理部,http://www.mem.gov.cn,2024-10-08,,,,,,,,,,,
空天大数据分析平台,大数据系统,数据湖架构,处理速度快、存储能力强,分布式计算环境,数据清洗、趋势分析,数据科学研究所,http://www.datasci.org,2024-10-08,,,,,,,,,,,
地面控制系统与空中无人机协同平台,协同系统,云端-地面混合架构,高效协同作业能力,云计算与边缘计算环境,无人机路径优化、任务执行监控,无人机技术协会,https://www.uavtech.org,2024-10-08,,,,,,,,,,,
空天数据共享与管理平台,数据管理系统,集中式架构,多用户高效访问,全球信息网络环境,数据共享、权限管理,国家数字信息中心,https://www.ndic.gov.cn,2024-10-08,,,,,,,,,,,
智能空间监测与控制系统,监测系统,集成化架构,实时监控与反馈能力,物联网环境,环境参数监测、自动控制,中国智能城市发展论坛,https://www.smartcity.org.cn,2024-10-08,,,,,,,,,,,
多源信息融合与分析系统,信息融合系统,模块化架构,高效信息分析与处理,混合云环境,数据融合、智能决策支持,通用信息技术研究院,https://www.gitra.org,2024-10-08,,,,,,,,,,,
空天气象与灾害预测系统,预测分析系统,面向服务的架构,精准的气象数据分析,气象云计算环境,气象监测、灾害预测,国家气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天资产管理系统,管理系统,集中管理架构,高效资产追踪与管理,远程管理平台,资产监控、价值评估,中国资产管理协会,https://www.cama.org.cn,2024-10-08,,,,,,,,,,,
空天探测与安全保障系统,安全系统,分布式架构,高灵敏度探测与响应,综合安全防护环境,安全监测、实时报警,安全技术研究院,https://www.safetytech.org,2024-10-08,,,,,,,,,,,
空天资源优化配置系统,资源管理系统,云端整合架构,资源利用效率最大化,资源共享网络环境,资源分配、效率分析,国家资源管理局,http://www.nrm.gov.cn,2024-10-08,,,,,,,,,,,
空天科学实验与研究平台,实验平台,开放式架构,高数据采集与实验分析,跨学科研究环境,实验数据收集、分析工具,中国科学技术研究院,https://www.cast.org.cn,2024-10-08,,,,,,,,,,,
空天应急指挥与调度系统,应急管理系统,集成化指挥架构,应急响应速度快,实时应急指挥平台,应急资源调度、信息共享,国家应急管理部门,https://www.nema.gov.cn,2024-10-08,,,,,,,,,,,
先进空天监测系统,监测系统,集成式架构,多维度监测能力,云计算与大数据环境,实时监测、数据融合,航天信息技术研究院,https://www.spaceinfo.org,2024-10-08,,,,,,,,,,,
空天作战指挥系统,指挥系统,分布式实时架构,信号处理实时性高,高性能计算环境,任务指挥、资源调度,军事科技周刊,https://www.militarytechweekly.cn,2024-10-08,,,,,,,,,,,
空天数据安全系统,安全系统,多层防护架构,数据加密与反制能力强,云环境与边缘计算,数据保护、风险评估,信息安全研究中心,https://www.infosec-research.cn,2024-10-08,,,,,,,,,,,
空天新能源管理平台,管理平台,模块化管理架构,能源使用优化 ,物联网环境,能量监控、优化调度,绿色能源发展协会,https://www.greenenergy.org.cn,2024-10-08,,,,,,,,,,,
智能空天调度系统,调度系统,集成化架构,调度效率高、灵活性强,人工智能支持环境,任务分配、实时反馈,人工智能应用研究所,https://www.aiapplication.org,2024-10-08,,,,,,,,,,,
空天环境监测网络,监测网络,网络化架构,实时环境数据采集,星地一体化网络环境,环境数据获取、分析,环境监测中心,https://www.environmentmonitor.org,2024-10-08,,,,,,,,,,,
空天气象数据系统,数据系统,云端架构,实时气象数据分析,气象局专业平台,气象数据接收、预报,国家气象局,http://www.weather.gov.cn,2024-10-08,,,,,,,,,,,
空天民用卫星管理系统,卫星管理系统,集中式管理架构,高效的传播与控制能力,基于卫星的通信环境,卫星状态监测、控制指令,民用卫星服务中心,https://www.civilsatellite.org,2024-10-08,,,,,,,,,,,
空天智能交通系统,交通系统,综合交通架构,智能调度与管理能力,基于云的智能交通环境,交通流量监控、优化调度,城市交通研究院,https://www.citytraffic.org,2024-10-08,,,,,,,,,,,
空间监视与识别系统,监视系统,集中式架构,高效目标识别能力,超级计算中心,空间目标跟踪、实时数据分析,国家航天局,https://www.cnsa.gov.cn,2024-10-08,,,,,,,,,,,
空天气象分析系统,气象系统,分布式服务架构,实时气象数据处理,云端气候服务平台,气象监测数据采集、气候预测,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天安全监控系统,安全监控系统,多层次架构,全景监控与分析,安全信息管理平台,安全事件监测、响应协同,国防科技大学,http://www.ndu.edu.cn,2024-10-08,,,,,,,,,,,
卫星数据服务平台,数据服务平台,微服务架构,快速数据检索与处理,高性能云计算环境,数据存储、查询和共享,中国航天科技集团,http://www.casc.com.cn,2024-10-08,,,,,,,,,,,
无人机监管与调度系统,调度系统,分层架构,实时无人机状态监测,私有云环境,航线优化、任务调度,无人机行业协会,http://www.uav.org.cn,2024-10-08,,,,,,,,,,,
空天科技创新平台,创新平台,开放性架构,支持多种技术集成,虚拟化云平台,技术研发、项目管理,科技部,http://www.most.gov.cn,2024-10-08,,,,,,,,,,,
海洋监测与安全督导系统,监测系统,星地一体化架构,多种数据采集与分析,混合云环境,海洋数据分析、预警系统,国家海洋局,http://www.soa.gov.cn,2024-10-08,,,,,,,,,,,
空天资源优化分配系统,资源管理系统,集中式架构,快速资源优化调整,在线内容管理平台,资源分配、实时反馈,国际资源管理协会,http://www.irm.org,2024-10-08,,,,,,,,,,,
空天合作与共享平台,共享平台,协同架构,高效信息共享与交流,开放式协议环境,技术交流、资源共享,空天技术交流会,http://www.spaceexhibition.cn,2024-10-08,,,,,,,,,,,
星座编队协同工作系统,协同系统,模块化协同架构,数据互联、协同作战,多维集成环境,编队作战指挥、信息融合,中国军事科学院,http://www.ami.edu.cn,2024-10-08,,,,,,,,,,,
空天应急通信系统,应急通信系统,模块化架构,低延迟通信能力,卫星通讯环境,灾害应急通讯、信息共享,应急管理部,http://www.sem.gov.cn,2024-10-08,,,,,,,,,,,
空天观测与分析系统,数据分析系统,云计算架构,高效图像处理能力,私有云环境,地面资源监测、数据分析,中国科学院遥感与数字地球研究所,http://www.radi.ac.cn,2024-10-08,,,,,,,,,,,
空天移动巡逻系统,综合巡逻系统,分布式网络架构,实时状态监测,多源数据融合环境,移动监控、数据整合,国防科技大学,http://www.nudt.edu.cn,2024-10-08,,,,,,,,,,,
空天气象监测系统,气象监测系统,星地一体化架构,高精度气象数据收集,卫星遥测环境,气象数据分析、趋势预测,国家气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天地面通信网布局系统,通信网络设计系统,拓扑优化架构,优化带宽配置,边缘计算环境,网络布局、流量分析,电信研究院,http://www.tea.gov.cn,2024-10-08,,,,,,,,,,,
空天生态监测系统,环境监测系统,集成化架构,高效数据获取与处理能力,多传感器环境,生态数据采集、环境评估,生态部,http://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
空天无人飞行器监控系统,无人机监控系统,智能控制架构,实时飞行状态监测,地面控制站环境,无人机调度、数据回传,中国无人机协会,http://www.uavassociation.cn,2024-10-08,,,,,,,,,,,
空天智能决策支持系统,决策系统,智能化架构,快速数据处理与决策支持,人工智能分析环境,数据分析、决策模型构建,人工智能研究院,http://www.airesearchinstitute.org,2024-10-08,,,,,,,,,,,
空天多模态监探系统,监测与探测系统,复合架构,多源数据融合及分析,网络化环境,情况感知、环境监测,科技部,http://www.most.gov.cn,2024-10-08,,,,,,,,,,,
空天军用指挥系统,指挥系统,安全加固架构,抗干扰能力强,局域网环境,战场指挥、决策支持,国防部,http://www.mod.gov.cn,2024-10-08,,,,,,,,,,,
智能空地一体化监测系统,监测系统,云边协同架构,高准确率、多源信息融合,公有云环境,数据监测、实时分析,智能技术研究所,https://www.smarttech.cn,2024-10-08,,,,,,,,,,,
地面-空中数据融合平台,数据融合系统,集成架构,实时处理、决策预测,专用数据中心,数据融合、信息共享,中国航天科技集团,http://www.cast.cn,2024-10-08,,,,,,,,,,,
空间态势感知平台,感知系统,分布式数据架构,高响应性、实时态势分析,边缘计算环境,态势感知、动态监控,空天服务公司,https://www.aeroservice.cn,2024-10-08,,,,,,,,,,,
太空探测与监控系统,探测系统,模块化架构,多任务处理、长时间运行,卫星操作平台,实时监控、数据存储,中国国家航天局,http://www.cnsa.gov.cn,2024-10-08,,,,,,,,,,,
未来城市空天交通管理系统,交通管理系统,智能网络架构,动态优化、流量调节,城市智能基础设施,交通流量监测、路由优化,城市交通研究院,https://www.citytraffic.edu.cn,2024-10-08,,,,,,,,,,,
空间探测与机器人控制系统,控制系统,自主控制架构,自动导航、环境适应,机器人实验室,控制指令下达、实时反馈,机器人技术协会,https://www.robotics.org.cn,2024-10-08,,,,,,,,,,,
多时域遥感监测系统,遥感系统,数据集中处理架构,长周期监测、高精度,云基存储平台,时间序列分析、影像比对,国家遥感中心,http://www.nrscc.gov.cn,2024-10-08,,,,,,,,,,,
跨域空间数据共享平台,共享系统,分层共享架构,高可用性、大数据处理,混合云环境,数据共享、访问控制,数字经济研究所,https://www.digitaleconomy.cn,2024-10-08,,,,,,,,,,,
高级气象监测与预测系统,预测系统,复杂系统架构,实时气象分析、预测更新,气象监测站,气象数据分析、极端事件预测,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
智能空天监控与预警系统,预警系统,联网架构,快速反应、自动报警,安防中心,监控预警、事件响应,国家安全局,http://www.nsa.gov.cn,2024-10-08,,,,,,,,,,,
空天智能监控系统,监控系统,集成架构,高效监控与响应,混合云环境,实时监控、数据分析,智能科技研究院,https://www.intelligenttech.org,2024-10-08,,,,,,,,,,,
空天数据共享平台,数据共享系统,开放架构,高可用性与安全性,互联网环境,数据共享、权限管理,国家大数据管理局,https://www.ndm.gov.cn,2024-10-08,,,,,,,,,,,
空天综合评估系统,评估系统,模块化混合架构,全面评估能力,本地与云结合环境,系统评估、风险分析,工程技术领域协会,https://www.engineeringassociations.org.cn,2024-10-08,,,,,,,,,,,
空天全球定位系统,定位系统,分层架构,高精度定位服务,多源数据环境,全局定位、轨迹追踪,全球定位技术公司,https://www.globalpositioningtech.com,2024-10-08,,,,,,,,,,,
空天气象监测系统,气象监测系统,分布式架构,多元气象综合分析,卫星监测环境,气象数据采集、预测建模,国家气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天动态通信系统,通信系统,自适应架构,低延迟高可靠性,移动网络环境,动态数据传输、实时通信,通信行业协会,https://www.communicationindustry.org.cn,2024-10-08,,,,,,,,,,,
空天智能决策系统,决策支持系统,决策树架构,快速决策与执行,基于AI的环境,数据分析、策略提供,人工智能研究中心,https://www.ai-research.org.cn,2024-10-08,,,,,,,,,,,
空天实验室管理系统,管理系统,中心化架构,高效资源管理能力,云端管理平台,实验室资源分配、数据管理,科学实验室协会,https://www.laboratoryscience.org.cn,2024-10-08,,,,,,,,,,,
空天安全监控系统,安全系统,全方位防御架构,实时安全监控,安全隔离环境,安全监控、事件响应,安全技术研究院,https://www.securitech.org.cn,2024-10-08,,,,,,,,,,,
空天资源调度系统,调度系统,动态调度架构,高效调度与协调,基于云的调度平台,资源调度、任务分配,国家资源管理局,https://www.resource.gov.cn,2024-10-08,,,,,,,,,,,
智慧空天融合平台,智能系统,基于大数据架构,高效率决策支持能力,云平台环境,实时数据分析、态势感知,AI科技研究院,https://www.astronauticscience.org,2024-10-08,,,,,,,,,,,
空天监视与预警系统,监视系统,动态更新架构,秒级预警响应,边缘计算环境,实时监测、警报推送,国防科技大学,https://www.nudt.edu.cn,2024-10-08,,,,,,,,,,,
空天环境监测系统,监测系统,组件化架构,多参数同步监测,物联网环境,环境数据采集、分析展示,环境保护署,https://www.epa.gov.cn,2024-10-08,,,,,,,,,,,
空天物流支持系统,支持系统,综合运输架构,高效物流协调,供应链管理平台,运输路径优化、货物追踪,中国物流与采购联合会,https://www.cflp.org.cn,2024-10-08,,,,,,,,,,,
空天作战指挥系统,指挥控制系统,分层架构,快速反应与协同作战,信息集成环境,战术数据整合、决策支持,军事科学院,https://www.nmic.gov.cn,2024-10-08,,,,,,,,,,,
空天研究开发管理系统,管理系统,集中管理架构,资源配置合理,科研管理平台,项目管理、研发计划协调,国家民用航天局,https://www.cnsa.gov.cn,2024-10-08,,,,,,,,,,,
卫星数据共享服务平台,数据共享系统,开放式架构,高并发数据访问能力,大数据存储环境,数据上传、共享、下载,国际地球观测组织,https://www.geoportal.org,2024-10-08,,,,,,,,,,,
空天能源管理系统,管理系统,智能管理架构,资源优化配置,智能电网环境,能源监测、消费分析,清洁能源研究院,https://www.cea.cn,2024-10-08,,,,,,,,,,,
空天智能交通系统,交通系统,智能网络架构,实时流量管理,5G智能城市环境,交通流监测、调度优化,交通运输部,https://www.mot.gov.cn,2024-10-08,,,,,,,,,,,
空天灾害应急响应系统,应急管理系统,集成响应架构,快速高效应急响应,应急指挥环境,灾害监测、响应协调,国家应急管理局,https://www.mem.gov.cn,2024-10-08,,,,,,,,,,,
智能空天监测平台,监测系统,多层次架构,全天候数据实时监测,边缘计算环境,环境监测、灾害预警,国家气象局,https://www.nmc.cn,2024-10-08,,,,,,,,,,,
空天探测与干扰管理系统,探测系统,集成化架构,实时干扰分析能力,虚拟现实环境,干扰探测、信号分析,无线电管理局,http://www.crtc.gov.cn,2024-10-08,,,,,,,,,,,
卫星导航增强系统,增强系统,分布式架构,延迟低、精度高,多点接入环境,信号增强、误差校正,国家航天局,https://www.cnsa.gov.cn,2024-10-08,,,,,,,,,,,
空天演习仿真系统,仿真系统,云计算架构,高并发处理能力,云服务环境,军事演习仿真、战术评估,军事科学院,http://www.ami.cn,2024-10-08,,,,,,,,,,,
空天图像分析系统,分析系统,模块化架构,快速图像识别,深度学习平台,图像处理、目标检测,图像处理研究所,http://www.imageprocessing.com,2024-10-08,,,,,,,,,,,
空天资源管理系统,资源管理系统,中央管理架构,资源优化配置,企业资源规划环境,资源调度、效率提升,资源管理协会,http://www.resourceassociation.org,2024-10-08,,,,,,,,,,,
空天运营数据决策系统,决策支持系统,决策树架构,数据驱动决策能力,智能分析平台,数据可视化、决策分析,智能决策研究中心,http://www.decisionmaking.org,2024-10-08,,,,,,,,,,,
空天维护与支持系统,维护支持系统,综合服务架构,高效服务响应,综合服务平台,故障诊断、技术支持,航天科工集团,http://www.casic.com,2024-10-08,,,,,,,,,,,
空天安全监管系统,安全系统,安全防护架构,数据安全防护能力,多重认证环境,安全监控、风险评估,国家网络安全局,http://www.cac.gov.cn,2024-10-08,,,,,,,,,,,
空天资源共享与交换平台,共享平台,开放平台架构,快速资源交换能力,云计算环境,资源共享、接口对接,科技部,http://www.most.gov.cn,2024-10-08,,,,,,,,,,,
未来空天探测系统,探测系统,集成化分布式架构,高精度探测与实时回传,虚拟现实实验室环境,高空探测、数据实时回传,中国科学院空天研究所,https://www.casi.org.cn,2024-10-08,,,,,,,,,,,
空天环境监测系统,监测系统,模块化云架构,多数据源融合,阿里云环境,环境数据收集、分析与报告,环境保护部,https://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
商用卫星通信系统,通信系统,星网一体化架构,全球覆盖、低延迟,云计算与卫星协同环境,数据传输、广播通信,中国卫星通信集团,http://www.chinasatcom.com,2024-10-08,,,,,,,,,,,
空天优化调度系统,管理系统,自适应架构,快速优化与调度能力,边缘计算环境,资源调配、任务优化,科技进步研究院,http://www.sciencetech.org,2024-10-08,,,,,,,,,,,
跨域空天决策支持系统,决策支持系统,弹性架构,实时数据分析与支持,多云环境,综合分析、策略制定,国防科技大学,http://www.nudt.edu.cn,2024-10-08,,,,,,,,,,,
空天监视与导航系统,导航与监视系统,分层架构,高精度、全时段监视,本地专用网络环境,实时监视、导航支持,中国航天科技集团,http://www.casc.cn,2024-10-08,,,,,,,,,,,
空天安全保护系统,安全系统,多层防护架构,自主识别与响应,混合云环境,安全监测、威胁识别,网络安全研究所,https://www.cybersecurity.org.cn,2024-10-08,,,,,,,,,,,
智能空天机器人系统,机器人系统,伸缩性架构,自主行动与决策能力,机器人实验室环境,任务执行、环境感知,中国机器人产业联盟,http://www.chinarobotics.org,2024-10-08,,,,,,,,,,,
空天先进材料研发系统,材料研发系统,集成研发架构,高效材料合成与测试,专用研发环境,材料探索、性能测试,国家材料研究所,http://www.nims.org.cn,2024-10-08,,,,,,,,,,,
空天大数据分析系统,数据分析系统,分布式数据架构,高并发数据处理,云计算环境,数据挖掘、预测分析,中国大数据产业发展协会,http://www.bigdata.org.cn,2024-10-08,,,,,,,,,,,
空天防御监控系统,监控系统,集中控制架构,实时异常检测与响应,混合云环境,态势感知、威胁评估,国家安全部,http://www.mps.gov.cn,2024-10-08,,,,,,,,,,,
空天环境监测系统,监测系统,模块化服务架构,高精度多参数监测,虚拟化云环境,气象数据采集、污染物监测,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天智能决策支持系统,决策系统,智能分析架构,基于AI的决策优化,边缘计算环境,数据分析、预测模型,软件工程协会,https://www.se.org.cn,2024-10-08,,,,,,,,,,,
空天灾害应急响应系统,应急管理系统,基于云的实时响应架构,高效资源调度能力,多云环境,应急资源调配、实时监控,国家应急管理部,http://www.mem.gov.cn,2024-10-08,,,,,,,,,,,
空天通信保障系统,保障系统,分层网络架构,保障通信畅通,卫星网络环境,应急通信、低延迟连接,卫星通信公司,http://www.globalcomms.cn,2024-10-08,,,,,,,,,,,
空天资源分发系统,资源管理系统,去中心化架构,优化资源分配,云原生环境,资源共享、用户管理,数据共享平台,http://www.datashare.org,2024-10-08,,,,,,,,,,,
空天电磁频谱管理系统,频谱管理系统,基于数据驱动架构,频谱使用优化,高性能计算环境,频谱监测、数据分析,国家无线电管理局,http://www.samr.gov.cn,2024-10-08,,,,,,,,,,,
空天物流优化系统,物流管理系统,全链条集成架构,物流精细化管理,智能仓储环境,订单管理、路径优化,物流工程协会,http://www.logistics.org.cn,2024-10-08,,,,,,,,,,,
空天科研项目管理系统,项目管理系统,项目生命周期管理架构,强化项目评估与管理,协作云环境,资源分配、风险评估,科技部,http://www.most.gov.cn,2024-10-08,,,,,,,,,,,
空天人机协作系统,协作系统,协同工作架构,人机交互流畅,虚拟现实环境,人机沟通、共同操作,工业自动化技术协会,http://www.automation.org.cn,2024-10-08,,,,,,,,,,,
智能空天监测系统,监测系统,混合架构,实时监控与数据分析,边缘计算环境,数据集成、异常检测,中国科学院信息工程研究所,https://www.iiis.ac.cn,2024-10-08,,,,,,,,,,,
空天合作研讨平台,协作平台,虚拟化架构,高并发用户支持,云服务器环境,项目协作、信息共享,全球合作空天联盟,https://www.spacealliance.org,2024-10-08,,,,,,,,,,,
多维空天数据视觉化平台,数据视觉化系统,微服务架构,支持动态数据展示,虚拟现实环境,数据可视化、用户交互,信息技术与科学委员会,http://www.it-science.org,2024-10-08,,,,,,,,,,,
空天智能调度系统,调度系统,集中式架构,优化资源配置,专用数据中心环境,任务调度、性能优化,国家智能交通管理中心,https://www.nitmc.gov.cn,2024-10-08,,,,,,,,,,,
空天气象预报与分析系统,气象数据系统,数据驱动架构,高精度气象数据处理,高性能计算环境,气象模型模拟、预报分析,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天情报获取与分析系统,情报分析系统,去中心化架构,数据处理速度快,区块链环境,情报数据采集、网络分析,国防科技大学,http://www.nudt.edu.cn,2024-10-08,,,,,,,,,,,
空天大数据云存储平台,存储平台,分布式存储架构,大容量、高冗余性,公有云环境,数据备份、恢复管理,云计算技术协会,https://www.cloudtech.org.cn,2024-10-08,,,,,,,,,,,
空天安全监控与分析系统,安全监控系统,综合安全架构,智能风险评估,物联网环境,入侵检测、行为分析,国家网络安全中心,https://www.cac.gov.cn,2024-10-08,,,,,,,,,,,
空天资源管理与调度系统,资源管理系统,服务导向架构,资源配置效率高,混合云环境,资源管理、成本控制,全球资源管理协会,https://www.globalresourcemanagement.org,2024-10-08,,,,,,,,,,,
空天决策支持系统,支持系统,人工智能架构,快速决策例外,安全云环境,决策模拟、风险评估,人工智能应用研究中心,https://www.ai-research.org,2024-10-08,,,,,,,,,,,
先进空天探测系统,探测系统,集成化架构,超高分辨率探测能力,高性能计算环境,多维数据集成、信息融合,中国科学院空天科学与技术研究所,http://www.cast.org.cn,2024-10-08,,,,,,,,,,,
空天能源采集系统,能源管理系统,分布式能源架构,优化能量转化效率,微电网环境,能量采集、实时监控,新能源研究中心,http://www.chinaenergystorage.com,2024-10-08,,,,,,,,,,,
空天智能决策支持系统,决策支持系统,人工智能增强架构,快速决策分析能力,云计算与边缘计算环境,情况预测、决策优化,人工智能与决策技术论坛,http://www.aidecisiontechnology.org,2024-10-08,,,,,,,,,,,
空天灵巧通信系统,智能通信系统,自适应网络架构,动态频谱管理,4G/5G混合环境,多用户接入、信号优化,移动通信科技有限公司,http://www.mobiletech.cn,2024-10-08,,,,,,,,,,,
空天环境监测系统,环境监测系统,实时数据流架构,多参数环境监测能力,物联网环境,空气质量检测、数据分析,环境保护部,http://www.sepb.gov.cn,2024-10-08,,,,,,,,,,,
空天网络安全防护系统,安全防护系统,多层防护架构,高效安全威胁识别,网络监控环境,入侵检测、攻击响应,网络安全技术研究院,http://www.cybersecurity.org.cn,2024-10-08,,,,,,,,,,,
空天可视化分析平台,数据可视化系统,动态可视化架构,实时数据展示更新,虚拟现实与增强现实环境,数据图形化展示、交互分析,数据可视化协会,http://www.datavisualization.org,2024-10-08,,,,,,,,,,,
空天生物监测系统,监测系统,模块化生物监测架构,实时生物数据采集,生态监测环境,生物多样性监测、数据分析,生态环境科学研究院,http://www.ecolodge.org.cn,2024-10-08,,,,,,,,,,,
空天交通管理优化系统,交通管理系统,智能交通架构,优化流量管理能力,智慧城市环境,实时交通监控、优化规划,城市交通研究院,http://www.citytransport.org.cn,2024-10-08,,,,,,,,,,,
空天灾害预警系统,预警系统,智能监测架构,高精度实时预警,应急管理环境,灾害监测、预警信息发布,自然灾害防治中心,http://www.ndre.gov.cn,2024-10-08,,,,,,,,,,,
卫星通信监测系统,监测系统,集成架构,高可靠性、低故障率,多点监控环境,信号监测、故障报警,中国卫星通信有限公司,http://www.china-satcom.com,2024-10-08,,,,,,,,,,,
无人机空域管理平台,管理平台,分层架构,高效协调无人机,云计算与边缘计算结合,空域划分、飞行监控,无人机产业协会,http://www.uavassociation.com,2024-10-08,,,,,,,,,,,
空天气象监测系统,气象监测系统,模块化设计,精准气象预测,高性能计算平台,气象数据采集、气候变化分析,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空天货物运输系统,运输系统,协同架构,实时物流管理,专用运输网络,货物追踪、运输调度,物流技术协会,http://www.logisticsassociation.org,2024-10-08,,,,,,,,,,,
空天安全监控平台,安全监控系统,分布式监控架构,实时威胁检测,视频监控网络环境,入侵检测、数据记录,安全技术研究院,http://www.safetytech.org,2024-10-08,,,,,,,,,,,
空天智能决策支持系统,决策支持系统,集成化平台,决策效率高、数据支持强,大数据云平台,数据分析、决策建议,人工智能发展中心,http://www.ai-development.cn,2024-10-08,,,,,,,,,,,
空天资源监测与勘探系统,勘探系统,基于云的架构,高效资源发现与管理,云服务环境,资源评估、数据存储,自然资源部,http://www.mnr.gov.cn,2024-10-08,,,,,,,,,,,
空天数据安全保护系统,安全保护系统,防火墙与加密结合,数据保护力强,私有云环境,数据加密、访问控制,信息安全协会,http://www.infosec.org.cn,2024-10-08,,,,,,,,,,,
空天影像分析系统,数据分析系统,可扩展架构,影像处理速度快,高效图像处理平台,影像修复、模式识别,影像技术与应用研究所,http://www.image-tech.org,2024-10-08,,,,,,,,,,,
空天心理健康监测系统,健康监测系统,数据收集与分析架构,监测精度高,云端数据处理环境,心理健康评估、数据报告生成,心理健康研究院,http://www.mentalhealth.org.cn,2024-10-08,,,,,,,,,,,
空天气象监测系统,监测系统,综合多元架构,实时气象数据采集与分析,云数据中心环境,气象预报、气候模型模拟,中国气象局,http://www.cma.gov.cn,2024-10-08,,,,,,,,,,,
空间资源管理系统,管理系统,分布式大数据架构,多维数据处理与分析,混合云环境,资源监控、数据可视化,国家空间科学中心,http://www.nssc.ac.cn,2024-10-08,,,,,,,,,,,
无人机地面控制系统,控制系统,中心与边缘协同架构,精准控制与实时反馈,专用地面站环境,飞行控制、实时监测,无人机协会,http://www.uav.org,2024-10-08,,,,,,,,,,,
空天卫星通信系统,通信系统,点对点架构,高可靠性与数据加密,卫星通信网络环境,数据传输、视频会议,中国卫星通信有限公司,http://www.chinasatcom.com,2024-10-08,,,,,,,,,,,
空天安全监控系统,安防系统,多层次防护架构,全天候监控与响应,城市安全云平台,入侵检测、威胁评估,公安部科技信息化局,http://www.mps.gov.cn,2024-10-08,,,,,,,,,,,
空天卫星定位增强系统,增强系统,多卫星协同架构,定位精度提升,全球GNSS网络环境,厘米级定位、动态监控,国家测绘地理信息局,http://www.nasg.gov.cn,2024-10-08,,,,,,,,,,,
空天数据融合处理平台,数据融合系统,集中与分布结合架构,多源数据融合与分析,低延迟云计算环境,数据整合、决策支持,中国科学院大气物理研究所,http://www.iap.cas.cn,2024-10-08,,,,,,,,,,,
卫星平台数据共享系统,共享系统,开放网络架构,高效数据共享与访问,公共云存储环境,数据访问、用户权限管理,国家航天局,http://www.cnsa.gov.cn,2024-10-08,,,,,,,,,,,
空天指挥控制系统,指挥系统,一体化指挥架构,快速反应与决策支持,战术操作中心环境,情况报告、任务指挥,人民解放军总参谋部,https://www.mod.gov.cn,2024-10-08,,,,,,,,,,,
空天环境监测系统,监测系统,跨域监测架构,环保数据监测与分析,物联网环境,污染监测、环境评估,生态环境部,http://www.mee.gov.cn,2024-10-08,,,,,,,,,,,
空天环境监测系统,监测系统,集成式架构,高效环境数据采集,云计算环境,气象监测、环境评估,国家环境监测中心,http://www.cnemc.cn,2024-10-08,,,,,,,,,,,
智能空天数据融合平台,数据融合系统,M2M/MEC架构,实时数据整合与分析,边缘计算环境,多源数据融合、决策支持,智能城市研究所,http://www.smartcity.org.cn,2024-10-08,,,,,,,,,,,
