蜂窝通信网络名称（字符型）,通信技术（字符型）,传输速度（字符型）,通信距离（字符型）,成本（字符型）,应用领域（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
5G NR,5G,20 Gbps,最长500米,高,工业自动化、增强现实,ITU,https://www.itu.int,,
LoRaWAN,LPWA,0.3 kbps - 50 kbps,最长15公里,低,智能农业、环境监测,LoRa Alliance,https://lora-alliance.org,,
5G IoT,5G,10 Gbps,最长1公里,高,自动化物流、城市基础设施,Deloitte,https://www2.deloitte.com,,
Satellite 5G,5G,100 Mbps,无距离限制,高,偏远地区连接、紧急救援,NASA,https://www.nasa.gov,,
FDD-LTE,4G,300 Mbps,最长100公里,中,移动商务、视频监控,Frost & Sullivan,https://www.frost.com,,
WCDMA,3G,384 kbps - 2 Mbps,最长30公里,中,移动电话、数据服务,中国信息通信研究院,https://www.ii-214.org,,
TDSCDMA,3G,2 Mbps,最长25公里,中,移动互联网、视频通话,TelecomDaily,https://www.telecomdaily.com,,
eMTC,LPWA,1 Mbps,最长20公里,低,物联网、智慧停车,中国移动,https://www.chinamobileltd.com,,
6G,未来网络,接近100 Gbps,预期可达500米,高,全息通信、智能制造,海外科技论坛,https://www.techforum.com,,
CDMA2000,3G,up to 3 Mbps,最长15公里,中,移动电话、无线宽带,港湾网络,https://www.gw.com,,
Starlink,卫星通信,50 Mbps - 150 Mbps,无限制,高,偏远地区的互联网接入,SpaceX,https://www.spacex.com/starlink,,
4G LTE Advanced,4G,最多1 Gbps,最长150公里,中,高清视频流、在线教育,高通公司,https://www.qualcomm.com,,
LoRaWAN,LPWA,0.3 kbps - 50 kbps,最长15公里,低,农业监测、智能城市服务,LoRa Alliance,https://lora-alliance.org,,
GPRS,2G,40 kbps - 100 kbps,最长35公里,低,短信服务、物联网,中国电信,https://www.chinatelecom.com.cn,,
CDMA,2G,153 kbps,最长50公里,中,语音通信、位置服务,美国联邦通信委员会,https://www.fcc.gov,,
WCDMA,3G,2 Mbps,最长30公里,中,移动互联网、数据传输,国际电信联盟,https://www.itu.int,,
HSPA+,3.5G,42 Mbps,最长35公里,中,高清视频通话、数据密集型应用,GSMA,https://www.gsma.com,,
LTE-A,4.5G,1 Gbps,最长120公里,高,超高清视频、物联网,Counterpoint Research,https://www.counterpointresearch.com,,
eMBB,5G,1-10 Gbps,最长500米,高,增强现实、实时流媒体,ZTE Corporation,https://www.zte.com.cn,,
mMTC,5G,100 kbps,最长10公里,低,智能家居、传感器网络,中国科学院,http://www.cas.cn,,
URLLC,5G,高达10 Gbps,最长1公里,高,工业自动化、无人机操作,Nokia,https://www.nokia.com,,
LoRaWAN,LPWAN,0.3-50 kbps,最长15公里,低,环境监测、城市基础设施,LoRa Alliance,https://lora-alliance.org,,
Fifth Generation Narrowband,5G,100 kbps - 1 Mbps,最长20公里,低,智能计量、物流追踪,研究机构Deloitte,https://www2.deloitte.com,,
Satellite IoT,卫星通信,100-500 kbps,全球覆盖,高,偏远地区通信、野外监测,SpaceX,https://www.spacex.com,,
WCDMA,3G,384 kbps - 2 Mbps,最长30公里,中,视频通话、移动互联网,GSMA,https://www.gsma.com,,
CDMA2000,3G,153 kbps - 3.1 Mbps,最长20公里,中,多媒体服务、数据传输,ITU,https://www.itu.int/en/ITU-T/technology/Pages/cdma2000.aspx,,
LoRaWAN,LPWAN,0.3 kbps - 50 kbps,最长15公里,低,物联网、智能农业,LoRa Alliance,https://lora-alliance.org,,
IMT-Advanced,4G,100 Mbps - 1 Gbps,最长50公里,高,高带宽应用、云计算,3GPP,https://www.3gpp.org,,
5G NR,5G,20 Gbps,最长2公里,高,智慧城市、增强现实,Gartner,https://www.gartner.com/en/research/methodologies,,
4G LTE-A,4G,300 Mbps - 1 Gbps,最长75公里,中,高清流媒体、实时游戏,Counterpoint Research,https://www.counterpointresearch.com,,
Ultra-Reliable Low Latency Communication (URLLC),5G,10 Mbps - 1 Gbps,最长1.5公里,高,工业自动化、远程医疗,IEEE Communications Society,https://www.comsoc.org,,
Sigfox,LPWAN,100 bps - 600 bps,最长50公里,低,智能家居、资产追踪,Sigfox,https://www.sigfox.com,,
GPRS,2G,40 kbps - 114 kbps,最长30公里,低,移动互联网，短消息服务,ITU,https://www.itu.int/en/ITU-T/focusgroups/5g/Pages/default.aspx,,
5G Private Networks,5G,up to 10 Gbps,最长3公里,高,制造业、物流,McKinsey & Company,https://www.mckinsey.com,,
WCDMA,3G,384 kbps - 2 Mbps,最长20公里,中,视频通话、移动互联网,中国信息通信研究院,https://www.cnii.com.cn,,
HSPA+,3.5G,42 Mbps,最长25公里,中,高清流媒体、在线游戏,GSMA,https://www.gsma.com,,
LTE-M,LPWA,1 Mbps,最长20公里,低,物联网设备、智能农业,中国通信标准化协会,https://www.ccsa.org.cn,,
IMT-2020,5G,20 Gbps,最长1公里,高,无人机控制、远程医疗,国际电信联盟,https://www.itu.int,,
UWB,超宽带,6.8 Gbps,最长30米,中,室内定位、短距离数据传输,IEEE,https://ieee.org,,
CBRS,共享频谱,限速因项目而异,最长15公里,中等,企业网络、农村宽带,FCC,https://www.fcc.gov,,
QAM,调变技术,可达100 Mbps,视环境而定,中,高速网络、媒体流,电子工业出版社,http://www.eepw.com.cn,,
eMBB,5G,高达1 Gbps,10公里以内,高,高清视频会议、AR/VR,中国移动,https://www.chinamobileltd.com,,
NBIoT,LPWA,100 kbps,最长15公里,低,智能停车、环境监测,阿里云,https://www.aliyun.com,,
IoT,LPWAN,数Kbps至数百Kbps,可达50公里,低,智能家居、工业自动化,Telecoms.com,https://www.telecoms.com,,
3G,WCDMA,384 kbps,最长30公里,中,移动互联网、视频通话,中国信息通信研究院,https://www.cai-icrc.cn/,,
TDD-LTE,4G,150 Mbps,最长70公里,中,高清流媒体、智能家居,全球移动通信系统协会,https://www.gsma.com/,,
Cat-M1,LPWA,1 Mbps,最长15公里,低,智能穿戴、车联网,工业和信息化部,http://www.miit.gov.cn/,,
5G NR,5G,20 Gbps,最长500米,高,远程医疗、智能交通,市场研究机构,https://www.statista.com/,,
GPRS,2G,35 - 171.2 kbps,最长30公里,低,传统移动服务、位置服务,中立电信研究中心,http://www.itu.int/,,
Edge,2.5G,100 - 250 kbps,最长40公里,中,移动互联网、短信服务,电信运营商报告,https://www.tubinge.com/,,
eMTC,LPWA,375 kbps,最长10公里,低,智能城市、物联网,中国物联网产业发展联盟,http://www.ciot.org.cn/,,
6G,6G,100 Gbps,预计超过1公里,极高,智慧生活、全息通信,未来网络创新研究中心,https://futureofnetwork.com/,,
Wi-Fi Calling,VoWiFi,取决于Wi-Fi质量,取决于Wi-Fi覆盖,低,语音通话、国际漫游,网络服务提供商报告,https://www.wi-fi.org/,,
WCDMA,3G,2 Mbps - 42 Mbps,最长30公里,中,移动电话、数据服务,中国移动通信集团,https://www.chinamobileltd.com/,,
TDD-LTE,4G,150 Mbps - 1 Gbps,最长70公里,中,宽带接入、在线视频,CNIA,https://www.cnia.org.cn/,,
Cat-M1,LPWAN,1 Mbps,最长15公里,低,资产跟踪、健康监测,中国信息产业网,https://www.cnii.com.cn/,,
6G,6G,超过100 Gbps,预计最长2公里,高,全息通讯、边缘计算,IEEE Spectrum,https://spectrum.ieee.org/,,
GPRS,2.5G,56 kbps - 114 kbps,最长40公里,低,短信、数据服务,Solaris Mobile,http://www.solarismobile.com/,,
VoLTE,4G,最大30 Mbps,最长60公里,中,语音通话、视频通话,GSMA,https://www.gsma.com/,,
E-VPN,5G,1 Gbps - 3 Gbps,最长500米,高,企业网络、云服务,ZTE,https://www.zte.com.cn/,,
HSPA+,3.5G,21 Mbps - 42 Mbps,最长50公里,中,视频流、社交网络,移动通信技术协会,https://www.ctia.org/,,
FDD-LTE,4G,100 Mbps - 1 Gbps,最长80公里,中,流媒体、在线教育,Fierce Wireless,https://www.fiercewireless.com/,,
DSRC,专用短程通信,up to 27 Mbps,最长1公里,中,车联网、智能交通,IEEE Communications Society,https://www.comsoc.org/,,
4G LTE-A,4G,1 Gbps,最长80公里,中,高分辨率视频、IoT设备,中国通信研究院,https://www.itu.int/en/ITU-T/Study-Groups/2017-2020/13/Pages/default.aspx,,
CAT-M1,LPWA,375 kbps,最长15公里,低,智能安防、资产管理,GSMA,https://www.gsma.com/iot/develop/cat-m/,,
5G NR,5G,20 Gbps,最长500米,高,智慧医疗、增强现实,国际电信联盟,https://www.itu.int/en/ITU-T/FutureNetworks/Pages/default.aspx,,
T-Cell,4G,150 Mbps,最长70公里,中,农业物联网、设备监控,农业部,http://www.moa.gov.cn/,,
UHF LTE,4G,50 Mbps,最长90公里,低,远程监控、户外活动,无线电管理局,https://www.fcc.gov/wireless,,
6G,6G,1 Tbps,未来可扩展,极高,全息通讯、智能交通,MIT Technology Review,https://www.technologyreview.com/,,
LPWA,低功耗广域网,100 kbps,最长20公里,低,环境监测、智能城市,中国科学院,http://www.cas.cn/,,
V2X,车联网,200 Mbps,最长1公里,中,自动驾驶、车载娱乐,交通部,http://www.mot.gov.cn/,,
Fifth Generation IoT (5Gi),IoT专用,5 Gbps,最长100公里,高,智能家居、工业自动化,IEEE,https://www.ieee.org/,,
Satellite 5G,卫星通信,50 Mb/s,无限制,高,偏远地区通信、紧急救援,SpaceX,https://www.spacex.com/,,
GPRS,2.5G,40 kbps - 100 kbps,最长30公里,低,数据传输、移动信息服务,中国移动通信集团,https://www.chinamobileltd.com,,
HSPA+,3.5G,12 Mbps - 42 Mbps,最长50公里,中,流媒体、实时游戏,国际电信联盟（ITU）,https://www.itu.int,,
LTE Advanced,4.5G,1 Gbps,最长80公里,高,高频宽应用、物联网,GSMA,https://www.gsma.com,,
5G NR,5G,20 Gbps,最长2公里,高,工业自动化、智能交通,高通公司,https://www.qualcomm.com,,
CDMA2000,3G,307 kbps,最长60公里,中,语音通话、移动数据,中国电信,https://www.chinatelecom.com.cn,,
SatCom,卫星通信,512 kbps - 2 Mbps,无限制,高,偏远地区通信、灾后恢复,国际卫星通信组织,https://www.itu.int/en/ITU-R/space/Pages/default.aspx,,
IMT-2020,5G,10 Gbps,最长1公里,高,超高清电视、虚拟现实,电子工业出版社,https://www.elecfans.com,,
4G LTE,4G,150 Mbps,最长30公里,中,快速网络接入、手机上网,中国联通,https://www.chinaunicom.com,,
WiMAX,4G,75 Mbps,最长50公里,中,城市宽带接入、移动办公,IEEE,https://www.ieee.org,,
3G,UMTS,384 kbps - 2 Mbps,最长50公里,中,移动互联网、语音通话,中国信息通信研究院,https://www.caict.ac.cn/,,
VoLTE,4G,70 Mbps,最长80公里,中,高清语音通话、视频通话,中国移动通信集团公司,https://www.chinamobileltd.com/,,
LAA,LTE,450 Mbps,最长50公里,中,高密度场景、热点网络,GSMA,https://www.gsma.com/,,
RedCap,5G,100 Mbps,最长500米,中,工业监控、资产追踪,IEEE Communications Society,https://www.comsoc.org/,,
6G,未来网络技术,1 Tbps,未知,高,全息通信、智能城市,未来网科技研究中心,https://www.futurewireless.org/,,
eMTC,LTE,1 Mbps,最长30公里,低,智能表计、物联网,中国电信研究院,http://www.ctri.cn/,,
FDD-LTE,LTE,300 Mbps,最长100公里,中,移动电视、极高清流媒体,通信世界网,https://www.cww.net.cn/,,
TDD-LTE,LTE,150 Mbps,最长80公里,中,公共网络、无线宽带,行业信息网站,https://www.industry-info.com/,,
Private 5G,5G,1 Gbps,最长2公里,高,企业专网、工业自动化,IDC Research,https://www.idc.com/,,
