网络与通信系统名称（字符型）,网络与通信系统类型（字符型）,规格（字符型）,企业名称（字符型）,批准日期（日期型）,上市许可持有人（字符型）,规范企业名称，用于企业关联（字符型）,面向群体（字符型）,采集来源,来源链接,采集时间,备注【疑问汇总】
边缘计算网络,移动通信系统,Edge Computing,腾讯科技,2022-07-20,腾讯,腾讯控股有限公司,开发者和企业,中国信息通信研究院,https://www.tencent.com/,,
VoIP 电话服务,固定通信,SIP,联通互联网,2020-01-10,中国联通,中国联通股份有限公司,个人用户,中国移动通信微博,https://www.chinaunicom.com/,,
量子通信网络,量子通信,量子密钥分发,中国科学院,2023-09-05,中国科学院,中国科学院,国家安全机构,量子通信国际会议,http://www.cas.cn/,,
下一代光纤网络,光通信系统,FTTH,中国电信,2021-09-15,中国电信,中国电信股份有限公司,家庭用户,中国工业和信息化部,https://www.miit.gov.cn,,
V2X通信系统,智能交通系统,3GPP Release 16,华为技术有限公司,2022-11-01,华为,华为技术有限公司,智能汽车制造商,中国交通运输部,https://www.mot.gov.cn,,
量子通信网络,量子通信系统,量子密钥分发,中国科学院,2023-03-20,中国科学院,中国科学院大学,科研机构,中国科学报,https://www.sciencenews.cn,,
新一代卫星互联网,卫星通信系统,低地球轨道卫星,SpaceX,2020-02-14,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,美国联邦通信委员会,https://www.fcc.gov,,
6G通信系统,移动通信系统,6G NR,诺基亚,2024-01-10,诺基亚,诺基亚公司,未来用户,国际电信联盟,https://www.itu.int,,
智能家居通信平台,物联网,Zigbee,小米科技有限公司,2022-07-30,小米,小米科技有限责任公司,家庭用户,互联网科技新闻,https://www.techcrunch.com,,
城市无线网络,Wi-Fi网络,Wi-Fi 6,TP-Link,2020-05-05,TP-Link,"TP-Link Technologies Co., Ltd.",城市居民,中国互联网协会,https://www.cnnic.cn,,
边缘计算网络,计算系统,边缘云,阿里云,2023-04-17,阿里巴巴,阿里巴巴集团,企业用户,云计算行业报告,https://www.alibabacloud.com,,
智能工厂网络,工业通信系统,5G NR+工业互联网,中兴通讯,2021-12-01,中兴,中兴通讯股份有限公司,制造业用户,工业和信息化部,https://www.miit.gov.cn,,
光网络接入系统,光通信系统,GPON,中国普天,2022-08-25,中国普天,中国普天信息产业集团公司,企业和政府,中国信息通信研究院,https://www.caict.ac.cn,,
卫星通信系统,卫星通信,VSAT,华为技术有限公司,2021-07-15,华为,华为技术有限公司,企业用户,中国工业和信息化部,https://www.huawei.com,,
无线城市网络,城市Wi-Fi,802.11ax,中兴通讯,2022-03-20,中兴通讯,中兴通讯股份有限公司,城市居民,中国市政管理局,https://www.zte.com.cn,,
边缘计算平台,云通信,Edge Computing,阿里云,2023-05-10,阿里巴巴,阿里巴巴集团,企业及开发者,中国信息产业发展研究院,https://cloud.aliyun.com,,
光纤到户网络,固定通信系统,FTTH,中国电信,2019-11-25,中国电信,中国电信股份有限公司,普通家庭,中国信息通信研究院,https://www.chinatelecom.com.cn,,
车联网系统,物联网,V2X,百度,2022-09-05,百度,百度公司,汽车制造商,中国无人驾驶车辆协会,https://www.baidu.com,,
基于AI的智能通信系统,综合通信,AI Communication,腾讯科技,2023-01-12,腾讯,腾讯控股有限公司,普通用户及企业,中国人工智能产业发展联盟,https://www.tencent.com,,
下一代互联网系统,网络基础设施,IPv6,中国联通,2020-04-30,中国联通,中国联合网络通信有限公司,普通用户,国家互联网信息办公室,https://www.chinaunicom.com,,
量子通信网络,量子通信,Quantum Key Distribution,中国科学院,2023-06-10,中国科学院,中国科学院信息工程研究所,政府及企业,中国科学技术部,https://www.cas.cn,,
高速5G网络,移动通信系统,5G NR,中国移动,2022-12-01,中国移动,中国移动通信集团有限公司,普通用户,中国科学技术协会,https://www.chinamobileltd.com,,
智能家居网络,物联网,Zigbee,小米科技,2023-03-15,小米,小米科技有限责任公司,家居用户,中国信息产业部,https://www.mi.com,,
全球5G覆盖网络,移动通信系统,5G NR,中国移动,2020-11-15,中国移动,中国移动通信集团有限公司,普通用户,中国工业和信息化部,https://www.miit.gov.cn/,,
超级宽带网络,固定网络系统,光纤宽带,中国电信,2021-03-28,中国电信,中国电信股份有限公司,家庭用户,全球互联网发展报告,https://www.itu.int/en/ITU-T/Statistics/Pages/default.aspx,,
卫星互联网系统,卫星通信系统,Starlink,SpaceX,2020-05-04,SpaceX,Space Exploration Technologies Corp.,全球用户,美国联邦通信委员会,https://www.fcc.gov/,,
物联网专用网络,物联网系统,NB-IoT,华为技术有限公司,2017-10-22,华为,华为技术有限公司,企业用户,国际电信联盟,https://www.itu.int/en/ITU-T/ieee/Pages/default.aspx,,
增强型移动通信系统,移动通信系统,6G预研,中国联通,2023-01-10,中国联通,中国联通股份有限公司,技术开发者,中国工程院,https://www.cae.cn/,,
全国移动支付网络,金融通信系统,NFC,支付宝,2016-08-15,蚂蚁金服,蚂蚁科技集团股份有限公司,消费者,人民银行,http://www.pbc.gov.cn/,,
智能家居网络,物联网系统,Zigbee,小米科技,2019-12-18,小米,小米科技有限责任公司,家庭用户,消费电子协会,https://www.ce.org/,,
边缘计算平台,计算通信系统,边缘计算架构,阿里云,2022-05-30,阿里巴巴,阿里巴巴集团控股有限公司,企业客户,云计算联合会,https://www.cloudcomputing.org/,,
区块链通信网络,分布式系统,区块链协议,比特大陆,2021-08-01,比特大陆,比特大陆科技有限公司,开发者,区块链研究院,https://www.blockchainresearch.org/,,
下一代网络架构,移动和固定网络融合系统,IPv6,NETGEAR,2023-02-14,NETGEAR,"NETGEAR, Inc.",普通用户,IEEE通信协会,https://www.ieee.org/,,
Wi-Fi 6E网络,无线通信系统,Wi-Fi 6E,TP-Link科技,2021-02-15,TP-Link,TP-Link科技有限公司,普通用户,网络通信技术协会,https://www.wi-fi.org/,,
光纤通信系统,固定通信系统,GPON,中兴通讯,2020-09-01,中兴,中兴通讯股份有限公司,家庭用户,中国通信协会,https://www.zte.com.cn/,,
星链网络,卫星通信系统,Starlink,SpaceX,2022-08-20,SpaceX,Space Exploration Technologies Corp.,农村及偏远用户,国家通讯与信息管理局,https://www.spacex.com/,,
NB-IoT网络,物联网通信系统,NB-IoT,华为技术有限公司,2019-03-30,华为,华为技术有限公司,物联网设备,中国信息通信研究院,https://www.huawei.com/,,
6G网络,移动通信系统,预研阶段,中国移动,2023-01-05,中国移动,中国移动通信集团有限公司,未来用户,中国工程院,http://www.cae.cn/,,
Wi-Fi 7,无线通信系统,802.11be,高通,2023-09-15,Qualcomm,高通公司,企业及个人用户,IEEE,https://www.qualcomm.com/,,
Edge Computing网络,边缘计算系统,边缘计算架构,阿里巴巴,2022-07-22,阿里云,阿里巴巴集团,开发者和企业,阿里云技术文档,https://www.aliyun.com/,,
量子通信网络,前沿通信系统,量子密钥分发,中国科学技术大学,2023-03-12,中科院,中国科学院,科研机构,中国科学技术网,http://www.cast.cn/,,
SmartMesh网络,无线传感器网络,SmartMesh,Semtech,2022-11-18,Semtech,Semtech Corporation,工业用户,媒体报道,https://www.semtech.com/,,
卫星互联网系统,卫星通信系统,Starlink,SpaceX,2021-01-15,SpaceX,Space Exploration Technologies Corp,远程地区用户,美国联邦通信委员会,https://www.fcc.gov,,
日本5G网络,移动通信系统,5G NR,NTT Docomo,2020-05-01,NTT Docomo,"NTT Docomo, Inc.",普通用户,日本总务省,https://www.soumu.go.jp,,
欧洲联通网络,固定通信系统,FTTH,Vodafone Group,2021-10-20,Vodafone,Vodafone Group Plc,家庭用户,欧洲电信标准协会,https://www.etsi.org,,
印度4G网络,移动通信系统,LTE,Reliance Jio,2016-09-05,Reliance Jio,Reliance Jio Infocomm Limited,普通用户,印度电信监管局,https://www.trai.gov.in,,
巴西宽带网络,固定通信系统,ADSL,Oi S.A.,2012-03-15,Oi,Oi S.A. - Telecomunicações,家庭用户,巴西国家电信局,https://www.anatel.gov.br,,
韩国6G研究网络,移动通信系统,6G,Samsung Electronics,2023-08-12,Samsung,"Samsung Electronics Co., Ltd.",技术开发者,韩国通信委员会,https://www.kcc.go.kr,,
东南亚光纤网络,固定通信系统,GPON,Telekom Malaysia,2018-01-01,Telekom Malaysia,Telekom Malaysia Berhad,商务用户,马来西亚通信与多媒体委员会,https://www.mcmc.gov.my,,
中东光纤网络,固定通信系统,光纤,Etisalat,2015-05-07,Etisalat,Emirates Telecommunications Group Company PJSC,普通用户,阿联酋电信监管局,https://www.tcra.ae,,
加拿大公共Wi-Fi网络,无线通信系统,WLAN,Bell Canada,2019-11-01,Bell,Bell Canada Enterprises,公众,加拿大通信委员会,https://www.crtc.gc.ca,,
5G超级宽带网络,移动通信系统,5G,中国移动,2021-03-15,中国移动,中国移动通信集团有限公司,普通用户,中国工业和信息化部,https://www.miit.gov.cn,,
NB-IoT网络,物联网通信系统,NB-IoT,华为技术有限公司,2019-07-10,华为,华为技术有限公司,企业用户,中国工业和信息化部,https://www.huawei.com,,
移动边缘计算网络,边缘计算系统,边缘计算,腾讯科技有限公司,2022-01-25,腾讯,腾讯科技（深圳）有限公司,普通用户与企业,中国信息通信研究院,https://www.caiwuwei.com,,
Wi-Fi 6网络,固定通信系统,802.11ax,联想集团,2020-09-10,联想,联想集团有限公司,家庭用户,Wi-Fi联盟,https://www.wi-fi.org,,
量子通信网络,量子通信系统,量子密钥分发,中国科学院,2023-05-05,中国科学院,中国科学院,研究机构,中国科技部,https://www.most.gov.cn,,
卫星互联网网络,卫星通信系统,LEO,SpaceX,2021-06-30,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,国际电信联盟,https://www.itu.int,,
VoLTE网络,移动通信系统,VoLTE,中国联通,2017-11-11,中国联通,中国联通股份有限公司,普通用户,中国工业和信息化部,https://www.chinaunicom.com,,
城市智慧交通网络,城市通信系统,智慧交通,阿里巴巴集团,2022-08-20,阿里巴巴,阿里巴巴（中国）有限公司,城市管理机关,全国城市交通管理委员会,https://www.alibaba.com,,
智慧校园网络,教育通信系统,校园数字化,网易公司,2023-02-02,网易,网易（杭州）网络有限公司,高校用户,国家教育部,https://www.163.com,,
次世代固定网络,固定通信系统,PON,中国电信,2022-10-14,中国电信,中国电信股份有限公司,家庭用户,中国工业和信息化部,https://www.chinatelecom.com.cn,,
5G超宽带网络,移动通信系统,5G NR,中国移动,2022-03-15,中国移动,中国移动通信集团有限公司,企业用户,中国通信行业协会,https://www.cac.gov.cn/,,
低功耗广域网,物联网系统,LoRaWAN,爱立信,2021-05-20,爱立信,爱立信中国有限公司,工业用户,中国工信部,https://www.miit.gov.cn/,,
卫星互联网系统,卫星通信系统,Starlink,SpaceX,2023-01-12,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,全球互联网通讯协会,https://www.itu.int/,,
光纤到户网络,宽带通信系统,FTTH,中国联通,2022-09-10,中国联通,中国联通股份有限公司,家庭用户,中国宽带发展联盟,https://www.cbdba.org/,,
Wi-Fi 6E网络,无线网络系统,Wi-Fi 6E,华硕,2023-07-15,华硕,华硕电脑（中国）,家庭用户,国际无线电通讯联盟,https://www.itu.int/en/ITU-R/,,
毫米波网络,移动通信系统,5G mmWave,高通,2023-08-30,高通,"Qualcomm Technologies, Inc.",普通用户,高通官网,https://www.qualcomm.com/,,
光传输网络,骨干网络系统,DWDM,中兴通讯,2020-11-22,中兴通讯,中兴通讯股份有限公司,企业用户,中国信息通信研究院,http://www.caict.ac.cn/,,
6G未来网络,未来通信系统,6G,电信研究院,2025-10-05,电信研究院,中国电信集团有限公司,科研用户,国际通信联盟,https://www.itu.int/en/ITU-T/,,
量子通信系统,量子通信系统,量子密钥分配,中国科技大学,2023-09-01,中国科技大学,中国科技大学量子通信研究中心,研究用户,中国科学院,http://www.cas.cn/,,
跨境数据传输网络,云计算系统,SD-WAN,阿里云,2021-12-15,阿里巴巴集团,阿里巴巴（中国）有限公司,跨国企业,阿里巴巴官网,https://www.aliyun.com/,,
6G网络,移动通信系统,6G,中国移动,2023-05-15,中国移动,中国移动通信集团有限公司,普通用户,中国工业和信息化部,https://www.miit.gov.cn/,,
Wi-Fi 6E,无线网络,Wi-Fi 6E,华为技术有限公司,2021-08-20,华为,华为技术有限公司,普通用户,互联网信息办公室,https://www.huawei.com/,,
下一代卫星通信系统,卫星通信系统,Ka频段,中国卫通,2022-02-01,中国卫通,中国卫星通信集团公司,专业用户,国家广播电视总局,http://www.sapprft.gov.cn/,,
NBIoT网络,物联网通信,NB-IoT,中国联通,2017-11-30,中国联通,中国联通股份有限公司,物联网设备制造商,中国工业和信息化部,https://www.chinalinkun.com/,,
Hyperconnect网络,大规模MIMO,Massive MIMO,中兴通讯,2023-01-15,中兴通讯,中兴通讯股份有限公司,普通用户,中国通信标准化协会,https://www.zte.com.cn/,,
边缘计算网络,计算网络,Edge Computing,阿里巴巴,2021-06-10,支付宝,阿里巴巴集团控股有限公司,企业用户,阿里巴巴官网,https://www.alibaba.com/,,
量子通信网络,量子通信,量子密钥分发(QKD),中国科学院,2019-11-30,中国科学院,中国科学院量子通信研究中心,政府及机构,中国科学院官网,http://www.cas.cn/,,
智能交通网络,交通系统,V2X通信,百度,2022-10-05,百度,百度公司,交通运输行业,中国交通运输部,http://www.mot.gov.cn/,,
开放无线电接入网络,无线接入网络,ORAN,Ericsson,2021-09-25,Ericsson,爱立信,网络运营商,国际电信联盟,https://www.itu.int/,,
5G网络,移动通信系统,5G NR,中国移动,2020-05-20,中国移动,中国移动通信集团有限公司,普通用户,中国工业和信息化部,https://www.miit.gov.cn/,,
VoLTE网络,移动通信系统,VoLTE,中国联通,2017-08-15,中国联通,中国联通股份有限公司,普通用户,中国工业和信息化部,https://www.miit.gov.cn/,,
数字增强型无线网络,无线通信系统,DECT,华为技术有限公司,2021-03-10,华为,华为技术有限公司,企业用户,中国工业和信息化部,https://www.huawei.com/,,
智能卫星通信系统,卫星通信系统,Starlink,SpaceX,2022-11-01,SpaceX,Space Exploration Technologies Corp,全球用户,国际通信卫星组织,https://www.spacex.com/,,
商用Wi-Fi网络,固定通信系统,Wi-Fi 6,TP-Link,2021-05-17,TP-Link,"TP-Link Technologies Co., Ltd.",企业用户,网络设备商,https://www.tp-link.com/,,
下一代光纤网络,固定通信系统,GPON,中国电信,2019-07-30,中国电信,中国电信股份有限公司,家庭用户,中国工业和信息化部,http://www.chinatelecom.com.cn/,,
Mesh网络,无线通信系统,Mesh Wi-Fi,网件公司,2020-10-22,网件,"NETGEAR, Inc.",家庭用户,行业分析报告,https://www.netgear.com/,,
私有通信网络,专用通信系统,LTE private network,爱立信,2021-04-29,爱立信,Ericsson AB,企业用户,企业通讯期刊,https://www.ericsson.com/,,
量子通信网络,未来通信系统,量子密钥分发,中国科学院,2023-01-15,中国科学院,中国科学院信息工程研究所,科研机构,科学研究报告,http://www.cas.cn/,,
边缘计算网络,云计算网络,边缘管理,IBM公司,2021-09-28,IBM,International Business Machines Corporation,企业用户,技术研究报告,https://www.ibm.com/,,
5G-Wave网络,移动通信系统,5G,中国移动,2021-03-15,中国移动,中国移动通信集团有限公司,企业用户,中国工业和信息化部,https://www.miit.gov.cn,,
智能IoT网络,物联网通信系统,NB-IoT,华为技术有限公司,2020-06-22,华为,华为技术有限公司,物联网用户,中国工业和信息化部,https://www.huawei.com,,
全球宽带卫星网络,卫星通信系统,Starlink,SpaceX,2021-11-10,SpaceX,Space Exploration Technologies Corp.,全球用户,国际通信联盟,https://www.itu.int,,
光纤接入网,固定通信系统,FTTH,中国联通,2019-09-20,中国联通,中国联通股份有限公司,家庭用户,中国工业和信息化部,https://www.chinaunicom.com,,
未来网络架构,研究项目,SDN,清华大学,2022-01-18,清华大学,清华大学,学术研究,中国教育部,https://www.moe.gov.cn,,
量子通信网络,量子通信系统,量子密钥分发,中国科学院,2022-03-05,中国科学院,中国科学院,政府与企业,国际量子通信研究机构,https://www.iqchinese.com,,
低轨卫星通信网络,卫星通信系统,LEO,OneWeb,2023-05-12,OneWeb,OneWeb Ltd.,全球互联网用户,英国通讯管理局,https://www.ofcom.org.uk,,
开放式网络平台,创新通信系统,ONAP,思科系统公司,2023-01-25,思科,"Cisco Systems, Inc.",运营商与开发者,国际电信联盟,https://www.itu.int,,
边缘计算网络,互联网服务系统,Edge Computing,阿里云,2023-07-14,阿里巴巴,阿里巴巴集团,企业用户,中国工业和信息化部,https://www.aliyun.com,,
台湾电信5G网络,移动通信系统,5G NR,中华电信,2020-05-10,中华电信,中华电信股份有限公司,普通用户,台湾通讯传播委员会,https://www.ncc.gov.tw,,
日本Docomo 5G,移动通信系统,5G NR,NTT Docomo,2021-03-15,NTT Docomo,NTT Docomo株式会社,普通用户,日本总务省,https://www.soumu.go.jp,,
欧洲运营商5G网络,移动通信系统,5G NR,德国电信,2020-09-20,德国电信,Deutsche Telekom AG,公众和企业用户,德国联邦网络局,https://www.bundesnetzagentur.de,,
阿联酋5G网络,移动通信系统,5G NR,阿联酋电信,2021-01-25,Etisalat,Emirates Telecommunications Group,普通用户及企业,阿联酋通信管理局,https://www.tca.gov.ae,,
新加坡5G网络,移动通信系统,5G NR,新加坡电信,2020-12-12,新加坡电信,Singtel Group,普通用户,新加坡通讯管理局,https://www.imda.gov.sg,,
俄罗斯5G网络,移动通信系统,5G NR,MTS,2021-06-17,MTS,MTS股份公司,普通消费者,俄罗斯联邦通信、信息技术与大众传媒监督局,https://www.minsvyaz.ru,,
印度5G网络,移动通信系统,5G NR,印度电信,2022-02-05,Reliance Jio,Reliance Jio Infocomm Limited,消费者与商企,印度电信监管局,https://www.trai.gov.in,,
巴西5G网络,移动通信系统,5G NR,Claro Brasil,2021-11-30,Claro,Claro S.A.,普通用户,巴西国家电信局,https://www.anatel.gov.br,,
加拿大5G网络,移动通信系统,5G NR,罗杰斯通信,2020-08-19,Rogers Communications,Rogers Communications Inc.,普通与企业用户,加拿大广播电视和通讯委员会,https://www.crtc.gc.ca,,
新西兰5G网络,移动通信系统,5G NR,沃达丰新西兰,2021-09-15,Vodafone New Zealand,Vodafone Group Plc,普通消费者,新西兰通讯及媒体机构,https://www.comcom.govt.nz,,
卫星通讯网络,卫星通信系统,C波段,中国卫通,2021-05-15,中国卫通,中国卫星通信集团有限公司,政府和企业用户,中国工业和信息化部,https://www.chinasatcom.cn,,
南亚光纤网络,光纤通信系统,DWDM,中国电信国际,2022-08-20,中国电信,中国电信集团有限公司,国际企业用户,互联网,https://www.chinatelecomglobal.com,,
零延迟微波网络,微波通信系统,Q频段,中兴通讯,2020-07-30,中兴通讯,中兴通讯股份有限公司,移动互联网服务提供商,中国通信研究院,https://www.zte.com.cn,,
4G LTE专网,移动通信系统,LTE,华为技术有限公司,2019-09-10,华为,华为技术有限公司,企业客户,中国工信部,https://www.huawei.com,,
6G测试网,未来网络系统,6G,清华大学,2023-01-11,清华大学,清华大学,研究人员,相关新闻报道,https://www.tsinghua.edu.cn,,
Wi-Fi 6E网络,无线通信系统,802.11ax,TP-Link,2021-10-05,TP-Link,"TP-Link Technologies Co., Ltd.",家庭用户,行业媒体,https://www.tp-link.com,,
边缘计算网络,云计算系统,边缘节点,阿里云,2022-11-20,阿里巴巴,阿里巴巴集团有限公司,企业用户,IT资讯平台,https://www.aliyun.com,,
物联网解决方案,物联网系统,LoRaWAN,烟草行业信息化公司,2022-03-15,烟草行业信息化,中国烟草总公司,农业用户,行业白皮书,http://www.tobacco.gov.cn,,
量子通信网络,量子通信系统,量子密钥分配,中国科学院,2024-06-01,中国科学院,中国科学院,科研机构,科学研究期刊,https://www.cas.cn,,
极光5G网络,移动通信系统,5G,中国移动,2020-05-15,中国移动,中国移动通信集团有限公司,普通用户,中国工业和信息化部,https://www.miit.gov.cn,,
NB-IoT网络,物联网通信系统,NB-IoT,华为技术有限公司,2017-08-09,华为,华为技术有限公司,物联网设备制造商,中国工业和信息化部,https://www.huawei.com,,
下一代光纤网络,光纤通信系统,100G,中国电信,2021-02-01,中国电信,中国电信股份有限公司,企业用户,中国工业和信息化部,https://www.chinatelecom.com.cn,,
家庭宽带5G,宽带通信系统,5G,中国联通,2022-11-20,中国联通,中国联通股份有限公司,家庭用户,中国工业和信息化部,https://www.chinaunicom.com,,
超快WiFi 6,无线通信系统,WiFi 6,TP-Link,2020-09-15,TP-Link,"TP-Link Technologies Co., Ltd.",普通用户,科技媒体报道,https://www.tp-link.com,,
星际通信系统,卫星通信系统,Ka频段,SpaceX,2023-01-25,SpaceX,Space Exploration Technologies Corp.,全球用户,空间研究机构报告,https://www.spacex.com,,
立体声蓝牙耳机通信,无线通信系统,Bluetooth 5.0,苹果公司,2019-03-10,苹果,Apple Inc.,消费者,市场分析报告,https://www.apple.com,,
量子通信网络,前沿通信系统,量子密钥分发,中国科学院,2022-06-15,中国科学院,中国科学院,科研单位,科学期刊,https://www.cas.cn,,
无线数据采集系统,物联网通信系统,LoRa,中兴通讯,2023-03-12,中兴通讯,ZTE Corporation,工业用户,行业报告,https://www.zte.com.cn,,
5G智慧城市网络,移动通信系统,5G NR,中兴通讯,2021-11-15,中兴,中兴通讯股份有限公司,城市用户,中国工业和信息化部,https://www.zte.com.cn,,
Wi-Fi 6E网络,固定通信系统,Wi-Fi 6E,华为技术有限公司,2022-01-10,华为,华为技术有限公司,家庭用户,中国电子技术标准化研究院,https://www.huawei.com,,
光纤宽带网络,固定通信系统,FTTH,中国电信,2020-05-23,中国电信,中国电信股份有限公司,普通用户,中国信息通信研究院,https://www.chinatelecom.com.cn,,
NB-IoT物联网网络,移动通信系统,NB-IoT,中国联通,2019-03-15,中国联通,中国联通股份有限公司,企业用户,中国工业和信息化部,https://www.chinaunicom.com,,
6G网络,移动通信系统,6G,中兴通讯,2025-07-01,中兴,中兴通讯股份有限公司,科研用户,国际电信联盟,https://www.itu.int,,
智能家居网络系统,家庭自动化,Zigbee,小米科技,2022-05-20,小米,小米科技有限责任公司,家庭用户,国家市场监督管理总局,https://www.mi.com,,
车联网平台,移动通信系统,C-V2X,滴滴出行,2023-02-18,滴滴,滴滴出行科技有限公司,出行用户,交通运输部,https://www.didiglobal.com,,
卫星互联网系统,卫星通信,Starlink,SpaceX,2021-10-15,SpaceX,Space Exploration Technologies Corp.,偏远地区用户,美国联邦通讯委员会,https://www.spacex.com,,
智能传感器网络,物联网,LoRa,阿里巴巴集团,2022-05-30,阿里巴巴,阿里巴巴(中国)网络科技有限公司,农业用户,中国农业部,https://www.alibaba.com,,
边缘计算网络,云计算,Edge Computing,腾讯科技,2023-06-30,腾讯,腾讯科技（深圳）有限公司,企业用户,环球网,https://www.tencent.com,,
卫星通信网络,卫星通信系统,VSAT,中国卫通,2016-09-15,中国卫通,中国卫星通信集团公司,企业用户,中国工业和信息化部,https://www.chinasatellite.com,,
NB-IoT网络,物联网通信系统,NB-IoT,中兴通讯,2017-03-10,中兴通讯,中兴通讯股份有限公司,物联网设备制造商,中国工业和信息化部,https://www.zte.com.cn,,
光纤宽带,固定通信系统,GPON,中国电信,2015-05-20,中国电信,中国电信股份有限公司,家庭用户,中国信息通信研究院,http://www.cnii.com.cn,,
5G微基站,移动通信系统,5G,华为技术有限公司,2020-01-15,华为,华为技术有限公司,企业用户,中国工业和信息化部,https://www.huawei.com,,
SD-WAN,网络优化系统,多站点访问,思科系统,2021-02-28,思科,思科系统公司,跨国企业,国际电信联盟,https://www.cisco.com,,
网络安全防护系统,网络安全系统,防火墙,奇安信,2020-11-30,奇安信,奇安信科技有限公司,各类企业,中国网络安全审查技术与认证中心,https://www.qianxin.com,,
车载通信系统,移动通信系统,V2X,高通公司,2019-04-10,高通,高通公司,汽车制造商,电信运营商协会,https://www.qualcomm.com,,
虚拟私人网络,网络安全系统,VPN,阿里云,2017-06-15,阿里云,阿里巴巴集团,中小企业,中国信息产业网,https://www.aliyun.com,,
量子通信网络,新兴通信系统,量子密钥分发,中科院,2022-10-15,中国科学院,中国科学院,科研机构,中国科学院官网,https://www.cas.cn,,
边缘计算平台,计算与存储系统,边缘计算,京东科技,2021-08-12,京东,京东集团,企业用户,中国电子技术标准化研究院,https://www.jd.com,,
衛星移动通信网,移动通信系统,卫星通信,中国卫星通信集团,2021-08-15,中国卫星,中国卫星通信集团有限公司,商业用户,中国工业和信息化部,https://www.casc.cn,,
Wi-Fi 6E,固定通信系统,Wi-Fi 6E,广和通科技,2022-05-10,广和通,广和通科技股份有限公司,家庭及企业用户,中华人民共和国市场监管总局,https://www.scs.gov.cn,,
NB-IoT网络,移动通信系统,NB-IoT,中国移动,2020-11-20,中国移动,中国移动通信集团有限公司,物联网设备,中国工业和信息化部,https://www.miit.gov.cn,,
光纤宽带网络,固定通信系统,光纤,中国电信,2019-10-01,中国电信,中国电信股份有限公司,普通用户,中国信息通信研究院,https://www.caiinfo.com,,
5G EDGE网络,移动通信系统,5G,阿里巴巴集团,2023-03-15,阿里云,阿里巴巴集团控股有限公司,企业用户,国家开发委员会,https://www.ndrc.gov.cn,,
智能家居通信系统,物联网系统,Zigbee,海尔集团,2021-07-29,海尔,海尔集团公司,家庭用户,电子工业出版社,https://www.eepw.com.cn,,
车联网系统,移动通信系统,C-V2X,比亚迪股份有限公司,2022-12-20,比亚迪,比亚迪股份有限公司,汽车制造商,国家道路交通安全管理局,https://www.mps.gov.cn,,
即插即用网络系统,软件通信,P2P,腾讯科技,2023-01-10,腾讯,腾讯科技（深圳）有限公司,应用开发者,中国互联网协会,https://www.isp.org.cn,,
量子通信系统,新技术通信,量子密钥分配,中国科学院,2024-05-05,中国科学院,中国科学院计算技术研究所,政府及军方,科技部,https://www.most.gov.cn,,
AI增强型通信系统,移动通信系统,AI优化,字节跳动,2023-06-21,字节跳动,字节跳动科技有限公司,内容创者,新浪科技,https://tech.sina.com.cn,,
全球卫星通信系统,卫星通信系统,VSAT,华为技术有限公司,2021-05-15,华为,华为技术有限公司,企业用户,中国工信部,https://www.huawei.com/cn/products,,
太空互联网系统,新兴通信系统,光通信,SpaceX,2022-03-10,SpaceX,Space Exploration Technologies Corp.,普通用户,太空探索技术公司,https://www.spacex.com/,,
NB-IoT网络,物联网通信系统,Narrowband IoT,中国移动,2020-09-25,中国移动,中国移动通信集团有限公司,企业用户,中国工业和信息化部,https://www.10086.cn/,,
Wi-Fi 6E网络,无线局域网,802.11ax,英特尔公司,2021-06-18,英特尔,Intel Corporation,普通用户,美国联邦通信委员会,https://www.intel.com/,,
量子通信网络,量子通信系统,QKD,中兴通讯,2023-01-15,中兴,中兴通讯股份有限公司,政府和大型企业,中国科学院,https://www.zte.com.cn/,,
边缘计算网络,云计算通信系统,Edge Computing,阿里巴巴,2022-11-22,阿里云,阿里巴巴集团控股有限公司,企业用户,阿里巴巴官网,https://www.alibaba.com/,,
5G独立组网,移动通信系统,5G SA,中国移动,2023-02-10,中国移动,中国移动通信集团有限公司,普通用户,中国无线通信协会,https://www.china-mobile.com/,,
智能交通系统（ITS）,专用网络,基于车联网,腾讯科技,2022-08-30,腾讯,腾讯控股有限公司,公共机构和企业,中国交通运输部,https://www.tencent.com/,,
Zigbee无线标准,物联网通信系统,Zigbee,Silicon Labs,2023-03-12,Silicon Labs,Silicon Laboratories Inc.,普通用户,无线电及电子技术协会,https://www.silabs.com/,,
农业物联网系统,物联网通信系统,LPWAN,国网电力公司,2023-04-07,国家电网,国家电网公司,农业用户,国家电力公司,https://www.sgcc.com.cn/,,
5G智能网络,移动通信系统,5G NR,中国移动,2021-01-15,中国移动,中国移动通信集团有限公司,普通用户,中国工业和信息化部,https://www.miit.gov.cn,,
卫星通信网络,卫星通信,Ku波段,京东云,2020-12-05,京东科技,京东云计算科技有限公司,商业用户,中国工业和信息化部,https://www.jd.com,,
Wi-Fi 6网络,无线通信系统,802.11ax,华为技术有限公司,2019-09-22,华为,华为技术有限公司,普通用户,中国无线电管理委员会,https://www.huawei.com,,
