名称（字符型）,品牌（字符型）,型号（字符型）,售后服务（字符型）,操作系统（字符型）,生产厂商（字符型）,主处理器（字符型）,芯片（字符型）,操作方式（字符型）,仿生工具（字符型）,功能说明（字符型）,应用场景（字符型）,上市时间（日期型）,采集来源,来源链接,采集时间,备注
智能洗衣机,美的,MWD100G,三年保修,Midea OS,美的集团,ARM Cortex-A9,Espressif ESP32,APP控制与语音,洗衣管理助手,智能识别衣物材质，优化洗涤程序,家庭洗衣房,2023-02-01,洗衣设备报告,https://www.washerindustry.com,,
智能温湿度监测器,小米,Mijia Smart Humidity Sensor,一年保修,Mi Home OS,小米科技,ARM Cortex-M0,Nordic nRF52832,APP控制,家庭环境监测工具,实时监测空气湿度与温度，数据记录,家庭办公室,2021-11-10,智能科技新闻,https://www.technews.com,,
智能家庭音响,Amazon,Echo Dot,一年保修,Alexa OS,亚马逊,ARM Cortex-A8,Qualcomm QCM2290,语音控制,音乐与智能助手,语音控制家居设备，播放音乐,家庭娱乐场景,2022-09-15,消费电子报告,https://www.consumerreports.com,,
智能花草养护系统,LG,LG Smart Plant Care,两年保修,LG Smart Home OS,LG电子,ARM Cortex-M4,Texas Instruments CC1350,APP控制,植物护理助手,智能监控植物生长情况，自动浇水,室内园艺,2023-03-25,园艺创新博览会,https://www.gardeningexpo.com,,
智能安全门锁,Nuki,Nuki Smart Lock 2.0,一年保修,Nuki App,Nuki Home Solutions,ARM Cortex-M4,Silicon Labs EFR32MG1,APP与指纹识别,家庭安全监控工具,自动锁门与开门，远程控制,家庭安防,2022-08-15,家庭安全论坛,https://www.homesafetyforum.com,,
智能厨电控制器,Bosch,Smart Cooking Hub,两年保修,Bosch SmartHome OS,博世集团,ARM Cortex-A53,Espressif ESP32,APP控制与语音,厨房智能控制工具,集中控制多种厨房电器,智能厨房,2022-10-20,厨电行业展会,https://www.appliancefair.com,,
智能多功能家居机器人,Samsung,Bot Handy,三年保修,Samsung Bixby OS,三星电子,Exynos 9820,Qualcomm Snapdragon 845,语音与手势,居家助手,执行家庭杂务，物品传递,家庭日常,2023-05-05,智能机器人科技展,https://www.roboticexpo.com,,
智能果汁机,Nutribullet,Nutribullet Balance,一年保修,Nutribullet OS,Nutribullet Inc.,ARM Cortex-A7,Espressif ESP8266,APP控制,健康饮食助手,智能配方推荐，营养成分监测,家庭饮食,2023-06-01,健康生活博客,https://www.healthylivingblog.com,,
智能窗帘控制器,Lutron,Caséta Wireless,五年保修,Lutron OS,Lutron Electronics,ARM Cortex-M4,Nordic nRF52840,APP与语音,户内环境调节工具,智能调节窗帘开合，光线控制,家庭卧室,2022-12-10,智能家居技术交流会,https://www.homeautomation.com,,
智能水质监测器,AquaVeyor,AquaSmart 100,一年保修,AquaVeyor OS,AquaVeyor Tech,ARM Cortex-M0,Texas Instruments CC2650,APP控制,健康饮水监测工具,实时监测水质与温度,家庭饮水,2023-04-15,水质监测行业报告,https://www.waterqualityreport.com,,
智能草坪修剪器,Husqvarna,Automower 450X,两年保修,Automower OS,Husqvarna Group,ARM Cortex-A9,Atmel SAMD21,APP与自动调节,草坪管理助手,智能规划草坪修剪路线,家庭庭院,2022-06-12,园艺与草坪维护报告,https://www.lawncare.com,,
智能健康手环,Fitbit,Charge 5,一年保修,Fitbit OS,Fitbit Inc.,ARM Cortex-M4,Nordic nRF52832,触控与APP,健康监测工具,监测心率、睡眠与日常活动,家庭健康管理,2022-07-20,健康设备评测,https://www.healthreviews.com,,
智能空气净化器,Dyson,TP01,五年保修,Dyson Link App,戴森,ARM Cortex-A72,Qualcomm Snapdragon 810,APP与语音控制,空气质量监测工具,去除空气中99.97%的微粒,家庭室内,2023-01-14,空气质量研究报告,https://www.aqi.com,,
智能窗帘控制系统,悠然,YuRan Smart Curtain,两年保修,YuRan OS,悠然科技,ARM Cortex-M4,NXP LPC4330,APP控制与语音助手,智能家居助手,根据天气自动调节窗帘开合,家庭生活,2022-03-05,智能家居评论,https://www.smart-home-reviews.com,,
智能冰箱,海尔,BCD-229WD,三年保修,Haier Smart OS,海尔集团,ARM Cortex-A7,Texas Instruments CC3220,触控屏与APP,食材管理助手,智能调节温度，食材过期提醒,家庭厨房,2023-05-20,家电市场调查,https://www.homeappliances.com,,
智能水质检测器,净饮,JingYin Pro,两年保修,JingYin OS,净饮科技有限公司,ARM Cortex-M0,Maxim MAX32630,APP控制与数据推送,健康检测工具,实时水质监测，监测结果推送,家庭饮水安全,2022-11-30,水质监测研究报告,https://www.water-quality-reports.com,,
智能健身器械,飞利浦,Fit23,三年保修,Philips FitOS,飞利浦,ARM Cortex-M7,Nordic nRF52832,APP控制与语音训练,健身管理助手,根据用户需求智能调整训练计划,家庭健身,2023-09-12,运动器械周刊,https://www.fitnessweekly.com,,
智能蜂鸣音响,小米,XiaoMi SoundBee,一年保修,XiaoMi OS,小米科技,ARM Cortex-A53,Qualcomm QCC5125,触控与APP,音乐播放助手,支持语音命令及定制播放列表,家庭娱乐,2023-10-01,家电观察网,https://www.applianceobserver.com,,
智能空气净化器,Dyson,TP00,两年保修,Dyson Smart OS,Dyson Ltd.,ARM Cortex-M4,Marvell Armada 38x,APP与语音助手控制,空气质量监测工具,实时监测空气质量并调节,家庭环境,2023-03-25,空气质量研究所,https://www.airqualityresearch.com,,
智能家居控制中心,Amazon,Echo Hub,一年保修,Alexa OS,亚马逊,ARM Cortex-A55,Broadcom BCM2711,语音控制与APP,智能家居整合助手,全屋智能设备控制，状态监测,智能家居,2022-08-15,智能居家科技,https://www.smartlivingtech.com,,
智能茶具,茶艺,TeaMaster Pro,一年保修,TeaOS,茶艺科技,ARM Cortex-M4,Espressif ESP32,APP与触控控制,茶文化助手,智能泡茶时间与水温控制,家庭休闲,2023-07-10,茶文化研究,https://www.teaculture.com,,
智能洗衣机,三星,WW90T6,五年保修,Samsung Smart Hub,三星电子,ARM Cortex-A53,MediaTek MT7620,触控与APP,洗衣管理助手,智能洗衣模式选择，故障提醒,家庭洗衣,2023-06-18,家电市场调研,https://www.appliancesurvey.com,,
智能车库门控制器,Chamberlain,B550,三年保修,Chamberlain OS,Chamberlain Group,ARM Cortex-M3,NXP KW41Z,APP与语音控制,车辆管理助手,远程控制车库门，开关状态监控,车库安全,2022-12-01,智能安全评论,https://www.safetymagazine.com,,
智能猫眼,TP-Link,KC300,一年保修,TP-Link Cloud,TP-Link,ARM Cortex-A7,Silicon Labs EFR32MG12,APP与触控,家庭安防助手,实时监控访客并记录视频,家庭安全,2023-04-23,安防产品评测,https://www.safeguardproducts.com,,
智能宠物喂食器,Pawhut,PawSmart,两年保修,Pawhut OS,Pawhut公司,ARM Cortex-M0,Espressif ESP8266,APP与语音指令,宠物护理助手,自动喂食，记录宠物饮食,家庭宠物管理,2022-09-15,宠物科技资讯,https://www.pettechnews.com,,
智能烘干机,LG,DLEX8100V,三年保修,LG SmartThinQ,LG电子,ARM Cortex-A7,Broadcom BCM43362,触控与APP,家务智能助手,高速烘干，智能纤维适配,家庭洗护,2023-02-14,家电新产品发布,https://www.newappliances.com,,
智能农田监测系统,犁星,FarmWatch,两年保修,FarmOS,犁星科技,ARM Cortex-A8,Espressif ESP32,APP控制与自主学习,农田管理助手,土壤和作物生长监测，智能建议,智能农业,2023-08-05,农业科技论坛,https://www.agricultureforum.com,,
智能灯光控制系统,飞利浦,Hue White,五年保修,Philips Hue OS,飞利浦照明,ARM Cortex-M4,Silicon Labs EFR32MG21,APP与语音控制,家庭氛围助手,根据时间和活动调节灯光色温,家庭氛围营造,2022-05-30,智能照明科技,https://www.smartlightingtech.com,,
智能宠物喂食器,PetFeedPlus,PFP-2023,两年保修,PetFeed OS,Pet Technologies Inc.,ARM Cortex-M7,Nordic Semiconductor nRF52840,APP控制,智能宠物助手,定时喂食，远程监控宠物,家庭宠物管理,2022-09-01,宠物科技评论,https://www.pettechreview.com,,
智能窗帘控制系统,SmartHome,SHCurtain-2022,三年保修,SmartHome OS,沪江智能科技,ARM Cortex-A53,Texas Instruments MSP430,语音控制与APP,环境调节助手,根据光照自动调节窗帘,家庭环境控制,2022-11-15,家居设计周刊,https://www.homedesignweekly.com,,
智能阳光房系统,OutdoorLiving,OLL-Sunroom-2023,五年保修,Sunroom Control OS,Outdoor Living Corp.,ARM Cortex-A72,Broadcom BCM2711,APP与语音控制,环境温度调节工具,智能调节阳光与温度,家庭休闲空间,2023-02-20,户外生活科技论坛,https://www.outdoorlivingtechforum.com,,
智能清扫机器人,iRobot,Roomba i7+,一年保修,iRobot OS,iRobot Corporation,ARM Cortex-A5,Ambarella S3L,APP与语音控制,家庭清洁助手,自动化清洁、垃圾自清空,家庭清洁,2022-05-30,智能家居评测网,https://www.smart-home-reviews.com,,
智能门锁,Lockly,Secure Pro,三年保修,Lockly Auth,Lockly Inc.,ARM Cortex-M4,TI CC2640R2,APP控制与指纹识别,智能安防助手,指纹解锁，远程控制,家庭安防,2023-03-15,家庭安全科技刊,https://www.homesecuritytech.com,,
智能空气净化器,Xiaomi,Mi Air Purifier 3,两年保修,Mi Home OS,小米科技,ARM Cortex-M7,MTK MT7615,APP控制,室内空气质量监测工具,自动检测空气质量，适时净化,家庭健康环境,2023-04-18,健康家居杂志,https://www.healthhomejournal.com,,
智能多功能调料盒,ChefSmart,CS-MC2023,一年保修,Chef OS,ChefSmart Ltd.,ARM Cortex-A53,Espressif ESP32,APP控制,厨房智能助手,智能调配调料，营养建议,家庭烹饪,2023-05-12,厨房科技趋势,https://www.kitchentechtrends.com,,
智能电热水壶,Breville,BKE820XL,一年保修,Breville OS,Breville Group,ARM Cortex-M3,NXP LPC1768,触控与APP控制,饮品制作助手,精准温控，保温功能,家庭饮水管理,2023-06-01,家电市场调查,https://www.appliancesearch.com,,
智能走势监测器,TrendWatch,TWM-2023,两年保修,Trend OS,Market Trends Inc.,ARM Cortex-A9,TI CC3200,APP控制,市场分析助手,实时监测市场走势，提供建议,家庭投资管理,2022-10-25,财经科技新闻,https://www.financialtechnews.com,,
智能洗碗机,Bosch,Series 4,五年保修,Bosch Home Connect,博世家电,ARM Cortex-M7,Silicon Labs EFR32MG1,语音与APP控制,智能清洁助手,自动检测污垢，智能洗涤,家庭清洁,2022-03-15,家电分析报告,https://www.appliancesanalysis.com,,
智能厨房冰箱,LG,Smart Refrigerator,三年保修,LG ThinQ,LG Electronics,ARM Cortex-A72,Samsung Exynos 9610,APP与触控,智能存储助手,智能管理食品存储与过期提醒,家庭饮食管理,2023-01-25,饮食行业报告,https://www.foodindustryreport.com,,
智能照明控制系统,Philips,Hue Bridge,三年保修,Hue OS,Signify,ARM Cortex-M4,NXP LPC1769,语音与APP控制,家庭氛围调节助手,智能控制家庭照明与氛围,家庭环境控制,2022-08-30,智能家居科技,https://www.smarthometech.com,,
智能健身监测器,Fitbit,Versa 3,一年保修,Fitbit OS,Google,ARM Cortex-M4,NXP 8002,APP控制,健康管理工具,实时监测健康数据,家庭健康管理,2022-12-01,健康电子产品报告,https://www.healthtecreport.com,,
智能电动晾衣架,Lifesmart,Electric Dry,两年保修,Smart Hang OS,Lifesmart Home,ARM Cortex-M4,Espressif ESP32,APP控制,家庭洗衣助手,智能操控晾衣且带UV消毒,家庭洗衣,2022-11-20,家居创新发布,https://www.lifesmartinnovation.com,,
智能温控洗衣机,Whirlpool,WFW5620HW,五年保修,Whirlpool OS,Whirlpool Corp.,ARM Cortex-A8,Intel Quark,APP与触控,家务管理助手,智能控制水温与洗涤程序,家庭洗衣,2023-07-05,家电评论网,https://www.appliancecommentary.com,,
智能洗衣机,海尔,C5-098,三年保修,Haier OS,海尔集团,ARM Cortex-A55,Qualcomm QCC5125,APP控制,家务助手,智能洗涤，节能水量控制,家庭清洁,2022-05-20,家用电器电子书,https://www.applianceguide.com,,
智能冰箱,美的,BCD-610W,五年保修,Midea Cloud,美的集团,ARM Cortex-A72,Broadcom BCM43684,触控与APP,智能冷藏助手,温控管理，食品保鲜监测,家庭储存,2023-02-15,电器评测网,https://www.appliancereviews.com,,
智能窗帘控制系统,Lutron,Sivoia QS,两年保修,Lutron Smart,Lutron Electronics,ARM Cortex-M3,Texas Instruments CC2500,APP控制与语音,家庭管理助手,自动调节窗帘，节能减排,家庭智能化,2021-08-30,家居智能科技,https://www.homeintelligence.com,,
智能空气净化器,飞利浦,AC1219,三年保修,Philips SmartAir,飞利浦,ARM Cortex-A7,MediaTek MT7668,APP控制,健康守护助手,实时空气质量监测，自动运行模式,家庭空气管理,2022-03-12,健康科技期刊,https://www.healthtechjournal.com,,
智能洗碗机,西门子,SN27MB00CC,五年保修,Siemens Home,西门子家电,ARM Cortex-A15,NXP LPC1768,触控与语音,厨房助理,智能洗涤，节水节能,智能厨房,2022-11-05,家庭电器评测,https://www.appliancetesting.com,,
智能pet喂食器,PetSafe,Smart Feed,两年保修,PetSafe OS,PetSafe品牌,ARM Cortex-M0+,Espressif ESP8266,APP控制,宠物管理助手,定时喂食，监控宠物健康,家庭宠物照顾,2023-07-20,宠物科技博客,https://www.petscienceblog.com,,
智能花洒系统,Moen,U by Moen,三年保修,Moen Smart,Moen Inc.,ARM Cortex-M3,Nordic Semiconductor nRF52832,APP控制,浴室助手,温度调节，水流量控制,智能浴室,2022-06-10,浴室装置评测,https://www.bathroomfixturesreview.com,,
智能家居控制系统,Nest,Nest Hub,五年保修,Google Nest,Google,ARM Cortex-A76,Qualcomm Snapdragon 450,触控与语音,家庭智能控制助手,电器集中控制，智能情景模式,家庭智能化,2023-03-25,智能家居资讯,https://www.smarthomeinfo.com,,
智能监控摄像头,小米,Mi Home Camera,一年保修,MIUI,小米科技,ARM Cortex-A7,Realtek RTL8187,APP控制与语音,安防监控助手,实时视频监控，动态捕捉,家庭安防,2021-09-05,家庭安全杂志,https://www.homesecuritymag.com,,
智能沐浴系统,Aqualisa,Q Edition,五年保修,Aqualisa Smart,Aqualisa,ARM Cortex-M7,Espressif ESP32-S2,APP控制与语音,浴室助手,智能温控，水流管理,智能浴室,2023-01-15,浴室科技博览,https://www.bathroomtechexpo.com,,
智能电视,索尼,KD-55A8H,三年保修,Android TV,索尼电子,ARM Cortex-A76,MediaTek MT5596,遥控与语音,娱乐管理助手,智能画面调节，四K画质,家庭娱乐,2022-04-21,影音科技期刊,https://www.audiovisualmag.com,,
智能音响,Amazon,Echo Dot 4th Gen,一年保修,Alexa OS,Amazon,ARM Cortex-A53,Qualcomm QC845,语音控制,家庭助手,语音助手，音乐控制,家庭娱乐与管理,2022-10-08,智能设备评测,https://www.smartechreviews.com,,
智能宠物监测器,Furbo,Furbo Dog Camera,两年保修,Furbo OS,Furbo,ARM Cortex-M4,Espressif ESP32,APP控制,宠物活动监测助手,实时监测宠物，智能喂食,家庭宠物照顾,2023-05-10,宠物科技报告,https://www.furbotech.com,,
智能水浸监测装置,GROVE,GROVE Water Sensor,一年保修,GROVE OS,Seeed Technology,ARM Cortex-M0,NXP PCA9535,APP控制,家庭安防助手,实时水浸监测，提前警报,家庭保护,2023-02-05,家庭保护设备评测,https://www.homesafe.com,,
智能窗帘系统,米家,Mijia Smart Curtain,两年保修,Mijia OS,小米科技,ARM Cortex-M3,NXP PN532,APP控制与语音助手,光线自动调节器,根据光线强度自动调节窗帘开合,家庭居室,2022-05-01,智能家居资讯网,https://www.smarthome.com,,
智能冰箱,海尔,HRF-710D,三年保修,Haier Smart OS,海尔集团,ARM Cortex-A7,Qualcomm Snapdragon 410,触控控制与APP,食材管理助手,智能监测存储食材，自动提醒过期,家庭厨房,2023-08-15,家电销量报告,https://www.appliance-sales.com,,
智能音响,百度,Xiao Du,一年保修,DuerOS,百度公司,ARM Cortex-A53,Allwinner H3,语音控制,家庭娱乐中心,语音助手，智能家居控制,家庭客厅,2022-11-05,智能音响评测网,https://www.speakersreview.com,,
智能洗衣机,三星,WW80J5555MW/SC,三年保修,Samsung SmartThings,三星电子,ARM Cortex-A9,Qualcomm Snapdragon 410,APP控制与语音,洗涤优化助手,智能选水位与洗涤模式，节能洗涤,家庭洗衣房,2023-01-20,洗衣机市场调查,https://www.washermarket.com,,
智能温控器,Nest,Nest Learning Thermostat,两年保修,Nest OS,Google,ARM Cortex-A53,Texas Instruments CC2652,APP控制与语音,气候管理工具,学习用户的温控习惯，智能调节房间温度,家庭温控,2022-03-01,智能家居报告,https://www.nest.com,,
智能烟雾探测器,米思,M1 Smart Smoke Detector,一年保修,Misei OS,米思科技,ARM Cortex-M3,ESP8266,APP控制与语音报警,火灾监测工具,实时监测烟雾，智能报警,家庭安防,2023-06-20,安全设备评测,https://www.safetydevices.com,,
智能水质监测仪,净水专家,Water Quality Master,两年保修,Smart Water OS,水质科技有限公司,ARM Cortex-M4,Microchip MCP3208,APP与触控控制,水质检测助手,实时监测家庭饮水水质,家庭饮水,2023-04-15,健康水质报告,https://www.watertests.com,,
智能植物监测器,PlantCare,PC-2023,一年保修,PlantCare OS,植物科技公司,ARM Cortex-M0,Silicon Labs EFM32,APP控制,植物健康助手,监测土壤湿度及植物生长指标,家庭园艺,2023-02-10,园艺科技期刊,https://www.plantcare.com,,
智能手机,华为,Mate 50 Pro,三年保修,HarmonyOS,华为技术有限公司,Kirin 9000,Kirin 9000,触控操作,全能助手,智能操作，拍照、游戏性能超强,家庭通信,2022-09-23,手机市场调查,https://www.huawei.com,,
智能灯泡,飞利浦,Hue White and Color Ambiance,两年保修,Philips Hue OS,飞利浦照明,ARM Cortex-M4,Silicon Labs EFR32,APP控制与语音,居室烛光调节器,多种颜色灯光及亮度调节,家庭照明,2023-03-25,居家生活杂志,https://www.philips.com,,
智能健身镜,Mirror,Smart Fitness Mirror,一年保修,Mirror OS,Mirror科技,ARM Cortex-A53,Qualcomm Snapdragon 600,触控与语音控制,家庭健身教练,提供个性化健身指导和反馈,家庭健身,2023-05-01,健身技术论坛,https://www.mirror.com,,
智能窗户监控器,Netatmo,Weather Station,两年保修,Netatmo OS,Netatmo SAS,ARM Cortex-M0,Texas Instruments CC2541,APP控制,家庭气象站,监测温度、湿度、空气质量,家庭环境监测,2022-10-10,气象科技研究,https://www.netatmo.com,,
智能防盗门锁,August,Smart Lock PRO,五年保修,August Smart Lock OS,August Home,ARM Cortex-A7,NXP PNEV5180,APP与指纹识别,智能安全监控器,实时监控安装位置安全,家庭安防,2023-02-25,智能门锁安全分析,https://www.august.com,,
智能茶具,茶悦,Smart Tea Maker,一年保修,TeaOS,茶悦科技,ARM Cortex-M4,Espressif ESP8266,APP控制与触控,茶艺大师助手,根据茶叶种类自动调节水温与时间,家庭饮茶,2023-09-10,茶文化论坛,https://www.teaculture.com,,
智能空气净化器,Dyson,Pure Cool TP01,两年保修,Dyson Link App,Dyson Ltd.,ARM Cortex-A53,Qualcomm Snapdragon 450,APP控制与语音,空气质量监测助手,实时监测空气质量，自动调节运行模式,家庭空气净化,2023-07-07,空气质量报告,https://www.dyson.com,,
智能家居控制中心,小米,Mi Smart Hub,三年保修,MIUI Home,小米科技,ARM Cortex-A53,Qualcomm Snapdragon 410,语音控制与APP,智能家庭助手,集中控制家庭智能设备，支持多种智能场景,家庭智能控制,2022-05-20,智能家居技术论坛,https://www.smart-home-tech.com,,
智能智能吸尘器,iRobot,Roomba i7,一年保修,iRobot OS,iRobot Corporation,ARM Cortex-A72,Broadcom BCM2711,APP控制与语音,清洁助手,自动规划清洁路径，支持地图记录,家庭清洁,2021-09-15,家居科技报告,https://www.irobot.com,,
智能空气净化器,Dyson,Purifier TP01,两年保修,Dyson Link,Dyson Ltd.,ARM Cortex-M0,Texas Instruments CC2652,触控与APP,空气质量监测器,实时监测空气质量，自动调节净化速度,家庭健康,2020-10-05,健康科技杂志,https://www.dyson.com,,
智能冰箱,三星,Family Hub RF28R7351SG,五年保修,Tizen,三星电子,ARM Cortex-A72,Samsung Exynos 7885,触控与APP,智能厨房助手,实时食品管理，智能建议食谱,智能厨房,2021-03-20,科技家居报道,https://www.samsung.com,,
智能照明系统,飞利浦,Hue White and Color Ambiance,两年保修,Philips Hue App,飞利浦照明,ARM Cortex-M4,Microchip PIC16F,APP与语音控制,智能照明调控器,调节色温与亮度，设置情景灯光,家庭氛围营造,2022-11-30,照明行业报告,https://www.philips.com,,
智能健身手环,华为,Band 6,一年保修,HarmonyOS,华为技术有限公司,ARM Cortex-M4,Nordic nRF52840,触控与APP,健康数据分析工具,实时心率监测，睡眠分析,家庭健康监测,2021-06-01,健康科技期刊,https://www.huawei.com,,
智能电热水器,美的,Midea D80,三年保修,Midea Smart,美的集团,ARM Cortex-A53,NXP LPC55S69,语音控制与APP,节能助手,智能温控，节能锁定,家庭热水管理,2023-03-15,家电行业报告,https://www.midea.com,,
智能家居安防摄像头,Nest,Nest Cam (indoor),一年保修,Nest App,Google,ARM Cortex-A8,Ambarella S5L,APP与语音控制,安全监控工具,24小时视频监控，移动侦测报警,家庭监控,2022-07-05,家庭安防期刊,https://nest.com,,
智能食物秤,Withings,Body+,一年保修,Withings App,Withings,ARM Cortex-M33,Nordic nRF52810,触控与APP,健康管理助手,精准体重测量与健康指标分析,家庭饮食管理,2022-02-10,健康产品讨论区,https://www.withings.com,,
智能烹饪机,Thermomix,TM6,三年保修,Cookidoo,Vorwerk,ARM Cortex-A9,STMicroelectronics STM32F4,触控与APP,厨房助手,多功能烹饪，智能食谱指导,智能厨房,2022-09-30,厨电行业报告,https://www.thermomix.com,,
智能咖啡机,NESPRESSO,VertuoPlus,一年保修,Nespresso App,Nestlé,ARM Cortex-M4,Microchip PIC32,触控与APP,咖啡调制助手,一键式咖啡调制，智能咖啡配方,智能厨房,2023-02-01,咖啡行业资讯,https://www.nespresso.com,,
智能宠物喂食器,PetSafe,Smart Feed,一年保修,Petsafe App,PetSafe Brand,ARM Cortex-M3,Nordic nRF52832,语音控制与APP,宠物管理助手,定时喂食，摄像头监控,家庭宠物管理,2022-04-01,宠物行业论坛,https://www.petsafe.net,,
智能血压计,Omron,BP786N,三年保修,Omron Connect,Omron Healthcare,ARM Cortex-M0,Texas Instruments MSP430,APP与物理按钮,健康监测工具,实时血压监测，数据同步,家庭健康监测,2021-11-15,家庭健康报告,https://www.omronhealthcare.com,,
智能洗衣机,小天鹅,XQG80-LB,三年保修,Smart Laundry OS,小天鹅,ARM Cortex-A7,Espressif ESP8266,APP控制和语音助手,家居清洁助手,智能洗涤，预约洗衣，远程监控,家庭洗衣,2023-05-20,家电评测网,https://www.homeappliance360.com,,
智能空气净化器,小米,Mi Air Purifier 4,两年保修,Mi Home,小米科技,ARM Cortex-M0,Nordic nRF52840,语音控制与APP,健康空气管理器,实时空气质量监测，自动清洁,家庭环境,2022-09-01,智能家居评测,https://www.smart-home-test.com,,
智能冰箱,海尔,BCD-201WD,五年保修,Haier Smart,海尔集团,ARM Cortex-A53,TI CC2650,APP控制和语音助手,食材管理助手,智能温控，食材过期提醒,家庭厨房,2022-11-15,家电网,https://www.applianceworld.com,,
智能健康监测手环,华为,Band 6 Pro,两年保修,Huawei OS,华为技术有限公司,ARM Cortex-M4,Silicon Labs EFR32BG1,触控与APP,健康养生工具,实时心率、睡眠监测，运动追踪,家庭健康管理,2022-06-10,健康科技日报,https://www.healthtechdaily.com,,
智能光灯系统,Philips,Hue White and Color,两年保修,Philips Hue App,飞利浦照明,ARM Cortex-A7,NXP JN5169,APP控制与语音控制,智能照明工具,可调亮度与颜色，情景模式,家庭照明,2022-04-05,家庭自动化期刊,https://www.homeautomationjournal.com,,
智能门锁,Yale,Assure SL,三年保修,Yale Smart Lock App,Assa Abloy,ARM Cortex-M3,Nordic nRF52832,指纹与APP控制,安全出入助手,远程控制，实时警报,家庭安防,2023-02-15,智能门锁评测网,https://www.smartlocktest.com,,
智能咖啡机,Nespresso,Vertuo Next,一年保修,Nespresso App,Nespresso SA,ARM Cortex-A5,TI CC3220,APP控制和触控,饮品调制助手,智能萃取，个性饮品设置,家庭厨房,2021-08-12,咖啡科技行业报告,https://www.coffeetechnologyreport.com,,
智能宠物喂食器,PetSafe,Smart Feed,一年保修,PetSafe App,PetSafe Brand,ARM Cortex-M3,Silicon Labs EFR32xG21,APP控制,宠物健康助手,定时喂食，实时监测宠物进食,家庭宠物管理,2022-03-15,宠物科技周刊,https://www.pettechweekly.com,,
智能健身设备,Peloton,Bike+,一年保修,Peloton OS,"Peloton Interactive, Inc.",ARM Cortex-A72,NXP i.MX8M,触控与语音助手,健身跟踪助手,实时数据追踪，自定义课程,家庭健身,2022-10-01,健身科技杂志,https://www.fitnesstechmag.com,,
智能家居控制中心,Google,Nest Hub,两年保修,Google Home,谷歌公司,ARM Cortex-A55,Qualcomm Snapdragon 600,触控与语音控制,全屋智能助手,家居设备集中控制，视频监控,智能家居,2023-01-20,Smart Home Explorer,https://www.smarthomeexplorer.com,,
智能温控器,Ecobee,SmartThermostat,三年保修,Ecobee OS,Ecobee Inc.,ARM Cortex-M4,Nordic nRF52840,语音控制与APP,能源效率助手,智能节能，定时控制,家庭温控,2022-07-30,家居技术杂志,https://www.hometechnology.com,,
智能声控扬声器,Amazon,Echo Dot 4th Gen,一年保修,Alexa OS,"Amazon.com, Inc.",ARM Cortex-A51,NXP i.MX7,语音控制,生活助手,音响播放，智能设备控制,家庭娱乐,2020-01-15,消费电子评测,https://www.consumerelectronicsreview.com,,
智能宠物监控器,Furbo,Furbo Dog Camera,一年保修,Furbo App,Furbo Inc.,ARM Cortex-A53,Qualcomm Snapdragon 410,APP控制,宠物监控助手,实时监视，远程喂食,家庭兽医学管理,2021-06-10,宠物行业动态,https://www.petindustrynews.com,,
智能温室监控系统,Growlink,Smart Greenhouse Controller,两年保修,Growlink App,Growlink Inc.,ARM Cortex-M4,Espressif ESP32,APP控制,智慧园艺助手,实时环境监控与调整,家庭园艺,2023-03-01,行业园艺创新,https://www.gardeninnovation.com,,
智能扫地机器人,iRobot,Roomba i7+,一年保修,iRobot OS,iRobot Corporation,ARM Cortex-A53,Broadcom BCM4343W,APP控制与语音助手,家居清洁助手,智能路径规划、自动清扫,家庭清洁,2021-11-10,智能家居评测,https://www.smart-home-reviews.com,,
智能门锁,小米,M1,两年保修,MIUI,小米科技,ARM Cortex-M3,NXP PN532,指纹识别与APP控制,家庭安保助理,实时监控与远程锁定,家庭安全,2022-04-01,科技产品杂志,https://www.techproducts.com,,
智能空气净化器,Dyson,Pure Cool TP01,三年保修,Dyson Link,Dyson Ltd.,ARM Cortex-A9,Qualcomm QCC5100,APP控制与语音助手,空气质量监测器,空气净化与温度调节,家庭空气净化,2021-05-15,家电行业研究,https://www.appliancesresearch.com,,
智能温控器,Nest,Learning Thermostat,两年保修,Nest OS,Google LLC,ARM Cortex-A53,Silicon Labs EFR32MG1,触控与APP控制,能源管理工具,自动温控、能耗分析,家庭能源管理,2021-03-22,能源科技杂志,https://www.energytechmag.com,,
智能监控摄像头,Blink,Indoor Camera,一年保修,Blink App,Amazon,ARM Cortex-M4,Ambarella S5L,APP控制,家居监控助手,高清实况录像、夜视功能,家庭监控,2022-06-01,监控设备评测,https://www.securityreview.com,,
智能冰箱,海尔,BCD-218STPA,三年保修,Haier OS,海尔集团,ARM Cortex-A57,Texas Instruments Tiva C,触控与APP控制,食品管理工具,智能温控、食物健康监测,智能厨房,2022-09-15,家电行业报告,https://www.applianceindustry.com,,
智能无线音响,Sonos,Sonos One,两年保修,Sonos OS,Sonos Inc.,ARM Cortex-A53,Qualcomm QCC4008,语音控制与APP,音乐播放助手,高质量音质、智能助手集成,家庭娱乐,2021-08-05,音响评测网站,https://www.speakersreview.com,,
智能花洒,Moen,U,五年保修,Moen App,Moen Inc.,ARM Cortex-M4,Microchip XLP16,触控与语音控制,浴室管理工具,智能水流控制、温度记忆,智能浴室,2022-05-10,卫浴行业动态,https://www.bathroomupdate.com,,
