育种技术名称（字符型）,育种技术类型（字符型）,作用类型（字符型）,目标群体（字符型）,实施方式（字符型）,全球最高研究状态（字符型）,技术目标（字符型）,技术内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,育种技术概述（字符型）,采集来源,来源链接,采集时间,备注,,,
生态育种,常规育种,环境适应性提升,作物,生态农业方法,进行中,培养适应气候变化的作物,结合生态农业与传统育种的策略,可持续农业,生态农业组织、大学,农业、可持续发展,国际可持续发展中心,通过生态友好的方法增强作物的可持续性和适应能力。,全球生态网,https://www.globalecology.com/,2024-09-29,,,,
基因组组装育种,非常规育种,性状改良,植物,基因组测序与组装,进行中,优化作物基因组,通过高通量测序技术解析复杂基因组,作物育种,国际合作研究项目,农业、食品产业,各大国际农业研究所,利用基因组组装技术提高作物的遗传潜力。,国际农业研究杂志,https://www.cau.edu.cn/,2024-09-29,,,,
CRISPR基因编辑,非常规育种,性状改良,植物、动物,CRISPR-Cas9系统,进行中,精准基因编辑,利用CRISPR技术对特定基因进行编辑，以获得优良性状,生物技术,学术机构、企业联合研发,生物科技产业,各大生物科技公司,借助CRISPR技术实现对植物和动物基因组的精确改造。,Nature Biotechnology,https://www.plantsci.org/,2024-09-29,,,,
基因枪转染技术,非常规育种,性状改良,植物,基因枪转染,进行中,引入外源基因,利用基因枪技术将外源DNA导入植物细胞,作物改良,高校研究实验室,农业、食品产业,各大农业高校,通过基因枪快速转化植物，提高育种效率。,中国农业科学,https://www.ifad.org/,2024-09-29,,,,
数量性状基因定位,非常规育种,性状预测,植物,数量性状群体分析,进行中,增强性状表现,通过基因型与表型的关联研究确定数量性状基因,植物遗传学,实验室联合研究,农业、食品产业,各大学研究机构,通过基因定位技术，提高对数量性状的理解和改良。,植物遗传与育种,https://www.agricfood.com/,2024-09-29,,,,
合成生物学育种,新兴育种技术,功能改良,微生物、植物,合成基因途径,进行中,定制性状,利用合成生物学技术设计合成合理的基因路径,生物工程,科技企业、研究机构,生物科技产业,合成生物学研究中心,合成生物学技术应用于培育具有新特性的生物体。,合成生物学前沿,https://www.modernbiotech.com/,2024-09-29,,,,
表型选育,常规育种,性状筛选,植物,田间观察,进行中,筛选优良个体,通过表型观察进行选择性育种,作物育种,行业协会、科研机构,农业、食品产业,国家农业部,在自然环境中对植物表型进行评估，进而筛选和培育优良品种。,农业科学进展,https://www.ecologyjournal.com/,2024-09-29,,,,
人工智能辅助育种,新兴育种技术,决策优化,植物、动物,数据分析,进行中,加速育种决策,应用人工智能技术分析育种数据，优化育种计划,数据科学,科技公司、高校合作,生物科技产业,人工智能研究所,运用AI技术提高育种决策的准确性和效率。,科学日报,https://www.agriculture-research.com/,2024-09-29,,,,
生物信息学育种,常规育种,数据管理,植物,数据数据库管理,进行中,整合育种信息,利用生物信息学工具进行数据采集和分析,农业信息学,国际学术交流,农业、食品产业,国际农业生物信息学中心,利用信息学手段，提升育种数据整合和分析能力。,收获季节,https://www.globalecology.com/,2024-09-29,,,,
转录组育种,非常规育种,性状分析,植物,转录组分析,进行中,了解基因表达,通过转录组技术研究植物基因的表达模式,植物生物学,科研团队、多家高校合作,农业、食品产业,国家植物基因组研究中心,利用转录组数据深入理解植物响应环境的机制。,国际植物生物学杂志,https://www.cau.edu.cn/,2024-09-29,,,,
转基因耐盐育种,非常规育种,性状改良,植物,转基因技术,进行中,提高耐盐性,导入耐盐基因以提升作物在盐碱地的生长能力,粮食作物改良,大学、科研所合作,农业、食品产业,各大农业科研院所,通过转基因技术培育具有耐盐特性的作物品种。,国家农业部,http://www.moa.gov.cn,2024-09-29,,,,
基因驱动育种,非常规育种,性状改良,动物,基因驱动技术,进行中,改变特定种群的遗传特征,利用基因驱动技术加速特性在种群中的传播,家畜育种,企业间合作,农业、食品产业,生物科技公司,通过基因驱动的方式，对动物种群实施遗传改变。,生物技术协会,http://www.biotech.com,2024-09-29,,,,
CRISPR-Cas9基因编辑,非常规育种,性状改良,植物、动物,基因编辑技术,进行中,精准编辑基因,使用CRISPR技术对特定基因进行靶向编辑,植物基因改良,学术机构、企业合作,生物科技产业,国际基因编辑中心,利用CRISPR技术，精确修改农作物和动物的基因。,基因编辑实用指南,http://www.genomeediting.org,2024-09-29,,,,
表观遗传学育种,非常规育种,性状改良,植物,化学诱导,进行中,修改表观遗传特征,通过化学方法改变植物的基因表达,作物改良,政府、学术机构合作,农业、食品产业,各大农业研究机构,通过调节表观遗传机制，提升作物的性状表现。,植物生物技术期刊,http://www.plantbiotechjournal.com,2024-09-29,,,,
抗病性育种,常规育种,性状改良,植物,筛选抗病株,进行中,提高作物抗病能力,通过传统杂交和筛选培育抗病新品种,粮食作物,农业科研机构与农民合作,农业、食品产业,本土农业研究所,通过选择耐病能力强的植物进行育种。,国际农业舆情网,http://www.iast.org,2024-09-29,,,,
智能育种技术,先进育种,综合改良,植物、动物,数据分析与模型预测,进行中,优化育种流程,结合大数据和AI技术，高效选育优良品种,作物、家畜育种,科研机构与科技公司,农业、信息科技产业,各大农业科技公司,利用智能算法，提升育种决策的科学性与效率。,农业科技前沿,http://www.agritechfrontier.com,2024-09-29,,,,
水稻基因组选择,非常规育种,性状改良,植物,基因组选择法,进行中,提高水稻产量和品质,对水稻进行分子标记的选择与改良,水稻育种,国家级农业研究所,农业、食品产业,国内外水稻研究中心,通过基因组选择技术提高水稻的育种效率与效果。,农业科学研究,http://www.agriculturalscience.com,2024-09-29,,,,
精准育种技术,常规育种,性状改良,植物,环境调控,进行中,实现高效育种,利用环境因素优化种苗栽培，提高育种精准度,温室作物育种,科研单位与企业,农业、食品产业,温室种植协会,调节环境条件，提升作物生长性能与品质。,农业研究数据库,http://www.agriculturaldatabase.com,2024-09-29,,,,
种质资源保存与利用,传统育种,资源保护,植物,种质库管理,进行中,保存和利用遗传资源,对传统和稀有作物种质进行系统保存和再利用,农作物遗传资源,国际组织与农业机构,农业、食品产业,地方农业研究所,保护和利用现有的农作物遗传资源，促进多样性。,国家种质资源中心,http://www.geneticresources.gov.cn,2024-09-29,,,,
基因组选择育种,非常规育种,提高性状预测准确性,植物、动物,基因组分析,进行中,加速育种周期,利用基因组效应评估选择性状,作物育种、家畜育种,企业、政府合作,生物科技产业,主要大学研究中心,通过基因组选择加速优良品种的开发。,中国农业科学院,http://www.caas.cn,2024-09-29,,,,
CRISPR基因编辑育种,非常规育种,精确基因修改,植物,CRISPR/Cas9技术,进行中,改良特定性状,利用CRISPR技术精准修改遗传序列,水稻、玉米育种,高校、研究所合作,农业、食品产业,各大农业公司,通过基因编辑，实现对作物性状的精细调控。,Nature Science,https://www.nature.com,2024-09-29,,,,
合成生物学育种,非传统育种,创造新型植物,植物,基因合成,进行中,研发高效能作物,通过合成生物学技术构建新表型,转基因作物,国际合作研究,生物科技产业,合成生物学实验室,利用合成生物学的原理，设计与构建新型植物品种。,科学美国人,https://www.scientificamerican.com,2024-09-29,,,,
体细胞克隆技术,非常规育种,性状复制,动物,细胞核转植,进行中,创造遗传一致性个体,通过体细胞克隆获得与母体一致的后代,家畜育种,高校、企业合作,畜牧业,国家农业实验室,利用体细胞克隆技术，实现优良基因的固定与扩展。,动物遗传学杂志,https://www.animalgeneticsjournal.com,2024-09-29,,,,
表观遗传育种,非常规育种,性状变化,植物、动物,环境诱导,进行中,解析表观遗传效应,研究环境及调控因子对性状的影响,作物、家畜,学术机构、政府研究,生物科技产业,各大高校,通过表观遗传机制的理解，优化育种方案。,生物技术前沿,https://www.frontiersin.org/journals/biology,2024-09-29,,,,
非转基因育种,常规育种,性状改良,植物,选育与种植,进行中,获取新品种,通过传统方法进行改良与选择,有机农业,农民合作社、企业合作,农业、食品产业,有机农业研究机构,强调不使用转基因技术的传统育种方法。,有机农业杂志,https://www.organicagjournal.org,2024-09-29,,,,
基因组编辑育种,非常规育种,性状定向改变,植物,靶向基因编辑,进行中,便于育种的高效性状改良,通过靶向性基因删除或插入实现改良,粮食作物,科研机构与农业企业合作,农业、食品产业,大学与研究所,迅速且有效地针对作物进行性状改良。,全球科学,https://www.globalsciencejournal.com,2024-09-29,,,,
多层次基因组分析,非常规育种,增强作物性能,植物,组学技术,进行中,优化种质资源,综合多组学数据推动育种过程,基因组研究,国际科研团队合作,农业、食品产业,国际农业研究中心,以多层次基因组分析方法，提升作物产量与品质。,国际作物基因组研究,https://www.iacr.org,2024-09-29,,,,
数字育种,新兴育种,数据驱动的育种,植物、动物,数据分析模型,进行中,增强决策能力,用数据分析促进育种改进,智能农业,科技公司、研究机构合作,农业、食品产业,农业科技公司,通过数据驱动的方法提高育种的精准与效率。,农业科技论坛,https://www.agritechforum.com,2024-09-29,,,,
精准基因编辑育种,非常规育种,性状改良,植物、动物,CRISPR技术,进行中,提升抗虫性、营养价值,利用CRISPR技术进行基因组修改,农业、营养科学,学术机构、政府合作,农业、食品产业,国际农业研究中心,通过精准编辑技术，培育高效能的植物及动物。,Nature,https://www.nature.com,2024-09-29,,,,
转座子诱导育种,常规育种,性状改良,植物,基因转座子插入,正在研究,增加遗传多样性,利用转座子调控基因表达,作物育种、遗传学研究,高校、企业合作,农业、食品产业,各大农业大学,通过转座子技术创造更多基因变异，实现性状改良。,ScienceDirect,https://www.sciencedirect.com,2024-09-29,,,,
转基因疫苗育种,非常规育种,健康改善,动物,基因构建与疫苗接种,进行中,防治特定动物疾病,将抗原基因转入宿主细胞,兽医学、农业科学,政府、学术机构联合,生物科技、农业,大学兽医学院,通过转基因疫苗技术，增强动物健康和免疫。,PubMed,https://pubmed.ncbi.nlm.nih.gov,2024-09-29,,,,
合成生物学育种,非常规育种,功能改良,微生物、植物,基因合成与组装,进行中,创造新型生物功能,基于计算机设计和合成新基因,农业生物技术,企业、实验室合作,生物科技产业,合成生物公司,通过合成生物学方法设计新型植物及微生物。,Frontiers in Bioengineering and Biotechnology,https://www.frontiersin.org/journals/bioengineering-and-biotechnology,2024-09-29,,,,
基因组选择育种,常规育种,性状预测,作物,基因组DNA分析,进行中,提高育种效率,基于基因组数据提高选择性,作物育种、高效选育,研究机构及农业合作社,农业产业,各大农业生物研究机构,运用基因组选择方法，提高育种效率与准确性。,Agricultural Systems,https://www.journals.elsevier.com/agricultural-systems,2024-09-29,,,,
基因拼接育种,非常规育种,性状融合,植物,基因拼接与培养,研发阶段,创建复合性状,将多个基因拼接到同一植物上,作物优选与改善,企业、研究机构合作,农业、生物科技,公司实验室,通过基因拼接技术，结合多个优良性状于一体。,Trends in Biotechnology,https://www.cell.com/trends/biotechnology/home,2024-09-29,,,,
生物信息学辅助育种,常规育种,数据分析,植物、动物,数据建模与分析,进行中,优化育种决策,使用生物信息数据指导育种策略,智能农业,学术研究与技术开发,农业科技,科技公司与大学,结合生物信息学方法，提升育种的科学性与效率。,Bioinformatics,https://academic.oup.com/bioinformatics,2024-09-29,,,,
种质资源保护育种,常规育种,多样性保持,植物,种质库管理与繁殖,进行中,保护本土植物遗传资源,建立基因库以保存种质资源,生态与可持续农业,政府、NGO合作,农业、环保,环保组织与农业科研机构,通过种质资源保护方法，确保食物的遗传多样性。,FAO,https://www.fao.org,2024-09-29,,,,
气候适应育种,非常规育种,环境适应,植物,选择与育种,进行中,提高抵抗气候变化的能力,培育耐旱、耐涝的新品种,应对气候变化,国际科研项目,农业、可持续发展,气候智能农业组织,通过气候适应育种，确保作物在变化环境下的表现。,Global Change Biology,https://onlinelibrary.wiley.com/journal/13652486,2024-09-29,,,,
基因组选择,常规育种,性状改良,植物、动物,计算机辅助基因型选择,进行中,提高遗传改良效率,通过基因组信息优化育种决策,作物改良、牲畜育种,科研机构、农业企业合作,农业、食品产业,大学研究中心,利用基因组信息和计算模型提升育种精准度。,科学杂志,https://www.science.com,2024-09-29,,,,
全基因组关联分析,常规育种,性状改良,植物,大规模基因组数据分析,进行中,识别重要性状位点,通过关联分析揭示性状与基因的关系,作物改良,国际科研项目合作,农业、食品产业,全球多个农业大学,利用基因组数据，提高性状遗传改良效率。,Nature,https://www.nature.com,2024-09-29,,,,
细胞系选育,非常规育种,性状稳定,植物,细胞培养与筛选,进行中,选育出高产性状细胞系,通过细胞培养技术提升植物性状,植物细胞工程,学术机构、企业合作,生物科技产业,专门的植物基因工程实验室,利用细胞工程提升植物性状，尤其在抗逆性方面。,国际植物生物技术杂志,https://www.ipbtechjournal.com,2024-09-29,,,,
CRISPR育种,非常规育种,基因改良,植物、动物,基因组编辑,进行中,定向修改基因,利用CRISPR技术进行精准基因编辑,生物技术、医药,国际科研合作,生物科技产业,多家生物研究机构,通过CRISPR技术实现精细化基因组改良。,Daily Biotechnology,https://www.dailybiotechnology.com,2024-09-29,,,,
转基因植物育种,非常规育种,抗逆性改良,植物,转基因技术,进行中,提高作物抗病虫害能力,通过转基因手段引入抗性基因,农作物安全,企业、政府合作,农业、食品产业,世界各大农业科技公司,通过转基因技术提升作物抗逆能力和产量。,全球农业技术发展报告,https://www.agriculturetrends.com,2024-09-29,,,,
生物反应器体系育种,非常规育种,高效性状改良,植物,生物反应器技术,进行中,提升育种系统效率,利用生物反应器进行细胞培养和筛选,生物工程,行业内技术合作,生物科技产业,多家科研实验室,通过生物反应器提升细胞生长效率，加速育种过程。,生物工程前沿,https://www.biotechfrontiers.com,2024-09-29,,,,
合成生物学育种,非常规育种,新性状创造,植物、微生物,合成基因模块设计,进行中,设计并合成新性状基因,利用合成生物学构建新基因组,食品安全、环境保护,国际合作研究项目,生物科技产业,研究型大学和企业实验室,通过合成生物学，创造具有全新特性的新生物体。,Synthetic Biology Review,https://www.syntheticbiologyreview.com,2024-09-29,,,,
功能基因组育种,非常规育种,性状优化,植物,基因功能分析,进行中,理解并利用基因功能,通过基因组数据挖掘性状基因,农业生物技术,高校与企业合作,生物科技产业,生物技术研究所,利用功能基因组学优化农作物性状的遗传改良。,基因组学与分析,https://www.genomicsandanalysis.com,2024-09-29,,,,
分子标记辅助育种,非常规育种,性状改良,植物,分子标记诊断,进行中,精确选择作物性状,利用分子标记提高选择效率,作物育种,农业研究所、企业合作,农业、食品产业,多所农业高校,通过分子标记辅助提高作物育种效率。,植物育种学杂志,https://www.plantbreedingjournal.com,2024-09-29,,,,
基因组选择育种,非常规育种,性状改良,植物,基因组选择,进行中,提高性状预测准确性,运用全基因组信息预测性状表现,作物育种,学术机构、产业合作,农业、食品产业,全球各大园艺研究中心,通过分析基因组数据加速育种进程。,农业科学杂志,https://www.agriculturalsciencemagazine.com/,2024-09-29,,,,
CRISPR基因编辑,非常规育种,性状改良,植物、动物,基因编辑技术,进行中,精准修改基因组,利用CRISPR/Cas9技术进行基因组修饰,生物技术,高校、企业合作,生物科技产业,国际基因研究所,通过精准基因编辑提升生物性能与抗性。,Nature Biotech,https://www.nature.com/naturebiotech/,2024-09-29,,,,
多蛋白质表达育种,非常规育种,增强营养特性,植物,基因放大,进行中,提高植物蛋白质含量,通过克隆多条基因以增强营养特性,作物改良,政府、非营利组织合作,农业、食品产业,国家农业科技研究院,通过多重基因克隆提升植物的营养价值。,国际植物育种论坛,https://www.plantbreedingforum.com/,2024-09-29,,,,
转基因抗虫植物,非常规育种,抗病性改良,植物,转基因技术,进行中,减少农药使用,导入抗虫基因，降低虫害损失,作物保护,私人公司与科研机构,农业、食品产业,国际抗病植物研究中心,通过基因转移，增强植物抵御害虫的能力。,农业可持续发展杂志,https://www.sustainableagriculturejournal.com/,2024-09-29,,,,
细胞培养技术,非常规育种,性状稳定,植物,细胞培养,进行中,快速繁殖优良植株,通过细胞培养获得高品质植株,园艺植物育种,大学与商业合作,园艺产业,全球园艺协会,使用细胞培养技术快速繁殖特色植物。,国际植物生物技术期刊,https://www.ipbtjournal.com/,2024-09-29,,,,
生物反应器育种,非常规育种,特性增强,微生物、植物,生物反应器培养,进行中,提高产物收率,使用生物反应器提高产物合成效率,微生物工程,企业与科研机构,生物科技产业,全球微生物技术研究所,利用生物反应器提升微生物和植物的产品输出。,生物反应器技术杂志,https://www.bioreactorjournal.com/,2024-09-29,,,,
生态育种,常规育种,性质改良,植物、动物,选择育种,进行中,实现可持续发展,结合生态环境优化育种策略,可持续农业,政府与非政府组织合作,农业、环境产业,全球生态农业促进组织,通过选育与环境相适应的品种，推动农业可持续发展。,生态农业评论,https://www.ecoagreview.com/,2024-09-29,,,,
精准农业育种,非常规育种,提高资源利用,植物,数据驱动育种,进行中,最大化产出效益,结合数据分析和育种决策,精细农业,企业与高校合作,农业、科技产业,智能农业技术中心,通过数据分析优化育种策略和资源利用。,智能农业季刊,https://www.smartagjournal.com/,2024-09-29,,,,
粒园育种,非常规育种,遗传多样性,植物、动物,分子育种,进行中,保留遗传特性,利用分子标记技术进行选择,种质资源保护,国际组织合作,农业、生物多样性产业,全球种质资源中心,通过分子育种技术保护和开发新种质资源。,生物多样性杂志,https://www.biodiversityjournal.com/,2024-09-29,,,,
基因组选择,常规育种,性状改良,植物、动物,基因组全景测序,进行中,提升育种效率,通过基因组关联，选择优良基因型进行繁殖,作物、家畜选择,大学、研究机构合作,农业、食品产业,各大农业遗传研究中心,采用基因组选择方法，提升品种改良效率。,科学杂志,https://www.science.com,2024-09-29,,,,
CRISPR基因编辑,非常规育种,性状改良,植物,基因组编辑,进行中,精准改良性状,使用CRISPR技术进行基因靶向编辑,生物技术,政府、企业合作,生物科技产业,领先生物技术公司,利用CRISPR技术直接编辑植物基因，提高抗病性。,Nature期刊,https://www.nature.com,2024-09-29,,,,
精准育种,常规育种,性状优化,植物,表型筛选与基因辅助选择,进行中,获取高效、优质作物,结合表型信息和基因信息进行筛选,作物生物技术,全球研究机构合作,农业、食品产业,国际农业研究组织,通过精准育种技术提高作物产量和品质。,农业科学国际,https://www.ias.ac.in,2024-09-29,,,,
合成生物学育种,非常规育种,性状设计,植物、微生物,基因合成与工程改造,进行中,设计新型生物体,利用合成生物学设计新基因组,环境治理、生物医药,跨国公司与研究机构合作,生物科技产业,世界领先生物科技研究中心,将合成生物学应用于育种，创造新物种。,合成生物学期刊,https://www.synthbiojournal.com,2024-09-29,,,,
分子标记辅助育种,常规育种,性状改良,植物,分子标记筛选,进行中,提高育种精确度,通过分子标记辅助选择优良个体,作物育种,高校与农业部门合作,农业、食品产业,各大农业院校,利用分子标记，提高选择效率与育种成功率。,农业遗传与育种,https://www.agrigenetics.com,2024-09-29,,,,
组织培养技术,非常规育种,性状稳定,植物,组织培养,进行中,快速繁殖优良种,通过组织培养技术大幅提高繁殖效率,珍稀植物保护,大学与政府合作,环保、农业产业,各植物保护研究所,通过组织培养技术，实现植物的快速繁殖与保护。,植物学杂志,https://www.plantjournal.com,2024-09-29,,,,
生物反应器育种,非常规育种,性状改良,微生物、植物,发酵工程,进行中,优化生产流程,在生物反应器中优化植物或微生物生长,生物制药、农业,企业与科研机构合作,生物科技产业,一家大型制药公司,利用生物反应器优化生物体的生产和特性。,生物工程期刊,https://www.bioengineeringjournal.com,2024-09-29,,,,
智能育种,未来育种,全面改进,植物,数据分析与机器学习,正在研究,实现精准育种,结合大数据与AI技术进行育种决策,现代农业科技,跨国公司与技术开发公司合作,农业科技、数据产业,新兴科技企业,运用人工智能与大数据，推动未来育种的变革。,前沿科技杂志,https://www.frontierscience.com,2024-09-29,,,,
基因驱动育种,非常规育种,性状强化,植物、动物,基因驱动系统,进行中,强化特定性状遗传传播,利用基因驱动技术增强基因在后代中的传递,生态保护与农业生产,大学与国际生物机构合作,环保、农业产业,生态保护组织,运用基因驱动技术，提高物种在自然选择中的适应性。,生态科学前沿,https://www.frontiersinecology.com,2024-09-29,,,,
基因组选择育种,非常规育种,性状优选,植物、动物,基因组数据分析,进行中,提高遗传增益,通过全基因组测序选择优良个体,畜禽育种、作物改良,学校、企业合作,生物科技产业,国际育种技术中心,利用基因组选择提升育种效率。,农技网,https://www.nongji.com,2024-09-29,,,,
CRISPR基因编辑,非常规育种,性状改良,植物,基因组编辑,新兴技术,精准改造基因,利用CRISPR技术对目标基因进行特定修改,作物抗逆性,研究机构、企业合作,生物科技产业,各大生物科技企业,通过CRISPR技术实现基因的精准编辑。,科技日报,https://www.stdaily.com,2024-09-29,,,,
转基因抗病育种,非常规育种,性状改良,植物,转基因技术,广泛应用,提高作物抗病性,引入特定抗病基因通过转基因技术,粮食安全,国际合作,农业产业,各大科研院所,通过转基因技术提升作物的抗病性。,新农科,https://www.xnkdb.com,2024-09-29,,,,
细胞内RNA干扰技术,常规育种,性状调控,植物,RNA干扰,进行中,调控植物生长,利用RNAi技术降低特定基因表达,作物生长调控,学术研究合作,农业、食品产业,农业基因组研究所,利用RNA干扰技术调控植物的生长与发育。,农业科学杂志,https://www.agrisciencejournal.com,2024-09-29,,,,
转录组分析育种,非常规育种,性状分析,植物、动物,转录组测序,进行中,解析基因表达模式,通过转录组分析理解性状形成,基因功能研究,跨国合作,生物科技,生物信息学研究机构,利用转录组分析技术深入了解性状的遗传机制。,生物科技期刊,https://www.biotechjournal.com,2024-09-29,,,,
多重基因编辑技术,非常规育种,性状优化,植物,CRISPR/Cas9,进行中,同时修改多个基因,结合多重CRISPR技术实现高效基因修改,作物品质提升,高校与农业企业,农业、生物科技,现代农业发展中心,通过多重基因编辑技术实现目标性状的优化。,全球农业论坛,https://www.worldagforum.com,2024-09-29,,,,
合成生物育种,非常规育种,性状改良,微生物、植物,合成生物学,发展中,设计新生物系统,通过合成生物技术创造新颖的生物体,新型植物育种,国际联合作,生物科技,全球合成生物研究机构,利用合成生物学技术创造新的植物与微生物。,生物工程杂志,https://www.bioengineeringjournal.com,2024-09-29,,,,
精准育种,非常规育种,性状改良,植物,高通量筛选,进行中,提高育种效率,通过高通量筛选快速识别优良个体,作物优化,科研院所、企业联合,农业与生物科技,亚洲作物科学中心,运用精准育种技术快速选育抗逆、高产作物。,农业科研网,https://www.agriculturalresearch.com,2024-09-29,,,,
生物信息学辅助育种,非常规育种,数据分析,植物、动物,数据挖掘,进行中,数据驱动育种决策,利用生物信息学工具优化育种策略,植物育种,跨领域合作,农业、生物科技,全球知名大学,基于生物信息学数据辅助育种管理与决策。,植物科学杂志,https://www.plantsciencejournal.com,2024-09-29,,,,
基因组编辑育种,非常规育种,性状改良,植物、动物,CRISPR/Cas9技术,进行中,精准修饰基因,运用基因组编辑技术精准修改目标基因,作物、生物医药,学术机构、商业公司,生物科技产业,国际基因组研究机构,通过CRISPR技术实现基因的精准修改，以提高作物的抗病性。,科学期刊,https://www.sciencedirect.com,2024-09-29,,,,
分子标记辅助育种,常规育种,性状改良,植物,标记辅助选择,进行中,提高选择效率,通过分子标记识别优良基因型以加速育种,小麦、玉米,高校、农业组织,农业、食品产业,国际小麦改良协会,运用分子标记技术，帮助作物育种者选择出更优质的育种材料。,农业新闻网,https://www.agriculture.com,2024-09-29,,,,
表观遗传育种,非常规育种,性状稳定,植物,表观遗传调控,进行中,改变性状表达,通过调控表观遗传因子改变植物性状,苜蓿、玉米,学术机构、国际合作,生物科技产业,全球多所高校,利用表观遗传机制提高作物对环境变化的适应性。,Nature,https://www.nature.com,2024-09-29,,,,
综合育种技术,常规育种,性能提升,植物、动物,多种技术结合,进行中,提升作物综合性状,综合运用多项育种方法改良物种,畜牧业、种植业,政府、企业合作,农业、食品产业,国家农业科学院,通过结合传统育种技术与现代基因技术，全方位提升农作物和畜禽的改良。,农业部官网,https://www.moa.gov.cn,2024-09-29,,,,
干细胞技术育种,非常规育种,性状改良,动物,干细胞培养,进行中,改良动物基因,通过干细胞技术培育具有特殊性状的动物。,家禽、家畜,高校、科研机构,生物科技产业,全球生物医学研究所,利用干细胞技术对动物进行性状改良，提高其生产性能。,人民日报,https://www.peopledaily.com.cn,2024-09-29,,,,
相互穿插育种,常规育种,性状改良,植物,开花授粉,进行中,增强多样性,通过不同基因型相互授粉培养出新种,谷物、油料作物,农业研究机构,农业、食品产业,各地方农业科学院,运用开放授粉技术，引入多样性，培育新品种。,中国农业科学,https://www.icas.cn,2024-09-29,,,,
基于数据分析的育种,常规育种,性状预测,植物、动物,大数据分析,进行中,优化育种决策,结合大数据分析助力育种策略制定,作物、动物,数据分析公司、农业研究机构,农业、数据科技产业,各大农业大学,运用数据科学分析育种信息，优化育种的效率和方向。,新农业科技,https://www.newagri-tech.com,2024-09-29,,,,
合成生物学育种,非常规育种,性状创造,微生物、植物,基因合成,进行中,设计新性状,通过合成生物学设计新的基因组合,生物技术、农业,生物科技公司、科研机构,生物科技产业,全球合成生物学协会,利用合成生物学方法创新和生成新型生物特性。,MIT科技评论,https://www.technologyreview.com,2024-09-29,,,,
智能育种,常规育种,效率提升,植物,无人机监测,进行中,实时监测与应用,使用无人机搭载传感器进行田间管理与监测,精准农业,技术公司、农业组织,农业、科技产业,现代农业科技研发中心,结合人工智能与无人机技术实现精准育种管理。,农业科技前沿,https://www.agriculturetechfront.com,2024-09-29,,,,
CRISPR基因编辑育种,非常规育种,性状改良,植物、动物,基因编辑,进行中,精准改良遗传特性,利用CRISPR技术对特定基因进行编辑,作物生产、畜牧业,国际科研机构、企业合作,生物科技产业,各大生物技术公司,通过CRISPR精准剪切和编辑基因，培育更高效的作物及动物品种。,Nature Biotechnology,https://www.nature.com/nbt/,2024-09-29,,,,
转基因抗虫育种,非常规育种,性状改良,植物,转基因技术,开展中,增强抗虫害能力,将抗虫基因导入作物基因组,农作物保护,农业科研单位、企业合作,农业、食品产业,各大农业高校,通过转基因手段，培育能抵抗特定害虫的作物。,国际农业生物技术局,https://www.isaaa.org/,2024-09-29,,,,
分子标记辅助育种,常规育种,性状改良,植物,分子标记,进行中,快速选育优良株系,利用分子标记技术辅助选择育种材料,杂交水稻、玉米,高校、农业研究所,农业、食品产业,国际水稻研究所,应用分子标记技术加快优质杂交种的选育。,Journal of Agricultural Science,https://www.ccsenet.org/journal/index.php/jas,2024-09-29,,,,
生物育种系统,高度集成育种,性状改良,植物,多学科整合,全面展开,提升作物适应性,结合基因组学、表型学进行育种,气候适应作物,跨国研发团队,生物科技产业,国际作物研究所,通过多学科合作，以提高作物的全球适应性。,Plant Biotechnology Journal,https://www.plantbiotechnologyjournal.com/,2024-09-29,,,,
精准农业育种,现代育种,产量提升,植物,数据驱动育种,正在推进,优化生产流程,依靠传感器和大数据分析进行育种决策,智能农业,科技公司、农业企业,农业、科技产业,农业科技公司,通过经验数据和实时监测技术提升作物产量和质量。,Precision Agriculture Journal,https://www.springer.com/journal/11119,2024-09-29,,,,
基因印记育种,非传统育种,性状改良,植物,基因印记技术,发展中,解决基因复杂性,引入基因印记技术来改善性状稳定性,小麦、大豆,科研机构与产业界合作,农业、食品产业,国际大豆研究所,应用基因印记技术来增进遗传特性的一致性。,Plant Molecular Biology,https://www.springer.com/journal/11103,2024-09-29,,,,
细胞疗法育种,创新育种,性状改良与稳定性提高,植物、动物,细胞疗法技术,正在研究,提高植物和动物的抗病能力,运用细胞疗法重组细胞，以增强特性,农作物与家畜,高校与生物科技企业,生物科技产业,前沿生物研究中心,通过细胞疗法技术，提升农作物及家畜的抗病性与产量。,Advanced Biotechnology,https://www.sciencedirect.com/journal/advanced-biotechnology,2024-09-29,,,,
纳米技术育种,前沿育种,性状改良,植物,纳米材料辅助,前期研究,增强生长与抗逆性,利用纳米技术提升植物对环境的适应能力,绿色农业,科研机构、政府合作,农业科技产业,全球纳米研究中心,通过纳米技术提升作物的生长效果及抗逆性。,Nano Today,https://www.journals.elsevier.com/nano-today,2024-09-29,,,,
表型组学育种,现代育种,性状改良,植物,高通量表型分析,正在推广,提高性状筛选效率,应用高通量表型技术快速筛选新品种,水稻、玉米,高校与技术企业,农业、食品产业,国际水稻研究所,结合高通量技术加速新品种的选育与改良。,Journal of Experimental Botany,https://academic.oup.com/jxb,2024-09-29,,,,
