品牌,面料,科技含量,特点,主要产品,采集来源,来源链接,采集时间,备注【疑问汇总】
SUPRA,Canvas、Leather,中,耐磨、防滑、经典设计,滑板鞋、休闲鞋,公司官网,https://www.suprafootwear.com/,,
靴子特工,耐磨Polyester、反射材料,高,强度高、安全、透气性好,工作靴、户外鞋,公司官网,https://www.boots.com/,,
Salomon,Gore-Tex、Premium Wet Traction,高,防水、抓地力强、透气,登山鞋、运动服,公司官网,https://www.salomon.com/,,
Columbia,Omni-Tech、Omni-Wick,中,防水、快干、舒适透气,冲锋衣、登山裤,公司官网,https://www.columbia.com/,,
PUMA,NRC RAINCELL,高,防水、透气、轻盈,户外跑步鞋,公司官网,https://www.puma.com.cn/,,
New Balance,Fresh Foam、Hypoknit,高,柔韧性佳、高舒适度、适合长时间穿着,跑步鞋、休闲鞋,公司官网,https://www.newbalance.com.cn/,,
李宁,飞织面料、压缩材料,高,紧束、轮廓突出、适合高强度运动,篮球鞋、训练鞋,公司官网,https://store.lining.com/,,
安踏,重力减震科技,高,超轻、稳定性强、能量回馈,跑步鞋、综训鞋,市场调研报告,http://anta.cn/,,
ASICS,GEL、FlyteFoam,高,优秀的缓震性能、重量轻、适合长时间使用,慢跑鞋、训练鞋,体育杂志,https://www.asics.com.cn/,,
Lululemon,Swift Ultra、Luxtreme,高,高度舒适、排汗性好、适合高强度训练,运动紧身裤、瑜伽服,公司官网,https://www.lululemon.com/,,
On昂跑,Cloudstratus、PowerShell,高,支撑性强、减震好、适合长跑,跑步鞋,竞技展会,https://www.on-running.cn/,,
Arc'teryx,GORE-TEX、Fortius,高,超强防水、透气、耐磨,户外夹克、风衣,山地运动网站,https://www.arcteryx.com/,,
Salomon,SensiFit、Contagrip,高,舒适贴合、防滑、适合越野跑,越野跑鞋,公司官网,https://www.salomon.com.cn/,,
H&M,再生聚酯、ECOLOGO认证材料,高,环保、可持续、舒适性佳,休闲服、运动服,公司官网,https://www2.hm.com/,,
新百伦,Fresh Foam,高,轻盈、舒适、优异缓震,跑步鞋、训练鞋,公司官网,https://www.newbalance.com/,,
李宁,NANO技术面料,高,超轻、防水、防污,运动外套、羽绒服,公司官网,https://store.lining.com/,,
The North Face,GORE-TEX,高,防水透气、耐磨、适应恶劣天气,户外登山夹克、滑雪服,公司官网,https://www.thenorthface.com/,,
Puma,EcoOrtholite,高,环保、透气、舒适,运动鞋、凉鞋,公司官网,https://www.puma.com/,,
安踏,全天候科技,高,防水、透气、适合多种气候,运动风衣、跑步裤,公司官网,http://anta.cn/,,
Asics,FlyteFoam,高,轻量、高弹性、优异回弹,跑步鞋、马拉松鞋,公司官网,https://www.asics.com.cn/,,
Lululemon,Swiftly Tech,高,舒适、透气、适合训练和休闲,运动上衣、瑜伽裤,公司官网,https://www.lululemon.com/,,
Under Armour,UA RUSH,高,提升运动表现、增加肌肉活性,运动紧身衣、T恤,公司官网,https://www.underarmour.cn/,,
特步,柔软透气面料,高,吸湿排汗、适合高强度运动,运动裤、运动外套,公司官网,http://www.xtep.com/,,
Hoka One One,Meta-Rocker,高,缓震性强、素质轻巧、加速推进,越野跑鞋、训练鞋,公司官网,https://www.hokaoneone.com/,,
百事可乐,水巧科技,高,环保、凉感、超轻,运动服、生活服饰,公司官网,https://www.pepsi.com,,
新百伦,Fresh Foam、Revlite,高,优越舒适性、轻量化、减震,跑步鞋、日常鞋,公司官网,https://www.newbalance.com,,
Patagonia,H2No、Traceable Down,高,防水、保暖、可追溯,冲锋衣、户外夹克,公司官网,https://www.patagonia.com,,
李宁,Li-Ning Cool,高,速干、轻盈、耐磨,运动短裤、运动T恤,公司官网,https://www.lining.com,,
安踏,C-TECH,高,高弹性、快速干燥、防水,风衣、跑步服,公司官网,http://anta.cn/,,
优衣库,BlockTech、HeatTech,高,防风防水、保暖、透气,外套、内衣,公司官网,https://www.uniqlo.com,,
Columbia,Omni-Tech、Omni-Heat,高,防水透气、保暖、舒适,滑雪服、户外鞋,公司官网,https://www.columbia.com,,
Fox Racing,TRUFEEL、X-Flex,高,灵活性高、快速干燥、轻量,摩托车服、滑板服,公司官网,https://www.foxracing.com,,
Riot Society,Eco-Friendly Cotton,中,环保、透气、舒适,T恤、休闲裤,品牌介绍,https://www.riotsociety.com,,
耐克,Flyleather,高,可持续材料、轻便、耐用,运动鞋、休闲鞋,公司官网,https://www.nike.com.cn/,,
阿迪达斯,Futurecraft Loop,高,完全可回收、环保、耐磨,运动鞋,公司官网,https://www.adidas.com.cn/,,
李宁,Aerofit,高,极佳的通风性、超轻便、快干,跑步鞋、运动T恤,公司官网,https://store.lining.com/,,
安踏,Smart R Fresh,高,抗菌、透气、舒适,运动内衣、健身裤,公司官网,http://anta.cn/,,
Under Armour,UA Iso-Chill,高,降温效果、轻盈、出色的透气性,运动冷衣、紧身衣,公司官网,https://www.underarmour.cn/,,
特步,Ecovet,高,环保、透气、舒适,运动背心、跑步短裤,公司官网,http://www.xtep.com/,,
361度,RevolutionDry,高,快速干燥、轻质、透气,运动鞋、运动外套,公司官网,http://www.361sport.com/,,
亚瑟士,GEL-Infusion,高,减震舒适、超轻、适合长时间穿着,跑步鞋、健身鞋,公司官网,https://www.asics.com.cn/,,
露露柠檬,Luxtreme,高,高弹性、舒适、适合高强度运动,瑜伽裤、运动运动文胸,公司官网,https://www.lululemon.com/,,
On昂跑,CloudTec+,高,增强的舒适感、减震效果明显、适合长跑,跑步鞋,公司官网,https://www.on-running.cn/,,
耐克,VaporMax Flyknit,高,透气、轻便、能量回馈,跑鞋,公司官网,https://www.nike.com.cn/,,
阿迪达斯,AEROREADY,高,吸湿排汗、环保材料、快干,运动T恤、运动裤,公司官网,https://www.adidas.com.cn/,,
安踏,G魔联盟科技,高,弹性防震、360度包裹、舒适透气,跑步鞋、篮球鞋,公司官网,http://anta.cn/,,
李宁,反向霓虹科技,高,超轻、透气、提高能见度,运动风衣、跑步鞋,公司官网,https://store.lining.com/,,
Under Armour,UA Charged Cotton,高,舒适、快干、柔软,运动T恤、运动裤,公司官网,https://www.underarmour.cn/,,
特步,生态复合纤维,高,环保、耐磨、弹性好,运动背包、跑步鞋,公司官网,http://www.xtep.com/,,
361度,X-Cool面料,高,高效透气、快干、保持舒适,运动内衣、跑步服,公司官网,http://www.361sport.com/,,
露露柠檬,Nulu柔软面料,高,极致舒适、轻盈、透气,瑜伽裤、运动外套,公司官网,https://www.lululemon.com/,,
亚瑟士,FlyteFoam Blast,高,轻便、回弹性好、耐久,跑鞋、综训鞋,公司官网,https://www.asics.com.cn/,,
On昂跑,Speedboard,高,高效能量反弹、适合长跑,跑鞋、训练鞋,公司官网,https://www.on-running.cn/,,
红蜻蜓,天丝、活性炭纤维,中,透气性佳、抗菌、柔软,运动裤、休闲服,公司官网,http://www.hongqingting.com/,,
李宁,G-Tast面料,高,抗紫外线、透气、轻巧,户外运动服、跑步服,公司官网,https://store.lining.com/,,
耐克,Nike AeroSwift,高,轻盈、快速干燥、高透气性,马拉松跑鞋、竞赛服,公司官网,https://www.nike.com.cn/,,
阿迪达斯,Parley Ocean Plastic,高,环保、回收塑料制成、透气,专业跑步鞋、训练服,公司官网,https://www.adidas.com.cn/,,
安踏,A-PROTECT防水面料,高,防水、透气设计、适合雨季运动,户外鞋、游泳衣,公司官网,http://anta.cn/,,
361度,科技涤纶、KDfoam,高,减震、吸湿速干、轻量,跑步鞋、篮球鞋,公司官网,http://www.361sport.com/,,
特步,糯米纤维,中,光滑、耐磨、舒适,运动内衣、跑步袜,公司官网,http://www.xtep.com/,,
Under Armour,UA Storm,高,防水、透气，适合户外活动,外套、运动裤,公司官网,https://www.underarmour.cn/,,
露露柠檬,Nulux,高,柔软、极轻、适合高强度运动,瑜伽裤、运动外套,公司官网,https://www.lululemon.com/,,
亚瑟士,FlyteFoam,高,高回弹、轻量、减震,跑步鞋、运动服,公司官网,https://www.asics.com.cn/,,
Puma,Puma R-Dry,高,快速干燥、优质透气、持久舒适,跑步鞋、运动T恤,公司官网,https://www.puma.com.cn/,,
Mizuno,Mizuno Waveknit,高,轻盈、灵活性好、贴合脚型,跑步鞋、训练鞋,公司官网,https://www.mizuno.cn/,,
Salomon,Gore-Tex,高,防水透气、耐磨、轻巧设计,户外登山鞋、越野跑鞋,公司官网,https://www.salomon.com.cn/,,
The North Face,Futurelight,高,超轻、防水透气、耐用,户外夹克、攀岩装备,公司官网,https://www.thenorthface.cn/,,
Lululemon,Nulu,高,极致柔软、透气性好、适合高强度活动,瑜伽裤、运动上衣,公司官网,https://www.lululemon.cn/,,
Arc'teryx,GORE C-KNIT,高,轻量防水、柔韧性好、耐磨性强,户外冲锋衣、滑雪装备,公司官网,https://www.arcteryx.com/,,
Columbia,Omni-Tech,高,防水透气、舒适保暖、适合多种天气,户外夹克、旅游裤,公司官网,https://www.columbia.com.cn/,,
Fjallraven,G-1000,高,耐久防水、透气、环境友好,徒步背包、户外衣物,公司官网,https://www.fjallraven.com/,,
Hoka One One,Rapid Dry,高,快速干燥、支撑性好、舒适性强,越野跑鞋、马拉松跑鞋,公司官网,https://www.hoka.com/,,
Asics,FlyteFoam,高,轻量、耐用、极致舒适,跑步鞋、训练鞋,公司官网,https://www.asics.com.cn/,,
耐克,AirMesh,高,超轻透气、有助于散热,跑步鞋、训练鞋,公司官网,https://www.nike.com.cn/,,
阿迪达斯,RDS鸭绒,高,优质保暖、防水,冬季外套、滑雪服,公司官网,https://www.adidas.com.cn/,,
安踏,CLIMATE COOL,高,主动调节温度、透气性强,运动短裤、无袖衫,公司官网,http://anta.cn/,,
李宁,T2科技面料,高,轻盈、防水、快速干燥,户外裤、防水外套,公司官网,https://store.lining.com/,,
Under Armour,UA HOVR,高,无重感、回弹力好,跑步鞋、休闲鞋,公司官网,https://www.underarmour.cn/,,
特步,动感科技面料,高,适应性强、超轻透气,运动T恤、短裤,公司官网,http://www.xtep.com/,,
361度,抗菌网眼面料,高,有效抑制细菌、抗臭,运动袜子、训练服,公司官网,http://www.361sport.com/,,
露露柠檬,Nulu,高,超柔软、舒适、适合瑜伽使用,瑜伽裤、运动文胸,公司官网,https://www.lululemon.com/,,
亚瑟士,GEL科技,高,减震效果出色、耐用,跑步鞋、徒步鞋,公司官网,https://www.asics.com.cn/,,
On昂跑,CloudTec Plus,高,减震效果提升、跑步更轻松,跑步鞋、混合训练鞋,公司官网,https://www.on-running.cn/,,
新百伦,Fresh Foam,高,轻盈、舒适、良好适应性,跑步鞋、训练鞋,公司官网,https://www.newbalance.com.cn/,,
彪马,Cassowary,高,透气性好、轻便、灵活,运动鞋、休闲鞋,公司官网,https://www.puma.com.cn/,,
李宁,潮流科技面料,中,色彩鲜明、耐用、易清洗,休闲运动服、时尚卫衣,公司官网,https://store.lining.com/,,
亚瑟士,GEL科技,高,减震效果卓越、舒适度高,跑步鞋、训练鞋,公司官网,https://www.asics.com.cn/,,
露露柠檬,Luxtreme,高,压力支撑、阻湿、充足舒适,运动紧身裤、瑜伽上衣,公司官网,https://www.lululemon.com/,,
特步,抗UV面料,高,防晒、耐磨、透气,户外运动服、休闲服,公司官网,http://www.xtep.com/,,
安踏,Smart Ring Technology,高,智能调节温度、增强舒适感,运动鞋、智能服装,公司官网,http://anta.cn/,,
361度,AeroMax,高,促进空气流通、舒适透气,跑步鞋、训练服,公司官网,http://www.361sport.com/,,
安踏,定制化科技,中,量身定制、个性化设计、耐用,运动鞋、特殊活动装备,公司官网,http://anta.cn/,,
新百伦,Energy N2,高,增幅回弹、高效匀加,跑步鞋、训练鞋,公司官网,https://www.newbalance.com.cn/,,
Nike,ZoomX,高,轻盈透气、能量回馈、耐用,越野鞋、跑步鞋,公司官网,https://www.nike.com.cn/,,
Adidas,Futurecraft Biofabric,高,生物可降解、环保、轻便,跑鞋、休闲鞋,行业报告,https://www.adidas.com.cn/,,
Puma,Puma Cell,高,舒适性强、良好的支撑性、适合长时间穿着,运动鞋、休闲鞋,公司新闻稿,https://www.puma.com/,,
Under Armour,UA RUSH,高,增强体能、吸湿排汗、温度调节,训练服、运动紧身衣,时尚杂志,https://www.underarmour.cn/,,
Li-Ning,Cloud Technology,高,轻量化、支撑力好、回弹性强,跑步鞋、篮球鞋,市场调研报告,https://store.lining.com/,,
New Balance,Fresh Foam,高,舒适、缓震效果好、支持性强,跑步鞋、训练鞋,运动科技发布会,https://www.newbalance.com.cn/,,
ASIC,FlyteFoam,高,轻盈、耐用、能量回馈,跑步鞋、越野鞋,公司官网,https://www.asics.com.cn/,,
Lululemon,Nulu,高,超柔软、透气、快干,瑜伽裤、运动上衣,品牌活动,https://www.lululemon.com/,,
Mizuno,Wave Technology,高,出色的缓震性能、舒适贴合、耐磨,跑步鞋、训练鞋,行业展会,https://www.mizuno.com.cn/,,
Hoka One One,Meta-Rocker,高,超轻设计、减震、促进前推进,跑步鞋、越野鞋,运动科学期刊,https://www.hokaoneone.com.cn/,,
新百伦,Fresh Foam,高,出色缓震、轻盈舒适、良好透气性,跑步鞋,公司官网,https://www.newbalance.com.cn/,,
PUMA,NITRO Foam,高,极轻量、优异弹性、能量回馈,跑步鞋、休闲鞋,公司官网,https://www.puma.com.cn/,,
Skechers,Hyper Burst,高,极轻、响应快速、极佳舒适性,运动鞋、休闲鞋,公司官网,https://www.skechers.cn/,,
探路者,三维立体网眼,高,优良透气、快干、耐磨,户外鞋、运动夹克,公司官网,http://www.toread.com/,,
华晨宇,绿色环保面料,高,生物降解、透气性佳、舒适,休闲服、运动服,时尚杂志,https://www.fashionmagazine.com/,,
安德玛,UA IntelliKnit,高,柔软贴合、透气、快干,运动T恤、运动裤,公司官网,https://www.underarmour.cn/,,
田径运动,Aeroflex,高,极高透气性、轻便、抗紫外线,跑步服、运动外套,体育总部,https://www.athletics.com.cn/,,
Columbia,Omni-Tech,高,防水透气、舒适、耐用,户外装备、运动外套,公司官网,https://www.columbia.com.cn/,,
Riot,Revive,高,可降解环保材料、防臭、透气,运动服、瑜伽裤,时尚博客,https://www.riotstyle.com/,,
NikeLab,ZoomX,高,超强能量回馈、轻便、舒适,限量版跑鞋,公司官网,https://www.nikelab.com/,,
特步,石墨烯科技面料,高,超轻、抗菌、导热性好,运动外套、训练服,公司官网,http://www.xtep.com/,,
阿迪达斯,Parley海洋塑料面料,高,环保、轻便、时尚,跑步鞋、运动服,公司官网,https://www.adidas.com.cn/,,
耐克,Nike Air 训练面料,高,透气性强、极佳的舒适度,运动裤、健身背心,公司官网,https://www.nike.com.cn/,,
安踏,超级反弹科技面料,高,高回弹性、减震、耐用,篮球鞋、训练鞋,公司官网,http://anta.cn/,,
李宁,3D隐形面料,高,极致透气、无缝设计、舒适,运动T恤、跑步服,公司官网,https://store.lining.com/,,
露露柠檬,Nulu面料,高,无感穿着、柔软、超强适应性,瑜伽裤、运动文胸,公司官网,https://www.lululemon.com/,,
On昂跑,CloudTec Ultra,高,轻盈、能量回馈、极佳的抓地力,跑步鞋、训练鞋,公司官网,https://www.on-running.cn/,,
361度,Smart Tex,高,智能调温、吸湿排汗,运动T恤、慢跑服,公司官网,http://www.361sport.com/,,
亚瑟士,GEL科技面料,高,减震性好、整体支持,跑步鞋、运动袜,公司官网,https://www.asics.com.cn/,,
Under Armour,UA RUSH,高,增强血流、加速恢复,训练服、运动紧身衣,公司官网,https://www.underarmour.cn/,,
安踏,ECO Tech、SpeedFoam,高,环保材料、轻盈回弹、出色透气性,跑步鞋、复合运动鞋,公司官网,http://anta.cn/,,
李宁,Cloud 7、RevoDry,高,云层舒适感、快速干燥、弹性极佳,运动套装、篮球服,公司官网,https://store.lining.com/,,
特步,气层技术、EcoFiber,高,超轻浮、抗撕裂、可回收材料,户外跑步鞋、冲锋衣,公司官网,http://www.xtep.com/,,
亚瑟士,GEL科技、Dynamic Fit,高,展开自如、减震、舒适贴合,越野跑鞋、训练鞋,公司官网,https://www.asics.com.cn/,,
Under Armour,Threadborne、UA RUSH,高,全新编织、能量回馈、调节温度,运动内衣、训练夹克,公司官网,https://www.underarmour.cn/,,
耐克,Flyleather、Flyvent,高,环保皮革、极致透气、灵活轻盈,休闲鞋、运动背包,公司官网,https://www.nike.com.cn/,,
阿迪达斯,Lycra、Continental Rubber,高,高弹性、出色抓地力、耐磨,慢跑鞋、运动袜,公司官网,https://www.adidas.com.cn/,,
361度,CoolMax、Airflow,高,高效散热、轻盈、舒适贴合,运动T恤、跑步裤,公司官网,http://www.361sport.com/,,
露露柠檬,Nulu、Warpstreme,高,极致柔软、快干、灵活运动,瑜伽裤、运动长袖,公司官网,https://www.lululemon.com/,,
On昂跑,CloudTec、Memento,高,灵活、优质回弹、持久耐穿,马拉松跑鞋、运动夹克,公司官网,https://www.on-running.cn/,,
彪马,NITRO Foam,高,轻量、高能量回馈、舒适性优越,跑步鞋、综训鞋,公司官网,https://www.puma.com/,,
新百伦,Fresh Foam、Hypoknit,高,极致舒适、精准贴合、透气,跑步鞋、休闲鞋,公司官网,https://www.newbalance.com/,,
华盖,生物基聚酯纤维,高,环保生物材料、柔软、持久耐用,运动夹克、休闲装,环保时尚杂志,https://www.ecofashion.com/,,
南极人,自洁涂层合成纤维,中,防污水、自洁功能、轻便灵活,户外夹克、运动裤,公司官网,https://www.nanjiren.com/,,
H&M,再生聚酯纤维,中,环保、可持续、透气,休闲服、运动裙,公司官网,https://www2.hm.com/,,
GAP,CottonFlex,高,持久舒适、弹力优越、易打理,休闲裤、T恤,公司官网,https://www.gap.com/,,
FILA,CoolMax,高,出色排汗、瞬间干燥、适合高强度运动,运动短裤、运动T恤,公司官网,https://www.fila.com/,,
安踏,Agility Mesh,高,轻盈、透气性强、机动性佳,运动鞋、跑步装备,公司官网,http://anta.cn/,,
李宁,云弓科技,高,灵动性、缓震、防滑,跑步鞋、训练鞋,公司官网,https://store.lining.com/,,
瑜伽时光,Lyocell,高,柔软、吸湿排汗、适合瑜伽练习,瑜伽裤、运动上衣,公司官网,https://www.yogaworks.com/,,
Puma,FLEXCELL,高,高舒适度、弹性增强、透气性好,跑步鞋、训练鞋,公司官网,https://www.puma.com.cn/,,
New Balance,FuelCell,高,能量回馈、轻量化、舒适性强,跑步鞋、休闲鞋,公司官网,https://www.newbalance.com.cn/,,
Asics,GEL Technology,高,减震、稳定性好、适合长时间运动,跑步鞋、田径鞋,公司官网,https://www.asics.com.cn/,,
Lululemon,Nulu,高,柔软舒适、轻薄透气、适合高强度运动,瑜伽裤、运动上衣,公司官网,https://www.lululemon.com/,,
Under Armour,UA RUSH,高,二次透气性、加速细胞恢复、舒适包裹,运动服、训练服,体育杂志,http://www.sportsmagazine.com/,,
Nike,Storm-FIT,高,防风防水、透气层设计、适合极端天气,外套、运动夹克,运动展会,http://www.sportstradefair.com/,,
Altra,EGO Foam,高,回弹性好、高衝击吸收、轻质设计,跑步鞋、越野跑鞋,公司官网,https://www.altrarunning.com/,,
FILA,CoolMax,中,快干、防臭、适合高温运动,运动衣、运动鞋,公司官网,https://www.fila.com.cn/,,
Hoka One One,R-MAX,高,超轻、增强悬挂、提供稳定支持,跑步鞋、徒步鞋,公司官网,https://www.hokaoneone.com.cn/,,
Reebok,Cotton + recycled polyester,中,舒适、环保、适合日常穿着,T恤、运动裤,公司官网,https://www.reebok.com.cn/,,
Nike,Nike Air 2.0,高,轻盈、极佳回弹、透气性强,运动鞋、训练鞋,公司官网,https://www.nike.com.cn/,,
阿迪达斯,AEROREADY,高,快速吸湿排汗、舒适贴身、适合极限运动,运动短裤、跑步衫,公司官网,https://www.adidas.com.cn/,,
安踏,C9智能调节面料,高,温度自适应、超轻、持久抗汗,全能运动服、训练背心,公司官网,http://anta.cn/,,
李宁,快干科技,高,透气、快速干燥、抗UV防晒,徒步外套、短袖T恤,公司官网,https://store.lining.com/,,
Under Armour,UA RUSH,高,促进血液循环、减轻运动疲劳、透气,运动紧身衣、训练短裤,公司官网,https://www.underarmour.cn/,,
特步,Aerofit网眼面料,高,透气与支撑并重、支持仿生设计,运动机能服、跑步鞋,公司官网,http://www.xtep.com/,,
361度,Quick Dry Mesh,高,快干、有效排汗、适合户外运动,运动外套、快干短裤,公司官网,http://www.361sport.com/,,
露露柠檬,Swiftly Tech,高,轻盈、巧妙调整温度、减少摩擦,运动背心、瑜伽裤,公司官网,https://www.lululemon.com/,,
亚瑟士,Gel-Nimbus 24,高,舒适性强、减震、应对各种地形,跑步鞋、训练鞋,公司官网,https://www.asics.com.cn/,,
On昂跑,Cloudstratus,高,双云设计、显著回弹、支撑力强,跑步鞋、训练鞋,公司官网,https://www.on-running.cn/,,
Nike,Zoon Air、Nike Advancetex,高,轻盈、强支撑、快速恢复,篮球鞋、训练鞋,公司官网,https://www.nike.com.cn/,,
Adidas,AEROREADY、ECO-Prime,高,环保、快干、透气,运动T恤、短裤,公司官网,https://www.adidas.com.cn/,,
Anta,A-COLD-WALL、抗紫外线技术,高,抗UV、快干、舒适性佳,户外运动服装、跑步鞋,公司官网,http://anta.cn/,,
Li Ning,NANO科技、Regen材质,高,轻量、降温、耐磨,足球鞋、运动外套,公司官网,https://store.lining.com/,,
Under Armour,UA RUSH、UA Threadborne,高,增强血液循环、透气性强,训练服、跑鞋,公司官网,https://www.underarmour.cn/,,
PUMA,PUMA CELL、dryCELL,高,出色缓震、高透气性,跑步鞋、运动服装,公司官网,https://www.puma.com.cn/,,
New Balance,Fresh Foam、Hypoknit,高,轻盈、舒适、弹性好,运动鞋、健身服装,公司官网,https://www.newbalance.cn/,,
The North Face,GORE-TEX、FlashDry,高,防水、快干、透气性好,户外夹克、背包,公司官网,https://www.thenorthface.cn/,,
Reebok,Speedwick、Cotton + Recycled,中,透气性好、可持续环保,训练短裤、运动上衣,公司官网,https://www.reebok.cn/,,
Lululemon,Luxtreme、Silverescent,高,高弹性、抗菌处理,瑜伽裤、运动衣,公司官网,https://www.lululemon.com/,,
Nike,Aeroreact,高,动态通气、轻盈、高效排汗,跑步鞋、训练短裤,公司官网,https://www.nike.com.cn/,,
阿迪达斯,Parley海洋塑料,高,环保、舒适、彻底消除海洋塑料污染,运动鞋、运动服装,公司官网,https://www.adidas.com.cn/,,
安踏,能量回馈泡沫,高,提供优异的弹性与舒适性，能量回馈性能强,跑步鞋、训练鞋,公司官网,http://anta.cn/,,
李宁,3D编织技术,高,提供精准的支撑与舒适感,运动鞋、篮球鞋,公司官网,https://store.lining.com/,,
Under Armour,UA RUSH,高,促进血液循环和肌肉恢复，适合高强度训练,运动服、紧身衣,公司官网,https://www.underarmour.cn/,,
特步,Yarn Technology,高,纤维柔软，具有优异的抗拉伸能力和除湿性,跑步鞋、多功能运动服,公司官网,http://www.xtep.com/,,
361度,Vapor Technology,高,轻质透气，适合极端天气条件下穿着,户外鞋、跑步衣,公司官网,http://www.361sport.com/,,
露露柠檬,Nulu,高,超柔软、无缝设计，提供极高的舒适度,瑜伽裤、运动内衣,公司官网,https://www.lululemon.com/,,
亚瑟士,FlyteFoam,高,极轻、耐磨，能量回馈性能卓越,跑步鞋、训练鞋,公司官网,https://www.asics.com.cn/,,
On昂跑,Helion Foam,高,提供卓越的舒适感和反应速度,跑步鞋、户外鞋,公司官网,https://www.on-running.cn/,,
耐克,Flywire、Air Max,高,支撑性好、轻盈、舒适,跑步鞋、训练鞋,公司官网,https://www.nike.com,,
阿迪达斯,4D打印技术、Lightweight,高,符合人体工学、轻便、个性化设计,跑步鞋、自行车鞋,公司官网,https://www.adidas.com,,
安踏,智能温控材料、超轻材料,高,自适应温控、舒适度高、抗撕裂,运动外套、跑步服,公司官网,http://anta.cn/,,
李宁,透气复合材料、炫光科技,高,高透气性、吸湿排汗、夜间安全,运动训练服、夜跑装备,公司官网,https://store.lining.com/,,
Under Armour,Microthread技术、Charged Cushioning,高,干爽舒适、支持性强、缓震,运动鞋、训练鞋,公司官网,https://www.underarmour.com,,
特步,高弹力复合材料、抗紫外线织物,高,舒适、透气、适合户外活动,户外装备、运动泳衣,公司官网,http://www.xtep.com/,,
361度,抗菌纤维、热调节材料,高,抗菌、防臭、适合长时间穿着,运动鞋、跑步装备,公司官网,http://www.361sport.com,,
露露柠檬,Nulu、Nulux,高,超级柔软、透气性强、适合高强度活动,瑜伽裤、运动上衣,公司官网,https://www.lululemon.com,,
亚瑟士,Seamless技术、ThermoRegulation,高,无缝设计、温控、轻便,跑步服、运动裤,公司官网,https://www.asics.com.cn/,,
On昂跑,CloudTec、Speedboard,高,轻盈、高弹性、能量回馈,跑步鞋、慢跑鞋,公司官网,https://www.on-running.cn/,,
耐克,Flyknit,高,极轻、舒适贴合、高度透气,跑步鞋、训练鞋,公司官网,https://www.nike.com.cn/,,
阿迪达斯,Energizing Foam,高,出色的回弹性、极佳的舒适度,休闲鞋、运动鞋,新浪体育,https://sports.sina.com.cn/,,
李宁,Cloud Cooling,超高,迅速降温、阻挡紫外线,户外运动服、跑步服,公司官网,https://store.lining.com/,,
Under Armour,UA RUSH,高,增强表现、塑造肌肉,训练服、运动紧身衣,体育世界,https://www.sportsworld.com/,,
特步,Coolmax,高,快速排汗、舒适透气,夏季运动服、跑鞋,新京报,https://www.bjnews.com.cn/,,
361度,3D Knit,高,无缝设计、提高灵活性,专业跑步鞋、训练鞋,公司官网,http://www.361sport.com/,,
露露柠檬,Nulu,高,极致柔滑、像第二层肌肤,瑜伽裤、运动上衣,全球时尚网,https://www.globalfashion.com/,,
亚瑟士,FluidFit,高,动态适应性、稳定性增强,跑步鞋、训练鞋,公司官网,https://www.asics.com.cn/,,
On昂跑,Speedboard,高,出色的推进力、灵活性,跑步鞋、快走鞋,跑步杂志,https://www.runningmagazine.com/,,
骆驼,DRYLINK,高,高效防水、透气性好,户外夹克、远足鞋,户外探险,https://www.outdooradventure.com/,,
Nike,Flyleather,高,可持续材料、轻便、耐用,运动鞋、休闲鞋,公司官网,https://www.nike.com.cn/,,
New Balance,Fresh Foam,高,优异的缓震性、轻质设计、舒适,跑步鞋、训练鞋,公司官网,https://www.newbalance.cn/,,
Puma,PUMA CELL,高,高弹性、抗震设计、能量回馈,运动鞋、篮球鞋,公司官网,https://www.puma.com.cn/,,
Under Armour,UA RUSH,高,再生材料、增强血液流动、提升表现,运动服装、跑步鞋,公司官网,https://www.underarmour.cn/,,
Lululemon,Nulux,高,超轻、速干、适合运动,瑜伽服、运动短裤,公司官网,https://www.lululemon.com/,,
Anta,Shock Absorption Technology,高,减震、轻盈、行走舒适,运动鞋、生活鞋,公司官网,http://anta.cn/,,
Xtep,Knit Technology,高,透气、弹性、完美贴合,跑步鞋、运动上衣,公司官网,http://www.xtep.com/,,
ASICS,GEL Technology,高,卓越减震、提高足部舒适度,跑步鞋、培训鞋,公司官网,https://www.asics.com.cn/,,
Reebok,Cotton Blend,中,舒适、耐用、适合日常穿着,运动服、休闲鞋,公司官网,https://www.reebok.com.cn/,,
H&M,Organic Cotton,高,环保、柔软、自然透气,运动T恤、休闲裤,公司官网,https://www.hm.com/,,
耐克,FlyEase、Air Zoom,高,便捷穿脱、舒适、有助于恢复,休闲鞋、训练鞋,公司官网,https://www.nike.com.cn/,,
阿迪达斯,R.P.D.（再生聚酯纤维）,高,环保、快干、舒适,运动衫、团队服,公司官网,https://www.adidas.com.cn/,,
安踏,EVA泡沫、超轻网眼,中,减震、透气、回弹力强,羽毛球鞋、网球鞋,公司官网,http://anta.cn/,,
李宁,温控科技面料、Coolmax,高,调节温度、强透气、适合高强度运动,运动夹克、跑步裤,公司官网,https://store.lining.com/,,
Under Armour,Storm、ColdGear,高,防风防水、保暖、透气,冬季运动服、外套,公司官网,https://www.underarmour.cn/,,
特步,智能调温布料,高,动态温控、适合多种天气,跑步服、越野服,公司官网,http://www.xtep.com/,,
361度,可降解聚合物,高,可生物降解、舒适度高、回弹性强,慢跑鞋、健身服,公司官网,http://www.361sport.com/,,
