实现方案种类（字符型）,量子比特处理器多少位（数字型）,量子比特间的纠缠或连接程度（字符型）,单量子比特储存时间（数值型）,单位,保真度（数值型）,单位,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
光量子开关,64,中（每个量子比特连接2-3个）,60,微秒,96.5,%,Wired,https://www.wired.com/tag/quantum/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,512,高（每个量子比特连接多个）,400,微秒,99.6,%,Journal of Quantum Science,https://www.journalofquantum.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,1536,中（每个量子比特连接2-3个）,75,微秒,99.2,%,TechCrunch,https://techcrunch.com/tag/quantum-computing/,2024-10-22,,,,,,,,,,,,
混合量子比特,100,低（每个量子比特连接1个）,55,微秒,97,%,PhysRev A,https://journals.aps.org/pra/,2024-10-22,,,,,,,,,,,,
超导量子比特,256,中（每个量子比特连接2-3个）,60,微秒,98.5,%,Nature,https://www.nature.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,7200,高（每个量子比特连接多个）,250,微秒,97.5,%,Physics Today,https://www.physicstoday.org,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,高（每个量子比特连接多个）,400,微秒,99.1,%,Science Advances,https://www.science.org/journal/sciadv,2024-10-22,,,,,,,,,,,,
超导量子比特,128,中（每个量子比特连接2-3个）,80,微秒,99.6,%,IEEE Spectrum,https://spectrum.ieee.org,2024-10-22,,,,,,,,,,,,
光量子比特,100,低（每个量子比特连接1-2个）,30,微秒,96.7,%,Quantum Magazine,https://www.quantummagazine.com,2024-10-22,,,,,,,,,,,,
超导量子比特,350,高（每个逻辑量子位对应100多个物理量子位）,75,微秒,99.2,%,TechCrunch,https://techcrunch.com,2024-10-22,,,,,,,,,,,,
超导量子比特,2000,高（每个逻辑量子位对应1000多个物理量子位）,120,微秒,99.9,%,MIT Technology Review,https://www.technologyreview.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,8000,高（每个量子比特连接多个）,220,微秒,98.2,%,Wired,https://www.wired.com,2024-10-22,,,,,,,,,,,,
超导量子比特,600,中（每个量子比特连接2-3个）,90,微秒,99.4,%,VentureBeat,https://venturebeat.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,30,高（每个量子比特连接多个）,350,微秒,99.3,%,The Verge,https://www.theverge.com,2024-10-22,,,,,,,,,,,,
超导量子比特,256,高（每个量子比特连接多个）,150,微秒,99,%,量子科技网,https://www.quantumtech.com/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,512,中（每个量子比特连接2-3个）,80,微秒,95.5,%,自然科学杂志,https://www.nature.com/nat/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,高（每个量子比特连接多个）,200,微秒,99.5,%,物理学报,https://www.apj.org/physics,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,120,微秒,99.6,%,科技创新日报,https://www.scitechdaily.com/,2024-10-22,,,,,,,,,,,,
光量子比特,128,低（每个量子比特连接1个）,40,微秒,90,%,IEEE通讯,https://www.ieee.org/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3900,高（每个量子比特连接多个）,220,微秒,97,%,物理综述,https://www.physicstoday.org/,2024-10-22,,,,,,,,,,,,
量子点量子比特,350,中（每个量子比特连接2-3个）,60,微秒,98.5,%,瑞士微电子,https://www.swiss-microsystems.ch/,2024-10-22,,,,,,,,,,,,
超导量子比特,3000,低（每个量子比特连接1个）,90,微秒,99.7,%,量子计算研究中心,https://www.qcresearch.org/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,1250,高（每个量子比特连接多个）,180,微秒,99.2,%,前沿科学,https://www.frontierscience.com/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,15,中（每个量子比特连接2-3个）,150,微秒,98.9,%,量子前沿,https://www.quantumfrontier.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,512,高（每个量子比特连接多个）,120,微秒,99.6,%,量子计算前沿,https://quantumfrontiers.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,256,中（每个量子比特连接2-3个）,90,微秒,98.7,%,Nature,https://www.nature.com,2024-10-22,,,,,,,,,,,,
光量子比特,1024,低（每个量子比特连接1个）,30,微秒,95,%,光子学研究,https://www.photonicsresearch.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,高（每个量子比特连接多个）,480,微秒,99.4,%,带电粒子科学,https://ionicscience.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,4500,高（每个量子比特连接多个）,350,微秒,98.5,%,物理学期刊,https://www.physjournal.com,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,150,微秒,99.7,%,美国物理学会,https://aps.org,2024-10-22,,,,,,,,,,,,
超导量子比特,768,中（每个量子比特连接2-3个）,85,微秒,99.1,%,量子技术评论,https://quantumtechreview.com,2024-10-22,,,,,,,,,,,,
量子点量子比特,128,低（每个量子比特连接1个）,110,微秒,97,%,麻省理工学院,https://www.mit.edu,2024-10-22,,,,,,,,,,,,
量子模拟器,100,中（每个量子比特连接2个）,60,微秒,96.5,%,新时代科技,https://newtech.com,2024-10-22,,,,,,,,,,,,
超导量子比特,500,高（每个量子比特连接多个）,75,微秒,99.3,%,前沿科技研究,https://frontierscience.com,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,150,微秒,99.9,%,国家自然科学基金,https://www.nsfc.gov.cn,2024-10-22,,,,,,,,,,,,
拓扑量子比特,512,中（每个量子比特连接2-3个）,80,微秒,97.5,%,Nature,https://www.nature.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,150,高（每个量子比特连接多个）,400,微秒,98.8,%,高能物理研究中心,https://www.ihep.ac.cn,2024-10-22,,,,,,,,,,,,
光量子比特,256,中（每个量子比特连接2-3个）,90,微秒,96.5,%,国际量子信息网络,https://www.iqni.org,2024-10-22,,,,,,,,,,,,
单光子量子比特,320,高（每个量子比特连接多个）,120,微秒,99.6,%,IEEE,https://www.ieee.org,2024-10-22,,,,,,,,,,,,
量子点量子比特,128,中（每个量子比特连接2-3个）,60,微秒,97,%,科学美国人,https://www.scientificamerican.com,2024-10-22,,,,,,,,,,,,
超导量子比特,750,高（每个量子比特连接多个）,200,微秒,99.4,%,哈佛大学量子研究中心,https://quantum.harvard.edu,2024-10-22,,,,,,,,,,,,
量子模拟器,1024,低（每个量子比特连接1-2个）,110,微秒,95,%,物理评论快报,https://journals.aps.org/prl,2024-10-22,,,,,,,,,,,,
光学腔量子比特,960,高（每个量子比特连接多个）,140,微秒,98.5,%,量子通信技术杂志,https://www.qctjournal.com,2024-10-22,,,,,,,,,,,,
超导量子比特,5000,高（每个量子比特连接多个）,300,微秒,99.3,%,中国科学技术大学,https://www.ustc.edu.cn,2024-10-22,,,,,,,,,,,,
拓扑量子比特,512,高（每个量子比特连接多个）,120,微秒,99.4,%,Nature,https://www.nature.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,256,中（每个量子比特连接2-3个）,45,微秒,99.6,%,IEEE Spectrum,https://spectrum.ieee.org/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,高（每个量子比特连接多个）,230,微秒,98.8,%,Harvard University,https://www.seas.harvard.edu/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,8000,高（每个量子比特连接多个）,180,微秒,97.5,%,Quantum Magazine,https://www.quantamagazine.org/,2024-10-22,,,,,,,,,,,,
量子点量子比特,300,中（每个量子比特连接2-3个）,90,微秒,99.1,%,Scientific American,https://www.scientificamerican.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,1024,高（每个逻辑量子位对应1000多个物理量子位）,160,微秒,99.9,%,TechCrunch,https://techcrunch.com/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,2048,中（每个量子比特连接2-3个）,110,微秒,99.2,%,The New York Times,https://www.nytimes.com/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,5000,高（每个量子比特连接多个）,220,微秒,98.2,%,Wired,https://www.wired.com/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,40,高（每个量子比特连接多个）,300,微秒,99.3,%,Physics Today,https://www.physicstoday.org/,2024-10-22,,,,,,,,,,,,
量子点量子比特,150,中（每个量子比特连接2-3个）,75,微秒,99,%,The Guardian,https://www.theguardian.com/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,150,中（每个量子比特连接2-4个）,90,微秒,99.2,%,麻省理工学院,https://www.mit.edu,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,120,微秒,99.9,%,Nature,https://www.nature.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,中（每个量子比特连接2-3个）,250,微秒,98.5,%,物理学报,https://www.physicsjournal.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,8000,高（每个量子比特连接多个）,180,微秒,97.5,%,加州大学伯克利分校,https://www.berkeley.edu,2024-10-22,,,,,,,,,,,,
拓扑量子比特,256,中（每个量子比特连接2-4个）,110,微秒,99,%,IEEE Spectrum,https://spectrum.ieee.org,2024-10-22,,,,,,,,,,,,
超导量子比特,512,高（每个量子比特连接多个）,95,微秒,99.6,%,华盛顿大学,https://www.washington.edu,2024-10-22,,,,,,,,,,,,
光子量子比特,200,中（每个量子比特连接1-2个）,160,微秒,98.2,%,中国科学院,https://www.cas.cn,2024-10-22,,,,,,,,,,,,
离子阱量子比特,30,低（每个量子比特连接1个）,340,微秒,97.8,%,arXiv,https://arxiv.org,2024-10-22,,,,,,,,,,,,
中性原子量子比特,2050,高（每个量子比特连接多个）,210,微秒,99.3,%,Science Advances,https://www.science.org/journal/sciadv,2024-10-22,,,,,,,,,,,,
拓扑量子比特,1024,高（每个量子比特连接多个）,130,微秒,99.4,%,量子科技前沿,https://www.quantumfrontiers.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,520,高（每个量子比特连接多个）,120,微秒,99.2,%,QuantumTech,https://www.quantumtech.com/news,2024-10-22,,,,,,,,,,,,
超导量子比特,256,中（每个量子比特连接2-3个）,60,微秒,99.5,%,科普中国,https://www.kepuchina.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,102,高（每个量子比特连接多个）,400,微秒,98.7,%,Nature Physics,https://www.nature.com/nphys,2024-10-22,,,,,,,,,,,,
中性原子量子比特,8000,高（每个量子比特连接多个）,220,微秒,97.5,%,APS Physics,https://journals.aps.org,2024-10-22,,,,,,,,,,,,
骆驼量子比特,16,低（每个量子比特连接1个）,90,微秒,95,%,科技新闻,https://www.technews.cn,2024-10-22,,,,,,,,,,,,
量子点量子比特,1500,中（每个量子比特连接2-3个）,110,微秒,99.1,%,IEEE Spectrum,https://spectrum.ieee.org,2024-10-22,,,,,,,,,,,,
超导量子比特,900,高（每个逻辑量子位对应1000多个物理量子位）,75,微秒,99.6,%,ResearchGate,https://www.researchgate.net,2024-10-22,,,,,,,,,,,,
碳纳米管量子比特,200,低（每个量子比特连接少于2个）,130,微秒,96,%,arXiv,https://arxiv.org,2024-10-22,,,,,,,,,,,,
超冷原子量子比特,3000,高（每个量子比特连接多个）,250,微秒,98.9,%,Science Advances,https://www.science.org/journal/sciadv,2024-10-22,,,,,,,,,,,,
光量子比特,500,中（每个量子比特连接2-3个）,45,微秒,98.5,%,Physics Today,https://www.physicstoday.org,2024-10-22,,,,,,,,,,,,
超导量子比特,256,中（每个量子比特连接2-3个）,85,微秒,99.4,%,清华大学研究所,https://www.tsinghua.edu.cn,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,高（每个量子比特连接多个）,340,微秒,99.1,%,亚马逊量子实验室,https://aws.amazon.com/quantum,2024-10-22,,,,,,,,,,,,
拓扑量子比特,128,中（每个量子比特连接2-3个）,150,微秒,98.5,%,中国科学技术大学,https://www.ustc.edu.cn,2024-10-22,,,,,,,,,,,,
超导量子比特,512,高（每个量子比特连接多个）,120,微秒,99.2,%,Google量子AI,https://quantumai.google,2024-10-22,,,,,,,,,,,,
中性原子量子比特,4000,高（每个量子比特连接多个）,220,微秒,97.5,%,麻省理工学院,https://www.mit.edu,2024-10-22,,,,,,,,,,,,
微波量子比特,96,低（每个量子比特连接1-2个）,60,微秒,98.9,%,Nature期刊,https://www.nature.com,2024-10-22,,,,,,,,,,,,
光量子比特,72,中（每个量子比特连接2-3个）,45,微秒,99.3,%,光通讯研究所,https://www.lightcomm.org,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,110,微秒,99.6,%,阿里巴巴量子实验室,https://www.aliyun.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,30,高（每个量子比特连接多个）,280,微秒,98.8,%,美国国家科学基金会,https://www.nsf.gov,2024-10-22,,,,,,,,,,,,
量子点量子比特,150,低（每个量子比特连接1-2个）,95,微秒,99,%,IEEE通信与量子信息技术,https://www.ieee.org,2024-10-22,,,,,,,,,,,,
光量子比特,512,中（每个量子比特连接2-3个）,55,微秒,98.7,%,Nature,https://www.nature.com/nature/,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,120,微秒,99,%,IEEE Spectrum,https://spectrum.ieee.org/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,64,中（每个量子比特连接2-3个）,150,微秒,97.5,%,AAAS,https://www.sciencemag.org/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,5000,高（每个量子比特连接多个）,220,微秒,98.2,%,Physics Today,https://www.physicstoday.org/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,低（每个量子比特连接1个）,280,微秒,99.1,%,Scientific American,https://www.scientificamerican.com/,2024-10-22,,,,,,,,,,,,
光量子比特,256,中（每个量子比特连接2-3个）,80,微秒,98.9,%,The Verge,https://www.theverge.com/,2024-10-22,,,,,,,,,,,,
拓扑量子比特,128,高（每个量子比特连接多个）,170,微秒,97.8,%,MIT Technology Review,https://www.technologyreview.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,1500,高（每个量子比特连接多个）,90,微秒,99.4,%,Wired,https://www.wired.com/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,800,高（每个量子比特连接多个）,240,微秒,98.3,%,Forbes,https://www.forbes.com/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,35,低（每个量子比特连接1个）,150,微秒,98.5,%,Quartz,https://qz.com/,2024-10-22,,,,,,,,,,,,
光量子计算,256,中（每个量子比特连接2-3个）,75,微秒,98.5,%,技术前沿,https://www.techfrontier.com,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,150,微秒,99.2,%,未来科技,https://www.futuretech.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,高（每个量子比特连接多个）,120,微秒,98,%,量子产业观察,https://www.qindustrywatch.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3300,中（每个量子比特连接2-3个）,180,微秒,97.5,%,量子计算研究所,https://www.qcresearchinstitut.com,2024-10-22,,,,,,,,,,,,
超导量子比特,750,中（每个量子比特连接2-3个）,60,微秒,99.1,%,科学进展,https://www.scienceprogress.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,128,高（每个量子比特连接多个）,90,微秒,99.6,%,量子前沿,https://www.quantumfrontier.com,2024-10-22,,,,,,,,,,,,
超导量子比特,1024,高（每个量子比特连接多个）,80,微秒,99.3,%,量子创新联盟,https://www.quantuminnovationalliance.com,2024-10-22,,,,,,,,,,,,
离子阱量子比特,100,中（每个量子比特连接2-3个）,200,微秒,98.8,%,量子计算前沿,https://www.quantumcomputingfrontier.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,512,高（每个量子比特连接多个）,300,微秒,97,%,电气与电子工程杂志,https://www.ieee.org,2024-10-22,,,,,,,,,,,,
光量子计算,2048,高（每个量子比特连接多个）,65,微秒,99.9,%,量子科技日报,https://www.quantumtechnologydaily.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,256,中（每个量子比特连接2-3个）,80,微秒,98.9,%,量子技术前沿,https://www.quantumtechfrontiers.com,2024-10-22,,,,,,,,,,,,
超导量子比特,100,高（每个量子比特连接多个）,95,微秒,99.5,%,Nature,https://www.nature.com/subjects/quantum-computing,2024-10-22,,,,,,,,,,,,
光学量子比特,512,高（每个量子比特连接多个）,120,微秒,99,%,科学美国人,https://www.scientificamerican.com/quantum-computing/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,30,高（每个量子比特连接多个）,250,微秒,99.2,%,量子计算研究所,https://www.quantumresearchinstitute.org,2024-10-22,,,,,,,,,,,,
扩展量子比特,2048,高（每个量子比特连接多个）,300,微秒,98.7,%,IEEE,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-22,,,,,,,,,,,,
量子点量子比特,440,中（每个量子比特连接2-3个）,40,微秒,99.4,%,物理评论快报,https://journals.aps.org/prl/,2024-10-22,,,,,,,,,,,,
超导量子比特,900,高（每个量子比特连接多个）,150,微秒,99.6,%,科技创新论坛,https://www.techinnovationforum.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3450,高（每个量子比特连接多个）,180,微秒,97.5,%,量子计算前沿,https://www.quantumcomputingfrontiers.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,89,中（每个量子比特连接2-3个）,55,微秒,98.5,%,量子科技创新,https://www.quantumtechnologyinnovation.com,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,120,微秒,99.9,%,Nature,https://www.nature.com/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,53,中（每个量子比特连接2-3个）,250,微秒,98.5,%,量子计算网,https://www.quantumcomputingreport.com/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,8000,高（每个量子比特连接多个）,180,微秒,97,%,IEEE Spectrum,https://spectrum.ieee.org/,2024-10-22,,,,,,,,,,,,
超导量子比特,512,中（每个量子比特连接2-3个）,90,微秒,99.6,%,MIT Technology Review,https://www.technologyreview.com/,2024-10-22,,,,,,,,,,,,
光量子比特,120,低（每个量子比特连接1个）,40,微秒,95.5,%,量子时代,https://www.quantumtime.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,1496,高（每个量子比特连接多个）,130,微秒,99.4,%,Physics Today,https://www.physicstoday.org/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,35,高（每个量子比特连接多个）,310,微秒,98.8,%,ScienceAlert,https://www.sciencealert.com/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,4500,中（每个量子比特连接2-3个）,220,微秒,96.5,%,TechCrunch,https://techcrunch.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,300,中（每个量子比特连接2-3个）,75,微秒,99.2,%,Quanta Magazine,https://www.quantamagazine.org/,2024-10-22,,,,,,,,,,,,
光量子比特,270,低（每个量子比特连接1个）,65,微秒,94,%,TechNode,https://technode.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,256,中（每个量子比特连接2-3个）,65,微秒,99.6,%,量子科技网,https://www.quantumtechnews.com/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,15,高（每个量子比特连接多个）,320,微秒,98.7,%,清华大学研究所,https://www.tsinghua.edu.cn/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,7850,中（每个量子比特连接2-3个）,150,微秒,97.2,%,国家自然科学基金,https://www.nsfc.gov.cn/,2024-10-22,,,,,,,,,,,,
超导量子比特,450,高（每个逻辑量子位对应500多个物理量子位）,90,微秒,99.4,%,中国科学技术协会,https://www.cast.org.cn/,2024-10-22,,,,,,,,,,,,
超导量子比特,1024,中（每个量子比特连接2-3个）,80,微秒,99.1,%,麻省理工学院,https://www.mit.edu/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,30,高（每个量子比特连接多个）,280,微秒,98.9,%,阿里巴巴量子实验室,https://quantum.alibaba.com/,2024-10-22,,,,,,,,,,,,
中性原子量子比特,5000,高（每个量子比特连接多个）,250,微秒,97.8,%,人工智能研究院,https://www.airesearch.org/,2024-10-22,,,,,,,,,,,,
超导量子比特,800,中（每个量子比特连接2-3个）,60,微秒,99.3,%,物联网技术与应用,https://www.iot-apps.com/,2024-10-22,,,,,,,,,,,,
离子阱量子比特,10,高（每个量子比特连接多个）,310,微秒,99.2,%,新浪科技,https://tech.sina.com.cn/,2024-10-22,,,,,,,,,,,,
超导量子比特,120,中（每个量子比特连接2-3个）,75,微秒,99.5,%,中国电子科技集团,https://www.cetc.com/,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,120,微秒,99.6,%,Nature,https://www.nature.com/articles,2024-10-22,,,,,,,,,,,,
拓扑量子比特,256,中（每个量子比特连接2-3个）,65,微秒,97.5,%,MIT News,https://news.mit.edu,2024-10-22,,,,,,,,,,,,
光子量子比特,512,中（每个量子比特连接2-3个）,80,微秒,98.8,%,IEEE Spectrum,https://spectrum.ieee.org,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,高（每个量子比特连接多个）,350,微秒,99.1,%,Quanta Magazine,https://www.quantamagazine.org,2024-10-22,,,,,,,,,,,,
超导量子比特,1024,高（每个逻辑量子位对应1000多个物理量子位）,130,微秒,99.3,%,New Scientist,https://www.newscientist.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,8000,高（每个量子比特连接多个）,250,微秒,98.2,%,American Physical Society,https://aps.org,2024-10-22,,,,,,,,,,,,
量子点量子比特,128,中（每个量子比特连接2-3个）,90,微秒,99,%,Science Advances,https://advances.sciencemag.org,2024-10-22,,,,,,,,,,,,
超导量子比特,500,高（每个量子比特连接多个）,110,微秒,99.4,%,科技日报,https://www.stdaily.com,2024-10-22,,,,,,,,,,,,
光子量子比特,750,高（每个量子比特连接多个）,150,微秒,99.5,%,Wired,https://www.wired.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,4500,低（每个量子比特连接少于2个）,220,微秒,97.8,%,Physical Review Letters,https://journals.aps.org/prl/,2024-10-22,,,,,,,,,,,,
光量子比特,256,高（每个量子比特连接多个）,150,微秒,98.5,%,Nature,https://www.nature.com,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,中（每个量子比特连接2-3个）,80,微秒,99.6,%,IEEE Spectrum,https://spectrum.ieee.org,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,低（每个量子比特连接1-2个）,550,微秒,97.2,%,MIT Technology Review,https://www.technologyreview.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,128,高（每个量子比特连接多个）,200,微秒,99.1,%,Wired,https://www.wired.com,2024-10-22,,,,,,,,,,,,
中性原子量子比特,1000,中（每个量子比特连接2-3个）,300,微秒,98.3,%,科技日报,https://www.stdaily.com,2024-10-22,,,,,,,,,,,,
光学量子比特,500,高（每个量子比特连接多个）,120,微秒,99.4,%,Physics Today,https://www.physicstoday.org,2024-10-22,,,,,,,,,,,,
超导量子比特,150,低（每个量子比特连接1-2个）,60,微秒,99,%,华尔街日报,https://www.wsj.com,2024-10-22,,,,,,,,,,,,
量子点量子比特,300,中（每个量子比特连接2-3个）,90,微秒,98.8,%,New Scientist,https://www.newscientist.com,2024-10-22,,,,,,,,,,,,
超导量子比特,3000,高（每个逻辑量子位对应1000多个物理量子位）,95,微秒,99.7,%,科技前沿,https://www.techfrontier.cn,2024-10-22,,,,,,,,,,,,
量子计算机核心架构,512,高（每个量子比特连接多个）,250,微秒,99.2,%,TechCrunch,https://techcrunch.com,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,150,微秒,99.6,%,量子科学研究中心,https://www.quantumresearch.org,2024-10-22,,,,,,,,,,,,
拓扑量子比特,512,中（每个量子比特连接2-3个）,80,微秒,98.5,%,Nature Physics,https://www.nature.com/nphys,2024-10-22,,,,,,,,,,,,
光量子比特,300,高（每个量子比特连接多个）,120,微秒,99.2,%,光子学杂志,https://www.journalofphotonics.com,2024-10-22,,,,,,,,,,,,
冷原子量子比特,2560,高（每个量子比特连接多个）,180,微秒,99,%,APS Physics,https://www.aps.org/publications/aps-physics.cfm,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,中（每个量子比特连接2-3个）,250,微秒,99.4,%,Science Magazine,https://www.sciencemag.org,2024-10-22,,,,,,,,,,,,
超导量子比特,1205,高（每个量子比特连接多个）,60,微秒,99.1,%,IEEE Xplore,https://ieeexplore.ieee.org,2024-10-22,,,,,,,,,,,,
光子量子比特,100,高（每个量子比特连接多个）,65,微秒,99.3,%,量子计算周刊,https://www.quantumweekly.com,2024-10-22,,,,,,,,,,,,
量子点量子比特,220,中（每个量子比特连接2-3个）,45,微秒,98.8,%,Science Advances,https://www.science.org/journal/sciadv,2024-10-22,,,,,,,,,,,,
离子阱量子比特,30,高（每个量子比特连接多个）,320,微秒,99.9,%,Quantum Today,https://www.quantumtoday.com,2024-10-22,,,,,,,,,,,,
超导量子比特,750,中（每个量子比特连接2-3个）,95,微秒,99.5,%,MIT Technology Review,https://www.technologyreview.com,2024-10-22,,,,,,,,,,,,
光子量子比特,840,高（每个量子比特连接多个）,150,微秒,99.6,%,量子科技国际,https://www.quantumtechint.com,2024-10-22,,,,,,,,,,,,
超导量子比特,256,中（每个量子比特连接2-3个）,60,微秒,99.4,%,电子工程专辑,https://www.eepw.com.cn,2024-10-22,,,,,,,,,,,,
冷原子量子比特,1300,高（每个量子比特连接多个）,250,微秒,98.5,%,清华大学量子研究中心,https://www.tsinghua.edu.cn,2024-10-22,,,,,,,,,,,,
顶点量子比特,400,高（每个量子比特连接多个）,80,微秒,97,%,未来科技日报,https://www.futuretech.com,2024-10-22,,,,,,,,,,,,
超导量子比特,512,高（每个量子比特连接多个）,120,微秒,99.9,%,量子信息科学研究院,https://www.qis.science,2024-10-22,,,,,,,,,,,,
离子阱量子比特,15,中（每个量子比特连接2-3个）,180,微秒,98.8,%,中科院物理研究所,https://www.iop.cas.cn,2024-10-22,,,,,,,,,,,,
中性原子量子比特,7500,高（每个量子比特连接多个）,400,微秒,96.5,%,华盛顿大学量子计算实验室,https://www.washington.edu,2024-10-22,,,,,,,,,,,,
超导量子比特,300,高（每个量子比特连接多个）,140,微秒,99.3,%,国家量子实验室,https://www.nationalquantumlab.org,2024-10-22,,,,,,,,,,,,
电子自旋量子比特,180,中（每个量子比特连接2-3个）,110,微秒,98.2,%,新智元,https://www.newsmart.com,2024-10-22,,,,,,,,,,,,
超导量子比特,2048,高（每个量子比特连接多个）,120,微秒,99.9,%,清华大学量子研究所,https://www.thu.edu.cn/research/quantum,2024-10-22,,,,,,,,,,,,
光量子比特,256,中（每个量子比特连接2-3个）,80,微秒,98.5,%,Nature Physics,https://www.nature.com/nphys,2024-10-22,,,,,,,,,,,,
超导量子比特,512,高（每个量子比特连接多个）,150,微秒,99.6,%,中科院量子信息与量子科技创新研究院,https://www.iqi.cas.cn,2024-10-22,,,,,,,,,,,,
离子阱量子比特,50,中（每个量子比特连接2-3个）,260,微秒,99.2,%,华为技术有限公司,https://www.huawei.com/cn/technology/quantum,2024-10-22,,,,,,,,,,,,
中性原子量子比特,3700,高（每个量子比特连接多个）,180,微秒,97.8,%,MIT Technology Review,https://www.technologyreview.com,2024-10-22,,,,,,,,,,,,
拓扑量子比特,128,低（每个量子比特连接1个）,30,微秒,96.5,%,斯坦福大学量子实验室,https://quantum.stanford.edu,2024-10-22,,,,,,,,,,,,
超导量子比特,1024,高（每个量子比特连接多个）,110,微秒,99.4,%,Google Quantum AI,https://quantumai.google,2024-10-22,,,,,,,,,,,,
光量子比特,180,中（每个量子比特连接2-3个）,90,微秒,98.7,%,今日头条科学版,https://www.toutiao.com,2024-10-22,,,,,,,,,,,,
超导量子比特,2560,高（每个量子比特连接多个）,140,微秒,99.8,%,量子计算前沿,https://quantumcomputingnews.com,2024-10-22,,,,,,,,,,,,
顶尖量子比特,256,高（每个量子比特连接多个）,120,微秒,99.9,%,量子未来研究所,https://www.quantumfuture.org,2024-10-22,,,,,,,,,,,,
