量子计算应用的市场规模（字符型）,应用场景类型（字符型）,领域（字符型）,算法（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,,
15亿美元,风险评估,保险,QML,PwC,https://www.pwc.com/,2024-10-22,,,,,,,,,,,,,
45亿美元,预测分析,电信,QPE,Gartner,https://www.gartner.com/,2024-10-22,,,,,,,,,,,,,
28亿人民币,智能城市,城市规划,QKD,清华-普华永道研究所,https://www.pwc.com/cn/,2024-10-22,,,,,,,,,,,,,
50亿美元,金融建模,投资,QAOA,Forrester Research,https://go.forrester.com/,2024-10-22,,,,,,,,,,,,,
超过15.3亿美元,金融预测,保险,QAM（量子算法模型）,MarketsandMarkets,https://www.marketsandmarkets.com/,2024-10-22,,,,,,,,,,,,,
70亿元（人民币）,药物开发,制药,QSP（量子态制备）,智研咨询,https://www.askci.com/,2024-10-22,,,,,,,,,,,,,
10亿美元,农作物优化,农业,QFT（量子傅里叶变换）,Research and Markets,https://www.researchandmarkets.com/,2024-10-22,,,,,,,,,,,,,
35亿美元,智能合约,区块链技术,QKD（量子密钥分发）,Gartner,https://www.gartner.com/,2024-10-22,,,,,,,,,,,,,
22.9亿美元,气候模型,环保,RQO（鲁棒量子优化）,BCC Research,https://www.bccresearch.com/,2024-10-22,,,,,,,,,,,,,
87亿元（人民币）,计算机安全,网络安全,D-Wave系统,Counterpoint Research,https://www.counterpointresearch.com/,2024-10-22,,,,,,,,,,,,,
25亿美元,图像识别,安防,QML（量子机器学习）,IDTechEx,https://www.idtechex.com/,2024-10-22,,,,,,,,,,,,,
30.5亿美元,材料科学,纳米技术,VQE（变分量子特征求解器）,Allied Market Research,https://www.alliedmarketresearch.com/,2024-10-22,,,,,,,,,,,,,
约50亿美元,交通流量优化,智能交通,BB84（量子密钥分发协议）,Frost & Sullivan,https://www.frost.com/,2024-10-22,,,,,,,,,,,,,
40亿美元,通用量子计算,科技,HHL（量子HHL算法）,The Business Research Company,https://www.thebusinessresearchcompany.com/,2024-10-22,,,,,,,,,,,,,
超过25亿美元,供应链优化,物流与运输,QAOA,Statista,https://www.statista.com/topics/3960/quantum-computing/,2024-10-22,,,,,,,,,,,,,
15.75亿元（人民币）,密码学,信息技术,QKD（量子密钥分发）,艾瑞咨询,https://www.iresearch.com.cn/,2024-10-22,,,,,,,,,,,,,
32亿美元,材料科学,纳米技术,VQE,Gartner,https://www.gartner.com/en/information-technology,2024-10-22,,,,,,,,,,,,,
超过10亿美元,气候模拟,环境科学,QPE（量子相位估计）,McKinsey & Company,https://www.mckinsey.com/,2024-10-22,,,,,,,,,,,,,
22.3亿元（人民币）,金融风险评估,保险,QML（量子机器学习）,CICC,https://www.cicc.com/,2024-10-22,,,,,,,,,,,,,
42亿美元,药物发现,生物技术,QAOA,Deloitte,https://www2.deloitte.com/,2024-10-22,,,,,,,,,,,,,
5.9亿美元,市场预测,零售,QML,Forrester Research,https://go.forrester.com/,2024-10-22,,,,,,,,,,,,,
78.4亿元（人民币）,智能城市管理,城市规划,VQE,Frost & Sullivan,https://ww2.frost.com/,2024-10-22,,,,,,,,,,,,,
12.6亿美元,保护隐私计算,数据安全,QKD,Quantum Economic Development Consortium,https://qedconsortium.org/,2024-10-22,,,,,,,,,,,,,
30亿美元,图像分析,媒体与娱乐,QML,Technavio,https://www.technavio.com/,2024-10-22,,,,,,,,,,,,,
超过24亿美元,金融交易优化,金融,QAOA（量子近似优化算法）,Gartner,https://www.gartner.com/en/research,2024-10-22,,,,,,,,,,,,,
22.5亿元（人民币）,供应链管理,物流,VQE（变分量子特征求解器）,Statista,https://www.statista.com/,2024-10-22,,,,,,,,,,,,,
45亿美元,密码学与安全,科技,QKD（量子密钥分发）,Bloomberg,https://www.bloomberg.com/,2024-10-22,,,,,,,,,,,,,
35亿美元,气候建模,环境科学,QPE（量子相位估计）,Nature,https://www.nature.com/,2024-10-22,,,,,,,,,,,,,
5.67亿美元,药物发现,制药,QML（量子机器学习）,Pharmaceutical Research,https://link.springer.com/journal/11095,2024-10-22,,,,,,,,,,,,,
30亿美元,量子算法研发,计算机科学,QAOA,IEEE Spectrum,https://spectrum.ieee.org/,2024-10-22,,,,,,,,,,,,,
12.8亿美元,金融市场预测,金融,QML（量子机器学习）,McKinsey & Company,https://www.mckinsey.com/,2024-10-22,,,,,,,,,,,,,
99亿美元,智能城市解决方案,城市规划,VQE（变分量子特征求解器）,Forbes,https://www.forbes.com/,2024-10-22,,,,,,,,,,,,,
18亿美元,预测分析,营销,QPE（量子相位估计）,Deloitte,https://www2.deloitte.com/,2024-10-22,,,,,,,,,,,,,
55亿美元,复杂系统模拟,物理研究,QKD（量子密钥分发）,Physics Today,https://www.physicstoday.org/,2024-10-22,,,,,,,,,,,,,
75亿美元,图像识别,科技与通信,QGAN（量子生成对抗网络）,McKinsey & Company,https://www.mckinsey.com/featured-insights,2024-10-22,,,,,,,,,,,,,
10.2亿美元,密码学,金融服务,QKD（量子密钥分发）,Gartner,https://www.gartner.com/en/information-technology,2024-10-22,,,,,,,,,,,,,
68亿元（人民币）,量子模拟,材料科学,QSVM（量子支持向量机）,未来市场研究,https://www.futuremarketinsights.com/,2024-10-22,,,,,,,,,,,,,
超越23亿美元,网络安全,信息技术,LWE（学习者 旨在量子游戏中的稀疏矩阵）,Forrester Research,https://go.forrester.com/research/,2024-10-22,,,,,,,,,,,,,
5.5亿美元,药物发现,生物医药,QPE（量子相位估计）,Bloomberg,https://www.bloomberg.com/technology,2024-10-22,,,,,,,,,,,,,
45亿美元,供应链优化,物流与运输,VQE（变分量子特征求解器）,Statista,https://www.statista.com/,2024-10-22,,,,,,,,,,,,,
92亿元（人民币）,天气预测,气象科学,QML（量子机器学习）,Accenture,https://www.accenture.com/us-en,2024-10-22,,,,,,,,,,,,,
30亿美元,风险评估,保险,QAOA（量子近似优化算法）,Deloitte Insights,https://www2.deloitte.com/us/en/insights.html,2024-10-22,,,,,,,,,,,,,
20.6亿美元,智能合约,区块链,QDA（量子线性判别分析）,CoinDesk,https://www.coindesk.com/,2024-10-22,,,,,,,,,,,,,
超过50亿美元,人工智能优化,农业科技,QNN（量子神经网络）,Bain & Company,https://www.bain.com/,2024-10-22,,,,,,,,,,,,,
超过15亿美元,量子安全通信,金融,QKD（量子密钥分发）,Market Research Future,https://www.marketresearchfuture.com,2024-10-22,,,,,,,,,,,,,
65亿元（人民币）,天气预测,气象,QPE（量子相位估计）,Research and Markets,https://www.researchandmarkets.com,2024-10-22,,,,,,,,,,,,,
25亿美元,药物开发,生物制药,QAOA,PR Newswire,https://www.prnewswire.com,2024-10-22,,,,,,,,,,,,,
55亿美元,智能交通系统,运输,量子机器学习,Gartner,https://www.gartner.com,2024-10-22,,,,,,,,,,,,,
超过30亿美元,网络优化,电信,VQE（变分量子特征求解器）,Forrester Research,https://go.forrester.com,2024-10-22,,,,,,,,,,,,,
75亿美元,金融风险分析,保险,量子近似优化算法,McKinsey & Company,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
20亿美元,人工智能训练,科技,QML（量子机器学习）,IDC,https://www.idc.com,2024-10-22,,,,,,,,,,,,,
90亿元（人民币）,电网数据分析,能源,QPE,Frost & Sullivan,https://www.frost.com,2024-10-22,,,,,,,,,,,,,
34亿美元,供应链优化,物流,GROVER（量子搜索算法）,Statista,https://www.statista.com,2024-10-22,,,,,,,,,,,,,
60亿美元,材料科学,新材料,量子近似优化算法,Bloomberg,https://www.bloomberg.com,2024-10-22,,,,,,,,,,,,,
超过30亿美元,供应链优化,物流与运输,QAOA,McKinsey & Company,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
57亿元（人民币）,气候模拟,环境科学,QSVM（量子支持向量机）,国际气候变化报告,https://www.ipcc.ch,2024-10-22,,,,,,,,,,,,,
25亿美元,材料设计,新能源,QPE,BloombergNEF,https://about.bnef.com,2024-10-22,,,,,,,,,,,,,
18.2亿美元,金融风险分析,保险,QML,Deloitte Insights,https://www2.deloitte.com,2024-10-22,,,,,,,,,,,,,
99亿元（人民币）,工业自动化,制造业,QAOA,中国电子报,https://www.cena.com.cn,2024-10-22,,,,,,,,,,,,,
66亿美元,网络安全,信息技术,QKD,Forrester Research,https://go.forrester.com,2024-10-22,,,,,,,,,,,,,
32.5亿美元,精准医疗,生物技术,VQE,MarketResearch.com,https://www.marketresearch.com,2024-10-22,,,,,,,,,,,,,
12亿美元,能源管理,能源与公用事业,QML,Energy Information Administration,https://www.eia.gov,2024-10-22,,,,,,,,,,,,,
83亿元（人民币）,智能合约,区块链技术,QKD,CoinDesk,https://www.coindesk.com,2024-10-22,,,,,,,,,,,,,
40亿美元,高频交易,金融,QAOA,ResearchAndMarkets,https://www.researchandmarkets.com,2024-10-22,,,,,,,,,,,,,
超過25.0亿美元,量子优化,运输与物流,QAOA,Market Research Future,https://www.marketresearchfuture.com/,2024-10-22,,,,,,,,,,,,,
约64亿元（人民币）,智能合约,金融技术,量子密钥分发（QKD）,智东西,https://www.zhidx.com/,2024-10-22,,,,,,,,,,,,,
13亿美元,量子模拟,新材料研发,VQE（变分量子特征求解器）,MarketsandMarkets,https://www.marketsandmarkets.com/,2024-10-22,,,,,,,,,,,,,
34.8亿美元,风险分析,保险,QML（量子机器学习）,McKinsey & Company,https://www.mckinsey.com/,2024-10-22,,,,,,,,,,,,,
20亿元（人民币）,量子传感,环境监测,量子相位估计,清华大学量子计算研究中心,https://www.tsinghua.edu.cn/,2024-10-22,,,,,,,,,,,,,
15.7亿美元,天然语言处理,信息技术,量子支持向量机,Gartner,https://www.gartner.com/,2024-10-22,,,,,,,,,,,,,
超過12亿美元,防欺诈,电子支付,量子聚类,Forrester Research,https://go.forrester.com/,2024-10-22,,,,,,,,,,,,,
50亿美元,图像识别,安全监控,量子卷积神经网络,Statista,https://www.statista.com/,2024-10-22,,,,,,,,,,,,,
约72亿元（人民币）,量子计算云服务,计算服务,混合量子经典算法,IDC报告,https://www.idc.com/,2024-10-22,,,,,,,,,,,,,
25亿美元,金融市场预测,投资管理,量子模拟算法,Boston Consulting Group,https://www.bcg.com/,2024-10-22,,,,,,,,,,,,,
超过15.2亿美元,金融风险管理,金融,QAOA（量子近似优化算法）,Grand View Research,https://www.grandviewresearch.com/industry-analysis/quantum-computing-market,2024-10-22,,,,,,,,,,,,,
50亿元（人民币）,材料科学模拟,制造业,SQC（量子自适应计算）,CN Tech Report,https://www.cntechreport.com/research/2023,2024-10-22,,,,,,,,,,,,,
4.27亿美元,网络安全,信息技术,QKD（量子密钥分发）,TechCrunch,https://techcrunch.com/category/quantum-computing,2024-10-22,,,,,,,,,,,,,
23亿美元,药物发现,生物医药,QPE（量子相位估计）,Statista,https://www.statista.com/topics/3314/quantum-computing,2024-10-22,,,,,,,,,,,,,
12.8亿美元,智能合约,区块链,VQE（变分量子特征求解器）,Forbes,https://www.forbes.com/quantum-computing,2024-10-22,,,,,,,,,,,,,
90.5亿元（人民币）,气候模型,环境科学,QML（量子机器学习）,Nature Reviews,https://www.nature.com/natrev/Qit,2024-10-22,,,,,,,,,,,,,
22亿美元,数据隐私,法律与合规,QKD（量子密钥分发）,MIT Technology Review,https://www.technologyreview.com/quantum,2024-10-22,,,,,,,,,,,,,
超过33亿美元,交通优化,物流,QAOA,McKinsey,https://www.mckinsey.com/industries/quantum-computing,2024-10-22,,,,,,,,,,,,,
16亿美元,供应链管理,制造业,QML（量子机器学习）,Market Research Future,https://www.marketresearchfuture.com/quantum-computing-market,2024-10-22,,,,,,,,,,,,,
38亿美元,自然语言处理,信息技术,QNN（量子神经网络）,Gartner,https://www.gartner.com/en/information-technology/quantum-computing,2024-10-22,,,,,,,,,,,,,
超过25.5亿美元,金融建模,金融,QAOA,MarketsandMarkets,https://www.marketsandmarkets.com,2024-10-22,,,,,,,,,,,,,
3.2亿元（人民币）,药物发现,制药,QPE,药物研发日报,https://www.drugdevreport.com,2024-10-22,,,,,,,,,,,,,
14亿美元,优化算法,物流,VQE,Deloitte Insights,https://www2.deloitte.com,2024-10-22,,,,,,,,,,,,,
90亿元（人民币）,气候建模,环境科学,QML,Environmental Research Letters,https://iopscience.iop.org/journal/1748-9326,2024-10-22,,,,,,,,,,,,,
11.7亿美元,数据加密,信息安全,QKD,Gartner,https://www.gartner.com,2024-10-22,,,,,,,,,,,,,
9200万美元,量子图像处理,传媒,QML,TechCrunch,https://techcrunch.com,2024-10-22,,,,,,,,,,,,,
59亿美元,材料科学,电子,QAOA,McKinsey & Company,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
25亿元（人民币）,复杂系统模拟,航空航天,QPE,日经亚洲评论,https://asia.nikkei.com,2024-10-22,,,,,,,,,,,,,
7.5亿美元,网络安全,技术服务,QKD,Frost & Sullivan,https://www.frost.com,2024-10-22,,,,,,,,,,,,,
4.6亿美元,供应链优化,制造业,VQE,Forrester Research,https://go.forrester.com,2024-10-22,,,,,,,,,,,,,
约15亿美元,网络安全,金融服务,QKD（量子密钥分发）,Gartner,https://www.gartner.com/en/information-technology,2024-10-22,,,,,,,,,,,,,
12.7亿元（人民币）,量子模拟,药物研发,QPE（量子相位估计）,普华永道,https://www.pwc.com/gx/en/services/consulting.html,2024-10-22,,,,,,,,,,,,,
25亿美元,密码学,政府与国防,Quantum Cryptography,MIT Technology Review,https://www.technologyreview.com/,2024-10-22,,,,,,,,,,,,,
60.8亿元（人民币）,供应链优化,物流,QAOA（量子近似优化算法）,KPMG,https://home.kpmg/xx/en/home.html,2024-10-22,,,,,,,,,,,,,
18.2亿美元,气候建模,环境科学,QML（量子机器学习）,McKinsey & Company,https://www.mckinsey.com/,2024-10-22,,,,,,,,,,,,,
37亿美元,金融预测,投资,VQE（变分量子特征求解器）,Quantiam Technologies,https://www.quantiam.com/,2024-10-22,,,,,,,,,,,,,
超过70亿美元,模型训练,人工智能,QNN（量子神经网络）,Harvard Business Review,https://hbr.org/,2024-10-22,,,,,,,,,,,,,
约9.5亿美元,金融风险分析,保险,QAOA（量子近似优化算法）,Forbes,https://www.forbes.com/,2024-10-22,,,,,,,,,,,,,
22亿美元,智能制造,工业,QML（量子机器学习）,Deloitte,https://www2.deloitte.com/global/en.html,2024-10-22,,,,,,,,,,,,,
49亿元（人民币）,网络传输,通信,QKD（量子密钥分发）,Bain & Company,https://www.bain.com/,2024-10-22,,,,,,,,,,,,,
超过25亿美元,量子算法优化,金融科技,QPE,Gartner,https://www.gartner.com/en/information-technology,2024-10-22,,,,,,,,,,,,,
20.7亿元（人民币）,量子机器学习,零售,Variational Quantum Eigensolver,艾瑞咨询,https://www.iresearch.com.cn,2024-10-22,,,,,,,,,,,,,
6.3亿美元,加密通信,信息安全,QKD,MarketsandMarkets,https://www.marketsandmarkets.com,2024-10-22,,,,,,,,,,,,,
超过15亿美元,药物发现,制药,VQE,Grand View Research,https://www.grandviewresearch.com,2024-10-22,,,,,,,,,,,,,
32亿美元,网络优化,电信,QAOA,Frost & Sullivan,https://www.frost.com,2024-10-22,,,,,,,,,,,,,
9.5亿美元,智能合约验证,区块链,GROVER,Forrester Research,https://go.forrester.com,2024-10-22,,,,,,,,,,,,,
47.5亿元（人民币）,AI算法加速,科技,QML,IDC,https://www.idc.com,2024-10-22,,,,,,,,,,,,,
3.2亿美元,金融风险分析,保险,QAOA,CB Insights,https://www.cbinsights.com,2024-10-22,,,,,,,,,,,,,
98亿美元,物流与供应链优化,交通,QKD,McKinsey & Company,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
11亿美元,天气预测,气象,QPE,Bloomberg,https://www.bloomberg.com,2024-10-22,,,,,,,,,,,,,
超过10亿美元,金融服务优化,银行业,QAM（量子振幅编码）,Gartner,https://www.gartner.com/en/information-technology/insights/quantum-computing,2024-10-22,,,,,,,,,,,,,
30亿元（人民币）,量子安全通信,网络安全,量子密钥分发（QKD）,CIC Investors,https://www.cic-investors.com/research/quantum-security,2024-10-22,,,,,,,,,,,,,
5.2亿美元,天气预测,气象学,量子格点模拟,MIT Technology Review,https://www.technologyreview.com/quantum-computing,2024-10-22,,,,,,,,,,,,,
22亿美元,药物发现,制药,QPE,McKinsey & Company,https://www.mckinsey.com/business-functions/quantum-computing,2024-10-22,,,,,,,,,,,,,
超过50亿美元,智能制造,工业4.0,量子叠加算法,Bain & Company,https://www.bain.com/insights/topics/quantum-computing/,2024-10-22,,,,,,,,,,,,,
12.3亿美元,供应链优化,物流,量子波动算法,Forrester Research,https://go.forrester.com/research/,2024-10-22,,,,,,,,,,,,,
35亿元（人民币）,气候模型训练,环境科学,量子优化算法,Nature Research,https://www.nature.com/nature/research/quantum,2024-10-22,,,,,,,,,,,,,
7.8亿美元,图像识别,科技,量子神经网络,Accenture,https://www.accenture.com/us-en/insights/technology/quantum-computing,2024-10-22,,,,,,,,,,,,,
18亿美元,风险管理,保险,量子决策树,PwC,https://www.pwc.com/gx/en/issues/quantum-computing.html,2024-10-22,,,,,,,,,,,,,
25.6亿美元,教育,在线学习,量子自适应学习,World Economic Forum,https://www.weforum.org/,2024-10-22,,,,,,,,,,,,,
达35亿美元,供应链优化,物流与运输,QAOA,MarketsandMarkets,https://www.marketsandmarkets.com,2024-10-22,,,,,,,,,,,,,
超370亿元（人民币）,金融欺诈检测,金融,VQE,前瞻网,https://www.qianzhan.com,2024-10-22,,,,,,,,,,,,,
12.8亿美元,气候模型,环境科学,QPE,Bloomberg,https://www.bloomberg.com,2024-10-22,,,,,,,,,,,,,
21亿美元,精准农业,农业科技,QML,Gartner,https://www.gartner.com,2024-10-22,,,,,,,,,,,,,
收入预计将达65亿美元,药物发现,制药,Variational Quantum Eigensolver (VQE),Frost & Sullivan,https://www.frost.com,2024-10-22,,,,,,,,,,,,,
超100亿元（人民币）,数据加密,IT与网络安全,QKD,IDC,https://www.idc.com,2024-10-22,,,,,,,,,,,,,
预计达到18亿美元,材料科学,制造业,QAOA,ResearchAndMarkets,https://www.researchandmarkets.com,2024-10-22,,,,,,,,,,,,,
将超过50亿元（人民币）,网络优化,电信,QML,Statista,https://www.statista.com,2024-10-22,,,,,,,,,,,,,
5亿美元,人脸识别,人工智能,QNN（量子神经网络）,Forrester,https://go.forrester.com,2024-10-22,,,,,,,,,,,,,
29亿美元,区块链技术,金融科技,量子态保证（QSS）,CoinDesk,https://www.coindesk.com,2024-10-22,,,,,,,,,,,,,
约20亿美元,气候气象模拟,环境科学,QFT（量子傅里叶变换）,McKinsey & Company,https://www.mckinsey.com/industries/quantum-technology,2024-10-22,,,,,,,,,,,,,
约36亿元（人民币）,密码学,信息技术,QKD（量子密钥分发）,中国量子通信网,http://www.quantum-china.com,2024-10-22,,,,,,,,,,,,,
设定为15亿美元,金融预测,金融,QNN（量子神经网络）,ResearchGate,https://www.researchgate.net/publication,2024-10-22,,,,,,,,,,,,,
超过22.5亿美元,供应链优化,物流,QAOA,Gartner,https://www.gartner.com/en/information-technology,2024-10-22,,,,,,,,,,,,,
50亿美元,材料科学研究,化工,QPE（量子相位估计）,ScienceDirect,https://www.sciencedirect.com/topics/computer-science/quantum-computing,2024-10-22,,,,,,,,,,,,,
达到25.3亿美元,智能合约审计,区块链技术,VQE（变分量子特征求解器）,Deloitte Insights,https://www2.deloitte.com/global/en/pages/about-deloitte/articles/quantum-computing.html,2024-10-22,,,,,,,,,,,,,
超出18亿美元,网络安全,网络信息,QKD（量子密钥分发）,Forrester Research,https://go.forrester.com/research/,2024-10-22,,,,,,,,,,,,,
预计为30亿欧元,药物发现,生物技术,QML（量子机器学习）,Nature Reviews,https://www.nature.com/natrev/,2024-10-22,,,,,,,,,,,,,
超越5亿美元,数字资产管理,金融科技,QNN,FinTech Times,https://thefintechtimes.com/,2024-10-22,,,,,,,,,,,,,
超过13.5亿美元,城市交通优化,城市规划,QAOA,MIT Technology Review,https://www.technologyreview.com/,2024-10-22,,,,,,,,,,,,,
25亿美元,药物发现,制药,QPE（量子相位估计）,Grand View Research,https://www.grandviewresearch.com/industry-analysis/quantum-computing-market,2024-10-22,,,,,,,,,,,,,
30.5亿元（人民币）,金融风险分析,金融,HHL（Harrows-Hassidim-Lloyd）,CB Insights,https://www.cbinsights.com/research/quantum-computing-finances,2024-10-22,,,,,,,,,,,,,
32亿美元,材料科学,制造业,VQE（变分量子特征求解器）,Market Research Future,https://www.marketresearchfuture.com/reports/quantum-computing-global-market-4949,2024-10-22,,,,,,,,,,,,,
15亿美元,气象建模,气象,QML（量子机器学习）,Bain & Company,https://www.bain.com/globalassets/noindex/2021/bain_report_quantum_computing.pdf,2024-10-22,,,,,,,,,,,,,
20.7亿美元,供应链优化,物流,QAOA（量子近似优化算法）,Gartner,https://www.gartner.com/en/information-technology/insights/quantum-computing,2024-10-22,,,,,,,,,,,,,
60亿美元,智能合约,区块链,QKD（量子密钥分发）,IDG Consulting,https://www.idgconsulting.com/quantum-blockchain-report,2024-10-22,,,,,,,,,,,,,
92亿元（人民币）,机器学习模型训练,科技,QML（量子机器学习）,McKinsey & Company,https://www.mckinsey.com/featured-insights/quantum-computing,2024-10-22,,,,,,,,,,,,,
12亿美元,网络安全,IT,QKD（量子密钥分发）,Forrester Research,https://go.forrester.com/research/quantum-security/,2024-10-22,,,,,,,,,,,,,
17.9亿美元,智能交通系统,交通,QML（量子机器学习）,KPMG,https://home.kpmg/xx/en/home/insights/2021/02/quantum-computing-in-transportation.html,2024-10-22,,,,,,,,,,,,,
10亿美元,环境监测,环保,VQE（变分量子特征求解器）,IDC,https://www.idc.com/getdoc.jsp?containerId=IDC_P47300,2024-10-22,,,,,,,,,,,,,
超过25亿美元,量子加密通讯,金融,QKD（量子密钥分发）,Gartner,https://www.gartner.com/en/insights/quantum-computing,2024-10-22,,,,,,,,,,,,,
30亿元（人民币）,量子算法开发,信息技术,Variational Quantum Algorithms,中国电子报,http://www.cena.com.cn/,2024-10-22,,,,,,,,,,,,,
23亿美元,供应链优化,物流,QAOA（量子近似优化算法）,McKinsey & Company,https://www.mckinsey.com/business-functions/quantum-computing/overview,2024-10-22,,,,,,,,,,,,,
12.5亿美元,材料科学,化工,Quantum Monte Carlo,Nature Journal,https://www.nature.com/nature/research,2024-10-22,,,,,,,,,,,,,
15亿美元,金融风险分析,保险,Quantum Approximate Optimization Algorithm,Harvard Business Review,https://hbr.org/topic/quantum-computing,2024-10-22,,,,,,,,,,,,,
82亿元（人民币）,预测模型,市场研究,Variational Quantum Eigensolver,北京科技网,http://www.bjtechnews.com/,2024-10-22,,,,,,,,,,,,,
60亿美元,药物开发,生物技术,Quantum Phase Estimation,Universities of Quantum Physics,http://www.quantumuniversities.org/,2024-10-22,,,,,,,,,,,,,
浸入式54亿美元,气候建模,环境科学,Quantum Neural Networks,World Economic Forum,https://www.weforum.org/reports/quantum-computing,2024-10-22,,,,,,,,,,,,,
22亿美元,图像识别,电子消费品,Quantum Convolutional Neural Networks,IEEE Spectrum,https://spectrum.ieee.org/quantum-computing,2024-10-22,,,,,,,,,,,,,
17亿美元,金融市场预测,投资,Quantum Recurrent Neural Networks,Bloomberg,https://www.bloomberg.com/quantum-Business,2024-10-22,,,,,,,,,,,,,
超过25亿美元,金融风险建模,金融,QML（量子机器学习）,Gartner,https://www.gartner.com,2024-10-22,,,,,,,,,,,,,
18.3亿元（人民币）,药物发现,制药,VQE（变分量子特征求解器）,Business Insights,https://www.businessinsights.com,2024-10-22,,,,,,,,,,,,,
58亿美元,密码学,科技,QKD（量子密钥分发）,Hyperion Research,https://www.hyperionresearch.com,2024-10-22,,,,,,,,,,,,,
22亿美元,供应链管理,物流,QAOA（量子近似优化算法）,McKinsey & Company,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
34.7亿美元,气候建模,环境科学,QPE（量子相位估计）,Nature Communications,https://www.nature.com/ncomms/,2024-10-22,,,,,,,,,,,,,
不足5亿美元,量子通信,通信,GHZ（Greenberger-Horne-Zeilinger态）,Telecommunications Industry Association,https://www.tiaonline.org,2024-10-22,,,,,,,,,,,,,
43亿美元,智能合约和区块链,区块链,QKD（量子密钥分发）,Crypto Research Report,https://www.crypto-research.com,2024-10-22,,,,,,,,,,,,,
17.5亿元（人民币）,实时数据处理,信息技术,量子傅里叶变换,IDC,https://www.idc.com,2024-10-22,,,,,,,,,,,,,
60亿美元,天气预报,气象,量子隧穿,WMO - World Meteorological Organization,https://public.wmo.int/en,2024-10-22,,,,,,,,,,,,,
32亿美元,智能交通系统,交通,QML（量子机器学习）,Forbes,https://www.forbes.com,2024-10-22,,,,,,,,,,,,,
超过30亿美元,智能制造,汽车工业,QAOA,Gartner,https://www.gartner.com/en,2024-10-22,,,,,,,,,,,,,
65.2亿元（人民币）,金融建模,投资与财务,VQE,前瞻网,https://www.qianzhan.com,2024-10-22,,,,,,,,,,,,,
12.8亿美元,自然语言处理,信息技术,QML,McKinsey,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
100亿美元,药物发现,制药,QPE,Bain & Company,https://www.bain.com,2024-10-22,,,,,,,,,,,,,
超过50亿美元,供应链优化,物流与运输,QKD,IDC,https://www.idc.com,2024-10-22,,,,,,,,,,,,,
25.5亿元（人民币）,气候模拟,环境科学,量子模拟,Bloomberg,https://www.bloomberg.com,2024-10-22,,,,,,,,,,,,,
45亿美元,金融欺诈检测,银行,量子图算法,Forrester,https://go.forrester.com,2024-10-22,,,,,,,,,,,,,
39.6亿美元,风险分析,保险,QML,Frost & Sullivan,https://www.frost.com,2024-10-22,,,,,,,,,,,,,
72.3亿元（人民币）,智能合约,区块链,量子安全,网络科技协会,https://www.netassoc.org,2024-10-22,,,,,,,,,,,,,
8.1亿美元,显微镜成像,生命科学,量子成像,Nature Research,https://www.nature.com,2024-10-22,,,,,,,,,,,,,
超过15亿美元,金融风险评估,金融,QAE（量子算法估计）,TechCrunch,https://techcrunch.com,2024-10-22,,,,,,,,,,,,,
50亿人民币,密码学,网络安全,QKD（量子密钥分发）,中国量子科技网,http://www.quantumtech.cn,2024-10-22,,,,,,,,,,,,,
6.78亿美元,个性化医疗,医疗健康,QSVM（量子支持向量机）,Healthcare Analytics News,https://www.healthcareanalyticsnews.com,2024-10-22,,,,,,,,,,,,,
18亿美元,供应链优化,制造业,QAOA（量子近似优化算法）,Gartner,https://www.gartner.com,2024-10-22,,,,,,,,,,,,,
2.5亿美元,图像处理,人工智能,QVAE（量子变分自编码器）,AI Trends,https://www.aitrends.com,2024-10-22,,,,,,,,,,,,,
70亿人民币,大数据处理,电信,QML（量子机器学习）,国际电信联盟,https://www.itu.int,2024-10-22,,,,,,,,,,,,,
超过20亿美元,气候模拟,环境科学,QPE（量子相位估计）,Nature Reviews Physics,https://www.nature.com/natrevphys,2024-10-22,,,,,,,,,,,,,
9.2亿美元,智能合约审计,区块链,QFT（快速傅里叶变换）,Blockchain Research Institute,https://www.blockchainresearchinstitute.org,2024-10-22,,,,,,,,,,,,,
3亿美元,基础设施优化,城市规划,QAOA（量子近似优化算法）,Urban Planning Journal,https://www.urbanplanningjournal.com,2024-10-22,,,,,,,,,,,,,
15亿美元,强化学习,机器人技术,QRL（量子强化学习）,IEEE Robotics and Automation Letters,https://ieeexplore.ieee.org/Xplore/home.jsp,2024-10-22,,,,,,,,,,,,,
25亿美元,金融风险评估,金融,QRL（量子随机游走）,McKinsey & Company,https://www.mckinsey.com,2024-10-22,,,,,,,,,,,,,
22亿元（人民币）,药物发现,医疗健康,HHL（汉密尔顿-哈希算法）,北京优胜科技,https://www.youshengkeji.com,2024-10-22,,,,,,,,,,,,,
15亿美元,气候建模,环境科学,QNN（量子神经网络）,Nature Research,https://www.nature.com,2024-10-22,,,,,,,,,,,,,
60亿美元,密码学,政府与国防,QKD（量子密钥分发）,Market Research Future,https://www.marketresearchfuture.com,2024-10-22,,,,,,,,,,,,,
