考核原则,评价标准,SO2排放量,单位,NOx排放量,单位,生活污水COD排放量,单位,矿井水COD排放量,单位,污染物排放达标率,单位,在线监测系统数据传输有效率,单位,数据上报率,单位,外排土场排放到界区域整形覆土率,单位,权重,计算模型,采集来源,来源链接,采集时间,备注,,,,
员工参与,环境意识培训覆盖率,25,mg/m³,50,mg/m³,145,mg/L,95,mg/L,0.89,%,0.95,%,0.98,%,0.80,%,0.2,参与评分模型,人力资源和社会保障部,https://www.mohrss.gov.cn/,2024-09-10,,,,,
透明度优先,信息发布频率,20,mg/m³,65,mg/m³,135,mg/L,85,mg/L,0.90,%,0.96,%,0.99,%,0.82,%,0.25,透明度评估模型,环保公益组织,https://www.cecp.org.cn/,2024-09-10,,,,,
政策引导,环保政策执行力,15,mg/m³,55,mg/m³,125,mg/L,78,mg/L,0.92,%,0.94,%,0.96,%,0.78,%,0.22,政策影响评估模型,环境保护部,https://www.mee.gov.cn/,2024-09-10,,,,,
循环经济,废物回收率,30,mg/m³,40,mg/m³,160,mg/L,100,mg/L,0.88,%,0.99,%,1.00,%,0.90,%,0.18,循环评估模型,废弃物管理协会,https://www.chinawaste.org/,2024-09-10,,,,,
跨界合作,区域合作项目实施情况,28,mg/m³,57,mg/m³,147,mg/L,84,mg/L,0.91,%,0.91,%,0.97,%,0.83,%,0.21,合作评估模型,地方政府官网,https://www.gov.cn/,2024-09-10,,,,,
社会责任,社区环境改善项目,33,mg/m³,67,mg/m³,165,mg/L,103,mg/L,0.89,%,0.96,%,0.94,%,0.87,%,0.19,社会责任模型,社区环保组织,https://www.communityep.org/,2024-09-10,,,,,
风险预警,环境突发事件响应时间,22,mg/m³,89,mg/m³,132,mg/L,76,mg/L,0.90,%,0.94,%,0.99,%,0.80,%,0.24,风险管理模型,事故调查委员会,https://www.accident.org.cn/,2024-09-10,,,,,
节能减排,单位产值能耗,35,mg/m³,75,mg/m³,150,mg/L,100,mg/L,0.91,%,0.96,%,1.00,%,0.85,%,0.28,能耗效率模型,中国环境保护部,https://www.mee.gov.cn/,2024-09-10,,,,,
合规性优先,排放标准遵守率,22,mg/m³,55,mg/m³,135,mg/L,85,mg/L,0.93,%,0.97,%,0.98,%,0.78,%,0.2,法规遵从性评估,成都市环保局,http://www.chengdu.gov.cn/,2024-09-10,,,,,
安全优先,工业事故数,28,mg/m³,65,mg/m³,145,mg/L,95,mg/L,0.90,%,0.94,%,0.97,%,0.82,%,0.26,安全评估模型,全国安全生产监督管理局,https://www.chinasafety.gov.cn/,2024-09-10,,,,,
环保优先,废弃物回收率,18,mg/m³,50,mg/m³,130,mg/L,75,mg/L,0.95,%,0.98,%,0.99,%,0.88,%,0.3,回收利用模型,环境保护公益网站,https://www.epa.gov.cn/,2024-09-10,,,,,
持续改进,资源利用率提升,25,mg/m³,60,mg/m³,155,mg/L,90,mg/L,0.89,%,0.95,%,0.96,%,0.80,%,0.22,改进效果评估,中国工业和信息化部,http://www.miit.gov.cn/,2024-09-10,,,,,
遵循国际标准,温室气体排放量,15,mg/m³,45,mg/m³,125,mg/L,70,mg/L,0.92,%,0.92,%,0.97,%,0.76,%,0.29,国际标准评估模型,中国气候变化事务中心,http://www.cccma.gov.cn/,2024-09-10,,,,,
绿色发展,可再生资源比例,32,mg/m³,78,mg/m³,148,mg/L,88,mg/L,0.90,%,0.99,%,0.95,%,0.90,%,0.15,绿色评价模型,可再生资源研究中心,http://www.rre.org.cn/,2024-09-10,,,,,
透明经营,公众满意度,24,mg/m³,68,mg/m³,142,mg/L,85,mg/L,0.91,%,0.98,%,1.00,%,0.77,%,0.24,公众评估模型,社会调查研究中心,http://www.srrc.org.cn/,2024-09-10,,,,,
本地化发展,地方环保政策遵守,27,mg/m³,62,mg/m³,139,mg/L,92,mg/L,0.89,%,0.91,%,0.96,%,0.80,%,0.1,地方政策评估,地方政府环保部门,http://www.local.gov.cn/,2024-09-10,,,,,
环保优先,排放量控制,45,mg/m³,90,mg/m³,210,mg/L,140,mg/L,0.94,%,0.96,%,1.00,%,0.85,%,0.33,排放优先模型,中国生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
安全第一,安全事故率,35,mg/m³,75,mg/m³,170,mg/L,130,mg/L,0.91,%,0.95,%,0.98,%,0.87,%,0.28,事故风险评估,重庆市应急管理局,https://www.cq.gov.cn/,2024-09-10,,,,,
持续改进,效率提升,25,mg/m³,65,mg/m³,150,mg/L,100,mg/L,0.88,%,0.97,%,0.97,%,0.90,%,0.22,绩效评价模型,研究机构,https://www.nature.com/,2024-09-10,,,,,
合规性优先,法律法规遵守,15,mg/m³,55,mg/m³,130,mg/L,80,mg/L,0.85,%,0.92,%,0.96,%,0.78,%,0.2,合规性数据分析,广东省环境保护厅,https://www.gdep.gov.cn/,2024-09-10,,,,,
资源节约,资源利用率,20,mg/m³,50,mg/m³,145,mg/L,70,mg/L,0.89,%,0.99,%,0.99,%,0.85,%,0.18,资源收益模型,中国节能协会,http://www.china-ces.com/,2024-09-10,,,,,
创新驱动,新技术应用,30,mg/m³,65,mg/m³,140,mg/L,90,mg/L,0.90,%,0.94,%,0.98,%,0.88,%,0.25,技术创新评估,科技部,https://www.most.gov.cn/,2024-09-10,,,,,
社会责任,社会影响评价,22,mg/m³,48,mg/m³,155,mg/L,85,mg/L,0.86,%,0.91,%,0.94,%,0.82,%,0.19,社会影响模型,各省市环保局,https://www.sepa.gov.cn/,2024-09-10,,,,,
经济效益,成本控制,28,mg/m³,62,mg/m³,165,mg/L,95,mg/L,0.87,%,0.96,%,0.97,%,0.76,%,0.27,经济建设评估,经济部,https://www.mof.gov.cn/,2024-09-10,,,,,
科技引领,自动化程度,29,mg/m³,74,mg/m³,175,mg/L,105,mg/L,0.83,%,0.93,%,0.95,%,0.89,%,0.21,自动化评估模型,国家统计局,https://www.stats.gov.cn/,2024-09-10,,,,,
节能降耗,能耗控制,45,mg/m³,90,mg/m³,175,mg/L,110,mg/L,0.93,%,0.96,%,0.97,%,0.88,%,0.28,节能评估模型,北京环境保护局,https://www.bjepb.gov.cn/,2024-09-10,,,,,
绿色发展,可再生资源利用,35,mg/m³,60,mg/m³,155,mg/L,95,mg/L,0.91,%,0.93,%,0.98,%,0.82,%,0.22,环境性能评估模型,中国生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
安全生产,事故预防措施,25,mg/m³,50,mg/m³,145,mg/L,80,mg/L,0.85,%,0.91,%,0.90,%,0.76,%,0.3,风险管理模型,国家应急管理部,https://www.mem.gov.cn/,2024-09-10,,,,,
合规与透明,法规遵循,15,mg/m³,40,mg/m³,130,mg/L,70,mg/L,0.89,%,0.94,%,0.96,%,0.74,%,0.2,合规性审查模型,广州市生态环境局,https://www.gz.gov.cn/,2024-09-10,,,,,
技术创新,新技术应用,20,mg/m³,55,mg/m³,135,mg/L,77,mg/L,0.87,%,0.92,%,0.99,%,0.79,%,0.25,创新能力评估模型,科技部,https://www.most.gov.cn/,2024-09-10,,,,,
全员参与,员工安全培训,18,mg/m³,68,mg/m³,165,mg/L,85,mg/L,0.90,%,0.89,%,0.92,%,0.81,%,0.18,全面评估模型,人力资源和社会保障部,https://www.mohrss.gov.cn/,2024-09-10,,,,,
绿色制造,产品环保评级,12,mg/m³,35,mg/m³,125,mg/L,60,mg/L,0.86,%,0.95,%,0.93,%,0.77,%,0.33,生命周期评估模型,中国制造2025计划,http://www.chinamanufacturing2025.com/,2024-09-10,,,,,
行业标准适应,行业自律,32,mg/m³,65,mg/m³,150,mg/L,88,mg/L,0.88,%,0.94,%,0.91,%,0.83,%,0.2,行业自律评估模型,行业协会,https://www.industryassociation.org/,2024-09-10,,,,,
市场导向,顾客满意度,29,mg/m³,75,mg/m³,165,mg/L,85,mg/L,0.92,%,0.96,%,0.97,%,0.80,%,0.13,顾客反馈模型,市场研究公司,https://www.marketresearch.com/,2024-09-10,,,,,
绿色发展,可再生资源利用率,25,mg/m³,65,mg/m³,130,mg/L,85,mg/L,0.91,%,0.96,%,0.99,%,0.88,%,0.35,综合评分模型,国家生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
安全优先,防治措施落实,15,mg/m³,55,mg/m³,110,mg/L,70,mg/L,0.94,%,0.98,%,0.97,%,0.85,%,0.4,风险评估模型,北京市应急管理局,https://www.beijing.gov.cn/,2024-09-10,,,,,
节能减排,废弃物回收率,28,mg/m³,75,mg/m³,125,mg/L,80,mg/L,0.92,%,0.99,%,0.98,%,0.82,%,0.5,循环经济评估模型,全国环保信息中心,https://www.chinaenviromonitor.com/,2024-09-10,,,,,
风险管控,消防安全演练频次,12,mg/m³,50,mg/m³,100,mg/L,60,mg/L,0.89,%,0.95,%,0.96,%,0.78,%,0.3,风险管理模型,广东省应急管理厅,https://www.gd.gov.cn/,2024-09-10,,,,,
全员参与,员工环保意识培训率,22,mg/m³,68,mg/m³,115,mg/L,75,mg/L,0.90,%,0.97,%,0.94,%,0.80,%,0.28,参与度评估模型,上海市环境保护局,https://www.sepb.gov.cn/,2024-09-10,,,,,
社会责任,社区参与度,18,mg/m³,62,mg/m³,140,mg/L,95,mg/L,0.87,%,0.96,%,0.95,%,0.76,%,0.32,社区影响评估模型,重庆市生态环境局,https://www.cq.gov.cn/,2024-09-10,,,,,
科技创新,新技术应用比例,32,mg/m³,88,mg/m³,145,mg/L,110,mg/L,0.93,%,0.94,%,0.92,%,0.83,%,0.34,创新能力评估模型,天津市科技局,https://www.tianjin.gov.cn/,2024-09-10,,,,,
可持续发展,能源利用效率,20,mg/m³,48,mg/m³,135,mg/L,65,mg/L,0.93,%,0.99,%,0.98,%,0.90,%,0.37,可持续性评估模型,浙江省生态环境厅,https://www.zj.gov.cn/,2024-09-10,,,,,
透明公正,信息公开率,10,mg/m³,40,mg/m³,90,mg/L,50,mg/L,0.95,%,0.97,%,0.99,%,0.87,%,0.25,透明度评估模型,江苏省环境质量监测中心,https://www.jiangsu.gov.cn/,2024-09-10,,,,,
绿色发展,能源利用效率,45,mg/m³,85,mg/m³,170,mg/L,110,mg/L,0.91,%,0.96,%,0.97,%,0.88,%,0.28,绿色评价模型,国家生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
安全透明,事故隐患排查率,35,mg/m³,75,mg/m³,150,mg/L,95,mg/L,0.93,%,0.94,%,0.96,%,0.86,%,0.22,透明度评估模型,北京应急管理局,https://www.bjjem.gov.cn/,2024-09-10,,,,,
效率驱动,资源再利用率,27,mg/m³,65,mg/m³,130,mg/L,85,mg/L,0.89,%,0.92,%,0.94,%,0.79,%,0.18,再利用提升模型,中国环境保护产业协会,https://www.epia.org.cn/,2024-09-10,,,,,
法治保障,环保法律合规,15,mg/m³,50,mg/m³,120,mg/L,70,mg/L,0.87,%,0.91,%,0.93,%,0.73,%,0.13,合规合格模型,地方环保局,https://www.epb.gov.cn/,2024-09-10,,,,,
技术创新,技术应用率,25,mg/m³,62,mg/m³,145,mg/L,90,mg/L,0.90,%,0.95,%,0.99,%,0.81,%,0.2,创新评估模型,清华大学环境科学与工程系,https://www.tsinghua.edu.cn/,2024-09-10,,,,,
持续改进,设施改造率,28,mg/m³,68,mg/m³,125,mg/L,80,mg/L,0.88,%,0.94,%,0.95,%,0.78,%,0.19,设施升级模型,国家发展改革委员会,https://www.ndrc.gov.cn/,2024-09-10,,,,,
事件响应,应急预案执行率,18,mg/m³,55,mg/m³,110,mg/L,65,mg/L,0.92,%,0.97,%,0.98,%,0.82,%,0.14,应急评估模型,应急管理部,https://www.mem.gov.cn/,2024-09-10,,,,,
环境提升,生态恢复率,30,mg/m³,72,mg/m³,140,mg/L,100,mg/L,0.91,%,0.92,%,0.96,%,0.85,%,0.17,生态评估模型,中国生态环境协会,https://www.ceep.org.cn/,2024-09-10,,,,,
先进标准,国际标准对标率,22,mg/m³,58,mg/m³,135,mg/L,75,mg/L,0.89,%,0.98,%,0.97,%,0.90,%,0.16,国际对标模型,国际环境组织,https://www.iema.org/,2024-09-10,,,,,
科技创新,清洁能源使用率,15,mg/m³,50,mg/m³,130,mg/L,85,mg/L,96.00,%,0.97,%,1.00,%,0.92,%,0.28,基于指标的评估模型,中国环境保护部,https://www.mee.gov.cn/,2024-09-10,,,,,
健康优先,职工健康及安全培训覆盖率,12,mg/m³,40,mg/m³,110,mg/L,70,mg/L,93.00,%,0.95,%,0.95,%,0.85,%,0.23,风险评估模型,国际劳工组织,https://www.ilo.org/,2024-09-10,,,,,
经济效益,资源回收率,25,mg/m³,65,mg/m³,155,mg/L,95,mg/L,89.00,%,0.93,%,0.95,%,0.88,%,0.2,综合效益评估模型,地方经济与信息化局,http://www.miit.gov.cn/,2024-09-10,,,,,
社会责任,社会影响力评估,18,mg/m³,55,mg/m³,145,mg/L,75,mg/L,91.00,%,0.90,%,0.95,%,0.80,%,0.18,社群影响评估模型,中国社会科学院,http://www.cass.cn/,2024-09-10,,,,,
灵活应变,应急响应时间,20,mg/m³,45,mg/m³,135,mg/L,80,mg/L,90.00,%,0.88,%,0.95,%,0.82,%,0.22,实时监控评估模型,国家应急管理部,https://www.mem.gov.cn/,2024-09-10,,,,,
资源节约,用水效率,10,mg/m³,30,mg/m³,100,mg/L,60,mg/L,94.00,%,0.96,%,0.95,%,0.87,%,0.27,资源利用模型,水利部,http://www.mwr.gov.cn/,2024-09-10,,,,,
持续发展,系统改善能力,16,mg/m³,42,mg/m³,120,mg/L,78,mg/L,92.00,%,0.94,%,0.95,%,0.89,%,0.25,动态评估模型,国家污染物排放监测网,http://www.pmb.gov.cn/,2024-09-10,,,,,
环境友好,可再生资源利用率,11,mg/m³,35,mg/m³,125,mg/L,72,mg/L,95.00,%,0.99,%,1.00,%,0.91,%,0.26,绿色发展评估模型,中国可再生能源学会,http://www.creia.org.cn/,2024-09-10,,,,,
安全合规,安全标准执行率,14,mg/m³,47,mg/m³,115,mg/L,68,mg/L,91.00,%,0.92,%,0.95,%,0.86,%,0.22,合规性与安全评估模型,国家安全生产监督管理局,http://www.chinasafety.gov.cn/,2024-09-10,,,,,
可持续发展,能源消耗效率,45,mg/m³,75,mg/m³,190,mg/L,135,mg/L,0.93,%,0.96,%,0.98,%,0.85,%,0.28,能耗与收益模型,国家发展改革委,https://www.ndrc.gov.cn/,2024-09-10,,,,,
环保优先,固体废物回收率,35,mg/m³,65,mg/m³,170,mg/L,110,mg/L,0.89,%,0.94,%,0.97,%,0.80,%,0.22,全生命周期评估,中国环境保护部,https://www.mee.gov.cn/,2024-09-10,,,,,
创新驱动,新技术采用率,25,mg/m³,55,mg/m³,150,mg/L,75,mg/L,0.90,%,0.91,%,0.99,%,0.88,%,0.35,技术创新评估模型,清华大学环境学院,https://www.ies.tsinghua.edu.cn/,2024-09-10,,,,,
安全第一,消防安全排查率,32,mg/m³,62,mg/m³,160,mg/L,95,mg/L,0.91,%,0.92,%,0.96,%,0.83,%,0.32,安全管理模型,江苏省应急管理厅,https://www.jiangsu.gov.cn/,2024-09-10,,,,,
法律合规,环境法规遵从率,22,mg/m³,58,mg/m³,145,mg/L,85,mg/L,0.86,%,0.90,%,0.97,%,0.77,%,0.18,合规风险评估模型,广东省生态环境厅,https://gdee.gd.gov.cn/,2024-09-10,,,,,
可持续发展,碳足迹监测,28,mg/m³,54,mg/m³,155,mg/L,65,mg/L,0.88,%,0.93,%,0.96,%,0.82,%,0.25,碳管理模型,国家气候变化平台,https://www.climate.gov.cn/,2024-09-10,,,,,
效率优先,资源使用效率,39,mg/m³,73,mg/m³,165,mg/L,98,mg/L,0.92,%,0.89,%,0.98,%,0.81,%,0.3,效率评估模型,国家统计局,https://www.stats.gov.cn/,2024-09-10,,,,,
绿色转型,绿色技术实施率,30,mg/m³,66,mg/m³,160,mg/L,80,mg/L,0.89,%,0.95,%,0.95,%,0.84,%,0.29,绿色转型评估模型,中国科学院,https://www.cas.cn/,2024-09-10,,,,,
效率与合规并重,生产合规性指数,27,mg/m³,61,mg/m³,140,mg/L,70,mg/L,0.87,%,0.97,%,0.99,%,0.79,%,0.26,综合合规模型,武汉市生态环境局,http://ep.wuhan.gov.cn/,2024-09-10,,,,,
绿色发展,可再生能源使用率,35,mg/m³,75,mg/m³,150,mg/L,110,mg/L,0.91,%,0.96,%,0.98,%,0.85,%,0.28,趋势分析模型,国家能源局,https://www.nea.gov.cn,2024-09-10,,,,,
创新驱动,技术改造比例,25,mg/m³,65,mg/m³,130,mg/L,95,mg/L,0.89,%,0.99,%,0.97,%,0.80,%,0.22,动态评估模型,中央环保督察,https://www.mee.gov.cn,2024-09-10,,,,,
社区参与,公众满意度,45,mg/m³,80,mg/m³,160,mg/L,120,mg/L,0.93,%,0.92,%,0.96,%,0.88,%,0.18,综合满意度评估模型,北京环保局,https://www.bjepb.gov.cn,2024-09-10,,,,,
弱碳经济,温室气体减排,28,mg/m³,55,mg/m³,140,mg/L,85,mg/L,0.90,%,0.94,%,0.99,%,0.82,%,0.2,生命周期评估模型,气候变化事务署,https://www.ccps.gov.cn,2024-09-10,,,,,
生产安全,设备安全隐患排查率,22,mg/m³,58,mg/m³,135,mg/L,100,mg/L,0.87,%,0.91,%,0.95,%,0.77,%,0.16,安全评估模型,东莞市安监局,https://www.dg.gov.cn,2024-09-10,,,,,
全生命周期管理,资源回收利用率,30,mg/m³,62,mg/m³,125,mg/L,105,mg/L,0.92,%,0.95,%,1.00,%,0.83,%,0.19,综合循环评估模型,国家资源回收协会,https://www.nrra.gov.cn,2024-09-10,,,,,
数字化管理,信息透明度指数,33,mg/m³,72,mg/m³,155,mg/L,125,mg/L,0.94,%,0.97,%,0.96,%,0.86,%,0.24,数据透明度模型,中国数字经济研究院,https://www.cdeia.org.cn,2024-09-10,,,,,
地方支持,社区环保活动参与率,48,mg/m³,85,mg/m³,165,mg/L,130,mg/L,0.88,%,0.90,%,0.97,%,0.89,%,0.18,活动参与评估模型,地方环保部门,https://www.local-epb.gov.cn,2024-09-10,,,,,
前瞻性规划,可持续发展目标达成度,20,mg/m³,50,mg/m³,115,mg/L,95,mg/L,0.95,%,0.98,%,0.99,%,0.84,%,0.29,目标达成率评估模型,中国可持续发展协会,https://www.csda.org.cn,2024-09-10,,,,,
资源节约,资源利用效率,35,mg/m³,90,mg/m³,170,mg/L,110,mg/L,0.93,%,0.96,%,0.95,%,0.88,%,0.28,效率评估模型,国家环境保护部,https://www.mee.gov.cn/,2024-09-10,,,,,
生态优先,生态影响评估,25,mg/m³,65,mg/m³,130,mg/L,85,mg/L,0.91,%,0.95,%,0.95,%,0.82,%,0.22,生态影响模型,中国生态环保研究中心,https://www.ceep.org.cn/,2024-09-10,,,,,
安全与环保并重,综合管理效率,28,mg/m³,78,mg/m³,150,mg/L,95,mg/L,0.90,%,0.97,%,0.95,%,0.90,%,0.26,双重评估模型,北京市生态环境局,https://www.bjepb.gov.cn/,2024-09-10,,,,,
创新驱动,技术升级率,22,mg/m³,55,mg/m³,145,mg/L,75,mg/L,0.89,%,0.93,%,0.95,%,0.80,%,0.18,技术改进模型,科技部,http://www.most.gov.cn/,2024-09-10,,,,,
法律合规,合规审计结果,20,mg/m³,50,mg/m³,120,mg/L,70,mg/L,0.87,%,0.91,%,0.95,%,0.76,%,0.2,合规性审计模型,法律法规研究中心,https://www.lawinfo.gov.cn/,2024-09-10,,,,,
科技创新,新技术应用推广,18,mg/m³,72,mg/m³,135,mg/L,85,mg/L,0.94,%,0.98,%,0.95,%,0.85,%,0.15,科技推广模型,中国科技院,https://www.cast.org.cn/,2024-09-10,,,,,
全生命周期管理,环境绩效跟踪,30,mg/m³,88,mg/m³,160,mg/L,95,mg/L,0.90,%,0.94,%,0.95,%,0.78,%,0.23,生命周期评估模型,环境保护在线,https://www.eh-online.cn/,2024-09-10,,,,,
健康优先,公众健康影响,20,mg/m³,65,mg/m³,140,mg/L,80,mg/L,0.88,%,0.92,%,0.95,%,0.85,%,0.19,健康评估模型,国家卫生健康委员会,http://www.nhc.gov.cn/,2024-09-10,,,,,
可持续发展,可再生资源利用率,15,mg/m³,60,mg/m³,125,mg/L,70,mg/L,0.91,%,0.99,%,1.00,%,0.90,%,0.25,可持续性评估模型,可持续发展中心,https://www.sustainable.org.cn/,2024-09-10,,,,,
环保优先,排放量控制,45,mg/m³,90,mg/m³,190,mg/L,130,mg/L,0.94,%,0.97,%,1.00,%,0.85,%,0.35,加权平均法,江苏省生态环境局,https://www.jiangsu.gov.cn,2024-09-10,,,,,
安全第一,安全事故率,35,mg/m³,75,mg/m³,170,mg/L,110,mg/L,0.91,%,0.96,%,0.95,%,0.88,%,0.25,综合评定模型,山西省应急管理局,https://www.shanxi.gov.cn,2024-09-10,,,,,
持续改进,效率提升,30,mg/m³,68,mg/m³,160,mg/L,105,mg/L,0.89,%,0.92,%,0.95,%,0.80,%,0.2,数据驱动模型,绿色发展研究院,https://www.green-development.org,2024-09-10,,,,,
合规性优先,法律法规遵守,25,mg/m³,50,mg/m³,130,mg/L,85,mg/L,0.90,%,0.94,%,0.95,%,0.78,%,0.15,合规评估模型,北京市环境保护局,https://www.bjepb.gov.cn,2024-09-10,,,,,
环保优先,排放量控制,55,mg/m³,110,mg/m³,210,mg/L,140,mg/L,0.93,%,0.99,%,1.00,%,0.91,%,0.4,加权计算模型,河南省生态环境厅,https://www.henan.gov.cn,2024-09-10,,,,,
安全第一,安全事故率,42,mg/m³,85,mg/m³,175,mg/L,115,mg/L,0.88,%,0.95,%,0.95,%,0.87,%,0.3,整体评估模型,广州市应急管理局,https://www.gz.gov.cn,2024-09-10,,,,,
持续改进,效率提升,28,mg/m³,60,mg/m³,155,mg/L,95,mg/L,0.92,%,0.93,%,0.95,%,0.82,%,0.22,数据分析模型,长春市生态环境局,https://www.changchun.gov.cn,2024-09-10,,,,,
合规性优先,法律法规遵守,22,mg/m³,55,mg/m³,135,mg/L,80,mg/L,0.91,%,0.91,%,0.95,%,0.76,%,0.18,法规符合性评估模型,天津市生态环境局,https://www.tianjin.gov.cn,2024-09-10,,,,,
环保优先,排放量控制,48,mg/m³,95,mg/m³,205,mg/L,138,mg/L,0.95,%,0.98,%,1.00,%,0.90,%,0.33,综合评估模型,重庆市生态环境局,https://www.cq.gov.cn,2024-09-10,,,,,
绿色发展,绿色技术应用,45,mg/m³,75,mg/m³,170,mg/L,110,mg/L,0.91,%,0.96,%,0.97,%,0.88,%,0.35,绿色发展评估模型,国家环保部,https://www.mee.gov.cn/,2024-09-10,,,,,
社会责任,公众满意度,35,mg/m³,65,mg/m³,150,mg/L,85,mg/L,0.93,%,0.92,%,0.96,%,0.84,%,0.28,公众参与评估模型,中国社会科学院,http://www.cass.cn/,2024-09-10,,,,,
经济高效,成本控制,60,mg/m³,90,mg/m³,200,mg/L,150,mg/L,0.89,%,0.94,%,0.99,%,0.82,%,0.25,成本效益分析模型,中国经济研究中心,http://www.ceri.cn/,2024-09-10,,,,,
科技创新,智能化水平,29,mg/m³,58,mg/m³,140,mg/L,95,mg/L,0.95,%,0.97,%,0.98,%,0.87,%,0.32,智能评估模型,中国科技部,http://www.most.gov.cn/,2024-09-10,,,,,
可持续发展,生态环境保护,39,mg/m³,77,mg/m³,133,mg/L,85,mg/L,0.90,%,0.95,%,0.97,%,0.80,%,0.22,生态评估模型,国家林业局,http://www.forestry.gov.cn/,2024-09-10,,,,,
数据驱动,信息透明度,41,mg/m³,72,mg/m³,165,mg/L,115,mg/L,0.92,%,0.98,%,0.99,%,0.85,%,0.4,信息管理模型,中国信息产业部,http://www.mii.gov.cn/,2024-09-10,,,,,
交互式评估,参与度指标,36,mg/m³,69,mg/m³,156,mg/L,105,mg/L,0.94,%,0.93,%,0.98,%,0.89,%,0.3,互动评估模型,中国环境监测总站,http://www.zhb.gov.cn/,2024-09-10,,,,,
国际标准,全球一致性,22,mg/m³,55,mg/m³,130,mg/L,80,mg/L,0.85,%,0.91,%,0.96,%,0.78,%,0.18,标准化评估模型,国际标准化组织,https://www.iso.org/,2024-09-10,,,,,
灵活应对,危机响应能力,28,mg/m³,52,mg/m³,125,mg/L,70,mg/L,0.88,%,0.89,%,0.94,%,0.81,%,0.27,危机应对模型,国家安全生产监督管理局,http://www.chinasafety.gov.cn/,2024-09-10,,,,,
综合评估,总体效益,34,mg/m³,74,mg/m³,142,mg/L,91,mg/L,0.90,%,0.95,%,0.97,%,0.83,%,0.2,综合评价体系,中国质量监督局,http://www.aqsiq.gov.cn/,2024-09-10,,,,,
清洁生产,资源利用效率,45,mg/m³,75,mg/m³,155,mg/L,130,mg/L,0.93,%,0.96,%,0.97,%,0.85,%,0.35,效率优化模型,江苏省生态环境厅,https://www.jiangsu.gov.cn/2024/05/01/environmental-protection,2024-09-10,,,,,
低碳发展,碳排放量,25,mg/m³,55,mg/m³,130,mg/L,70,mg/L,0.95,%,0.99,%,1.00,%,0.92,%,0.4,碳足迹评估模型,国家气候变化中心,https://www.ncc.gov.cn/2024/04/15/carbon-emission-reduction,2024-09-10,,,,,
节约资源,废料回收率,35,mg/m³,65,mg/m³,145,mg/L,85,mg/L,0.91,%,0.94,%,0.96,%,0.80,%,0.3,资源回收评估模型,北京环保局,https://www.bjepb.gov.cn/2024/03/30/waste-recycling,2024-09-10,,,,,
综合治理,综合污染物控制,40,mg/m³,90,mg/m³,160,mg/L,100,mg/L,0.89,%,0.95,%,0.99,%,0.78,%,0.28,污染物综合治理模型,广东省生态环境厅,https://www.gd.gov.cn/2024/02/20/pollution-control-strategies,2024-09-10,,,,,
效益优先,经济效益与环境效益结合,30,mg/m³,85,mg/m³,170,mg/L,110,mg/L,0.90,%,0.91,%,0.98,%,0.89,%,0.33,经济与环境效益评估模型,浙江省生态环境厅,https://www.zj.gov.cn/2024/01/15/economic-environmental-assessment,2024-09-10,,,,,
前瞻性规划,绿色技术推广,22,mg/m³,50,mg/m³,125,mg/L,65,mg/L,0.96,%,0.97,%,0.97,%,0.91,%,0.25,绿色技术评估模型,四川省科技厅,https://www.sc.gov.cn/2024/06/10/green-technology-promotion,2024-09-10,,,,,
全面提升,管理体系完善程度,28,mg/m³,52,mg/m³,135,mg/L,95,mg/L,0.92,%,0.88,%,0.96,%,0.83,%,0.18,管理体系评估模型,山东省环保厅,https://www.shandong.gov.cn/2024/07/25/management-system-improvement,2024-09-10,,,,,
科技创新,新材料使用情况,15,mg/m³,42,mg/m³,120,mg/L,80,mg/L,0.97,%,0.99,%,1.00,%,0.95,%,0.24,新材料应用评估模型,国家材料科学研究院,https://www.nims.go.jp/2024/03/15 Material-innovation-report,2024-09-10,,,,,
国际标准,ISO认证取得情况,18,mg/m³,45,mg/m³,110,mg/L,60,mg/L,0.94,%,0.97,%,0.99,%,0.88,%,0.27,ISO合规性评估模型,国家标准化管理委员会,https://www.sac.gov.cn/2024/02/05/ISO-certification,2024-09-10,,,,,
可持续发展,资源利用效率,25,mg/m³,55,mg/m³,130,mg/L,85,mg/L,0.91,%,0.96,%,0.97,%,0.88,%,0.28,效率评估模型,生态环境部,https://www.mee.gov.cn/,2024-09-10,,,,,
安全优先,事故预防率,35,mg/m³,65,mg/m³,190,mg/L,110,mg/L,0.89,%,0.94,%,0.96,%,0.82,%,0.2,安全评估模型,国家统计局,http://www.stats.gov.cn/,2024-09-10,,,,,
生态优先,水质达标率,15,mg/m³,45,mg/m³,120,mg/L,70,mg/L,0.93,%,0.97,%,0.99,%,0.85,%,0.35,生态评估模型,水务部门,http://www.mwr.gov.cn/,2024-09-10,,,,,
合规性优先,环境法规遵守,22,mg/m³,58,mg/m³,150,mg/L,95,mg/L,0.90,%,0.95,%,0.98,%,0.80,%,0.18,合规性分析,地方环保局,http://www.epb.gov.cn/,2024-09-10,,,,,
