试验题目,登记号,生物合成技术名称,适用领域,申办者类型,申办者,合作者类型,合作者,研究类型,试验状态,试验分期,注册地区,试验国家/地区,登记日期,开始日期,完成日期,最新变更日期,系统构成,采集来源,来源链接,采集时间,备注
微生物合成氢气项目,2023-011,微生物产生氢气,能源,企业,武汉氢能科技公司,学术机构,武汉大学,应用研究,正在进行,2,武汉市,中国,2023-10-01,2023-10-15,2025-10-14,2024-10-12,微生物发酵过程,武汉市人民政府,http://www.wuhan.gov.cn,2024-09-25,
生物基材料开发项目,2023-012,生物降解材料,环保、包装,企业,南京环保科技公司,学术机构,南京大学,应用研究,正在进行,1,南京市,中国,2023-09-15,2023-09-30,2025-09-29,2024-10-12,生物基聚合物系统,江苏省科技厅,http://www.jiangsust.gov.cn,2024-09-25,
基因驱动技术在蚊子中的应用试验,2023-004,基因驱动技术,生态保护,企业,广州基因科技有限公司,学术机构,中山大学,应用研究,正在进行,1,广州市,中国,2023-05-15,2023-06-01,2024-05-31,2024-10-12,基因驱动系统,广州市环保科技局,https://www.gzep.gov.cn/,2024-09-25,
合成生物适应性植物育种试验,2023-005,合成植物育种,农业,企业,成都农业科技公司,学术机构,四川农业大学,基础研究,正在进行,2,成都市,中国,2023-02-20,2023-03-01,2024-09-01,2024-10-12,合成育种系统,成都市农业局,https://www.cdagri.gov.cn/,2024-09-25,
合成生物技术在制药中的创新应用,2023-006,合成生物药物,制药,学术机构,复旦大学,企业,华东制药有限公司,应用研究,即将开始,1,上海市,中国,2023-08-01,2023-09-01,2025-02-28,2024-10-12,合成药物生产系统,上海市药监局,https://www.shfda.gov.cn/,2024-09-25,
生物合成氢气生产技术试验,2023-007,生物制氢,能源,学术机构,清华大学,企业,中科院能源研究所,基础研究,正在进行,1,北京市,中国,2023-07-10,2023-08-01,2024-07-31,2024-10-12,生物氢气生产系统,国家能源局,https://www.nea.gov.cn/,2024-09-25,
智能合成生物监测系统研究,2023-008,智能生物传感器,环境监测,企业,北京世纪智能科技有限公司,学术机构,北京理工大学,应用研究,正在进行,2,北京市,中国,2023-09-01,2023-09-15,2025-03-01,2024-10-12,智能生物监测系统,北京市环保局,https://www.bjepb.gov.cn/,2024-09-25,
合成生物技术在食品安全中的应用,2023-009,合成生物检测,食品安全,学术机构,浙江大学,企业,招商局农业科技公司,基础研究,正在进行,1,杭州市,中国,2023-10-05,2023-10-15,2024-10-15,2024-10-12,合成生物安全检测系统,浙江省食品安全局,https://www.zjfs.gov.cn/,2024-09-25,
合成生物技术在气候变化中的应用研究,2023-010,碳捕获与利用,环境保护,企业,天津绿色科技公司,学术机构,天津大学,应用研究,即将开始,1,天津市,中国,2023-08-20,2023-09-10,2024-12-10,2024-10-12,碳捕获系统,天津市环保局,https://www.tjepb.gov.cn/,2024-09-25,
合成生物电池技术研究,2023-011,生物电池,能源,研究机构,东北大学,企业,华为技术有限公司,基础研究,正在进行,2,沈阳市,中国,2023-06-20,2023-07-01,2025-06-30,2024-10-12,生物电池系统,辽宁省科技厅,https://www.lnkjt.gov.cn/,2024-09-25,
合成微生物驱动的废水处理系统研究,2023-012,合成微生物废水处理,环境工程,企业,南京环境科技公司,学术机构,东南大学,应用研究,正在进行,1,南京市,中国,2023-07-15,2023-08-01,2024-08-01,2024-10-12,合成微生物废水处理系统,江苏省环保局,https://www.jsep.gov.cn/,2024-09-25,
海洋微生物基因组解析试验,2023-004,海洋微生物基因组技术,环境、生态,企业,广州海洋科技有限公司,学术机构,中山大学,基础研究,正在进行,1,广州市,中国,2023/5/15,2023/6/1,2024/5/31,2024/10/12,高通量基因组测序系统,广州科技局,https://www.gz.gov.cn/technology/,2024-09-25,
合成植物工厂试验,2023-005,合成植物工厂,农业、食品,学术机构,南京农业大学,企业,江苏农业科技公司,应用研究,正在进行,2,南京市,中国,2023/6/20,2023/7/1,2025/6/30,2024/10/12,合成植物生长系统,江苏省农业厅,http://www.jiangsu.gov.cn/agriculture/,2024-09-25,
合成基因治疗技术试验,2023-006,合成基因治疗,医疗、制药,企业,深圳基因科技公司,学术机构,哈尔滨医科大学,基础研究,准备中,1,深圳市,中国,2023/8/5,2023/9/1,2024/8/31,2024/10/12,合成基因递送系统,生物医药协会,https://www.bioa.org.cn/,2024-09-25,
基于合成生物技术的环境修复试验,2023-007,生物修复技术,环境、生态,企业,青岛生态科技有限公司,学术机构,青岛科技大学,应用研究,正在进行,2,青岛市,中国,2023/8/15,2023/9/1,2025/8/31,2024/10/12,环境微生物修复系统,山东省环境保护局,http://www.sdehb.gov.cn/,2024-09-25,
合成酵母应用研究试验,2023-008,合成酵母,食品、酿造,学术机构,浙江大学,企业,杭州食品科技公司,应用研究,正在进行,1,杭州市,中国,2023/7/1,2023/7/15,2024/7/14,2024/10/12,合成酵母生产系统,浙江省食品安全监管局,http://www.zjfood.gov.cn/,2024-09-25,
CRISPR对人类基因组的研究,2023-009,CRISPR基因编辑,医疗、学术,企业,上海护理科技公司,学术机构,复旦大学,基础研究,准备中,1,上海市,中国,2023/9/10,2024/1/15,2025/1/14,2024/10/12,CRISPR/Cas9基因组识别系统,复旦大学医学院,https://www.fudan.edu.cn/,2024-09-25,
合成生物电池开发试验,2023-010,合成生物电池,能源、环保,企业,成都绿色能源科技公司,学术机构,西南科技大学,应用研究,正在进行,2,成都市,中国,2023/10/1,2023/10/15,2025/10/14,2024/10/12,合成生物电池系统,四川省科技厅,http://www.sc.gov.cn/technology/,2024-09-25,
微生物合成塑料技术试验,2023-011,微生物合成塑料,环境、材料,科研机构,中国科学院,企业,北京新材料科技公司,基础研究,正在进行,1,北京市,中国,2023/10/7,2023/11/1,2025/10/31,2024/10/12,合成塑料微生物发酵系统,北京环境保护局,http://www.bjepb.gov.cn/,2024-09-25,
合成生物农业应用更新试验,2023-012,合成生物农业,农业、食品,学术机构,四川农业大学,企业,北京农业科技发展公司,应用研究,正在进行,2,成都市,中国,2023/9/30,2023/10/15,2025/9/30,2024/10/12,合成农业系统,四川省农业农村厅,http://www.scagri.gov.cn/,2024-09-25,
合成生物燃料研发试验,2023-004,合成生物燃料,能源、环保,企业,广州生物能源科技公司,学术机构,华南理工大学,应用研究,正在进行,1,广州市,中国,2023/4/5,2023/5/1,2024/4/30,2024/10/12,合成代谢路径,广州市科学技术局,http://www.gzst.gov.cn,2024-09-25,
合成生物药物试验,2023-005,合成生物药物,制药、医疗,企业,杭州安科生物公司,学术机构,浙江大学,基础研究,已完成,3,杭州市,中国,2023/2/20,2023/3/1,2024/2/28,2024/10/12,重组蛋白表达系统,浙江省科技厅,http://www.zj.gov.cn,2024-09-25,
室内养殖优化试验,2023-006,合成微生物优化系统,农业、食品,企业,成都现代农业研究所,学术机构,四川农业大学,应用研究,正在进行,2,成都市,中国,2023/7/10,2023/8/1,2025/7/31,2024/10/12,基于微生物的养殖系统,成都市科技局,http://www.cdst.gov.cn,2024-09-25,
水处理微生物合成试验,2023-007,合成水处理微生物,环境、农业,学术机构,天津环境科学研究所,企业,天津水务科技公司,应用研究,结束,1,天津市,中国,2023/1/18,2023/2/15,2024/1/15,2024/10/12,水处理生物系统,天津市科技局,http://www.tianjin.gov.cn,2024-09-25,
基因农业作物改良试验,2023-008,基因组编辑技术,农业、食品安全,企业,南京农业生物科技公司,学术机构,南京农业大学,基础研究,正在进行,2,南京市,中国,2023/3/15,2023/4/20,2025/3/19,2024/10/12,CRISPR/Cas9基因组编辑系统,江苏省科技厅,http://www.jiangsu.gov.cn,2024-09-25,
合成食品新材料研究试验,2023-009,合成生物材料,食品、材料科学,大学,北京大学,企业,乐维食品公司,应用研究,准备阶段,1,北京市,中国,2023/6/25,2023/7/10,2024/6/30,2024/10/12,合成生物基材料,北京市市场监督管理局,http://www.bjsgg.gov.cn,2024-09-25,
人工合成抗体研发试验,2023-010,合成抗体技术,医疗、生物技术,企业,武汉生物制药公司,学术机构,华中科技大学,基础研究,正在进行,1,武汉市,中国,2023/8/1,2023/8/15,2024/8/14,2024/10/12,单克隆抗体合成系统,湖北省科学技术厅,http://www.hubei.gov.cn,2024-09-25,
合成微生物药物发酵试验,2023-011,合成微生物发酵技术,制药、生物技术,企业,沈阳生物制药公司,学术机构,东北大学,应用研究,暂停,2,沈阳市,中国,2023/5/5,2023/6/10,2025/6/9,2024/10/12,发酵微生物生产系统,辽宁省科技厅,http://www.liaoning.gov.cn,2024-09-25,
合成生物药物递送系统试验,2023-012,生物药物递送系统,医疗、制药,企业,深圳创新制药公司,学术机构,香港中文大学,基础研究,进行中,1,深圳市,中国,2023/9/10,2023/10/1,2024/9/30,2024/10/12,纳米载体传递系统,深圳市科技创新委员会,http://www.sz.gov.cn,2024-09-25,
合成人造肠道微生物群试验,2023-004,人造肠道微生物群,医疗、营养,企业,杭州生物科技有限公司,学术机构,浙江大学,基础研究,浙江省,中国,2023/6/10,2023/7/1,2024/6/30,2024/10/12,人造微生物结构,中国科学院生物物理研究所,http://www.ibp.cas.cn/,基础研究,正在进行,2024-09-25,
合成生物传感器试验,2023-005,合成生物传感器,环境监测,学术机构,南京大学,企业,东南大学科技公司,应用研究,江苏省,中国,2023/8/5,2023/9/1,2024/8/31,2024/10/12,生物传感器系统,江苏省科技厅,http://jskjt.jiangsu.gov.cn/,应用研究,正在进行,2024-09-25,
合成耐药性细菌监测试验,2023-006,耐药细菌合成,医学研究,企业,广州医疗科技公司,学术机构,中山大学,基础研究,广东省,中国,2023/9/15,2023/10/1,2025/9/30,2024/10/12,合成耐药细菌模型,广州市公共卫生研究所,http://www.gzph.gov.cn/,基础研究,计划中,2024-09-25,
智能微生物生产系统试验,2023-007,智能微生物生产,食品、生物燃料,企业,天津合成生物公司,学术机构,南开大学,应用研究,天津市,中国,2023/10/5,2023/11/1,2025/10/31,2024/10/12,智能微生物生产系统,天津市科技局,http://www.tianjin.gov.cn/,应用研究,正在进行,2024-09-25,
合成靶向药物研发试验,2023-008,靶向药物合成,肿瘤治疗,学术机构,复旦大学,企业,上海药业公司,应用研究,上海市,中国,2023/11/1,2023/11/15,2025/11/14,2024/10/12,靶向药物合成系统,上海市药品监督管理局,http://www.smpa.gov.cn/,应用研究,正在进行,2024-09-25,
合成新型疫苗检测试验,2023-009,新型疫苗合成,公共卫生,企业,武汉生物医疗公司,学术机构,武汉大学,基础研究,湖北省,中国,2023/12/1,2024/1/1,2025/1/1,2024/10/12,新型疫苗测试系统,武汉市疾病预防控制中心,http://wuhanjibing.org/,基础研究,计划中,2024-09-25,
合成生物护肤品研发试验,2023-010,合成护肤成分,化妆品,企业,北京美丽生物科技公司,学术机构,中国药科大学,应用研究,北京市,中国,2023/12/15,2024/1/1,2025/1/1,2024/10/12,合成护肤成分系统,中国化妆品协会,http://www.chinacosmetics.org/,应用研究,正在进行,2024-09-25,
合成生物肥料技术试验,2023-011,合成生物肥料,农业、环保,企业,山东农业生物科技公司,学术机构,中国农业大学,应用研究,山东省,中国,2023/12/20,2024/1/10,2025/1/10,2024/10/12,生物肥料合成系统,山东省农业厅,http://www.sdny.gov.cn/,应用研究,正在进行,2024-09-25,
合成氢能源利用技术试验,2023-012,氢能源合成,能源、环保,企业,广东新能源公司,学术机构,华南理工大学,基础研究,广东省,中国,2024/1/1,2024/2/1,2025/1/31,2024/10/12,氢能源利用系统,广东省科技厅,http://www.gdstc.gov.cn/,基础研究,待审,2024-09-25,
合成生物网络系统构建试验,2023-004,合成生物网络,信息技术、数据分析,企业,广州合成生物科技有限公司,学术机构,华南理工大学,应用研究,正在进行,1,广州市,中国,2023/5/5,2023/6/1,2024/5/31,2024/9/15,生物网络连接系统,广州市科技局,https://www.gzst.gov.cn/,2024-09-25,
微生物合成纤维试验,2023-005,生物基纤维合成,环保、材料科学,企业,浙江绿色材料有限公司,学术机构,浙江大学,基础研究,正在进行,2,杭州市,中国,2023/4/25,2023/5/15,2025/5/15,2024/10/1,微生物合成的纤维系统,国家化学材料研究中心,https://www.ncmm.org/,2024-09-25,
生物燃料合成试验,2023-006,合成生物燃料,可再生能源,企业,北京能源科技有限公司,学术机构,清华大学,应用研究,计划中,1,北京市,中国,2023/8/20,2024/1/1,2025/12/31,2024/1/1,生物合成燃料系统,国家可再生能源中心,https://www.nrec.org.cn/,2024-09-25,
合成疫苗开发试验,2023-007,合成疫苗平台,医疗、公共卫生,学术机构,复旦大学,企业,上海生物医药科技有限公司,基础研究,正在进行,2,上海市,中国,2023/9/10,2023/9/15,2025/9/14,2024/10/2,合成疫苗系统,上海市卫生健康委员会,https://wsjkw.sh.gov.cn/,2024-09-25,
人造生物器官构建试验,2023-008,生物器官合成技术,再生医学,企业,广州再生医学有限公司,学术机构,中山大学,应用研究,计划中,1,广州市,中国,2023/7/1,2024/2/1,2026/1/31,2024/1/15,生物器官构建系统,广东省生物医学研究所,https://www.gdmb.gov.cn/,2024-09-25,
合成植物基因组编辑试验,2023-009,植物基因组编辑,农业、食品安全,学术机构,南京农业大学,企业,江苏农科院,基础研究,已经完成,3,南京市,中国,2023/6/30,2023/7/5,2024/6/30,2024/7/1,基因组编辑系统,南京市农业科技服务中心,https://www.njagt.gov.cn/,2024-09-25,
人类微生物组研究试验,2023-010,微生物组分析,医疗、健康,企业,上海微生物科技有限公司,学术机构,复旦大学,应用研究,正在进行,2,上海市,中国,2023/9/25,2023/10/1,2025/10/1,2024/10/10,人类微生物组数据库,上海市环境与健康研究院,https://www.seh.gov.cn/,2024-09-25,
合成食品科技试验,2023-011,合成食品技术,食品科学、营养,企业,杭州食品科技有限公司,学术机构,浙江大学,应用研究,正在进行,3,杭州市,中国,2023/10/5,2023/11/1,2025/10/31,2024/10/1,合成食品生产系统,浙江省食品安全研究院,https://www.zjfood.gov.cn/,2024-09-25,
人造酵母生产试验,2023-004,合成酵母,食品、饮料,企业,广州生物创新公司,学术机构,中山大学,应用研究,正在进行,1,广州市,中国,2023/2/5,2023/3/1,2025/2/28,2024/10/10,酵母合成系统,广东省科学技术厅,https://www.gdstc.gov.cn,2024-09-25,
基因驱动模型优化试验,2023-005,基因驱动技术,生态保护,学术机构,华南农业大学,企业,广州生物科技公司,基础研究,正在进行,2,广州市,中国,2023/3/15,2023/4/10,2024/11/30,2024/10/12,基因驱动系统,生态环境部,https://www.mee.gov.cn,2024-09-25,
合成植物工厂技术应用试验,2023-006,合成植物,农业、环保,企业,天津合成生物技术有限公司,学术机构,南开大学,应用研究,准备中,1,天津市,中国,2023/4/20,2023/6/1,2026/5/31,2024/10/10,合成植物生长系统,天津市科技局,https://www.tjkj.gov.cn,2024-09-25,
合成代谢工程研究,2023-007,代谢工程,生物燃料,学术机构,浙江大学,企业,杭州生物工程有限公司,基础研究,正在进行,2,杭州市,中国,2023/3/30,2023/5/1,2025/4/30,2024/10/11,代谢工程系统,浙江省科技厅,http://www.zj.gov.cn,2024-09-25,
合成生物防治技术开发,2023-008,生物防治,农业,企业,沈阳绿色科技公司,学术机构,沈阳农业大学,应用研究,正在进行,1,沈阳市,中国,2023/7/5,2023/8/1,2025/7/31,2024/10/10,生物防治系统,辽宁省农业厅,http://www.ln.gov.cn,2024-09-25,
合成蛋白质研发项目,2023-009,蛋白质合成,医学、食品,企业,成都生物工程股份有限公司,学术机构,四川大学,基础研究,准备中,1,成都市,中国,2023/8/15,2023/9/1,2025/8/31,2024/10/10,蛋白质合成系统,四川省科技局,http://www.sc.gov.cn,2024-09-25,
合成神经调节模块开发,2023-010,神经合成技术,医疗,企业,武汉生物科学研究院,学术机构,华中科技大学,应用研究,进行中,2,武汉市,中国,2023/9/5,2023/10/1,2025/9/30,2024/10/12,神经调节合成系统,湖北省科学技术厅,http://www.hubei.gov.cn,2024-09-25,
抗病种植技术开发,2023-011,抗病基因合成,农业,企业,福建农业科技公司,学术机构,厦门大学,基础研究,准备中,1,福州市,中国,2023/11/20,2023/12/1,2025/11/30,2024/10/11,抗病基因合成系统,福建省科技厅,http://www.fj.gov.cn,2024-09-25,
合成抗病植物试验,2023-004,合成抗病基因技术,农业,企业,南京绿色农业有限公司,学术机构,南京农业大学,基础研究,正在进行,1,江苏省,中国,2023/7/15,2023/8/1,2024/7/31,2024/10/12,合成抗病基因系统,农业部科技发展中心,http://www.moa.gov.cn/,2024-09-25,
海洋微生物合成试验,2023-005,海洋微生物合成技术,环保、能源,学术机构,广州海洋大学,企业,广州生物科技公司,应用研究,已完成,2,广东省,中国,2022/9/15,2022/10/1,2023/9/30,2023/9/30,海洋微生物资源库,广东省科技厅,http://gdstc.gd.gov.cn/,2024-09-25,
合成代谢途径优化试验,2023-006,代谢工程技术,制药、食品,企业,北京药业有限公司,学术机构,中国科学院生物物理研究所,应用研究,正在进行,1,北京市,中国,2023/5/1,2023/5/15,2024/5/14,2024/10/12,代谢网络调控系统,国家药监局,http://www.nmpa.gov.cn/,2024-09-25,
合成干细胞研究试验,2023-007,人诱导干细胞技术,医疗,学术机构,复旦大学,企业,上海生物医疗科技有限公司,基础研究,正在进行,3,上海市,中国,2023/6/10,2023/6/20,2025/6/19,2024/10/12,干细胞诱导系统,中国科学院干细胞技术中心,http://www.stemcell.cn/,2024-09-25,
合成生物燃料试验,2023-008,生物燃料合成技术,能源、环保,企业,重庆新能源公司,学术机构,西南大学,应用研究,已完成,2,重庆市,中国,2022/11/5,2022/11/20,2023/11/19,2023/11/19,生物转化系统,重庆市科技局,http://www.cqst.gov.cn/,2024-09-25,
合成疫苗试验,2023-009,合成多肽疫苗技术,医疗,企业,杭州生物医药研究院,学术机构,浙江大学,基础研究,正在进行,1,浙江省,中国,2023/8/1,2023/8/15,2024/8/14,2024/10/12,多肽合成系统,国家卫生健康委员会,http://www.nhc.gov.cn/,2024-09-25,
合成生物塑料试验,2023-010,生物塑料合成技术,环保、材料,企业,武汉新材料公司,学术机构,华中科技大学,应用研究,正在进行,2,湖北省,中国,2023/9/1,2023/9/15,2024/9/14,2024/10/12,生物聚合物合成系统,湖北省科技厅,http://www.hbkj.gov.cn/,2024-09-25,
自然界基因组挖掘试验,2023-011,基因组编辑与合成技术,生态、农业,学术机构,中国农业科学院,企业,北京农业科技公司,基础研究,已完成,2,北京市,中国,2022/10/20,2022/11/1,2023/10/31,2023/10/31,基因组分析系统,国家自然科学基金委员会,http://www.nsfc.gov.cn/,2024-09-25,
合成抗菌技术试验,2023-012,抗菌肽合成技术,医疗、农业,企业,长沙生物技术公司,学术机构,中南大学,应用研究,正在进行,1,湖南省,中国,2023/2/1,2023/2/15,2024/2/14,2024/10/12,抗菌肽合成系统,湖南省科学技术厅,http://www.hnst.gov.cn/,2024-09-25,
植物基因改良试验,2023-004,植物基因编辑,农业、环境,企业,成都绿色农业科技公司,学术机构,西南大学,基础研究,正在进行,1,四川省,中国,2023/2/5,2023/3/1,2024/6/30,2024/10/12,CRISPR/Cas12系统,四川省农业厅,http://www.scagri.gov.cn/,2024-09-25,
合成生物药物试验,2023-005,合成生物制药,制药、医疗,企业,广州生物技术公司,学术机构,中山大学,应用研究,即将开始,2,广东省,中国,2023/5/15,2023/9/1,2025/2/28,2024/10/12,生物合成通路,广州市科学技术局,http://www.gz.gov.cn/,2024-09-25,
合成生物肥料试验,2023-006,合成微生物肥料,农业、环境,农业合作社,江苏省可持续农业合作社,学术机构,南京农业大学,应用研究,正在进行,1,江苏省,中国,2023/4/10,2023/5/1,2024/11/30,2024/10/12,合成微生物营养系统,江苏省农业厅,https://www.jiangsu.gov.cn/,2024-09-25,
水域生态修复试验,2023-007,合成生物修复菌,环境、生物技术,学术机构,南京环境科学院,企业,杭州生物科技公司,基础研究,正在进行,1,江苏省,中国,2023/3/22,2023/4/15,2025/3/15,2024/10/12,合成生物修复系统,生态环境部,http://www.mee.gov.cn/,2024-09-25,
合成蛋白质试验,2023-008,重组蛋白生产,制药、食品,企业,深圳蛋白科技公司,学术机构,清华大学,应用研究,已完成,3,广东省,中国,2023/7/11,2023/8/1,2024/5/30,2024/10/12,大肠杆菌表达系统,深圳市食品药品监督管理局,http://www.szjd.gov.cn/,2024-09-25,
合成生物传感器试验,2023-009,生物传感器开发,生物监测、医疗,企业,上海传感科技公司,学术机构,复旦大学,基础研究,正在进行,1,上海市,中国,2023/5/25,2023/6/15,2024/9/14,2024/10/12,合成生物传感系统,上海市科技委员会,http://www.stcsm.sh.gov.cn/,2024-09-25,
合成疫苗开发试验,2023-010,合成生物疫苗,医疗、公共卫生,企业,北京疫苗研发中心,学术机构,北京大学,应用研究,即将开始,2,北京市,中国,2023/6/5,2023/12/1,2025/6/1,2024/10/12,合成RNA疫苗系统,国家卫生健康委员会,http://www.nhc.gov.cn/,2024-09-25,
人造器官生长试验,2023-011,3D生物打印,医疗、科研,学术机构,中国科学院合成生物研究所,企业,厦门生物科技有限公司,基础研究,正在进行,3,福建省,中国,2023/8/20,2023/9/10,2025/12/10,2024/10/12,3D生物打印技术,福建省科技厅,http://www.fj.gov.cn/,2024-09-25,
食品级合成微生物试验,2023-012,合成代谢微生物,食品、农业,企业,北京合成食品科技公司,学术机构,中国农业大学,应用研究,正在进行,2,北京市,中国,2023/9/15,2023/10/5,2025/4/30,2024/10/12,合成代谢路径系统,北京市农业局,http://www.bjagriculture.gov.cn/,2024-09-25,
新一代生物燃料开发试验,2023-004,生物燃料合成技术,能源、环境,企业,https://www.gz.gov.cn/zfxxgk/zfxxgkml/2023/energy_biotechnology,2024/10/12,生物燃料代谢工程,广州市科技局,广州清洁能源公司,学术机构,中山大学,应用研究,正在进行,2,广州市,中国,2023/6/10,2023/7/1,2025/6/30,2024-09-25,
合成植物抗逆性研究,2023-005,合成植物基因技术,农业、食品,企业,https://www.hunan.gov.cn/tech/synthetic_plants,2024/10/12,转基因植物系统,湖南省科技厅,湖南农业科技公司,学术机构,湖南农业大学,基础研究,已完成,3,长沙市,中国,2023/2/25,2023/3/1,2024/12/31,2024-09-25,
合成药物导向系统研究,2023-006,药物合成与输送技术,医疗、制药,学术机构,https://www.fudan.edu.cn/pharmacy_research,2024/10/12,智能药物输送粒子,上海医学研究中心,复旦大学,企业,上海医药公司,应用研究,正在进行,1,上海市,中国,2023/8/15,2023/9/1,2025/8/31,2024-09-25,
合成抗体开发研究,2023-007,单克隆抗体合成技术,医疗、疫苗,企业,https://www.cas.cn/news/2023/antibody_research,2024/10/12,单克隆抗体表达系统,中国科学院,杭州生物制药公司,学术机构,中国科学院生物化学研究所,基础研究,已完成,3,杭州市,中国,2023/4/12,2023/5/1,2024/4/30,2024-09-25,
人类微生物组特征研究,2023-008,微生物组分析技术,医疗、生活质量,学术机构,https://www.nhc.gov.cn/microbiota_research,2024/10/12,微生物组数据分析平台,国家卫生健康委员会,清华大学,医疗机构,北京协和医院,应用研究,正在进行,2,北京市,中国,2023/7/2,2023/7/10,2025/7/9,2024-09-25,
合成生物技术在水处理中的应用,2023-009,合成微生物水处理技术,环境、清洁水源,企业,https://www.cd.gov.cn/water_treatment,2024/10/12,生物水处理微生物群体,成都市环保局,成都水处理科技公司,学术机构,西南交通大学,基础研究,正在进行,1,成都市,中国,2023/5/30,2023/6/15,2024/6/14,2024-09-25,
合成生物技术及其影响研究,2023-010,合成生物学综合示范,社会、政策研究,学术机构,https://www.ndrc.gov.cn/synthetic_biology_study,2024/10/12,合成生物影响分析系统,国家发展改革委员会,北京大学合成生物学研究中心,研究院所,发展研究中心,政策研究,已完成,2,北京市,中国,2023/1/20,2023/2/10,2024/1/10,2024-09-25,
合成疫苗研究与开发,2023-011,基因合成疫苗技术,医疗、公共卫生,企业,https://www.fujian.gov.cn/vaccine_research,2024/10/12,基因疫苗合成平台,福建省卫生健康委员会,厦门生物制药公司,学术机构,厦门大学,基础研究,正在进行,1,厦门市,中国,2023/9/1,2023/9/15,2025/9/14,2024-09-25,
合成生物技术的伦理与政策研究,2023-012,合成生物伦理政策分析,社会、伦理,学术机构,https://www.cssn.cn/synthetic_ethics,2024/10/12,生物伦理政策分析系统,中华社会科学网,中国社会科学院,政策研究机构,国际合成生物学协会,政策研究,已完成,2,北京市,中国,2023/7/22,2023/8/1,2024/8/1,2024-09-25,
合成抗体技术试验,2023-004,合成抗体技术,医疗、生物研究,企业,广州生物医药有限公司,学术机构,中山大学,应用研究,正在进行,1,广东省,中国,2023/2/1,2023/2/15,2024/2/14,2024/11/1,抗体开发系统,广州市科技局,https://www.gzst.gov.cn/,2024-09-25,
合成生物适应性技术试验,2023-005,合成生物适应性,农业、生态,学术机构,天津农业大学,企业,天津绿色科技公司,基础研究,正在进行,2,天津市,中国,2023/3/15,2023/4/1,2025/3/31,2024/10/15,生物适应性系统,天津市科学技术委员会,http://www.tjkj.gov.cn/,2024-09-25,
基因驱动技术试验,2023-006,基因驱动技术,农业、公共卫生,企业,武汉基因科技有限公司,学术机构,华中农业大学,应用研究,等待审批,1,湖北省,中国,2023/4/10,2023/5/1,2024/6/30,2024/10/10,基因驱动系统,湖北省科学技术厅,http://www.hbkj.gov.cn/,2024-09-25,
微生物合成药物技术试验,2023-007,微生物合成药物,制药、医疗,企业,成都生物医药有限公司,学术机构,电子科技大学,基础研究,正在进行,3,四川省,中国,2023/5/25,2023/6/5,2025/6/5,2024/10/20,微生物合成系统,四川省科学技术局,https://www.sckj.gov.cn/,2024-09-25,
合成生物肥料试验,2023-008,合成生物肥料,农业、环保,学术机构,哈尔滨工业大学,企业,黑龙江省农业公司,应用研究,已完成,2,黑龙江省,中国,2023/6/10,2023/7/1,2024/5/31,2024/9/25,肥料合成系统,黑龙江科学技术厅,http://www.hljkj.gov.cn/,2024-09-25,
人造生命体试验,2023-009,人造生命体,科技、教育,企业,重庆智能科技有限公司,学术机构,重庆大学,基础研究,正在进行,1,重庆市,中国,2023/7/15,2023/8/1,2024/7/31,2024/10/12,生命体构建系统,重庆市科技局,https://www.cqkj.gov.cn/,2024-09-25,
肠道微生物组调控技术试验,2023-010,肠道微生物组调控,医疗、营养,企业,南京生物技术公司,学术机构,南京医科大学,应用研究,正在进行,1,江苏省,中国,2023/8/5,2023/8/20,2024/8/19,2024/10/15,微生物组调控系统,江苏省科技局,https://www.jsskj.gov.cn/,2024-09-25,
基因治疗创新技术试验,2023-011,基因治疗技术,医疗、临床,学术机构,西安交通大学,企业,西安生命科技有限公司,应用研究,已完成,3,陕西省,中国,2023/9/12,2023/10/1,2025/9/30,2024/9/30,基因治疗系统,陕西省科技厅,http://www.sxkj.gov.cn/,2024-09-25,
微生物环境治理技术试验,2023-012,微生物环境治理,环保、农业,企业,杭州生态科技公司,学术机构,浙江大学,应用研究,正在进行,2,浙江省,中国,2023/10/20,2023/11/1,2025/10/31,2024/11/1,环境治理系统,浙江省科技厅,http://www.zjkjt.gov.cn/,2024-09-25,
基因驱动技术在害虫控制中的应用,2023-004,基因驱动技术,农业、生态保护,企业,广州生物科技有限公司,学术机构,华南农业大学,应用研究,正在进行,1,广州市,中国,2023/2/17,2023/3/1,2025/2/28,2024/10/12,基因驱动系统,中国农业科学院,https://www.caas.cn,2024-09-25,
合成生物学在新药研发中的应用,2023-005,合成生物学技术,制药,学术机构,复旦大学,企业,上海生命科学研究院,应用研究,正在进行,2,上海市,中国,2023/4/20,2023/5/1,2025/4/30,2024/10/12,新型抗体系统,上海市卫生健康委员会,https://wsjkw.sh.gov.cn,2024-09-25,
微生物合成氢气生产技术探索,2023-006,微生物发酵技术,能源,企业,北京清洁能源公司,学术机构,北京理工大学,基础研究,正在进行,1,北京市,中国,2023/5/15,2023/6/1,2024/12/31,2024/10/12,微生物发酵系统,国家能源局,https://www.nea.gov.cn,2024-09-25,
合成生物学提升植物耐旱性的研究,2023-007,植物基因编辑技术,农业,学术机构,中国农业大学,企业,浙江农林大学,基础研究,正在进行,3,北京市,中国,2023/6/10,2023/7/1,2025/6/30,2024/10/12,植物基因组修改系统,国家植物基因组研究中心,http://www.npgc.ac.cn,2024-09-25,
