登记号,地方标准,合成生物技术名称,合成生物技术类型,试验状态,试验分期,试验分类,申办者单位,试验机构,登记日期,试验开始时间,试验终止时间,最新状态日期,规范企业名称,注册受理号,股票代码,申报类型,规范企业名称.1,采集来源,来源链接,采集时间,备注
2023SR0181053,DB/T1234-2023,生物燃料合成技术,生物能源,正在进行,第三阶段,能源开发,东北能源公司,吉林大学,2023-10-01,2023-10-15,2025-10-14,2024-10-10,东北能源公司,GHZYLZC2100011,BK1181,新技术申请,东北能源公司,能源科技网,https://www.energytech.cn,2024-09-23,
2023SR0181179,DB/T4567-2023,合成病毒载体,生物医药,正在进行,第二阶段,疫苗研发,天津生物科技公司,南开大学,2023-08-20,2023-09-01,2025-08-31,2024-10-11,天津生物科技公司,GHZYLZC2100002,BK1182,新技术申请,天津生物科技公司,病毒与免疫学杂志,https://virologyimmunologyjournal.com,2024-09-23,
2023SR0181204,DB/T2345-2023,合成生物药物,药物开发,正在进行,第一阶段,早期研究,广州药业集团,中山大学,2023-02-20,2023-03-01,2025-02-28,2024-10-12,广州药业集团,GHZYLZC2100003,BK1183,新技术申请,广州药业集团,药物开发网,https://www.drugdev.com,2024-09-23,
2023SR0271983,DB/T6789-2023,基因驱动系统,基因编辑,正在进行,第二阶段,田间试验,武汉基因科技公司,华中科技大学,2023-06-01,2023-06-10,2024-12-31,2024-10-12,武汉基因科技公司,GHZYLZC2100004,BK1184,新技术申请,武汉基因科技公司,基因科技杂志,https://www.genescience.com.cn,2024-09-23,
2024SR0362547,DB/T3456-2023,合成生物燃料,生物能源,已完成,第三阶段,工业试验,哈尔滨生物能源研究院,哈尔滨工业大学,2023-01-05,2023-02-01,2024-01-31,2024-09-30,哈尔滨生物能源研究院,GHZYLZC2100005,BK1175,新技术报告,哈尔滨生物能源研究院,可再生能源期刊,https://www.renewableenergyjournal.com,2024-09-23,
2022SR0493720,DB/T7890-2023,生物传感器,生物医学,正在进行,第一阶段,临床前研究,南京生物技术公司,南京大学,2023-04-15,2023-04-20,2025-04-19,2024-10-12,南京生物技术公司,GHZYLZC2100006,BK1176,新产品申请,南京生物技术公司,生物医学论坛,https://www.biomedforum.com,2024-09-23,
2023SR0281745,DB/T9102-2023,智能合成生物模型,计算生物学,正在进行,第二阶段,理论研究,杭州计算生物研究所,浙江大学,2023-07-01,2023-07-15,2025-07-14,2024-10-12,杭州计算生物研究所,GHZYLZC2100007,BK1177,新技术申请,杭州计算生物研究所,生物模型期刊,https://www.biomodeljournal.com,2024-09-23,
2022SR0193846,DB/T1122-2023,多肽合成技术,蛋白质工程,已完成,第三阶段,工业化试验,成都蛋白质研究中心,四川大学,2023-05-10,2023-05-15,2024-11-30,2024-10-12,成都蛋白质研究中心,GHZYLZC2100008,BK1178,新技术报告,成都蛋白质研究中心,蛋白质结构期刊,https://www.proteinstructurejournal.com,2024-09-23,
2024SR0256789,DB/T2233-2023,合成食物安全系统,食物科技,正在进行,第一阶段,产品开发,青岛食品科技公司,青岛农业大学,2023-08-20,2023-09-01,2025-08-31,2024-10-12,青岛食品科技公司,GHZYLZC2100009,BK1179,新技术申请,青岛食品科技公司,食品科技网,https://www.foodtechnology.com.cn,2024-09-23,
2022SR0348291,DB/T3344-2023,合成动植物基因组,基因组编辑,即将启动,第一阶段,基础研究,福州生物科技研究所,福州大学,2023-09-10,2023-09-15,2025-09-14,2024-10-12,福州生物科技研究所,GHZYLZC2100010,BK1180,新技术申请,福州生物科技研究所,基因组科学刊,https://www.genome-science.com,2024-09-23,
2023SR0124578,DB/T2345-2023,合成氨基酸生产,代谢工程,正在进行,第二阶段,工业化生产,广州合成生物技术公司,华南理工大学,2023-07-01,2023-08-01,2025-07-31,2024-10-12,广州合成生物技术公司,GHZYLZC2100011,BK1181,新技术申请,广州合成生物技术公司,中国化工报,https://www.ccn.com.cn/,2024-09-23,
2024SR0182934,DB/T3456-2023,基因驱动技术,基因编辑,正在进行,第一阶段,实验室研究,杭州基因科技公司,浙江大学,2023-06-15,2023-07-01,2024-06-30,2024-10-12,杭州基因科技公司,GHZYLZC2100002,BK1182,新技术申请,杭州基因科技公司,生命科学论坛,https://lifescience.net/,2024-09-23,
2022SR0392845,DB/T4567-2023,合成植物生长素,植物工程,正在进行,第三阶段,临床前研究,成都农业科技研究所,四川农业大学,2023-08-25,2023-09-01,2025-08-31,2024-10-12,成都农业科技研究所,GHZYLZC2100003,BK1183,新技术申请,成都农业科技研究所,中国农业科技网,http://www.caas.cn/,2024-09-23,
2023SR0190451,DB/T5671-2023,细胞工厂生产,微生物工程,正在进行,第一阶段,实验室研究,北京合成生物技术公司,中国科学院,2023-09-10,2023-10-01,2024-09-30,2024-10-12,北京合成生物技术公司,GHZYLZC2100004,BK1184,新技术申请,北京合成生物技术公司,科技创新网,http://www.innovation.gov.cn/,2024-09-23,
2023SR0190678,DB/T6789-2023,合成疫苗,医学工程,正在进行,第三阶段,临床试验,武汉生物医学公司,武汉大学,2023-09-15,2023-10-15,2025-10-14,2024-10-12,武汉生物医学公司,GHZYLZC2100005,BK1185,新技术申请,武汉生物医学公司,医学前沿,https://www.medfrontier.com/,2024-09-23,
2023SR0190892,DB/T7890-2023,可降解塑料合成,环境工程,正在进行,第二阶段,材料科学研究,南京环保科技公司,东南大学,2023-09-20,2023-10-20,2025-09-19,2024-10-12,南京环保科技公司,GHZYLZC2100006,BK1186,新技术申请,南京环保科技公司,环境科技研究院,https://www.envirotech.org/,2024-09-23,
2023SR0191123,DB/T8901-2023,转基因作物优化,转基因技术,正在进行,第一阶段,农业研究,云南农业科技公司,云南大学,2023-10-05,2023-11-01,2025-10-31,2024-10-12,云南农业科技公司,GHZYLZC2100007,BK1187,新技术申请,云南农业科技公司,农业科技信息网,http://www.agritechinfo.com/,2024-09-23,
2023SR0191345,DB/T9012-2023,生物合成药物,药物开发,正在进行,第三阶段,临床试验,天津制药企业,南开大学,2023-10-10,2023-11-15,2025-11-14,2024-10-12,天津制药企业,GHZYLZC2100008,BK1188,新技术申请,天津制药企业,药学进展,https://www.pharmacyprogress.com/,2024-09-23,
2023SR0191567,DB/T0123-2023,合成生物油,能源工程,正在进行,第二阶段,环保研究,青岛新能源公司,青岛科技大学,2023-10-12,2023-11-01,2025-10-31,2024-10-12,青岛新能源公司,GHZYLZC2100009,BK1189,新技术申请,青岛新能源公司,科技日报,https://www.stdaily.com/,2024-09-23,
2023SR0191789,DB/T3456-2023,合成疫苗平台,疫苗研发,正在进行,第一阶段,临床研究,广州生物科技公司,中山大学,2023-07-10,2023-08-01,2025-07-31,2024-10-12,广州生物科技公司,GHZYLZC2100010,BK1190,新技术申请,广州生物科技公司,医学前沿,https://www.medfrontier.com/,2024-09-23,
2023SR0192010,DB/T6789-2023,代谢工程微生物,微生物工程,已完成,第二阶段,工业化生产,宁波合成生物有限公司,宁波大学,2023-06-15,2023-06-30,2024-06-29,2024-10-12,宁波合成生物有限公司,GHZYLZC2100011,BK1174,新技术申请,宁波合成生物有限公司,科技创新网,https://www.innovationtech.cn/,2024-09-23,
2023SR0192234,DB/T4321-2023,合成生物塑料,材料科学,进行中,第三阶段,商业化,杭州环保科技公司,浙江大学,2023-08-05,2023-09-01,2025-08-31,2024-10-12,杭州环保科技公司,GHZYLZC2100002,XY2786,新技术申请,杭州环保科技公司,环境科学论坛,https://www.envforum.cn/,2024-09-23,
2023SR0192456,DB/T9876-2023,智能合成生物平台,计算生物,正在进行,第一阶段,技术开发,西安合成生物研究所,西安交通大学,2023-09-12,2023-10-01,2025-09-30,2024-10-12,西安合成生物研究所,GHZYLZC2100003,QW4532,新技术申请,西安合成生物研究所,生物技术新闻,https://www.biotechnews.cn/,2024-09-23,
2023SR0190123,DB/T1357-2023,多肽合成技术,分子生物学,已完成,第二阶段,药物开发,成都分子诊断公司,四川大学,2023-10-01,2023-10-15,2025-09-15,2024-10-12,成都分子诊断公司,GHZYLZC2100004,RT9821,新技术申请,成都分子诊断公司,中国科学报,https://www.sciencenews.cn/,2024-09-23,
2023SR0190456,DB/T2468-2023,合成生物传感器,生物传感器,进行中,第一阶段,应用研究,天津合成科技公司,南开大学,2023-10-10,2023-11-01,2025-10-31,2024-10-12,天津合成科技公司,GHZYLZC2100005,OP6268,新技术申请,天津合成科技公司,新技术日报,https://www.newstoday.com/,2024-09-23,
2023SR0190789,DB/T2578-2023,微生物基因组分析,基因组学,进行中,第三阶段,学术研究,郑州生物科学公司,河南大学,2023-10-20,2023-11-10,2025-11-09,2024-10-12,郑州生物科学公司,GHZYLZC2100006,AZ3209,新技术申请,郑州生物科学公司,中国生物科技网,https://www.chinabiotech.cn/,2024-09-23,
2023SR0190890,DB/T3691-2023,新型合成酶,酶工程,已完成,第二阶段,工业化生产,苏州生物技术有限公司,苏州大学,2023-10-25,2023-11-15,2025-11-14,2024-10-12,苏州生物技术有限公司,GHZYLZC2100007,LD7641,新技术申请,苏州生物技术有限公司,生物工艺杂志,https://www.bioprocessjournal.com/,2024-09-23,
2023SR0191234,DB/T11111-2023,合成抗体药物,生物制药,正在进行,第一阶段,临床试验,广州生物制药公司,中山大学,2023-02-25,2023-03-10,2024-09-30,2024-10-12,广州生物制药公司,GHZYLZC2100008,NM5403,新技术申请,广州生物制药公司,生物技术前沿,https://www.biotechfrontier.com/,2024-09-23,
2023SR0191456,DB/T12121-2023,细胞治疗技术,细胞工程,正在进行,第二阶段,临床试验,武汉细胞研究中心,华中科技大学,2023-06-10,2023-07-15,2025-01-30,2024-10-12,武汉细胞研究中心,GHZYLZC2100009,EF8372,新技术申请,武汉细胞研究中心,细胞生物学杂志,https://www.cellbiologyjournal.com/,2024-09-23,
2023SR0191789,DB/T13131-2023,合成生物材料,新材料学,正在进行,第一阶段,材料研究,南京材料科学研究所,南京大学,2023-04-05,2023-04-20,2024-08-15,2024-10-12,南京材料科学研究所,GHZYLZC2100010,GH1945,新技术申请,南京材料科学研究所,材料科学进展,https://www.materialsprogresser.com/,2024-09-23,
2023SR0192001,DB/T14141-2023,合成代谢路径,代谢工程,正在进行,第三阶段,基础研究,成都合成生物研究所,四川大学,2023-03-15,2023-04-01,2025-03-01,2024-10-12,成都合成生物研究所,GHZYLZC2100011,BK1175,新技术申请,成都合成生物研究所,合成生物年鉴,https://www.synbioannual.com/,2024-09-23,
2023SR0192345,DB/T15151-2023,合成智能细胞,合成生物学,正在进行,第一阶段,实验室研究,厦门生物技术中心,厦门大学,2023-05-05,2023-05-20,2024-12-31,2024-10-12,厦门生物技术中心,GHZYLZC2100002,BK1176,新技术申请,厦门生物技术中心,合成研究网络,https://www.synbioresearch.net/,2024-09-23,
2023SR0192678,DB/T16161-2023,合成有机物,有机合成,正在进行,第二阶段,工业应用,苏州合成技术公司,苏州大学,2023-06-20,2023-07-05,2025-06-30,2024-10-12,苏州合成技术公司,GHZYLZC2100003,BK1177,新技术申请,苏州合成技术公司,化学工程学报,https://www.chemengineeringjournal.com/,2024-09-23,
2023SR0192021,DB/T17171-2023,合成生物塑料,环保材料,正在进行,第三阶段,材料开发,杭州环境科技公司,浙江大学,2023-08-19,2023-09-01,2025-05-30,2024-10-12,杭州环境科技公司,GHZYLZC2100004,BK1178,新技术申请,杭州环境科技公司,可持续发展报告,https://www.sustainabledevreport.com/,2024-09-23,
2022SR0183754,DB/T2345-2023,合成抗体开发,生物制药,正在进行,第一阶段,临床前研究,广州生物技术公司,中山大学,2023-06-01,2023-06-15,2024-06-14,2024-10-12,广州生物技术公司,GHZYLZC2100005,BK1179,新技术申请,广州生物技术公司,生物医药网,https://www.biomedicine.com/,2024-09-23,
2023SR0198463,DB/T3456-2023,合成脂质体,药物递送平台,已完成,第三阶段,市场推广,成都创新生物科技有限公司,电子科技大学,2023-07-10,2023-07-20,2024-07-19,2024-10-12,成都创新生物科技有限公司,GHZYLZC2100006,BK1180,新技术申请,成都创新生物科技有限公司,药物开发前沿,https://www.drugdevfrontier.com/,2024-09-23,
2022SR0185698,DB/T4567-2023,合成植物细胞,农业生物技术,延期,第一阶段,基础研究,南京农业生物研究所,南京农业大学,2023-07-25,2023-08-01,2025-07-31,2024-09-01,南京农业生物研究所,GHZYLZC2100007,BK1181,新技术申请,南京农业生物研究所,农业科技网,https://www.agri-tech.cn/,2024-09-23,
2023SR0190047,DB/T5678-2023,合成皮肤模型,医学研究,已完成,第二阶段,临床试验,杭州生物科技有限公司,浙江大学,2023-08-05,2023-08-10,2024-08-09,2024-10-12,杭州生物科技有限公司,GHZYLZC2100008,BK1182,新技术申请,杭州生物科技有限公司,生物医学评论,https://www.biomedrev.com/,2024-09-23,
2022SR0182759,DB/T6789-2023,个性化疫苗,免疫疗法,正在进行,第一阶段,临床前研究,武汉市生物医药研究中心,武汉大学,2023-09-01,2023-09-15,2024-09-14,2024-10-12,武汉市生物医药研究中心,GHZYLZC2100009,BK1183,新技术申请,武汉市生物医药研究中心,免疫学杂志,https://www.journalofimmunology.com/,2024-09-23,
2023SR0191582,DB/T7890-2023,新型生物肥料,环境生物技术,已完成,第二阶段,应用研究,河北环保生物有限公司,河北农业大学,2023-09-15,2023-09-20,2025-09-19,2024-10-12,河北环保生物有限公司,GHZYLZC2100010,BK1184,新技术申请,河北环保生物有限公司,农业创新网,https://www.agriinnovation.net/,2024-09-23,
2022SR0184263,DB/T8901-2023,基因组重组技术,基因工程,正在进行,第一阶段,基础研究,陕西省生物技术优秀研究所,西安交通大学,2023-09-30,2023-10-10,2024-10-09,2024-10-12,陕西省生物技术优秀研究所,GHZYLZC2100002,BK1175,新技术申请,陕西省生物技术优秀研究所,科技进步与对策,https://www.stpdc.net/,2024-09-23,
2023SR0197358,DB/T9012-2023,合成基因电路,合成生物学,延期,第二阶段,工业化试验,厦门合成生物技术有限公司,厦门大学,2023-10-02,2023-10-15,2025-10-14,2024-10-12,厦门合成生物技术有限公司,GHZYLZC2100003,BK1176,新技术申请,厦门合成生物技术有限公司,合成生物学国际期刊,https://www.springernature.com/gp/librarians/products/journals/synbio,2024-09-23,
2022SR0187420,DB/T2345-2023,抗毒素细菌的合成,微生物工程,已完成,第三阶段,应用研究,青岛生命科学研究院,青岛科技大学,2023-06-15,2023-07-01,2024-06-30,2024-10-12,青岛生命科学研究院,GHZYLZC2100004,BK1177,新技术申请,青岛生命科学研究院,生物工程网,https://www.bioengineering.cn/,2024-09-23,
2023SR0190284,DB/T3456-2023,高效光合作用微生物,能源生物技术,正在进行,第一阶段,实验室研究,武汉生物科技中心,华中农业大学,2023-08-10,2023-09-01,2024-08-31,2024-10-12,武汉生物科技中心,GHZYLZC2100005,BK1178,新技术申请,武汉生物科技中心,人民科学网,https://www.people.cn/science/,2024-09-23,
2024SR0200387,DB/T4567-2023,生物降解塑料合成,环境合成,正在进行,第二阶段,工业化生产,杭州新能源公司,浙江大学,2023-07-20,2023-08-01,2024-12-31,2024-10-12,杭州新能源公司,GHZYLZC2100006,BK1179,新技术申请,杭州新能源公司,环保科技杂志,https://www.eptechmag.com/,2024-09-23,
2025SR0210471,DB/T5678-2023,自愈合材料的开发,材料合成,已完成,第三阶段,应用研究,广州材料科学中心,中山大学,2023-09-05,2023-09-20,2024-08-31,2024-10-12,广州材料科学中心,GHZYLZC2100007,BK1180,新技术申请,广州材料科学中心,新材料应用期刊,https://www.materialsjournal.com/,2024-09-23,
2022SR0220569,DB/T6789-2023,合成疫苗平台,疫苗研发,正在进行,第一阶段,临床前研究,成都生物制药公司,四川大学,2023-10-01,2023-10-15,2025-10-14,2024-10-12,成都生物制药公司,GHZYLZC2100008,BK1181,新技术申请,成都生物制药公司,医学论坛网,https://www.medforum.cn/,2024-09-23,
2023SR0230652,DB/T7890-2023,基因驱动技术,基因编辑,已完成,第二阶段,桌面研究,西安生物科技公司,西安交通大学,2023-11-05,2023-11-20,2024-11-19,2024-10-12,西安生物科技公司,GHZYLZC2100009,BK1182,新技术申请,西安生物科技公司,科学网,https://www.sciencenet.cn/,2024-09-23,
2024SR0240746,DB/T8901-2023,合成非洲猪瘟疫苗,疫苗研发,正在进行,第一阶段,临床研究,哈尔滨兽药研究所,东北农业大学,2023-12-01,2023-12-15,2025-12-14,2024-10-12,哈尔滨兽药研究所,GHZYLZC2100010,BK1183,新技术申请,哈尔滨兽药研究所,动物医学期刊,https://www.veterinaryjournal.com/,2024-09-23,
2025SR0250833,DB/T2345-2023,合成疫苗平台,疫苗工程,正在进行,第一阶段,临床前研究,北京中生生物科技公司,中国医学科学院,2023-05-10,2023-06-15,2024-06-14,2024-10-12,北京中生生物科技公司,GHZYLZC2100011,BK1184,新技术申请,北京中生生物科技公司,生物技术前沿,https://www.biotechfrontier.com/,2024-09-23,
2022SR0260915,DB/T3456-2023,合成生物燃料,生物能源,正在进行,第二阶段,工业应用,广州能源科技股份有限公司,华南理工大学,2023-07-01,2023-08-15,2025-07-14,2024-10-12,广州能源科技股份有限公司,GHZYLZC2100002,BK1175,新技术申请,广州能源科技股份有限公司,能源网,https://www.energy.gov.cn/,2024-09-23,
2023SR0271024,DB/T4567-2023,智能药物合成,药物开发,即将开始,第一阶段,临床研究,杭州药品研发中心,浙江大学,2023-08-20,2023-09-15,2025-09-14,2024-10-12,杭州药品研发中心,GHZYLZC2100003,BK1176,新技术申请,杭州药品研发中心,药学与药品期刊,https://jpp.scu.edu.cn/,2024-09-23,
2024SR0281136,DB/T5670-2023,合成生物材料,材料科学,正在进行,第三阶段,工业应用,江苏合成材料有限公司,南京理工大学,2023-06-30,2023-07-15,2024-12-31,2024-10-12,江苏合成材料有限公司,GHZYLZC2100004,BK1177,新技术申请,江苏合成材料有限公司,材料科学期刊,https://www.materialssciencejournal.com/,2024-09-23,
2023SR0190345,DB/T6789-2023,合成细胞治疗,细胞治疗,正在进行,第二阶段,临床试验,广东精准医疗研究所,中山大学,2023-09-10,2023-10-01,2025-09-30,2024-10-12,广东精准医疗研究所,GHZYLZC2100005,BK1178,新技术申请,广东精准医疗研究所,医学前沿,https://www.medicalfrontiers.com/,2024-09-23,
2023SR0190456,DB/T7890-2023,生物转化技术,生物工程,正在进行,第一阶段,科技攻关,陕西生物技术研究中心,西北大学,2023-10-15,2023-11-01,2024-10-31,2024-10-12,陕西生物技术研究中心,GHZYLZC2100006,BK1179,新技术申请,陕西生物技术研究中心,生物技术日报,https://www.biotechdaily.com.cn/,2024-09-23,
2023SR0190567,DB/T8901-2023,基因合成技术,基因工程,即将开始,第二阶段,实验室研究,内蒙古生物科技集团,内蒙古大学,2023-09-25,2023-10-20,2025-10-19,2024-10-12,内蒙古生物科技集团,GHZYLZC2100007,BK1180,新技术申请,内蒙古生物科技集团,中国科技网,https://www.sciencenet.cn/,2024-09-23,
2023SR0190678,DB/T9012-2023,合成肠道微生物群,微生物工程,正在进行,第三阶段,实验室研究,天津市生物研发中心,南开大学,2023-11-01,2023-11-15,2025-11-14,2024-10-12,天津市生物研发中心,GHZYLZC2100008,BK1181,新技术申请,天津市生物研发中心,微生物学报,https://www.microbiologyjournal.com/,2024-09-23,
2023SR0190789,DB/T1112-2023,合成疫苗技术,疫苗工程,即将启动,第一阶段,临床研究,广州生物技术公司,中山大学,2023-02-22,2023-07-01,2024-06-30,2024-10-12,广州生物技术公司,GHZYLZC2100009,BK1182,新技术申请,广州生物技术公司,生物医学期刊,https://www.biomedjournal.com,2024-09-23,
2023SR0190890,DB/T1314-2023,植物合成生物技术,农业生物,正在进行,第二阶段,田间试验,浙江农业大学,浙江大学,2023-04-01,2023-04-15,2025-04-14,2024-10-12,浙江农业大学,GHZYLZC2100010,BK1183,新技术申请,浙江农业大学,农业科技杂志,https://www.agriculturaljournal.com,2024-09-23,
2023SR0190901,DB/T1516-2023,合成蛋白质,合成生物学,正在进行,第三阶段,生物制造,江苏生命科技公司,南京工业大学,2023-02-10,2023-03-01,2025-02-28,2024-10-12,江苏生命科技公司,GHZYLZC2100011,BK1184,新技术申请,江苏生命科技公司,科技前沿,https://www.technologyfrontier.com,2024-09-23,
2023SR0191012,DB/T1718-2023,合成脂质体,药物递送,正在进行,第一阶段,临床前研究,武汉基因科技公司,华中科技大学,2023-03-18,2023-05-01,2024-04-30,2024-10-12,武汉基因科技公司,GHZYLZC2100002,BK1175,新技术申请,武汉基因科技公司,中国科学技术协会,https://www.cast.org.cn,2024-09-23,
2023SR0191123,DB/T1920-2023,合成多糖生产,食品工程,即将启动,第一阶段,实验室研究,四川食品科技有限公司,成都农业大学,2023-05-05,2023-08-01,2024-07-31,2024-10-12,四川食品科技有限公司,GHZYLZC2100003,BK1176,新技术申请,四川食品科技有限公司,农业科技网,https://www.agriculture-technology.com,2024-09-23,
2023SR0191234,DB/T2122-2023,合成改良土壤微生物,环境生物,正在进行,第二阶段,环境修复,河北环保科技公司,河北工程大学,2023-06-01,2023-06-15,2025-06-14,2024-10-12,河北环保科技公司,GHZYLZC2100004,BK1177,新技术申请,河北环保科技公司,生态杂志,https://www.ecosystemjournal.com,2024-09-23,
2023SR0281237,DB/T2324-2023,合成生物传感器,生物传感技术,正在进行,第三阶段,临床研究,福建生物传感器公司,福州大学,2023-07-10,2023-08-01,2025-07-31,2024-10-12,福建生物传感器公司,GHZYLZC2100005,BK1178,新技术申请,福建生物传感器公司,生物传感器期刊,https://www.biosensormagazine.com,2024-09-23,
2023SR0184569,DB/T2345-2023,合成生物合成肥料,农业生物技术,正在进行,第一阶段,实验室研究,南京农业大学,南京农业大学,2023-02-14,2023-03-01,2024-02-28,2024-10-12,南京农业大学,GHZYLZC2100006,BK1179,新技术申请,南京农业大学,农业科技网,https://www.agri-tech.com,2024-09-23,
2023SR0273482,DB/T3456-2023,基因驱动技术,基因编辑,已完成,第三阶段,应用研究,广州医科大学,广州医科大学,2023-03-05,2023-04-10,2023-12-31,2024-10-12,广州医科大学,GHZYLZC2100007,BK1180,新技术申请,广州医科大学,医学综述期刊,https://www.medicaljournal.cn/,2024-09-23,
2023SR0189321,DB/T4567-2023,环境修复微生物,微生物工程,正在进行,第二阶段,田间试验,郑州大学,河南省环境科学研究院,2023-04-12,2023-05-15,2025-05-14,2024-10-12,郑州大学,GHZYLZC2100008,BK1181,新技术申请,郑州大学,环境保护部,https://www.mee.gov.cn/,2024-09-23,
2023SR0298745,DB/T5671-2023,植物基因组学研究,基因组学,已完成,最后阶段,基础研究,青岛大学,青岛大学,2023-05-05,2023-06-10,2024-06-09,2024-10-12,青岛大学,GHZYLZC2100009,BK1182,新技术申请,青岛大学,植物学研究杂志,https://www.plantbiologyjournal.com/,2024-09-23,
2023SR0264837,DB/T6789-2023,基因疫苗开发,疫苗技术,正在进行,第二阶段,临床研究,天津生物制药公司,天津医科大学,2023-06-01,2023-07-01,2025-06-30,2024-10-12,天津生物制药公司,GHZYLZC2100010,BK1183,新技术申请,天津生物制药公司,生物医学范围,https://www.biomedjournal.com/,2024-09-23,
2023SR0157684,DB/T7890-2023,合成生物塑料,材料科学,正在进行,第一阶段,技术开发,上海合成材料公司,复旦大学,2023-08-07,2023-09-01,2024-08-31,2024-10-12,上海合成材料公司,GHZYLZC2100011,BK1184,新技术申请,上海合成材料公司,新材料研究院,https://www.materialsjournal.com/,2024-09-23,
2023SR0213456,DB/T8901-2023,细菌合成氢气,能源技术,正在进行,第一阶段,应用研究,安徽省能源研究院,合肥工业大学,2023-09-10,2023-10-01,2024-09-30,2024-10-12,安徽省能源研究院,GHZYLZC2100002,BK1175,新技术申请,安徽省能源研究院,中国能源网,https://www.energychina.com/,2024-09-23,
2023SR0198765,DB/T9012-2023,细胞工厂技术,工业微生物,已完成,第三阶段,产品开发,杭州生物工程公司,浙江大学,2023-04-20,2023-05-15,2024-04-30,2024-10-12,杭州生物工程公司,GHZYLZC2100003,BK1176,新技术申请,杭州生物工程公司,科技前沿期刊,https://www.techfrontierjournal.com/,2024-09-23,
2023SR0279142,DB/T1357-2023,合成代谢途径,代谢工程,正在进行,第一阶段,实验室研究,广州生物科技研究院,中山大学,2023-06-10,2023-07-01,2024-06-30,2024-10-12,广州生物科技研究院,GHZYLZC2100004,BK1177,新技术申请,广州生物科技研究院,生物技術网,https://www.biotech.com,2024-09-23,
2023SR0123456,DB/T2468-2023,合成细菌疫苗,生物药物,正在进行,第二阶段,临床试验,成都生物制药公司,四川大学,2023-07-15,2023-08-01,2025-07-31,2024-10-12,成都生物制药公司,GHZYLZC2100005,BK1178,新药申请,成都生物制药公司,新药与临床海报,https://www.clinicaltrials.gov,2024-09-23,
2023SR0234567,DB/T3579-2023,基因驱动系统,基因工程,已完成,第三阶段,生态应用,武汉基因科技中心,华中科技大学,2023-08-02,2023-09-01,2024-08-31,2024-10-12,武汉基因科技中心,GHZYLZC2100006,BK1179,技术革新申请,武汉基因科技中心,基因论坛,https://gene-forum.org,2024-09-23,
2023SR0345678,DB/T4680-2023,合成植物,农业生物技术,正在进行,第一阶段,农田试验,沈阳农业科技公司,东北农业大学,2023-09-05,2023-10-01,2024-09-30,2024-10-12,沈阳农业科技公司,GHZYLZC2100007,BK1180,新技术申请,沈阳农业科技公司,农业科技发展,https://agriculturaltech.com,2024-09-23,
2023SR0456789,DB/T5791-2023,生物制造平台,合成生物,正在进行,第二阶段,产业化发展,南京合成生物技术公司,南京大学,2023-10-10,2023-11-01,2025-10-31,2024-10-12,南京合成生物技术公司,GHZYLZC2100008,BK1181,新技术申请,南京合成生物技术公司,创新科技周刊,https://innovationweekly.com,2024-09-23,
2023SR0567890,DB/T6802-2023,植物合成生物学,植物生物技术,已完成,第三阶段,现场试验,哈尔滨农业研究所,东北林业大学,2023-07-20,2023-08-15,2024-02-15,2024-10-12,哈尔滨农业研究所,GHZYLZC2100009,BK1182,新技术申请,哈尔滨农业研究所,农业科技发展,https://agriculturalinnovation.com,2024-09-23,
2023SR0678901,DB/T7913-2023,合成生物传感器,传感技术,正在进行,第一阶段,实验室研究,浙江合成科技实验室,浙江大学,2023-08-30,2023-09-01,2025-08-31,2024-10-12,浙江合成科技实验室,GHZYLZC2100010,BK1183,新技术申请,浙江合成科技实验室,科技日报,https://www.stdaily.com,2024-09-23,
2023SR0789012,DB/T1357-2023,蛋白质合成系统优化,合成生物学,正在进行,第一阶段,基础研究,广州生物科技中心,华南农业大学,2023-06-15,2023-07-01,2024-06-30,2024-10-12,广州生物科技中心,GHZYLZC2100011,BK1184,新技术申请,广州生物科技中心,生物技术论坛,https://www.biotechforum.com,2024-09-23,
2023SR0890123,DB/T2468-2023,合成植物生长调节剂,农业生物技术,已结束,第三阶段,农业应用,南京农业科技集团,南京农业大学,2023-07-25,2023-08-15,2024-08-14,2024-10-12,南京农业科技集团,GHZYLZC2100002,BK1175,新技术申请,南京农业科技集团,农业科技网,https://www.agritechnews.cn,2024-09-23,
2023SR0901234,DB/T3579-2023,微生物燃料电池开发,能源生物技术,正在进行,第二阶段,环保技术开发,西安能源研究院,西安交通大学,2023-05-30,2023-06-10,2025-06-09,2024-10-12,西安能源研究院,GHZYLZC2100003,BK1176,新技术申请,西安能源研究院,清华大学科技博客,https://www.thu.edu.cn/news,2024-09-23,
2023SR1012345,DB/T4670-2023,基因驱动技术研究,基因工程,正在进行,第一阶段,生态研究,北京环境科学研究院,中国科学院,2023-04-05,2023-04-20,2024-04-19,2024-10-12,北京环境科学研究院,GHZYLZC2100004,BK1177,新技术申请,北京环境科学研究院,中国生态学会,https://ecosociety.com.cn,2024-09-23,
2023SR0191357,DB/T5781-2023,合成生物材料研发,材料科学,已结束,第三阶段,材料应用,杭州合成生物材料公司,浙江大学,2023-02-10,2023-03-01,2024-02-28,2024-10-12,杭州合成生物材料公司,GHZYLZC2100005,BK1178,新技术申请,杭州合成生物材料公司,材料科学网,https://www.materialsci.com.cn,2024-09-23,
