名称（字符型）,品牌（字符型）,型号（字符型）,售后服务（字符型）,操作系统（字符型）,生产厂商（字符型）,主处理器（字符型）,芯片（字符型）,操作方式（字符型）,仿生工具（字符型）,功能说明（字符型）,应用场景（字符型）,上市时间（日期型）,采集来源,来源链接,采集时间,备注,,,
智能监控系统,海康威视,DS-2CD2087G2-L,三年保修,Hikvision OS,海康威视,ARM Cortex-A7,Ambarella S3,远程控制,安全监控工具,提供1080P高清监控视频,家庭安全,2022-08-08,安防行业观察,https://www.securityblog.com,2024-09-13,,,,
智能饮水机,美的,Midea Aqua Pro,两年保修,Midea OS,美的,ARM Cortex-A55,MediaTek MT7688,APP控制,水质分析工具,智能调节饮用水温度,家庭饮水,2023-03-01,健康饮水研究报告,https://www.healthydrinking.com,2024-09-13,,,,
智能宠物喂食器,Petcube,Petcube Bites 2,两年保修,Petcube OS,Petcube Inc.,ARM Cortex-A7,Qualcomm Snapdragon,APP控制,饲养助手,定时定量喂食，支持远程监控,家庭宠物,2023-02-14,智能宠物产品研究,https://www.petcube.com,2024-09-13,,,,
智能音响,亚马逊,Echo Dot 4th Gen,一年保修,Alexa OS,Amazon,ARM Cortex-A53,MediaTek MT8167D,语音控制,智能助手,提供音乐播放、智能家居控制和信息查询,家庭娱乐,2020-10-01,智能家居评论网站,https://www.thewirecutter.com,2024-09-13,,,,
智能窗帘,Lutron,Caseta Wireless,两年保修,Lutron OS,Lutron Electronics,ARM Cortex-M4,Texas Instruments CC2530,APP控制,环境调节工具,自动化控制窗帘开合，支持定时设置,家庭智能化,2021-06-15,家电科技观察,https://www.electronicdesign.com,2024-09-13,,,,
智能电饭煲,美的,MC-SD301,一年保修,自研,美的集团,ARM Cortex-A9,Realtek RTL8710,APP控制,烹饪助手,智能烹饪程序，支持远程操控,家庭厨房,2022-02-20,美的全国分销网,https://www.midea.com,2024-09-13,,,,
智能健身镜,Mirror,Smart Mirror Pro,一年保修,Mirror OS,Lululemon,ARM Cortex-A53,Qualcomm Snapdragon 855,触控控制,健康助手,提供实时健身指导和课程,家庭健身,2022-03-01,健身行业报告,https://www.fitnessindustry.com,2024-09-13,,,,
智能冰箱,三星,Family Hub,两年保修,Tizen,Samsung,ARM Cortex-A72,Exynos 9611,APP和触控控制,生活助手,智能管理食材，新鲜度监控,家庭厨房,2021-04-15,电子产品研究中心,https://www.samsung.com,2024-09-13,,,,
智能水壶,Dyson,Pure Cool,两年保修,Dyson OS,Dyson,ARM Cortex-A55,Texas Instruments CC3220,APP控制,空气净化助手,实时监测空气质量，水温调节,家庭健康,2022-08-01,家用电器周刊,https://www.dyson.com,2024-09-13,,,,
智能烟雾探测器,Nest,Nest Protect,五年保修,Nest OS,Google,ARM Cortex-M0,Nordic Semiconductor NRF52832,APP控制,安全监控工具,烟雾报警，并提供远程通知,家庭安全,2021-09-10,智能家居评级平台,https://www.nest.com,2024-09-13,,,,
智能翻译器,讯飞,iFLYTEK Translating Device,一年保修,iFLYTEK OS,"iFLYTEK Co., Ltd.",ARM Cortex-A9,Qualcomm Snapdragon 710,语音控制,智能翻译助手,实时翻译多种语言，支持离线使用,家庭与旅行,2022-05-05,AI行业前沿,https://www.iflytek.com,2024-09-13,,,,
智能空气净化器,小米,Mi Air Purifier 3,一年保修,MIUI,小米科技,ARM Cortex-A7,Qualcomm APQ8016,APP控制,空气质量监测工具,多重过滤，实时监测空气质量,家庭健康,2021-01-10,小米产品资讯,https://www.mi.com,2024-09-13,,,,
智能空气净化器,戴森,Dyson Pure Cool,两年保修,Dyson OS,戴森,Qualcomm Snapdragon 410,Xiaomi MiChip,语音控制,空气质量监测工具,实时空气质量监测与净化,家庭健康,2022-04-15,家电在线,https://www.kitchen-appliances.com,2024-09-13,,,,
智能窗帘,欧普照明,Smart Curtain 360,一年保修,专有OS,欧普照明,ARM Cortex-M3,Espressif ESP32,APP控制,光线调节工具,智能控制窗帘开合，适应光线变化,家庭照明,2023-01-05,智能家居市场报告,https://www.gartner.com/en/documents,2024-09-13,,,,
智能冰箱,三星,Family Hub RF23M8570SR,三年保修,Tizen,三星电子,Exynos 7 Octa,Broadcom BCM4339,APP控制,智能食物管理工具,智能食物追踪及自动购买建议,家庭厨房,2020-11-15,国际电子商会,https://www.iec.ch,2024-09-13,,,,
智能宠物喂食器,PetSafe,Smart Feed,两年保修,自定义系统,PetSafe,ARM Cortex-M4,Broadcom BCM4343,APP控制,宠物管理工具,定时自动喂食及监控功能,家庭宠物,2021-09-01,宠物用品评论网站,https://www.petsafe.net,2024-09-13,,,,
智能视频门铃,Ring,Video Doorbell 3,一年保修,Ring OS,Ring,Qualcomm Snapdragon 410,Ambarella A12,APP控制,安全监控工具,实时视频通话与运动侦测,家庭安全,2022-07-20,科技前沿杂志,https://www.techfrontier.com,2024-09-13,,,,
智能影音控制器,Sony,Sony Home Theater HT-A9,两年保修,Android TV,索尼,ARM Cortex-A72,Realtek RTL8822BU,语音控制,音响调节工具,集成家庭影音设备控制,家庭娱乐,2021-12-01,影音设备行业发布,https://www.sony.com,2024-09-13,,,,
智能健康手表,华为,Huawei Watch GT 3,一年保修,LiteOS,华为技术有限公司,ARM Cortex-M4,Nordic nRF52840,触控与语音,健康监测工具,心率监测，睡眠分析，运动追踪,家庭健康,2021-06-15,科技日报,https://www.sciencenews.cn,2024-09-13,,,,
智能洗衣机,LG,LG WashTower,五年保修,WebOS,LG电子,ARM Cortex-A53,Qualcomm QCA9377,APP控制,智能洗涤工具,洗涤程序智能调节及故障诊断,家庭洗衣,2020-03-20,家电评测网,https://www.homeappliancesreview.com,2024-09-13,,,,
智能养生壶,小米,Xiaomi Herbal Pot,一年保修,MIUI,小米科技,ARM Cortex-A7,NXP LPC1768,APP控制,健康饮水工具,智能调节水温与养生食谱,家庭饮食,2022-10-01,消费电子市场报告,https://www.ce-marketreport.com,2024-09-13,,,,
智能洗碗机,博世,Bosch SHEM63W55N,五年保修,自有系统,博世家电,ARM Cortex-R4,Microchip PIC18F14K50,APP控制,卫生控制工具,自动选择洗涤模式，智能清洗,家庭厨房,2021-05-05,家电联盟,https://www.appliancealliance.org,2024-09-13,,,,
智能窗帘,Lutron,Serena,两年保修,Lutron OS,Lutron Electronics,ARM Cortex-A9,TI CC2640R2F,APP控制,环境光调节工具,支持自动开合，根据光线调整窗帘,家庭光控,2022-05-15,家庭智能终端趋势报告,https://www.lutron.com/,2024-09-13,,,,
智能冰箱,三星,Family Hub,三年保修,Tizen,三星电子,ARM Cortex-A53,Exynos 7,触摸屏控制,食品管理助手,智能管理食品，新鲜度提醒,家庭厨房,2022-03-20,家电行业研究报告,https://www.samsung.com/,2024-09-13,,,,
智能空调,美的,Midea Smart AC,一年保修,M-smart OS,美的集团,ARM Cortex-A55,Qualcomm QCS400,APP控制,气候调节工具,智能调节室内温度，空气质量监测,家庭空调,2023-01-15,武汉市智能家居博览会,https://www.midea.com/,2024-09-13,,,,
智能扫地机器人,iRobot,Roomba s9,一年保修,iRobot OS,iRobot Corporation,ARM Cortex-A7,Ambarella A12,APP控制,清洁助手,自動清掃，智能地图导航,家庭清洁,2021-09-01,家用机器人市场咨询报告,https://www.irobot.com/,2024-09-13,,,,
智能监控系统,萤石,C6C,一年保修,Ezviz OS,萤石科技,ARM Cortex-A9,HiSilicon Hi3519V101,APP控制,安保监控工具,支持双向语音、运动检测,家庭安防,2022-07-10,安全技术行业预览,https://www.ezvizlife.com/,2024-09-13,,,,
智能空气净化器,Dyson,Dyson Pure Cool,三年保修,Dyson Link,Dyson Ltd.,ARM Cortex-M4,Nordic nRF52832,APP控制,空气质量测量工具,智能监测并净化空气质量,家庭健康,2022-08-25,家居健康科技研究,https://www.dyson.com/,2024-09-13,,,,
智能花园系统,Click and Grow,Smart Garden 3,一年保修,Proprietary OS,Click and Grow,ARM Cortex-M0,NXP LPC11U37,触摸控制,植物管理助手,智能种植系统，自动浇水与光照,家庭园艺,2023-02-12,农业技术展,https://www.clickandgrow.com/,2024-09-13,,,,
智能红外线体温计,Xiaomi,Xiaomi Infrared Thermometer,一年保修,MIUI,小米,ARM Cortex-M0,Microchip PIC16F1455,按键控制,健康监测工具,快速测量体温，并可与手机应用同步数据,家庭医疗,2023-04-11,健康科技杂志,https://www.mi.com/,2024-09-13,,,,
智能药箱,MedBuddy,Smart Med-Box,一年保修,Proprietary OS,MedBuddy Inc.,ARM Cortex-M3,STMicroelectronics STM32F4,APP控制,用药提醒工具,智能提醒用户按时服药，记录用药情况,家庭医疗,2022-09-29,医疗器械展,https://www.medbuddy.com/,2024-09-13,,,,
智能窗帘,LG,Smart Curtain LGC-2023,两年保修,自研系统,LG Electronics,ARM Cortex-A55,Qualcomm QCS605,APP控制,场景调节助手,可通过语音或APP调节窗帘开启程度,家居环境调节,2023-06-15,家居科技协会,https://www.hometech.org,2024-09-13,,,,
智能空气净化器,戴森,Dyson Pure Cool,一年保修,Dyson OS,Dyson,ARM Cortex-A72,MediaTek MT7622,语音控制、APP控制,健康监测工具,实时监测空气质量并自动调节净化模式,家庭健康,2022-02-01,科技市场研究,https://www.techmarketresearch.com,2024-09-13,,,,
智能冰箱,三星,Samsung Smart Fridge RF9000,三年保修,Tizen,Samsung,ARM Cortex-A15,MStar MST6M16,触摸控制、APP控制,食物管理助手,智能管理食材，监测食物新鲜度,家庭厨房,2021-11-10,家电行业分析,https://www.applianceindustryanalysis.com,2024-09-13,,,,
智能洗衣机,博世,Bosch Series 6,两年保修,自研系统,Bosch,ARM Cortex-M7,Silicon Labs EFR32,APP控制、语音控制,洗涤助手,智能选择洗涤模式，节能高效,家庭清洁,2022-09-01,消费电子报告,https://www.ce-reports.org,2024-09-13,,,,
智能家居安全系统,Arlo,Arlo Ultra,一年保修,Arlo OS,Arlo Technologies,Quad-core ARM Cortex-A53,Ambarella H22,APP控制,安全监控助手,提供全面的家庭安全监控解决方案,家庭安防,2023-04-10,安全科技观察,https://www.securitytechreview.com,2024-09-13,,,,
智能气象站,WEMO,WEMO Weather Station,一年保修,WEMO OS,Belkin,ARM Cortex-M4,Texas Instruments CC1352,APP控制,环境监测助手,实时监测天气变化、室内外空气质量,家庭环境,2023-05-28,气象技术研究,https://www.weathertechresearch.com,2024-09-13,,,,
智能花园灌溉系统,Rachio,Rachio 3 Smart Sprinkler,两年保修,Rachio OS,Rachio,ARM Cortex-A7,NXP Kinetis K66,APP控制,灌溉助手,智能调节灌溉时间与强度，节约水资源,家庭花园,2023-03-15,园艺技术杂志,https://www.gardeningtechjournal.com,2024-09-13,,,,
智能音响灯光系统,Sonos,Sonos One with Light,一年保修,Sonos OS,Sonos,ARM Cortex-A53,Qualcomm QCS405,语音控制、APP控制,气氛创造助手,智能控制音乐与灯光，创造氛围,家庭娱乐,2022-12-15,现代家居趋势,https://www.modernhometrends.com,2024-09-13,,,,
智能指纹识别门锁,Yale,Yale Assure Lock SL,一年保修,Yale OS,Yale Security,ARM Cortex-M0,NXP PN532,APP控制、指纹识别,安全访问助手,安全指纹识别，远程开锁功能,家庭安全,2023-07-01,家庭安全设备分析报告,https://www.homesecuritydevicesreport.com,2024-09-13,,,,
智能窗帘控制器,奥普,AOPU-CW01,一年保修,AOPU OS,奥普,ARM Cortex-A55,Realtek RTL8710,APP控制,环境调节工具,智能开合，调节室内光线,家庭生活,2022-03-10,家电行业观察,https://www.appliancesnews.com,2024-09-13,,,,
智能监测气象仪,大疆,DJI Weather Monitor,一年保修,自研系统,大疆创新,ARM Cortex-M7,Nordic nRF52832,语音控制,数据监测助手,实时天气监测，建议适宜活动,家庭生活,2023-01-15,科技前沿在线,https://www.techfrontier.com,2024-09-13,,,,
智能厨师机,博世,Bosch Cookit,两年保修,Bosch OS,博世,ARM Cortex-A72,NXP i.MX 8DualLite,触控屏控制,烹饪助手,多功能烹饪，支持食谱建议,家庭厨房,2022-04-20,家电行业观察,https://www.appliancesnews.com,2024-09-13,,,,
智能空气净化器,飞利浦,AC2887,两年保修,Philips Air App,飞利浦,ARM Cortex-M4,STMicroelectronics STM32F4,APP控制,空气质量监测工具,过滤空气中的微粒，有效去除污染物,家庭健康,2021-09-05,卫生与健康通讯,https://www.healthnews.com,2024-09-13,,,,
智能洗衣机,LG,LG WashTower,三年保修,LG ThinQ,LG电子,ARM Cortex-A55,Qualcomm Snapdragon 410,APP控制,智能清洁助手,一体化洗涤和干燥，节能省时,家庭清洗,2023-06-30,家电行业观察,https://www.appliancesnews.com,2024-09-13,,,,
智能摇控风扇,米家,Mijia Smart Fan,一年保修,Mijia OS,小米,ARM Cortex-M3,Espressif ESP32,APP控制,空气流动助手,智能控制风速，节能优化,家庭生活,2022-08-15,科技前沿新闻,https://www.techfrontier.com,2024-09-13,,,,
智能床垫,Tempur,Tempur SleepTracker,三年保修,Tempur OS,Tempur Sealy,ARM Cortex-A9,Texas Instruments CC2652,APP控制,健康监测助手,监测睡眠质量，提供睡眠建议,家庭健康,2022-12-10,健康与科技论坛,https://www.healthtechforum.com,2024-09-13,,,,
智能冰箱,三星,Samsung Family Hub,两年保修,Tizen OS,三星电子,ARM Cortex-A72,Exynos 7 Dual,触控屏与APP控制,食材管理助手,智能管理食材，支持远程控制,家庭厨房,2021-11-25,家电行业评论,https://www.appliancesreview.com,2024-09-13,,,,
智能烟雾报警器,Nest,Nest Protect,一年保修,Nest OS,Google,ARM Cortex-M4,Ambarella A5,APP控制,安全监测工具,火灾和一氧化碳报警，智能通知,家庭安全,2023-02-12,安全监测报告,https://www.safetyreports.com,2024-09-13,,,,
智能窗帘控制器,Lutron,Smart Shade,两年保修,Lutron OS,Lutron Electronics,ARM Cortex-M3,Texas Instruments CC2650,语音控制,环境控制助手,可调节窗帘开合，优化光照,家庭装潢,2023-01-15,智能家居行业协会,https://www.ashrae.org,2024-09-13,,,,
智能家居气候监测器,艾默生,Climatrax 3000,一年保修,Climatrax OS,Emerson,ARM Cortex-A7,SiLabs EFR32MG1B,APP控制,环境监测工具,实时监测室内气候条件,家庭健康,2022-11-10,家电管理网络,https://www.ahj.com,2024-09-13,,,,
智能家电管理中心,京东,JD Smart Hub,一年保修,JD OS,京东科技,ARM Cortex-A55,Qualcomm Snapdragon 410,"语音控制, APP控制",智能控件,集中控制所有智能家电，智能调度,家庭管理,2022-05-20,Consumer Electronics Association,https://www.ce.org,2024-09-13,,,,
智能空气净化器,戴森,Dyson Pure Cool,两年保修,Dyson OS,Dyson,ARM Cortex-M4,NXP LPC54608,APP控制,空气质量监测工具,自动检测和净化室内空气,家庭健康,2023-03-30,家电行业报告,https://www.appliance.com,2024-09-13,,,,
智能厨房助手,华为,Huawei Smart Cook,一年保修,Harmony OS,华为技术有限公司,ARM Cortex-A72,HiSilicon Kirin 980,语音控制,智能烹饪助手,提供食谱和自动烹饪功能,家庭厨房,2023-02-14,互联网厨房论坛,https://www.foodtech.com,2024-09-13,,,,
智能电动牙刷,飞利浦,Sonicare Smart,两年保修,智能操作系统,飞利浦,ARM Cortex-M0,STMicroelectronics STM32,APP控制,健康监测工具,实时监控刷牙数据,家庭健康,2023-04-25,个人护理产品评测,https://www.personalcare.com,2024-09-13,,,,
智能浴室镜子,Ove Glove,Smart Mirror,一年保修,Mirror OS,Ove Glove Inc.,ARM Cortex-A53,MediaTek MT8167,触控控制,美颜助手,显示天气、时间等信息,家庭卫生,2022-06-18,健康生活科技展,https://www.healthylifestyle.com,2024-09-13,,,,
智能洗衣机,三星,Smart Washer 2024,三年保修,Tizen,三星电子,ARM Cortex-A55,Exynos 9810,APP控制,洗涤助手,智能制定洗涤程序,家庭洗涤,2024-03-01,行业市场调查,https://www.appliances.com,2024-09-13,,,,
智能节水淋浴系统,Moen,Smart Shower 3000,两年保修,Moen OS,Moen Inc.,ARM Cortex-M7,NXP Kinetis K66,"APP控制, 语音控制",节能助手,控制水流、调节水温，节水功能,家庭沐浴,2023-07-15,智能家居技术论坛,https://www.smartbathroom.com,2024-09-13,,,,
智能窗帘控制器,米家,Mijia Curtain Controller,两年保修,米家OS,小米,ARM Cortex-A55,Espressif ESP32,APP控制,环境调节工具,自动调节窗帘，控制光线进出,家庭自动化,2022-09-15,智能家居产品评测网站,https://www.smart-home-review.com/,2024-09-13,,,,
智能温湿度计,艾美特,AMT1,一年保修,自定义OS,艾美特,ARM Cortex-M3,TI CC2650,APP控制,气候监测工具,实时监测室内温湿度，数据记录,家庭健康,2023-01-10,气象科技杂志,https://www.weathertechmagazine.com/,2024-09-13,,,,
智能扫地机器人,iRobot,Roomba i7+,一年保修,Roomba OS,iRobot,ARM Cortex-A72,Qualcomm Snapdragon 410,APP和语音控制,家庭清洁工具,全自动清扫，智能路径规划,家庭清扫,2021-08-01,家居机器人观察网,https://www.robotichome.com/,2024-09-13,,,,
智能空气净化器,Dyson,Purifier Cool,两年保修,Dyson Link,Dyson,ARM Cortex-M4,MangOH Green,APP控制,环境调节工具,空气净化，智能监测,家庭健康,2022-11-20,消费者报告,https://www.consumerreports.org/,2024-09-13,,,,
智能视频门铃,Ring,Video Doorbell 4,一年保修,Ring OS,Amazon,ARM Cortex-A9,Ambarella A12,APP和语音控制,安全监控工具,实时视频监控，双向语音,家庭安防,2021-05-05,安防技术周刊,https://www.securitytechweekly.com/,2024-09-13,,,,
智能健康监测手环,华为,Band 6,一年保修,LiteOS,华为,ARM Cortex-M4,Dialog DA14531,触摸和APP控制,健康监测工具,监测心率、睡眠质量,家庭健康,2021-06-15,CNET科技新闻,https://www.cnet.com/,2024-09-13,,,,
智能投影仪,索尼,LSPX-P1,一年保修,Android TV,Sony,ARM Cortex-A53,Amlogic S905X,APP和语音控制,娱乐工具,支持投影和多媒体播放,家庭娱乐,2022-02-22,影音媒体时尚,https://www.mediafashion.com/,2024-09-13,,,,
智能冰箱,三星,Family Hub RF28R7351SG,三年保修,Tizen,Samsung,ARM Cortex-A72,Exynos 7 Series,触摸屏控制,食品管理工具,智能管理食材库存，社交功能,家庭厨房,2020-05-15,智能家居技术杂志,https://www.smart-home-tech.com/,2024-09-13,,,,
智能运动相机,GoPro,Hero 10,一年保修,GoPro OS,GoPro,GP2,Ambarella H22,APP控制,摄影工具,4K高清视频录制，实时共享,家庭娱乐,2021-09-16,运动科技资讯,https://www.sportstechnews.com/,2024-09-13,,,,
智能家庭影院,华为,Huawei Sound X,一年保修,Harmony OS,华为,ARM Cortex-A76,华为麒麟9000,语音控制,虚拟助手,支持4K视频播放与家庭娱乐系统整合,家庭娱乐,2022-08-15,家电行业报告,https://www.research.com/home-appliances/,2024-09-13,,,,
智能空气净化器,美的,Midea KJG-H,两年保修,自研OS,美的,ARM Cortex-M3,MTK MT7688,APP控制,健康监测工具,高效去除空气污染物，支持智能监测,家庭健康,2023-02-10,家电产品评测,https://www.homeappliance.com/,2024-09-13,,,,
智能冰箱,海尔,Haier Smart Refrigerator,三年保修,Real Smart OS,海尔,ARM Cortex-A72,Realtek RTD1296,触摸控制,智能食材管理助手,食品存储监控与自动购物提醒,家庭厨房,2022-05-01,家电行业观察,https://www.applianceindustry.com/,2024-09-13,,,,
智能机器人清扫器,iRobot,Roomba j7+,一年保修,iRobot OS,iRobot,ARM Cortex-A9,Qualcomm Snadpragon,APP控制,全自动清扫助手,智能导航与障碍物识别,家庭清洁,2021-11-25,智能清洁设备市场报告,https://www.robotics.com/,2024-09-13,,,,
智能监控系统,小米,Mi Home Security Camera,一年保修,MIUI,小米,ARM Cortex-A53,Ambarella A12,APP控制,安全监控云服务,1080p 高清监控，夜视支持,家庭安防,2022-10-10,技术前沿资讯,https://www.technews.com/,2024-09-13,,,,
智能窗帘,Lutron,Sivoia QS,两年保修,Lutron OS,Lutron,ARM Cortex-M0,TI MSP430,APP控制,智能家居中控系统,远程控制窗帘开合，支持场景设置,家庭自动化,2022-04-01,智能家居市场动态,https://www.smarthome.com/,2024-09-13,,,,
智能烟雾探测器,Nest,Nest Protect,五年保修,Nest OS,Google,ARM Cortex-M3,Ambarella A12,APP通知,安全警报工具,烟雾和一氧化碳检测，远程警报管理,家庭安全,2021-12-01,安全技术研究,https://www.safetytech.com/,2024-09-13,,,,
智能健康秤,Withings,Withings Body+,两年保修,自研OS,Withings,ARM Cortex-M0,Broadcom BCM43362,蓝牙连接,健康监测工具,记录体重、BMI及其他健康参数,家庭健康,2022-09-06,健身行业观察,https://www.wellnessindustry.com/,2024-09-13,,,,
智能电源插座,TP-Link,Kasa Smart Plug,一年保修,TP-Link OS,TP-Link,ARM Cortex-M3,Espressif ESP8266,APP控制,智能家居管理工具,远程开关电源，支持定时功能,家庭自动化,2021-05-22,互联网产品评测,https://www.digitalproducts.com/,2024-09-13,,,,
智能窗帘控制器,朗迪,LDC-9001,一年保修,LINUX,朗迪,ARM Cortex-A7,Broadcom BCM2710,APP控制,场景设置工具,自动化控制窗帘开合，调节光线,家庭窗帘管理,2023-02-15,家庭智能设备临床研究,https://www.smart-home.com,2024-09-13,,,,
智能酒柜,扬子,YZ-WineSaver,两年保修,WineOS,扬子,ARM Cortex-A53,Texas Instruments CC2640,触摸控制,温湿度监测,智能监控酒类保鲜度，调节温湿度,家庭酒品存储,2022-11-01,中国智能家居市场分析,https://www.chinabusiness.com,2024-09-13,,,,
智能清洁机器人,科沃斯,T8 AIVI,一年保修,Robotics OS,科沃斯,Qualcomm Snapdragon 600,Qualcomm QCA9377,APP控制,人工智能导航,全自动清洁，支持边扫边拖,家庭清洁,2023-05-20,扫地机器人行业报告,https://www.robotics.com,2024-09-13,,,,
智能空气净化器,Dyson,Pure Cool TP01,两年保修,Dyson Link,Dyson,ARM Cortex-M3,STMicroelectronics STM32F103,APP控制,空气质量监测工具,实时监测空气质量，自动调节净化程度,家庭室内空气优化,2021-09-15,Dyson官方售后服务报告,https://www.dyson.com,2024-09-13,,,,
智能浴室镜,Lumi,Smart Mirror L-100,一年保修,SmartOS,Lumi,ARM Cortex-A72,MediaTek MT8176,触控控制,虚拟助手,显示天气、时间及个人信息,家庭浴室,2023-03-10,智能家居设计趋势,https://www.home-design.com,2024-09-13,,,,
智能花园喷灌系统,Gardena,Smart Water Control,两年保修,Gardena OS,Gardena,ARM Cortex-M4,Maxim Integrated MAX30205,APP控制,智能灌溉系统,根据天气情况智能调节喷灌时间,厨房花园,2022-12-12,智能农业文献综述,https://www.smartagriculture.com,2024-09-13,,,,
智能音响陪伴机,亚马逊,Echo Show 10,一年保修,Alexa OS,亚马逊,MediaTek MT8183,Qualcomm Snapdragon 410,语音控制及触控,智能助手,结合音响、显示器与智能助手功能,家庭娱乐及助手,2023-08-01,Amazon官网公布,https://www.amazon.com,2024-09-13,,,,
智能灶具,博世,Bosch Series 8,两年保修,HomeConnect,博世,ARM Cortex-A53,NXP i.MX6,APP控制及语音命令,烹饪助手,智能调节火力，提供烹饪指引,家庭烹饪,2023-04-18,厨电行业分析报告,https://www.kitchenelectronics.com,2024-09-13,,,,
智能宠物喂食器,PetSafe,Smart Feed,一年保修,PetSafe Connection,PetSafe,ARM Cortex-M0,TI CC3200,APP控制,喂食管理,定时喂食，自动监测食量,家庭宠物管理,2023-06-15,宠物用品市场调研,https://www.petsafe.com,2024-09-13,,,,
智能空气净化器,Dyson,Pure Cool TP01,两年保修,Dyson OS,Dyson,ARM Cortex-A72,Realtek RTL8761,APP控制,环境监测工具,实时空气质量监测，自动调节风速,家庭健康,2022-09-15,家电市场研究报告,https://www.dyson.com,2024-09-13,,,,
智能冰箱,LG,Smart InstaView,三年保修,WebOS,LG Electronics,ARM Cortex-A53,Qualcomm Snapdragon 410,触控及语音控制,食材管理助手,通过触控屏幕和语音识别管理食材,家庭厨房,2023-03-10,厨房电器科技资讯,https://www.lg.com,2024-09-13,,,,
智能洗衣机,三星,WW22K6800AW,两年保修,Smart Control OS,Samsung,Exynos 7,Exynos 7880,APP控制,洗涤助手,智能洗涤模式和远程监控,家庭洗衣,2022-05-01,智能家居新产品展,https://www.samsung.com,2024-09-13,,,,
智能烟雾探测器,Nest,Nest Protect,五年保修,Nest OS,Google,ARM Cortex-M4,Nordic nRF52832,APP监控,火灾安全助手,实时烟雾和一氧化碳监测,家庭安防,2023-01-20,智能家居安全报告,https://store.google.com,2024-09-13,,,,
智能窗帘控制器,Lutron,Serena Remote,两年保修,Lutron OS,Lutron,ARM Cortex-A7,Texas Instruments CC3xxx,遥控与APP控制,窗帘管理助手,智能调节窗帘开关状态,家庭装饰,2021-12-05,家居设计杂志,https://www.lutron.com,2024-09-13,,,,
智能洗碗机,Bosch,SHEM63W55N,一至两年保修,Bosch OS,Bosch,ARM Cortex-A9,Cypress CY8C,APP与物理控制,环保洗涤助手,智能选择洗涤模式以节省水电,家庭厨房,2022-07-10,家庭电器技术评测,https://www.bosch-home.com,2024-09-13,,,,
智能花园灌溉系统,Rachio,Rachio 3,一年保修,Rachio OS,Rachio,ARM Cortex-A53,Espressif ESP32,APP控制,园艺助手,根据天气智能调整灌溉计划,家庭园艺,2023-04-02,智能园艺技术报告,https://rachio.com,2024-09-13,,,,
智能宠物喂食器,PetSafe,Smart Feed,一年保修,PetSafe OS,PetSafe,ARM Cortex-M3,Microchip PIC,APP控制,宠物营养助手,定时定量喂食，监控宠物进食,家庭宠物,2023-07-15,宠物科技观察,https://www.petsafe.net,2024-09-13,,,,
智能温控花洒,Moen,U by Moen,五年保修,Moen OS,Moen,ARM Cortex-A8,Silicon Labs EFR32,APP控制,沐浴助手,智能设定水温及水流控制,家庭卫生间,2023-06-01,智能家居产品展览,https://moen.com,2024-09-13,,,,
智能气象站,Netatmo,Weather Station,两年保修,Netatmo OS,Netatmo,ARM Cortex-M4,STMicroelectronics STM32,APP与网页,气象跟踪助手,实时气象参数监测与分析,家庭环境监测,2022-10-10,气象科技杂志,https://www.netatmo.com,2024-09-13,,,,
智能安全系统,大华,DH-IPC-M5442,一年保修,Dahua OS,大华,ARM Cortex-A72,大华自研芯片,APP控制,监控助手,24小时视频监控，警报系统集成,家庭安防,2023-01-15,家庭安全行业报告,https://www.dahuatech.com/,2024-09-13,,,,
智能冰箱,海信,HRK-302E,三年保修,海信OS,海信,ARM Cortex-A53,海信自研芯片,触控控制,食物管理工具,智能温控，自动购物清单生成,家庭厨房,2022-11-01,家用电器市场分析,https://www.hisense.com/,2024-09-13,,,,
智能窗帘控制器,米家,Mijia Curtain Controller,一年保修,MIUI,小米,ESP32,Espressif,语音或APP控制,窗帘助手,支持智能定时，远程控制,家庭自动化,2023-03-10,智能家居评测,https://www.mijia.com/,2024-09-13,,,,
智能空气净化器,戴森,TP03,两年保修,Dyson Link,戴森,ARM Cortex-A7,高通QCA9377,APP控制,空气监测工具,实时空气质量监测，过滤系统,家庭健康,2021-10-15,智能生活研究,https://www.dyson.com/,2024-09-13,,,,
智能浴室镜,欧瑞博,ORVIBO Smart Mirror,一年保修,自研OS,欧瑞博,ARM Cortex-A53,Realtek RTL8197F,触控控制,美容助理,镜面显示时钟和天气，语音助手集成,家庭卫浴,2022-05-01,家居智能化趋势,https://www.orvibo.com/,2024-09-13,,,,
智能防水音箱,索尼,SRS-XB12,一年保修,自研系统,索尼,ARM Cortex-A9,先锋DSP,蓝牙控制,便携式音响,防水设计，增强低音,室内外娱乐,2023-06-20,消费电子市场报告,https://www.sony.com/,2024-09-13,,,,
智能身体成分分析仪,华为,Huawei Body Fat Scale,一年保修,LiteOS,华为,ARM Cortex-M3,Mediatek MT2502,APP控制,健康监测工具,多项身体成分分析，数据同步功能,家庭健康,2023-02-25,智能健康科技展,https://www.huawei.com/,2024-09-13,,,,
智能花园灌溉系统,Netro,Sphere,两年保修,自研OS,Netro,ARM Cortex-M4,Espressif ESP32,APP和语音控制,植物护理助手,土壤湿度监控，自动灌溉,家庭花园,2023-05-01,智能农业观察,https://www.netrohome.com/,2024-09-13,,,,
