年份（字符型）,地区（字符型）,区块链数量（数值型）,单位,区块链应用行业（字符型）,区块链应用场景（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
2023年,南非,400,个,矿业、供应链,矿产资源追踪,南非矿业部,https://www.dmr.gov.za/,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,550,个,能源、政府,电力交易、公共记录管理,俄罗斯联邦能源部,http://minenergo.gov.ru/,2024-09-29,,,,,,,,,,,,
2023年,阿联酋,800,个,旅游、房地产,数字身份、房产交易记录,阿联酋信息与通讯技术部,https://www.mtic.gov.ae/en,2024-09-29,,,,,,,,,,,,
2023年,菲律宾,230,个,金融、教育,汇款服务、学历认证,菲律宾中央银行,http://www.bsp.gov.ph/,2024-09-29,,,,,,,,,,,,
2023年,加拿大,670,个,医疗、物流,患者医疗记录、物流跟踪,加拿大健康信息中心,https://www.cihi.ca/,2024-09-29,,,,,,,,,,,,
2023年,印度,650,个,农业、金融,农业供应链管理,NASSCOM,https://nasscom.in/,2024-09-29,,,,,,,,,,,,
2023年,巴西,900,个,金融、医疗,保险索赔处理,Banco Central do Brasil,https://www.bcb.gov.br/,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,750,个,金融、供应链,贸易融资,Australian Finance Industry Association,https://afia.org.au/,2024-09-29,,,,,,,,,,,,
2023年,沙特阿拉伯,400,个,政府、能源,能源交易记录,Saudi Vision 2030,https://www.vision2030.gov.sa/,2024-09-29,,,,,,,,,,,,
2023年,德国,1200,个,医疗、保险,医疗数据管理,Bundesministerium für Gesundheit,https://www.bundesgesundheitsministerium.de/,2024-09-29,,,,,,,,,,,,
2024年,加拿大,550,个,金融、政府,身份验证系统,Canadian Blockchain Consortium,https://www.canadianblockchainconsortium.org/,2024-09-29,,,,,,,,,,,,
2024年,新西兰,200,个,农业、食品,食品溯源,New Zealand Ministry for Primary Industries,https://www.mpi.govt.nz/,2024-09-29,,,,,,,,,,,,
2024年,英国,1000,个,金融、技术,智能合约及其实现,U.K. Government Digital Service,https://www.gov.uk/government/digital-service,2024-09-29,,,,,,,,,,,,
2024年,新加坡,450,个,交通、物流,物流透明化,Infocomm Media Development Authority,https://www.imda.gov.sg/,2024-09-29,,,,,,,,,,,,
2024年,阿联酋,600,个,政府、金融,数字货币及其监管,UAE Blockchain Council,https://u.ae/en/about-the-uae/initiatives/blockchain,2024-09-29,,,,,,,,,,,,
2023年,加拿大,900,个,金融、物流,供应链透明度、加密货币交易,加拿大区块链协会,https://www.canada.ca/en/services/business/technology/blockchain.html,2024-09-29,,,,,,,,,,,,
2023年,印度,1500,个,农业、金融,食品溯源、微贷服务,印度信息技术部,https://www.meity.gov.in/content/blockchain,2024-09-29,,,,,,,,,,,,
2023年,巴西,600,个,电子商务、零售,产品认证、消费者权益保护,巴西经济部,http://www.economia.gov.br/,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,450,个,旅游、金融,旅游投诉处理、数字货币支付,澳大利亚旅游局,https://www.australia.com/en,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,750,个,政务、能源,公民身份认证、能源供应监控,俄罗斯联邦能源部,http://minenergo.gov.ru/,2024-09-29,,,,,,,,,,,,
2023年,阿联酋,800,个,金融、房地产,虚拟资产交易、房地产登记,阿联酋中央银行,https://www.centralbank.ae/en,2024-09-29,,,,,,,,,,,,
2023年,南非,350,个,教育、金融,学历证明、金融交易安全,南非高等教育部,http://www.dhet.gov.za/,2024-09-29,,,,,,,,,,,,
2023年,新西兰,200,个,农业、科技,农产品追溯、去中心化分布式应用,新西兰食品安全局,https://www.foodsafety.govt.nz/,2024-09-29,,,,,,,,,,,,
2023年,新兴市场,500,个,金融、社会福利,小额贷款服务、福利分配管理,国际货币基金组织,https://www.imf.org/,2024-09-29,,,,,,,,,,,,
2023年,印度,950,个,农业、金融,农产品溯源、数字支付,印度国家技术局,https://www.niti.gov.in/,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,650,个,金融、政府,电子投票、合规管理,澳大利亚证券投资委员会,https://asic.gov.au/,2024-09-29,,,,,,,,,,,,
2024年,加拿大,720,个,医疗、供应链,医疗记录管理、物流跟踪,加拿大卫生部,https://www.canada.ca/en/health-canada.html,2024-09-29,,,,,,,,,,,,
2024年,阿根廷,380,个,金融、农业,数字资产管理、农业融资,阿根廷央行,https://www.bcra.gov.ar/,2024-09-29,,,,,,,,,,,,
2023年,德国,900,个,制造、汽车,汽车资料透明化、供应链优化,德国工程师协会,https://www.vdi.de/,2024-09-29,,,,,,,,,,,,
2023年,英国,500,个,教育、金融,学历证书验证、在线支付,英国教育部,https://www.gov.uk/government/organisations/department-for-education,2024-09-29,,,,,,,,,,,,
2024年,南非,300,个,金融、政府,社会救助透明化、数字货币实施,南非金融服务部门,https://www.treasury.gov.za/,2024-09-29,,,,,,,,,,,,
2023年,巴西,450,个,金融、政务,税务管理、交易透明度,巴西税务署,http://www.receita.fazenda.gov.br/,2024-09-29,,,,,,,,,,,,
2023年,瑞士,250,个,金融、慈善,汇款、透明慈善捐赠,瑞士金融市场监督管理局,https://www.finma.ch/,2024-09-29,,,,,,,,,,,,
2024年,俄罗斯,600,个,能源、政务,能源交易、公共记录管理,俄罗斯联邦能源部,http://www.minenergo.gov.ru/,2024-09-29,,,,,,,,,,,,
2023年,印度,950,个,金融、农业,供应链融资、农产品溯源,印度信息技术部,https://www.meity.gov.in/,2024-09-29,,,,,,,,,,,,
2022年,英国,700,个,金融、医疗,患者记录管理、跨境支付,英国金融行为监管局,https://www.fca.org.uk/,2024-09-29,,,,,,,,,,,,
2023年,阿根廷,600,个,农业、政府,土地登记、补贴透明度,阿根廷官民合作平台,https://www.argentina.gob.ar/,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,1100,个,能源、金融,智能电网、数字货币交易,俄罗斯区块链协会,https://www.rusblockchain.org/,2024-09-29,,,,,,,,,,,,
2023年,巴西,850,个,金融、教育,数字证书、学位认证,巴西教育部,http://www.mec.gov.br/,2024-09-29,,,,,,,,,,,,
2023年,南非,400,个,金融、贸易,汇款、贸易融资,南非央行,https://www.resbank.co.za/,2024-09-29,,,,,,,,,,,,
2023年,新西兰,300,个,乳制品、物流,供应链透明度、分布式账簿,新西兰农业部,https://www.mpi.govt.nz/,2024-09-29,,,,,,,,,,,,
2023年,以色列,700,个,科技、军事,数据安全、智能合约,以色列科技部,https://www.gov.il/en/departments/ministry_of_science_and_technology,2024-09-29,,,,,,,,,,,,
2023年,新兴市场,500,个,旅游、物流,行程追踪、证书验证,国际区块链技术协会,https://www.ibta.org/,2024-09-29,,,,,,,,,,,,
2023年,沙特阿拉伯,420,个,能源、金融,石油交易透明化、衍生品市场,沙特能源部,https://www.moe.gov.sa/,2024-09-29,,,,,,,,,,,,
2023年,印度,900,个,农业、供应链,农产品溯源、供应链透明度,印度信息技术部,https://www.miit.gov.in,2024-09-29,,,,,,,,,,,,
2023年,巴西,650,个,金融、教育,学位证书验证、去中心化融资,巴西央行,https://www.bcb.gov.br,2024-09-29,,,,,,,,,,,,
2023年,阿联酋,1100,个,政务、交通,智能城市、电子身份证,阿联酋数字管理员,https://u.ae/en,2024-09-29,,,,,,,,,,,,
2023年,德国,800,个,汽车、制造,汽车供应链管理、维护记录,德国工业联合会,https://www.bdi.eu,2024-09-29,,,,,,,,,,,,
2023年,加拿大,750,个,医疗、金融,电子病历、保险索赔,加拿大公共卫生局,https://www.canada.ca/en/public-health.html,2024-09-29,,,,,,,,,,,,
2023年,新西兰,400,个,环境、农业,碳信用和交易、食品安全,新西兰农业部,https://www.mpi.govt.nz,2024-09-29,,,,,,,,,,,,
2023年,南非,300,个,金融、零售,数字支付、在线交易记录,南非储备银行,https://www.resbank.co.za,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,950,个,能源、政府,能源管理、合同自动执行,俄罗斯国家技术集团,https://www.gosnadzor.ru,2024-09-29,,,,,,,,,,,,
2023年,香港,500,个,金融、房地产,数字资产交易、产权登记,香港金融管理局,https://www.hkma.gov.hk,2024-09-29,,,,,,,,,,,,
2023年,新加坡,350,个,运输、数据管理,物流跟踪、个人数据保护,新加坡信息通信媒体发展局,https://www.imda.gov.sg,2024-09-29,,,,,,,,,,,,
2023年,加拿大,900,个,金融、旅游,数字身份、忠诚度奖励,加拿大金融监管局,https://www.oscb.ca/financial-regulator/blockchain/,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,600,个,农业、医疗,供应链透明度、药品追踪,澳大利亚农户信息局,https://www.agriculture.gov.au/ag-farm-food/crops/blockchain,2024-09-29,,,,,,,,,,,,
2023年,印度,1500,个,教育、金融,学历验证、小额贷款,印度国家银行,https://www.sbicard.com/en/blockchain-technology-in-india,2024-09-29,,,,,,,,,,,,
2023年,英国,1100,个,保险、房地产,智能合约、所有权转移,英国金融行为监管局,https://www.fca.org.uk/blockchain,2024-09-29,,,,,,,,,,,,
2023年,阿根廷,300,个,农业、出口,产品溯源、国际支付,阿根廷出口促进局,https://www.argentina.gob.ar/exportaciones/blockchain,2024-09-29,,,,,,,,,,,,
2023年,德国,900,个,制造、能源,智能制造、能源消费监控,德国工业协会,https://www.vdma.org/en/blockchain,2024-09-29,,,,,,,,,,,,
2023年,巴西,500,个,环保、能源,碳交易、可再生能源证明,巴西环境与可再生能源部,https://www.gov.br/ambiental-blockchain,2024-09-29,,,,,,,,,,,,
2023年,新西兰,200,个,金融、物流,风险管理、供应链追踪,新西兰金融市场管理局,https://www.fma.govt.nz/financial-markets/blockchain,2024-09-29,,,,,,,,,,,,
2023年,南非,700,个,金融、农业,财富管理、农业融资,南非中央银行,https://www.resbank.co.za/en/home/what-we-do/fintech/blockchain,2024-09-29,,,,,,,,,,,,
2023年,印度,950,个,金融、供应链,小额贷款、供应链透明度,NASSCOM,https://nasscom.in/knowledge-library,2024-09-29,,,,,,,,,,,,
2023年,英国,1500,个,健康、保险,患者数据管理、理赔流程优化,英国金融行为监管局,https://www.fca.org.uk/,2024-09-29,,,,,,,,,,,,
2024年,加拿大,700,个,教育、政务,学历认证、公共记录管理,加拿大创新科技部,https://www.ic.gc.ca/eic/site/icgc.nsf/eng/home,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,600,个,农业、食品安全,农产品追溯、调配管理,澳大利亚农业部,https://www.agriculture.gov.au/,2024-09-29,,,,,,,,,,,,
2023年,阿根廷,250,个,能源、金融,电力交易、金融合规,阿根廷央行,https://www.bcra.gov.ar/,2024-09-29,,,,,,,,,,,,
2023年,南非,350,个,供应链、金融,跨境贸易、货物跟踪,南非金融监理局,https://www.fsb.co.za/,2024-09-29,,,,,,,,,,,,
2023年,新西兰,450,个,农业、零售,食品溯源、消费者透明度,新西兰食品安全局,https://www.mpi.govt.nz/,2024-09-29,,,,,,,,,,,,
2024年,俄罗斯,900,个,医疗、银行,药品追踪、贷款合规,俄罗斯中央银行,https://cbr.ru/,2024-09-29,,,,,,,,,,,,
2023年,巴西,800,个,金融、艺术,艺术品认证、数字资产交易,巴西证券委员会,http://www.cvm.gov.br/,2024-09-29,,,,,,,,,,,,
2023年,瑞士,600,个,银行、保险,智能合约、风险管理,瑞士金融市场监管局,https://www.finma.ch/,2024-09-29,,,,,,,,,,,,
2023年,印度,950,个,金融、农业,农产品溯源、数字支付,印度政府区块链事务委员会,https://www.india.gov.in/,2024-09-29,,,,,,,,,,,,
2024年,巴西,720,个,金融、教育,证书验证、智能合约,巴西数字技术局,https://www.gov.br/governodigital/,2024-09-29,,,,,,,,,,,,
2023年,加拿大,600,个,医疗、金融,健康记录共享、保险理赔,加拿大信息技术协会,https://www.canada.ca/en.html,2024-09-29,,,,,,,,,,,,
2023年,英国,1100,个,传媒、娱乐,数字艺术版权、在线音乐分发,英国数字经济部,https://www.gov.uk/government/organisations/department-for-digital-culture-media-sport,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,550,个,物流、供应链,货物追踪、运输验证,澳大利亚技术与创新部,https://www.industry.gov.au/,2024-09-29,,,,,,,,,,,,
2023年,新西兰,350,个,政府、法律,土地注册、身份认证,新西兰政府科技局,https://www.govt.nz/,2024-09-29,,,,,,,,,,,,
2024年,南非,400,个,金融、供应链,金融透明度、食物安全追踪,南非科技部,https://www.gov.za/,2024-09-29,,,,,,,,,,,,
2025年,阿联酋,800,个,金融、自动化,智能合约自动执行、金融服务透明化,阿联酋数字政府,https://government.ae/,2024-09-29,,,,,,,,,,,,
2023年,瑞士,450,个,金融、法规,合规审核、资产管理,瑞士金融市场监管局,https://www.finma.ch/en/,2024-09-29,,,,,,,,,,,,
2023年,印度,2500,个,农业、金融,农业供应链管理、微型贷款,印度科技部,https://www.meity.gov.in,2024-09-29,,,,,,,,,,,,
2023年,巴西,1500,个,物流、政府,货物追踪、透明度提升,巴西电子政务,https://www.gov.br/governodigital,2024-09-29,,,,,,,,,,,,
2023年,德国,1000,个,汽车制造、保险,车辆历史记录、索赔处理,德国汽车工业协会,https://www.vda.de/,2024-09-29,,,,,,,,,,,,
2023年,英国,2000,个,医疗、金融,病历共享、反欺诈,UK Health Department,https://www.gov.uk/government/organisations/department-of-health-and-social-care,2024-09-29,,,,,,,,,,,,
2023年,阿根廷,600,个,农业、金融,农产品认证、贷后管理,阿根廷农业部,https://www.argentina.gob.ar/agricultura,2024-09-29,,,,,,,,,,,,
2023年,南非,800,个,金融、电信,KYC流程、账户安全,南非金融服务委员会,https://www.fsb.co.za,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,900,个,能源、政务,能源交易、电子投票,俄罗斯能源部,https://minenergo.gov.ru,2024-09-29,,,,,,,,,,,,
2023年,埃及,500,个,政务、教育,学历认证、公共记录,埃及教育部,https://www.moe.gov.eg,2024-09-29,,,,,,,,,,,,
2023年,加拿大,1750,个,医疗、金融,药品供应链、保险核赔,加拿大卫生部,https://www.canada.ca/en/health-canada.html,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,1100,个,金融、物流,电子支付、物流追踪,澳大利亚国库局,https://tradingeconomics.com/australia/,2024-09-29,,,,,,,,,,,,
2023年,印度,650,个,金融、农业,小额贷款、农产品溯源,印度信息技术部,https://www.meity.gov.in,2024-09-29,,,,,,,,,,,,
2023年,阿根廷,200,个,供应链、农业,商品跟踪、农药使用记录,阿根廷农业部长办公室,https://www.argentina.gob.ar/agricultura,2024-09-29,,,,,,,,,,,,
2023年,德国,900,个,汽车、物流,车辆身份验证、物流透明化,德国联邦交通部,https://www.bmvi.de,2024-09-29,,,,,,,,,,,,
2023年,英国,850,个,金融、医药,药品追踪、保险理赔,英国金融行为监管局,https://www.fca.org.uk,2024-09-29,,,,,,,,,,,,
2024年,加拿大,550,个,能源、环保,碳信用交易、能源使用监控,加拿大自然资源部,https://www.nrcan.gc.ca,2024-09-29,,,,,,,,,,,,
2024年,巴西,300,个,零售、金融,客户忠诚度、支付系统,巴西商业部,https://www.gov.br/economia,2024-09-29,,,,,,,,,,,,
2024年,澳大利亚,750,个,教育、政府,学历认证、公共记录,澳大利亚教育部,https://www.education.gov.au,2024-09-29,,,,,,,,,,,,
2024年,新西兰,320,个,交通、城市管理,智能城市、交通监控,新西兰交通部,https://www.nzta.govt.nz,2024-09-29,,,,,,,,,,,,
2023年,沙特阿拉伯,400,个,能源、金融,资源管理、投资透明度,沙特阿拉伯能源部,https://www.meim.gov.sa,2024-09-29,,,,,,,,,,,,
2023年,南非,240,个,金融、资源,供应链融资、矿业监管,南非金融服务委员会,https://www.fsb.co.za,2024-09-29,,,,,,,,,,,,
2023年,印度,900,个,金融、农业,农业供应链、数字资产管理,NASSCOM,https://nasscom.in/,2024-09-29,,,,,,,,,,,,
2023年,英国,750,个,健康、保险,患者数据管理、保险理赔透明化,UK Government,https://www.gov.uk/,2024-09-29,,,,,,,,,,,,
2023年,加拿大,500,个,教育、政府,学位验证、公共记录管理,Canadian Blockchain Consortium,https://www.blockchaincanada.org/,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,650,个,物流、房地产,智能合约、房产交易透明化,Blockchain Australia,https://blockchainaustralia.org/,2024-09-29,,,,,,,,,,,,
2023年,阿根廷,350,个,金融、旅游,跨境支付、旅游忠诚度计划,Argentine Blockchain Association,https://www.abla.org.ar/,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,800,个,能源、政府,能源交易、数字身份管理,Russian Ministry of Digital Development,https://digital.gov.ru/,2024-09-29,,,,,,,,,,,,
2023年,南非,520,个,金属、艺术,数字所有权、金属交易登记,Blockchain Foundation of South Africa,https://blockchainfoundation.org.za/,2024-09-29,,,,,,,,,,,,
2023年,巴西,400,个,农业、金融,农产品追踪、贷后管理,Brazilian Association of Blockchain,https://www.abp.org.br/,2024-09-29,,,,,,,,,,,,
2023年,新西兰,300,个,教育、金融,学历认证、电子支付,New Zealand Blockchain,https://www.nzblockchain.com/,2024-09-29,,,,,,,,,,,,
2023年,越南,400,个,供应链、政务,商品溯源、公共事务管理,Vietnam Blockchain Association,https://vba.org.vn/,2024-09-29,,,,,,,,,,,,
2023年,加拿大,960,个,金融、供应链,透明交易、资产管理,麦肯锡公司,https://www.mckinsey.com/industries/financial-services/our-insights/blockchain-in-financial-services,2024-09-29,,,,,,,,,,,,
2023年,印度,1500,个,农业、金融,农产品溯源、小额信贷,NASSCOM,https://nasscom.in/knowledge-library/blockchain-applications,2024-09-29,,,,,,,,,,,,
2023年,阿根廷,450,个,政府、公共服务,选票追溯、电子身份证,阿根廷政府科技部,https://www.argentina.gob.ar/ciencia/tecnologia/blockchain,2024-09-29,,,,,,,,,,,,
2023年,南非,350,个,银行、保险,信贷判断、自保机制,清华大学,http://www.tsinghua.edu.cn/publish/advancedstudies/ano/blockchain/,2024-09-29,,,,,,,,,,,,
2023年,德国,680,个,制造、物流,供应链优化、资产识别,德意志银行,https://www.db.com/insights/blockchain,2024-09-29,,,,,,,,,,,,
2024年,英国,2000,个,能源、金融,绿色能源交易、智能合约,英国政府,https://www.gov.uk/government/organisations/innovation-funding-service,2024-09-29,,,,,,,,,,,,
2024年,澳大利亚,780,个,医疗、供应链,医疗数据安全、药品追踪,澳大利亚国家科学机构,https://www.csiro.au/en/about/facilities----locations/blockchain,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,890,个,金融、政府,透明财政、付款系统,信息科技部,https://minsvyaz.ru,2024-09-29,,,,,,,,,,,,
2023年,瑞士,430,个,金融、物流,资产交易、信息共享,瑞士金融市场监管局,https://www.finma.ch/en,2024-09-29,,,,,,,,,,,,
2024年,新西兰,560,个,农业、金融,土地登记、农作物追踪,新西兰农业部,https://www.mpi.govt.nz,2024-09-29,,,,,,,,,,,,
2023年,印度,675,个,农业、金融,土地注册、农产品追踪,印度国家信息技术局,https://www.meity.gov.in/,2024-09-29,,,,,,,,,,,,
2023年,英国,950,个,教育、金融,学位证书验证、金融交易,UK Government Digital Service,https://www.gov.uk/government/organisations/government-digital-service,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,480,个,金融、法律,智能合约、资产记录,澳大利亚证券投资委员会,https://www.asic.gov.au/,2024-09-29,,,,,,,,,,,,
2023年,巴西,900,个,健康、教育,健康记录管理、证书验证,巴西技术创新部,https://www.gov.br/inovacao/pt-br,2024-09-29,,,,,,,,,,,,
2023年,南非,360,个,政府、金融,政务透明、支付清算,南非财政部,http://www.treasury.gov.za/,2024-09-29,,,,,,,,,,,,
2023年,阿根廷,500,个,农业、金融,供应链管理、金融服务,阿根廷中央银行,http://www.bcra.gov.ar/,2024-09-29,,,,,,,,,,,,
2023年,迪拜,1200,个,房地产、物流,房地产交易、货物追踪,迪拜电子事务管理局,https://www.dubai.ae/,2024-09-29,,,,,,,,,,,,
2023年,以色列,650,个,科技、金融,数据安全、投资平台,以色列科技部,https://www.gov.il/en/departments/ministry_of_science_and_technology,2024-09-29,,,,,,,,,,,,
2023年,新西兰,320,个,环保、农业,可持续发展、食品安全追踪,新西兰环境部,https://www.mfe.govt.nz/,2024-09-29,,,,,,,,,,,,
2023年,印度,950,个,金融、农业,农产品溯源、数字支付,经济时报,https://economictimes.indiatimes.com/news/economy/agriculture/blockchain-technology-in-agriculture,2024-09-29,,,,,,,,,,,,
2023年,加拿大,660,个,政府、金融,电子投票、身份验证,加拿大政府,https://www.canada.ca/en/services/technology/blockchain.html,2024-09-29,,,,,,,,,,,,
2023年,澳大利亚,450,个,能源、医疗,可再生能源证书、健康记录管理,澳大利亚能源市场组织,https://www.aemc.gov.au/,2024-09-29,,,,,,,,,,,,
2023年,巴西,790,个,金融、物流,供应链管理、跨境支付,巴西中央银行,https://www.bcb.gov.br/,2024-09-29,,,,,,,,,,,,
2023年,英国,1120,个,房地产、金融,智能合同、房地产交易,英国金融行为监管局,https://www.fca.org.uk/,2024-09-29,,,,,,,,,,,,
2023年,新西兰,520,个,农业、教育,认证系统、农业溯源,新西兰农业部,https://www.mpi.govt.nz/,2024-09-29,,,,,,,,,,,,
2023年,俄罗斯,720,个,金融、运输,货物跟踪、区块链支付,俄罗斯通信部,http://government.ru/en/,2024-09-29,,,,,,,,,,,,
2023年,阿联酋,880,个,政府、旅游,电子签证、旅行记录管理,阿联酋数字政府,https://u.ae/en/,2024-09-29,,,,,,,,,,,,
2023年,以色列,400,个,科技、自由职业,平台支付、工作合同,以色列科技部,https://www.gov.il/en/departments/ministry_of_science_and_technology/govil-landing-page,2024-09-29,,,,,,,,,,,,
2023年,南非,580,个,金融、环保,绿色债券、资源认证,南非储备银行,https://www.resbank.co.za/,2024-09-29,,,,,,,,,,,,
2024年,中国,4000,个,金融、政务、医疗,电子健康记录、身份验证,中国区块链技术和产业发展论坛,http://www.china-blockchain.com,,,,,,,,,,,,,
2024年,美国,1500,个,金融、供应链,透明交易、数字资产管理,Mine Digital,https://www.minedigital.com/reports/blockchain-in-america,,,,,,,,,,,,,
2024年,英国,700,个,金融、法律,智能合约、法律文书验证,UK Government,https://www.gov.uk/government/publications/blockchain-and-the-future,,,,,,,,,,,,,
2024年,加拿大,480,个,能源、环保,可再生能源交易,Natural Resources Canada,https://www.nrcan.gc.ca/energy,,,,,,,,,,,,,
2024年,印度,600,个,农业、金融,农产品溯源、贷款管理,NASSCOM,https://nasscom.in/knowledge-library/blockchain-in-india,,,,,,,,,,,,,
2024年,澳大利亚,350,个,教育、技术,数字学历认证,Australian Institute of Technology,https://www.ait.edu.au/blockchain,,,,,,,,,,,,,
2024年,巴西,300,个,金融、政务,投票系统、数字货币,Brazilian Blockchain Association,https://www.braziliansblockchain.org,,,,,,,,,,,,,
2024年,南非,450,个,金融、保险,保险索赔处理,South African Reserve Bank,https://www.resbank.co.za/insights/blockchain,,,,,,,,,,,,,
2024年,新加坡,350,个,政务、金融、医疗,公共服务签名、数据安全,IMDA Singapore,https://www.imda.gov.sg/blockchain,,,,,,,,,,,,,
2024年,俄罗斯,550,个,政府、房地产,不动产交易、数据共享,Russian Blockchain Association,https://www.rusblockchain.ru,,,,,,,,,,,,,
2023年,加拿大,950,个,金融、医疗,保障患者隐私、区块链支付,加拿大区块链研究所,https://www.canada.ca/en/services/finance/blockchain.html,,,,,,,,,,,,,
2023年,印度,1800,个,农业、教育,农业供应链透明度、数字学历认证,印度信息技术部,https://www.meity.gov.in/content/blockchain,,,,,,,,,,,,,
2022年,英国,1300,个,金融、物流,贸易融资、物流追踪,英国区块链协会,https://www.ukblockchain.com,,,,,,,,,,,,,
2023年,阿根廷,400,个,政务、能源,土地登记、可再生能源交易,阿根廷国家科技部,https://www.argentina.gob.ar/ciencia/blockchain,,,,,,,,,,,,,
2023年,以色列,750,个,医疗、金融,医疗记录管理、金融合约,以色列科技部,https://www.gov.il/en/departments/ministry_of_science_and_technology,,,,,,,,,,,,,
2023年,巴西,600,个,农业、政务,农产品认证、政务透明,巴西农业部,https://www.gov.br/agricultura,,,,,,,,,,,,,
2023年,瑞士,1100,个,金融、技术,资产管理、技术创新,瑞士金融市场监管局,https://www.finma.ch/en/,,,,,,,,,,,,,
2023年,南非,500,个,金融、农业,金融普惠、农场管理,南非国家研究基金,https://www.nrf.ac.za,,,,,,,,,,,,,
2023年,新西兰,370,个,政府、运输,公共记录管理、运输透明,新西兰政府数字服务,https://www.digital.govt.nz,,,,,,,,,,,,,
2023年,印度,1500,个,金融、农业,小额贷款、农产品溯源,NASSCOM,https://nasscom.in/knowledge-center/publications/blockchain-india,,,,,,,,,,,,,
2023年,俄罗斯,600,个,运输、医疗,运输跟踪、电子健康记录,俄罗斯数字经济监管局,https://digital.gov.ru/ru/activity/digital-economy/,,,,,,,,,,,,,
2023年,巴西,700,个,能源、政务,能源交易、公共记录管理,巴西科技部,http://www.mcti.gov.br/,,,,,,,,,,,,,
2023年,英国,950,个,金融、娱乐,支付安全、数字艺术,英国金融行为监管局,https://www.fca.org.uk/,,,,,,,,,,,,,
2023年,澳大利亚,400,个,教育、媒体,学位认证、内容创作,澳大利亚教育部,https://www.education.gov.au/,,,,,,,,,,,,,
2023年,南非,250,个,农业、金融,土地登记、农业融资,南非国家农业委员会,https://www.nda.gov.za/,,,,,,,,,,,,,
2023年,阿根廷,300,个,能源、金融,清洁能源交易、在线支付,阿根廷国家能源局,https://www.argentina.gob.ar/energia,,,,,,,,,,,,,
2023年,加拿大,1200,个,健康、政务,医疗数据管理、选票验证,加拿大卫生部,https://www.canada.ca/en/health-canada.html,,,,,,,,,,,,,
2023年,以色列,350,个,科技、金融,供应链透明度、金融合规,以色列科技部,https://www.gov.il/en/departments/ministry_of_science_and_technology,,,,,,,,,,,,,
2023年,新西兰,200,个,农业、环境,生态系统监测、食品安全,新西兰农业部,https://www.mpi.govt.nz/,,,,,,,,,,,,,
2023年,印度,700,个,金融、供应链,跨境交易、商品溯源,印度国家银行,https://www.sbi.co.in/web/home,,,,,,,,,,,,,
2023年,加拿大,650,个,农业、金融,食品溯源、金融服务,加拿大农业部,https://www.canada.ca/en/services/agriculture-food.html,,,,,,,,,,,,,
2023年,德国,950,个,汽车、制造,车辆身份验证、供应链管理,德国投资与发展部,https://www.bmwi.de/Navigation/EN/Home/home.html,,,,,,,,,,,,,
2023年,巴西,500,个,政务、教育,电子投票、学历认证,巴西联邦政府,http://www.gov.br/governofederal/pt-br,,,,,,,,,,,,,
2023年,澳大利亚,450,个,医疗、保险,患者数据管理、医疗保险理赔,澳大利亚卫生部,https://www.health.gov.au/,,,,,,,,,,,,,
2023年,新西兰,220,个,旅游、金融,共享经济平台、支付系统,新西兰旅游局,https://www.newzealand.com/,,,,,,,,,,,,,
2023年,阿根廷,380,个,食品、供应链,农产品追溯、供应链透明化,阿根廷农业联合会,https://www.cra.org.ar/,,,,,,,,,,,,,
2023年,南非,300,个,金融、政务,数字身份、公共服务,南非储备银行,https://www.resbank.co.za/,,,,,,,,,,,,,
2023年,瑞典,400,个,医疗、研究,临床试验数据管理、纪录保存,瑞典国家医学委员会,https://www.socialstyrelsen.se/,,,,,,,,,,,,,
2023年,以色列,520,个,高科技、军事,信息安全、数字合同,以色列科技部,https://most.gov.il/en/,,,,,,,,,,,,,
2024年,中国,3800,个,金融、政务、医疗,电子病历、供应链金融,国家信息中心,http://www.nic.gov.cn/,,,,,,,,,,,,,
2024年,印度,1000,个,农业、金融,农产品溯源、数字支付,印度国家区块链发展中心,https://www.npci.org.in/,,,,,,,,,,,,,
2023年,巴西,600,个,金融、公共服务,投票系统、跨境交易,巴西区块链协会,https://www.brazilblockchain.org/,,,,,,,,,,,,,
2023年,加拿大,900,个,能源、金融,可再生能源交易、资产管理,加拿大区块链协会,https://www.blockchaincanada.org/,,,,,,,,,,,,,
2024年,阿根廷,450,个,金融、农业,应用于农业贷款和保险,阿根廷区块链创新中心,https://www.argentinablockchain.com/,,,,,,,,,,,,,
