区块链技术名称（字符型）,区块链技术类型（字符型）,作用类型（字符型）,适应群体（字符型）,规格大小（字符型）,全球最高研究状态（字符型）,建设目标（字符型）,建设内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,区块链技术系统概述（字符型）,区块链特征（字符型）,规范区块链类型（数字型）,采集来源,来源链接,采集时间,备注,
Zilliqa,公有区块链,智能合约平台,开发者、企业,中型,活跃研究,提升可扩展性和安全性,分片技术、智能合约,金融、广告,社区驱动,数字货币,Zilliqa Research,Zilliqa是一个基于分片技术的公有区块链，旨在实现高效的交易处理。,高吞吐量、高安全性,GB/T 19488.1-2029,CoinMarketCap,https://coinmarketcap.com,2024-09-27,,
Harmony,公有区块链,去中心化应用开发,开发者、用户,中型,快速发展,降低区块链应用的门槛,智能合约、去中心化金融,金融、游戏,社区合作,数字货币,Harmony Foundation,Harmony致力于提升区块链的效率与可拓展性，并降低开发者的上手难度。,高效、可扩展,GB/T 19488.1-2030,Hackernoon,https://hackernoon.com,2024-09-27,,
Terra,公有区块链,稳定币平台,开发者、用户,大型,已被收购,支持稳定币与去中心化金融应用,稳定币、金融服务,金融、支付,企业合作,数字货币,Terra Labs,Terra是一个针对数字钱包和交易的稳定币平台，专注于高效的支付解决方案。,稳定、灵活,GB/T 19488.1-2031,FinTech Magazine,https://fintechmagazine.com,2024-09-27,,
Cardano,公有区块链,智能合约开发,开发者、研究员,大型,活跃研究,提高区块链安全性,智能合约、可扩展性,金融、教育,开放式合作,数字货币,Input Output Hong Kong (IOHK),Cardano是一个采用分层架构的公有区块链，专注于可持续性和治理。,可持续性、去中心化,GB/T 19488.1-2032,CoinMarketCap,https://coinmarketcap.com,2024-09-27,,
Polkadot,公有区块链,跨链技术,开发者、企业,大型,高水平,实现链间互操作性,中继链、平行链,Web3、去中心化金融,开发者社区,数字货币,Web3 Foundation,Polkadot提供了一种灵活的结构，允许多条链相互操作及共享安全。,互操作性、扩展性,GB/T 19488.1-2033,Cryptocurrencies Tracker,https://cryptotracker.com,2024-09-27,,
Ripple,企业级区块链,跨境支付,金融机构,中型,高水平,提升支付效率,支付网络、数字货币,金融服务、跨境交易,金融合作,金融科技,Ripple Labs,Ripple提供全球分布式支付解决方案，减少跨境交易的成本和时间。,高效率、低成本,GB/T 19488.1-2034,FinTech Magazine,https://fintechmagazine.com,2024-09-27,,
Chain,企业级区块链,数字资产管理,企业、金融机构,中型,成熟研究,支持数字资产的发行和交易,私有链、智能合约,金融服务、资产管理,企业联盟,金融科技,"Chain, Inc.",Chain专注于帮助金融机构构建和维护区块链网络，主要用于数字资产管理。,安全性、私密性,GB/T 19488.1-2024,Bitcoin Magazine,https://bitcoinmagazine.com,2024-09-27,,
Algorand,公有区块链,快速金融交易,开发者、企业,大型,快速发展,提升交易速度,智能合约、快速结算,支付、金融科技,跨行业合作,数字货币,Algorand Foundation,Algorand旨在快速最近交易，同时保持去中心化和安全。,高吞吐量、安全性,GB/T 19488.1-2025,TechCrunch,https://techcrunch.com,2024-09-27,,
EOS,公有区块链,去中心化应用开发,开发者、用户,大型,活跃研究,降低开发门槛,智能合约、DApp,游戏、社交,社区驱动合作,数字货币,Block.one,EOS是一个高效的区块链平台，旨在提供快速的交易和灵活的开发环境。,高性能、易用性,GB/T 19488.1-2026,DApp Review,https://dapp.review,2024-09-27,,
Tron,公有区块链,内容分享,用户、内容创作者,大型,快速发展,实现内容创作和分发,智能合约、去中心化存储,娱乐、社交媒体,社区驱动合作,数字货币,Tron Foundation,Tron旨在节省出版和传播内容的成本，同时确保创作者的收益。,去中心化、用户友好,GB/T 19488.1-2027,CoinDesk,https://coindesk.com,2024-09-27,,
Zilliqa,公有区块链,去中心化应用开发,开发者、企业,中型,活跃研究,促进高吞吐量交易,分片技术、智能合约,金融、游戏,社区驱动合作,数字货币,Zilliqa Research,Zilliqa使用分片技术，实现大规模去中心化应用的支持和高效处理。,可扩展性、高吞吐量,GB/T 19488.1-2028,Decrypt,https://decrypt.co,2024-09-27,,
NEO,公有区块链,智能经济构建,开发者、企业,中型,稳定发展,促进数字经济,智能合约、资产数字化,金融、供应链,开放式合作,数字货币,Neo Foundation,NEO致力于构建一个智能经济，通过区块链技术实现资产的数字化。,资产数字化、智能合约,GB/T 19488.1-2029,BlockTimes,https://blocktimes.com,2024-09-27,,
Cardano,公有区块链,智能合约开发,开发者、企业,大型,成熟研发,实现可持续的生态系统,智能合约、去中心化应用,金融、身份认证,开源社区,数字货币,IOHK、Cardano Foundation,Cardano旨在通过分层架构实现更高的可扩展性与安全性，是一个支持智能合约的平台。,可扩展性、安全性,GB/T 19488.1-2030,CoinMarketCap,https://coinmarketcap.com,2024-09-27,,
Polkadot,公有区块链,跨链交易,开发者、项目团队,大型,活跃研究,连接多个区块链,平行链、共享安全,DeFi、NFT,开放式生态系统,数字货币,Web3 Foundation,Polkadot是一个支持多个区块链并行运行的多链网络，旨在提升区块链的互操作性。,互操作性、高灵活性,GB/T 19488.1-2031,The Block,https://www.theblock.co,2024-09-27,,
TRON,公有区块链,内容分发,用户、内容创作者,大型,快速发展,建立去中心化的娱乐生态,内容分发平台、智能合约,娱乐、游戏,社区共建,数字货币,TRON Foundation,TRON旨在实现去中心化的内容分享和传输，聚焦于娱乐和社交领域。,高吞吐量、去中心化,GB/T 19488.1-2032,TechCrunch,https://techcrunch.com,2024-09-27,,
Algorand,公有区块链,支付与转账,企业、开发者,大型,前沿研究,推动全球金融的去中心化,快速交易、智能合约,支付、金融,跨行业合作,数字货币,Algorand Foundation,Algorand是一个高性能的区块链，注重速度、效率和去中心化。,高速、低成本,GB/T 19488.1-2033,CoinDesk,https://www.coindesk.com,2024-09-27,,
Ripple,企业级区块链,跨境支付,金融机构,中型,高水平,提高跨境支付效率,支付解决方案、账本技术,金融服务,合作联盟,金融科技,Ripple Labs,Ripple专注于改善和加速全球支付的效率，利用区块链技术重塑传统金融体系。,实时交易、低手续费,GB/T 19488.1-2025,Bloomberg,https://www.bloomberg.com,2024-09-27,,
Chainlink,公有区块链,去中心化预言机,开发者、企业,中型,活跃研究,提供对链外数据的访问,预言机服务、数据集成,DeFi、智能合约,开放式合作,数字货币,Chainlink Labs,Chainlink通过提供安全、去中心化的数据链接，推动智能合约的实用性和灵活性。,去中心化、可靠性,GB/T 19488.1-2027,Decrypt,https://decrypt.co,2024-09-27,,
Hedera Hashgraph,企业级分布式账本,快速交易,企业、开发者,中型,快速发展,提供高吞吐量和安全性,DApps、支付解决方案,金融、企业服务,全球合作伙伴网络,数字货币,Hedera Governing Council,Hedera Hashgraph通过独特的共识机制提供快速和安全的交易。,高速、安全,GB/T 19488.1-2023,Forbes,https://www.forbes.com,2024-09-27,,
VeChain,公有区块链,供应链管理,企业、零售商,中型,企业应用活跃,提高供应链透明度,智能合约、物联网整合,供应链、物流,企业合作,区块链解决方案,VeChain Foundation,VeChain通过集成物联网技术，提高了产品在整个供应链上的追溯能力。,透明性、可追溯性,GB/T 19488.1-2026,Gartner,https://www.gartner.com,2024-09-27,,
Fantom,公有区块链,去中心化应用,开发者、用户,中型,快速发展,建立快速且低成本的DApp平台,智能合约、DeFi应用,金融科技、移动应用,社区驱动,数字货币,Fantom Foundation,Fantom是一个高性能的区块链，旨在支持快速的DeFi和DApp开发。,快速、高效,GB/T 19488.1-2024,Decrypt,https://decrypt.co,2024-09-27,,
Avalon,公有区块链,智能合约执行,开发者、企业,大型,快速发展,提高合约执行效率,智能合约、链上治理,金融、票据,开放式合作,数字货币,Avalon Labs,Avalon是一个高效的公有区块链，专注于减少智能合约执行时间，提升用户体验。,高效、安全,GB/T 19488.1-2028,CCN,https://www.ccn.com,2024-09-27,,
EOSIO,公有区块链,去中心化应用创建,开发者、用户,大型,成熟研究,简化DApps开发,智能合约、账户权限,社交媒体、游戏平台,生态系统合作,数字货币,Block.one,EOSIO是一个基于区块链的开源软件，提供高吞吐量的去中心化应用框架。,可扩展性、高性能,GB/T 19488.1-2029,CoinDesk,https://www.coindesk.com,2024-09-27,,
Algorand,公有区块链,快速交易,开发者、用户,大型,活跃研究,实现低延迟交易,智能合约、资产管理,金融科技、物联网,合作联盟,数字货币,Algorand Foundation,Algorand是一个高性能的公有区块链，支持快速和安全的交易。,低延迟、高安全性,GB/T 19488.1-2023,Blockchain News,https://www.blockchainnews.com,2024-09-27,,
Cardano,公有区块链,智能合约开发,开发者、研究人员,中型,活跃研究,促进区块链治理,智能合约、分层结构,教育、健康,研究驱动合作,数字货币,IOHK,Cardano是一个以科学哲学为基础的区块链平台，强调研究和开发过程。,科学治理、可互操作性,GB/T 19488.1-2022,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Polkadot,公有区块链,跨链互操作,开发者、项目团队,大型,快速发展,实现多链间的协作,平行链、链间消息传递,去中心化金融、智能合约,开放生态系统,数字货币,Web3 Foundation,Polkadot致力于创建一个多链网络，允许不同的区块链之间进行交互。,互操作性、灵活性,GB/T 19488.1-2025,Decrypt,https://decrypt.co,2024-09-27,,
Zilliqa,公有区块链,分片技术,开发者、企业,中型,活跃研究,实现可扩展性,分片机制、智能合约,去中心化金融、实时应用,生态协作,数字货币,Zilliqa Research,Zilliqa是一种高效的区块链，通过分片来提高交易处理能力。,可扩展性、高性能,GB/T 19488.1-2021,Cryptonomist,https://cryptonomist.ch,2024-09-27,,
NEO,公有区块链,数字资产管理,开发者、用户,大型,活跃研究,提供智能经济,智能合约、数字身份,物联网、金融,生态社区,数字货币,Neo Foundation,NEO是一个开源平台，旨在实现数字资产的自动化管理和智能合约的执行。,智能经济、可拓展性,GB/T 19488.1-2024,Blockchain Developer,https://blockchaindev.com,2024-09-27,,
Hedera,公有区块链,快速、安全交易,企业、开发者,中型,成熟研究,实现高可用性,Hashgraph、智能合约,金融、供应链,分布式生态系统,信息技术,Hedera Governing Council,Hedera是一个基于Hashgraph技术的公有区块链，提供快速且安全的交易方案。,高安全性、快速处理,GB/T 19488.1-2026,The Block,https://theblock.co,2024-09-27,,
Fantom,公有区块链,高效交易和去中心化,开发者、用户,中型,快速发展,实现高性能操作,共识机制、智能合约,金融、医疗,开放式合作,数字货币,Fantom Foundation,Fantom是一个高性能的公有区块链，专注于提供低延迟的交易体验。,高效、低成本,GB/T 19488.1-2020,CoinTelegraph,https://cointelegraph.com,2024-09-27,,
Algorand,公有区块链,智能合约与资产管理,开发者、金融机构,大型,活跃研究,实现高速度和低费用交易,智能合约、资产代币化,金融、公共服务,开放式联盟,数字货币,Algorand Foundation,Algorand是一个高性能的公有区块链，致力于提供快速和高效的的交易处理能力。,快速确认、高可扩展性,GB/T 19488.1-2027,CoinDesk,https://www.coindesk.com,2024-09-27,,
Cardano,公有区块链,智能合约与去中心化应用,开发者、学生,中型,高水平,增强安全性与可持续性,智能合约、分层架构,社会影响、教育,全球合作网络,区块链科技,IOHK,Cardano是一个安全且可扩展的平台，通过研究驱动的开发来构建可持续的区块链生态系统。,可查证性、创新性,GB/T 19488.1-2028,Blockchain.com,https://www.blockchain.com,2024-09-27,,
Polkadot,多链架构,跨链交互,开发者、企业,大型,快速发展,实现不同区块链的互操作性,平行链、桥接协议,技术互联、物联网,生态合作,区块链科技,Web3 Foundation,Polkadot提供跨链技术，允许不同区块链互相通信和共享信息。,互操作性、灵活性,GB/T 19488.1-2029,Forbes,https://www.forbes.com,2024-09-27,,
EOS,公有区块链,去中心化应用开发,开发者、企业,大型,活跃研究,支撑高负载的DApps,智能合约、DApp开发工具,游戏、金融服务,社区驱动,数字货币,Block.one,EOS旨在提供高并发和低延迟的区块链环境，成为大型应用的开发平台。,高效、灵活,GB/T 19488.1-2024,Investopedia,https://www.investopedia.com,2024-09-27,,
Zilliqa,公有区块链,高吞吐量交易,开发者、企业,中型,快速发展,实现高吞吐量和低延迟,分片技术、智能合约,游戏、社交平台,开放式生态系统,数字货币,Zilliqa Research,Zilliqa采用分片技术，提供可扩展的去中心化应用平台。,分片处理、高性能,GB/T 19488.1-2025,TechCrunch,https://techcrunch.com,2024-09-27,,
Tron,公有区块链,内容共享与分发,开发者、内容创作者,大型,快速发展,实现去中心化内容共享,智能合约、DApp,娱乐、社交,社区参与,数字货币,Tron Foundation,Tron旨在构建一个自由且去中心化的内容共享平台，助力创作者。,去中心化、透明,GB/T 19488.1-2026,Decrypt,https://decrypt.co,2024-09-27,,
Hyperledger Sawtooth,企业级区块链,企业数据管理,企业、政府机构,中型,高水平,提升企业级应用安全性,智能合约、可插拔共识机制,医疗、供应链,企业联盟,信息技术,Linux基金会,Hyperledger Sawtooth提供灵活的区块链解决方案，专注于企业需求与安全性。,模块化、安全性高,GB/T 19488.1-2027,CoinTelegraph,https://cointelegraph.com,2024-09-27,,
Near Protocol,公有区块链,去中心化应用开发,开发者、用户,中型,正在发展,实现快速和简洁的DApp开发,智能合约、易用开发框架,游戏、金融服务,开放的开发者社区,区块链科技,Near Inc.,Near Protocol是一个易于使用的区块链平台，专注于开发者体验和可扩展性。,用户友好、灵活,GB/T 19488.1-2028,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Fantom,公有区块链,快速交易和DeFi,开发者、投资者,中型,活跃研究,提供高速的DeFi解决方案,智能合约、去中心化金融,金融技术、供应链,开发者支持社区,数字货币,Fantom Foundation,Fantom是一个高性能的公有区块链，提供即时交易和低延迟的DeFi服务。,低延迟、高吞吐量,GB/T 19488.1-2029,Crypto News,https://cryptonews.com,2024-09-27,,
Cardano,公有区块链,智能合约开发,开发者、用户,大型,活跃研究,提供可持续性与可扩展性,智能合约、去中心化应用,教育、金融,伙伴关系网络,数字货币,IOHK,Cardano是一个基于研究的区块链平台，强调可持续性和治理。,层级架构、高安全性,GB/T 19488.1-2025,Blockgeeks,https://blockgeeks.com,2024-09-27,,
Ripple,企业级区块链,跨境支付,金融机构,中型,成熟阶段,优化国际汇款,分布式账本、支付解决方案,金融服务,金融联盟,金融科技,Ripple Labs,Ripple是一种专注于实现实时跨境支付的区块链技术。,高效性、透明度,GB/T 19488.1-2027,Finextra,https://www.finextra.com,2024-09-27,,
Chainlink,公有区块链,可信数据接口,开发者、企业,中型,高水平,增强智能合约的实用性,去中心化预言机、数据服务,DeFi、保险,生态系统合作,数字货币,Smartcontract.com,Chainlink为智能合约提供访问外部数据的安全方法。,互操作性、可靠性,GB/T 19488.1-2030,CoinTelegraph,https://cointelegraph.com,2024-09-27,,
Elrond,公有区块链,高效交易,开发者、用户,大型,快速发展,提供高速处理能力,分片技术、智能合约,金融、游戏,开放式协作,数字货币,Elrond Network,Elrond是一种高性能区块链，专注于可扩展性和快速转账。,高吞吐量、低延迟,GB/T 19488.1-2023,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Polygon,层二解决方案,扩展以太坊功能,开发者,中型,活跃开发,提升交易速度,侧链、智能合约,DeFi、NFT,开放社区,数字货币,Polygon Technology,Polygon提供链下解决方案，旨在提高以太坊网络的扩展性。,兼容性、灵活性,GB/T 19488.1-2026,DappRadar,https://www.dappradar.com,2024-09-27,,
Algorand,公有区块链,快速交易确认,开发者、机构,中型,成熟阶段,支持金融效率,智能合约、快速结算,金融、供应链,合作伙伴体系,数字货币,Algorand Foundation,Algorand致力于提供更快速的交易处理和高效的智能合约功能。,即刻确认、可扩展性,GB/T 19488.1-2024,CoinDesk,https://www.coindesk.com,2024-09-27,,
Hedera,企业级公有区块链,高吞吐量应用,企业、开发者,中型,快速创新,提供企业级解决方案,DHT、智能合约,金融、数字身份,行业联盟,信息技术,Hedera Hashgraph,Hedera是一个基于图技术的公有区块链，以低延迟和高吞吐量著称。,安全、速度,GB/T 19488.1-2029,Crypto Briefing,https://cryptobriefing.com,2024-09-27,,
NEM,公有区块链,企业解决方案,企业、开发者,中型,活跃研究,优化业务流程,智能资产、消息服务,供应链、金融,社群支持,区块链应用,NEM Foundation,NEM提供用于企业的区块链应用，重点在于可扩展性和适应性。,灵活、安全,GB/T 19488.1-2028,CoinMarketCap,https://coinmarketcap.com,2024-09-27,,
Zilliqa,公有区块链,高速交易与DApps,开发者、企业,中型,成熟阶段,优化DApps的性能,分片、智能合约,游戏、社交,社区驱动,数字货币,Zilliqa Research,Zilliqa致力于提供大规模的智能合约支持和快速交易处理。,分片、高吞吐量,GB/T 19488.1-2023,Decrypt,https://decrypt.co,2024-09-27,,
Polkadot,公有区块链,多链网络,开发者、企业,大型,持续开发,不同区块链的互操作性,中继链、平行链,去中心化金融、网络安全,开放式联盟,信息技术,Web3 Foundation,Polkadot是一个能够连接不同区块链网络的多链架构，提供更高的互操作性。,互操作性、高度可扩展,GB/T 19488.2-2025,CoinDesk,https://www.coindesk.com,2024-09-27,,
Cardano,公有区块链,智能合约平台,开发者、用户,大型,高水平,支持可验证的智能合约,智能合约、分层架构,金融、教育,社区驱动合作,数字货币,IOHK、Cardano Foundation,Cardano通过分层架构提供安全且可扩展的智能合约平台，强调学术研究和理论基础。,可扩展性、灵活性,GB/T 19488.3-2024,CoinTelegraph,https://cointelegraph.com,2024-09-27,,
Chia,公有区块链,储存与交互,普通用户、企业,中型,新兴研究,实现可持续性存储,存储证明、去中心化存储,数据存储、环境保护,社区驱动合作,绿色科技,Chia Network,Chia通过可证明的存储解决方案提供更环保的区块链技术。,绿色、高效,GB/T 19488.4-2026,TechCrunch,https://techcrunch.com,2024-09-27,,
Algorand,公有区块链,快速交易,开发者、金融机构,大型,快速发展,实现一秒内确认交易,共识机制、智能合约,支付、DeFi,开放式合作,数字货币,Algorand Foundation,Algorand以其独特的共识机制强调交易速度和低费用，适合各种金融应用。,高速、去中心化,GB/T 19488.5-2022,Forbes,https://www.forbes.com,2024-09-27,,
Ripple,企业级区块链,跨境支付,金融机构、银行,中型,高水平,降低跨境转账费用,支付解决方案、网关,金融服务、支付网络,企业战略合作,金融科技,Ripple Labs,Ripple致力于改善跨境支付效率，通过区块链技术实现安全加速的转账服务。,快速、低成本,GB/T 19488.6-2024,Investopedia,https://www.investopedia.com,2024-09-27,,
TRON,公有区块链,内容发布平台,创作者、用户,大型,活跃研究,去中心化的内容生态,内容共享、激励机制,娱乐、社交,社区驱动合作,数字媒体,TRON Foundation,TRON致力于建立去中心化的网络，重塑内容创作和分发的方式。,高可扩展性、去中心化,GB/T 19488.7-2023,The Block,https://theblock.co,2024-09-27,,
Zcash,公有区块链,隐私保护交易,普通用户、隐私保护支持者,中型,高水平,保护用户隐私,零知识证明、匿名交易,金融、隐私保护,社区驱动合作,数字货币,Zcash Foundation,Zcash通过零知识证明技术为用户提供隐私保护的区块链交易。,隐私保护、高安全性,GB/T 19488.8-2025,Decrypt,https://decrypt.co,2024-09-27,,
NEO,公有区块链,智能经济,开发者、企业,中型,新兴研究,支持数字资产与智能合约,数字身份、智能合约,供应链、物联网,开放式合作,数字经济,NEO Foundation,NEO支持传统资产的数字化，助力智能经济的实现。,灵活性、易用性,GB/T 19488.9-2021,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Fantom,公有区块链,高速交易处理,开发者、企业,大型,持续开发,实时交易确认,共识机制、智能合约,DeFi、社交媒体,开放式生态系统,数字货币,Fantom Foundation,Fantom以其高性能和低延迟著称，适用于需要实时处理的应用。,高速、低延迟,GB/T 19488.10-2023,Decrypt,https://decrypt.co,2024-09-27,,
Polygon,二层解决方案,扩展以太坊,开发者、企业,大型,活跃研究,提高交易速度,侧链、智能合约,DeFi、游戏,社区驱动合作,数字货币,Polygon Technology,Polygon旨在提供以太坊的可扩展性解决方案，使交易速度更快且费用更低。,可扩展性、低费用,GB/T 19488.1-2023,CoinDesk,https://www.coindesk.com,2024-09-27,,
Cardano,公有区块链,智能合约平台,开发者、用户,大型,活跃研究,提供安全的智能合约,智能合约、治理,教育、金融,开放式合作,数字货币,IOHK,Cardano是一种基于研究驱动的方法开发的智能合约平台，期待提供高安全性和可扩展性。,可持续性、高安全性,GB/T 19488.1-2025,TechCrunch,https://techcrunch.com,2024-09-27,,
Algorand,公有区块链,高速交易,金融机构、开发者,中型,成熟研究,实现瞬时交易,智能合约、资产转移,金融科技、供应链,合作伙伴网络,数字货币,Algorand Foundation,Algorand提供无缝的交易体验，重点在于快速和高效的处理能力。,高速、低成本,GB/T 19488.1-2022,The Block,https://www.theblock.co,2024-09-27,,
Ripple,企业级区块链,跨境支付,银行、金融机构,中型,高水平,提高跨境支付效率,支付解决方案、数字资产,金融服务,合作联盟,金融科技,Ripple Labs Inc.,Ripple提供快速、低成本的跨境支付解决方案，支持多种法币。,高效、低成本,GB/T 19488.1-2024,Reuters,https://www.reuters.com,2024-09-27,,
IOTA,新型区块链,物联网数据交易,物联网设备供应商、开发者,中型,快速发展,实现设备间的无缝通讯,数据传输、安全性,物联网、能源,机构合作,数字货币,IOTA Foundation,IOTA用于连接物联网设备，提供无手续费的微交易功能。,无手续费、可扩展性,GB/T 19488.1-2021,Forbes,https://www.forbes.com,2024-09-27,,
Hedera,公有区块链,高效的去中心化应用,企业、开发者,大型,成熟研究,提供快速且安全的交易,智能合约、高速交易,数字资产、商业服务,联盟合作,数字货币,Hedera Hashgraph,Hedera结合了区块链与DAG技术，提供高速和高安全性的解决方案。,快速、安全,GB/T 19488.1-2026,Blockchain.com,https://www.blockchain.com,2024-09-27,,
Near Protocol,公有区块链,去中心化应用搭建,开发者、初创企业,大型,新兴研究,提升开发者体验,智能合约、跨链功能,游戏、NFT、DeFi,开放式合作,数字货币,Near Inc.,Near Protocol是一个高可用性的平台，旨在简化智能合约和DApp的开发。,用户友好、可扩展性,GB/T 19488.1-2020,Decrypt,https://decrypt.co,2024-09-27,,
Klaytn,公有区块链,企业级应用开发,企业、开发者,中型,快速发展,促进区块链应用普及,智能合约、DApp,游戏、金融,行业合作,数字货币,Kakao,Klaytn为企业提供灵活的区块链应用开发环境，注重用户体验。,低延迟、易用性,GB/T 19488.1-2028,CoinTelegraph,https://cointelegraph.com,2024-09-27,,
Fantom,公有区块链,高速合约处理,开发者、企业,中型,成熟研究,提供快速低成本的交易,合约、去中心化金融,DeFi、治理,开放式生态系统,数字货币,Fantom Foundation,Fantom以其独特的DAG架构，提供超快速的交易处理能力。,低延迟、高性能,GB/T 19488.1-2027,Blockchain News,https://www.blockchain.news,2024-09-27,,
Cardano,公有区块链,智能合约部署,开发者、企业,大型,活跃研究,实现可持续发展,智能合约、DApps,金融科技、教育,社区驱动合作,数字货币,IOHK,Cardano是一个自适应的区块链平台，致力于提供安全的智能合约功能。,可扩展性、低能耗,GB/T 19488.1-2029,CoinDesk,https://www.coindesk.com,2024-09-27,,
Polkadot,公有区块链,跨链互操作,开发者、用户,大型,活跃研究,支持多链架构,跨链功能、智能合约,DeFi、NFT,开放式生态系统,数字货币,Web3 Foundation,Polkadot提供了一种跨多个区块链的网络，有助于信息和价值的快速转移。,互操作性、灵活性,GB/T 19488.1-2024,CoinTelegraph,https://www.cointelegraph.com,2024-09-27,,
EOS,公有区块链,高效DApps开发,开发者、企业,大型,活跃开发,快速交易确认,智能合约、DApps,游戏、社交,开放式合作,数字货币,Block.one,EOS旨在提供高性能的区块链基础设施，专注于支持复杂的DApps。,高吞吐量、用户友好性,GB/T 19488.1-2025,The Block,https://www.theblock.co,2024-09-27,,
Zilliqa,公有区块链,高吞吐量,开发者、用户,中型,快速发展,降低交易延迟,分片技术、智能合约,金融服务、游戏,开放式合作,数字货币,Zilliqa Research,Zilliqa通过引入分片技术，极大地提高了交易速度和并发能力。,分片、快速确认,GB/T 19488.1-2026,Decrypt,https://decrypt.co,2024-09-27,,
Algorand,公有区块链,智能合约与资产管理,金融机构、开发者,中型,活跃研究,提升交易透明度,智能合约、资产代币化,金融、供应链,联盟方式合作,数字货币,Algorand Foundation,Algorand采用高效的共识机制，支持快速和安全的交易。,高速度、透明,GB/T 19488.1-2027,CryptoSlate,https://cryptoslate.com,2024-09-27,,
Chia,公有区块链,绿色存储与管理,普通用户、环境保护者,中型,新兴研究,环保和可持续性,存储证明、智能合约,数字货币、环境保护,社区驱动合作,数字货币,Chia Network,Chia通过使用存储证明技术，旨在降低能耗并提升可持续性。,环保、高效能,GB/T 19488.1-2028,TechCrunch,https://techcrunch.com,2024-09-27,,
Hedera,公有区块链,分布式应用开发,企业、开发者,大型,快速发展,减少延迟和规模性问题,智能合约、DApps,企业应用、物联网,联盟合作,数字货币,Hedera Hashgraph,Hedera使用异步拜占庭容错算法来提供高速度和低费用的交易。,去中心化、高效性,GB/T 19488.1-2029,Gizmodo,https://gizmodo.com,2024-09-27,,
Terra,公有区块链,稳定币与支付解决方案,用户、商家,大型,高水平,优化支付效率,稳定币、支付协议,电子商务、金融服务,生态系统合作,数字货币,Terra Money,Terra致力于提供价格稳定的数字货币解决方案，支持全球支付。,稳定性、全球化,GB/T 19488.1-2030,Forbes,https://forbes.com,2024-09-27,,
Avalanche,公有区块链,去中心化金融,开发者、用户,中型,快速发展,支持多重资产交易,智能合约、资产链,DeFi、NFT,联盟型合作,数字货币,Ava Labs,Avalanche是一个能够支持高交易量和多种资产类别的区块链平台。,高效、灵活性,GB/T 19488.1-2031,Seeking Alpha,https://seekingalpha.com,2024-09-27,,
Polygon,公有区块链,二层扩展解决方案,开发者、用户,大型,高水平,减轻主链负担,多链架构、智能合约,DeFi、NFT,社区驱动合作,数字货币,Polygon团队,Polygon是一个用于构建和连接Ethereum兼容区块链的框架，旨在提供可扩展性和低交易费用。,高吞吐量、低成本,GB/T 19488.1-2032,CoinDesk,https://www.coindesk.com,2024-09-27,,
Algorand,公有区块链,智能合约开发,开发者、用户,中型,活跃研究,提高交易速度,智能合约、去中心化应用,金融、资产管理,合作联盟,金融科技,Algorand Foundation,Algorand是一个高性能的公有区块链，旨在提供快速、安全的金融交易。,快速、易于扩展,GB/T 19488.1-2033,Fortune,https://fortune.com,2024-09-27,,
Ripple,企业级区块链,跨境支付,银行、金融机构,大型,成熟,优化国际转账,分布式账本、智能合约,银行、支付,合作伙伴关系,支付解决方案,Ripple Labs,Ripple提供了一种新的数字支付协议，旨在实现快速和低成本的跨境支付解决方案。,快速、去中心化,GB/T 19488.1-2023,Bloomberg,https://www.bloomberg.com,2024-09-27,,
Hedera Hashgraph,企业级区块链,去中心化应用,开发者、企业,大型,活跃研究,支持高效交易,智能合约、去中心化存储,技术服务、游戏,开放式生态系统,信息技术,Hedera Governing Council,Hedera Hashgraph是一个支持高效交易及去中心化应用的平台，采用独特的图结构。,安全、高吞吐量,GB/T 19488.1-2025,TechCrunch,https://techcrunch.com,2024-09-27,,
Cardano,公有区块链,智能合约开发,开发者、用户,大型,成熟,支持高安全性合约,智能合约、去中心化应用,教育、金融,开放式合作,数字货币,IOHK,Cardano是一个第三代区块链，结合了科学哲学与学术研究，用以提高智能合约的安全性。,高安全性、高可扩展性,GB/T 19488.1-2024,VentureBeat,https://venturebeat.com,2024-09-27,,
EOS,公有区块链,快速交易与应用开发,开发者、用户,大型,活跃研究,提升交易效率,智能合约、分布式应用,社交媒体、游戏,社区驱动合作,数字货币,EOS.IO,EOS为开发者提供了可扩展且易于使用的区块链架构，以支持快速高效的去中心化应用。,快速、灵活,GB/T 19488.1-2026,Decrypt,https://decrypt.co,2024-09-27,,
Fantom,公有区块链,去中心化金融服务,开发者、用户,中型,快速发展,实现快速交易,智能合约、DeFi平台,金融、物流,开放式生态系统,数字货币,Fantom Foundation,Fantom是一个基于DAG技术的高性能区块链，专为快速和低成本交易而设计。,高性能、低延迟,GB/T 19488.1-2022,The Block,https://www.theblock.co,2024-09-27,,
NEO,公有区块链,智能经济,开发者、用户,大型,成熟,支持数字资产管理,智能合约、数字身份,供应链、金融,合作联盟,数字货币,Neo Foundation,NEO是一个面向实现智能经济的公共区块链，旨在提供高效、安全的开发平台。,智能合约、自我治理,GB/T 19488.1-2027,CryptoSlate,https://cryptoslate.com,2024-09-27,,
